TI3;"Phyto""""";"Oyst""""";"HerbZoopl""""";"Polych""""";"Periph""""";"HerbFish""""";"Shri""""";"BenthFFish""""";"CarnZoopl""""";"ZooplFish""""";"PiscFish""""";"Crab""""";;SUM
"Phyto""""";4,18218E+17;3,46844E+18;2,64091E+19;1,99505E+17;5,60175E+15;2,20689E+14;5,69037E+16;1,55433E+16;2,70467E+16;1,28682E+16;1,2903E+16;4,26242E+16;;3,0669E+19
"Oyst""""";5,78073E+18;4,15436E+17;1,60685E+18;3,13145E+16;1,62285E+15;8,32937E+13;8,28683E+15;2,83578E+15;7,23749E+17;7,20686E+15;1,3794E+15;2,95183E+15;;8,58245E+18
"HerbZoopl""""";6,16212E+19;2,24959E+18;4,18251E+17;2,08805E+17;1,28925E+16;2,52809E+14;4,91429E+16;2,04608E+16;7,73715E+18;6,88232E+16;6,32576E+15;3,45814E+15;;7,23964E+19
"Polych""""";4,65511E+17;4,38403E+16;2,08805E+17;3,12023E+15;2,73312E+15;2,42847E+12;1,08847E+15;3,01303E+14;5,8196E+16;6,22834E+14;1,87322E+14;6,62222E+14;;7,85069E+17
"Periph""""";3,7345E+15;6,49142E+14;3,68357E+15;7,80891E+14;11492617135;1,39193E+15;1,82261E+13;2,6203E+13;4,98856E+14;7,60262E+12;1,71006E+12;4,85721E+12;;1,07975E+16
"HerbFish""""";2,20689E+14;4,99762E+13;1,08347E+14;1,04077E+12;2,08789E+15;20064962235;1,57348E+14;1,50169E+13;2,0205E+13;3,44669E+11;2,85114E+13;2,00484E+14;;2,88987E+15
"Shri""""";9,48396E+16;8,28683E+15;3,51021E+16;7,77476E+14;4,55652E+13;2,62247E+14;3,00076E+13;6,88709E+13;1,21198E+16;1,13412E+14;1,29461E+13;1,95856E+13;;1,51678E+17
"BenthFFish""""";4,14489E+16;4,53725E+15;2,33838E+16;3,44346E+14;1,04812E+14;4,00451E+13;1,10193E+14;3,70656E+13;5,22785E+15;6,19509E+13;1,94752E+13;7,73952E+13;;7,53931E+16
"CarnZoopl""""";6,31091E+16;1,01325E+18;7,73715E+18;5,8196E+16;1,746E+15;4,71449E+13;1,69677E+16;4,57437E+15;1,64161E+14;3,75596E+15;3,83304E+15;1,27019E+16;;8,91549E+18
"ZooplFish""""";2,1447E+16;7,20686E+15;4,91594E+16;4,44882E+14;1,90065E+13;5,74448E+11;1,13412E+14;3,87193E+13;2,68283E+15;4,85586E+13;2,72307E+13;8,42599E+13;;8,12728E+16
"PiscFish""""";2,1505E+16;1,3794E+15;4,5184E+15;1,33801E+14;4,27514E+12;4,7519E+13;1,29461E+13;1,2172E+13;2,73789E+15;2,72307E+13;4,89395E+12;9,42836E+12;;3,03929E+16
"Crab""""";4,26242E+16;1,7711E+15;1,48206E+15;2,8381E+14;7,28582E+12;2,00484E+14;1,17514E+13;2,90232E+13;5,44367E+15;5,0556E+13;5,65702E+12;5,10214E+12;;5,19147E+16
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
WO3;"Phyto""""";"Oyst""""";"HerbZoopl""""";"Polych""""";"Periph""""";"HerbFish""""";"Shri""""";"BenthFFish""""";"CarnZoopl""""";"ZooplFish""""";"PiscFish""""";"Crab""""";;SUM
"BenthFFish""""";0,08;0,08;0,08;0,08;0;0;0,08;0;0,08;0,08;0,04;0,04;;0,67
"CarnZoopl""""";0,17;0,17;0,17;0,13;0;0;0,08;0,08;0;0,08;0,04;0,04;;0,96
"Crab""""";0,04;0,04;0,04;0,04;0;0;0,04;0,04;0,04;0,04;0,04;0;;0,38
"HerbFish""""";0;0;0;0;0;0;0;0;0;0;0;0;;0
"HerbZoopl""""";0,25;0,21;0;0,17;0;0;0,08;0,08;0,17;0,08;0,04;0,04;;1,13
"Oyst""""";0,21;0;0,21;0,17;0;0;0,08;0,08;0,17;0,08;0,04;0,04;;1,08
"Periph""""";0;0;0;0;0;0;0;0;0;0;0;0;;0
"Phyto""""";0;0,21;0,25;0,17;0;0;0,08;0,08;0,17;0,08;0,04;0,04;;1,13
"PiscFish""""";0,04;0,04;0,04;0,04;0;0;0,04;0,04;0,04;0,04;0;0,04;;0,38
"Polych""""";0,17;0,17;0,17;0;0;0;0,08;0,08;0,13;0,08;0,04;0,04;;0,96
"Shri""""";0,08;0,08;0,08;0,08;0;0;0;0,08;0,08;0,08;0,04;0,04;;0,67
"ZooplFish""""";0,08;0,08;0,08;0,08;0;0;0,08;0,08;0,08;0;0,04;0,04;;0,67
