TI3;"MorEel""""";"LizFish""""";"RaySha""""";"CatFish""""";"SnapGru""""";"PuffFish""""";"Doplh""""";"FlatFish""""";"Demers""""";"PortCrab""""";"EpBenth""""";"Shrimp""""";"Spale""""";"Benth""""";"SerSco""""";"Car""""";"Bird""""";"Zoopl""""";"Baci""""";"Phyto""""";;SUM;;;
"MorEel""""";0,05;0,07;0,07;0,07;0,07;0,09;0,1;0,07;0,06;0,06;0,06;0,06;0,06;0,06;0,04;0,04;0,04;0,03;0,03;0,03;;1,17;;;
"Phyto""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,04;0,04;0,04;0,01;0,02;0,02;0,06;0,03;0,03;;0,46;;;
"PortCrab""""";0,07;0,08;0,07;0,08;0,07;0,09;0,05;0,08;0,07;0,06;0,07;0,07;0,08;0,07;0,09;0,08;0,13;0,05;0,11;0,05;;1,53;;;
"PuffFish""""";0,05;0,02;0,05;0,02;0,05;0,03;0,03;0,02;0,04;0,04;0,04;0,02;0,02;0,04;0,02;0,02;0,02;0,02;0,02;0,02;;0,6;;;
"RaySha""""";0,07;0,07;0,05;0,07;0,07;0,09;0,1;0,07;0,06;0,06;0,06;0,06;0,06;0,06;0,04;0,04;0,04;0,03;0,03;0,03;;1,17;;;
"SerSco""""";0,03;0,06;0,03;0,06;0,02;0,02;0,02;0,06;0,05;0,05;0,04;0,05;0,05;0,02;0,04;0,02;0,03;0,02;0,02;0,02;;0,7;;;
"Shrimp""""";0,07;0,07;0,07;0,08;0,07;0,04;0,04;0,07;0,07;0,07;0,07;0,06;0,05;0,07;0,09;0,08;0,04;0,1;0,12;0,11;;1,42;;;
"SnapGru""""";0,07;0,07;0,07;0,04;0,05;0,09;0,1;0,07;0,06;0,06;0,06;0,06;0,07;0,06;0,04;0,08;0,04;0,04;0,03;0,04;;1,18;;;
"Spale""""";0,06;0,06;0,06;0,03;0,06;0,03;0,1;0,06;0,04;0,06;0,04;0,04;0,05;0,04;0,07;0,08;0,12;0,08;0,03;0,1;;1,21;;;
"Zoopl""""";0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,04;0,02;0,05;0,05;0,05;0,05;0,02;0,06;0,03;0,05;0,1;0,1;;0,79;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
WI3;"MorEel""""";"LizFish""""";"RaySha""""";"CatFish""""";"SnapGru""""";"PuffFish""""";"Doplh""""";"FlatFish""""";"Demers""""";"PortCrab""""";"EpBenth""""";"Shrimp""""";"Spale""""";"Benth""""";"SerSco""""";"Car""""";"Bird""""";"Zoopl""""";"Baci""""";"Phyto""""";;SUM;;;
"Baci""""";1750502,92;6071336,38;4978513,5;1051349,79;11292182,15;4607117,13;37556956,3;12755118;25384665,19;1004963660;8499116912;4528438986;6201176317;71178263559;4342547,83;84186895,2;178549410,7;3,24134E+12;2843676508;9378264075;;3345343773474,04;;thresold:;53016093,48
"Benth""""";1655586,04;3410398,55;5158696,13;2131815,34;9403245,4;8438449,35;4836525,52;20328767,52;599388059,7;127011575,2;2874876595;1443946051;15047153721;12857029398;2377512,18;851203821,4;47990613,35;2,95031E+11;2,2777E+11;1,32968E+12;;1886389299103,17;;;53016093,48
"Bird""""";1637,35;3241,13;3113,9;1055,6;8997,34;5063,14;8583,51;9562,96;366212,71;310479,31;2275819,76;1103027,78;9798859,2;11997653,34;5055,45;538479,6;10563,99;219319293,2;142839528,6;842177870,6;;1230784098,40;;;
"Car""""";11693,13;40538,96;34016,09;7191,78;81401,8;30176,36;262838,61;85647,92;500697,39;6550579,56;57786189,55;30855636,87;50440582,48;478802149,5;27717,27;1065417,75;1211579,09;21761180106;151536411,4;844679621,8;;23385190193,66;;;
"CatFish""""";337,61;741,79;691,45;271,54;1102,33;1253,57;123,08;2546,85;9163,11;62871,44;205388,58;83732,4;159886,3;1332384,58;1083,67;7990,87;2638,99;25938625,08;2102699,57;11104261,26;;41017794,08;;;
"Demers""""";21106,93;62610,87;52379,4;13744,67;107756,6;63549,44;279666,49;151369,01;406515,36;9169356,23;68242501,45;35674427,34;50049496,92;561926305,9;59695,3;834495,64;1373297,66;24597946569;76153995,56;370617213,2;;25773206053,03;;;
"Doplh""""";201,28;531,05;492,35;73,85;2351,92;224,67;5440,4;645,28;111866,6;2912,52;438478,49;235361,03;3048268,41;1813697,07;466,55;175225,74;12875,26;29432017,88;45068347,56;266837163,2;;347186641,11;;;
"EpBenth""""";310965,5;677801,28;890606,95;349160,59;1631756,92;1442793,35;1242355,71;3383411,26;77341501,65;44485993,3;542110599,4;272746719,7;2012982078;3054556382;579006,21;109151691,4;9672234;96636780270;28896997500;1,68203E+11;;299870166263,69;;;
"FlatFish""""";3667,01;7975,14;7710,85;3056,21;12461,21;13826,69;1290,56;28381,8;121095,21;703619,2;2388290,3;980097,64;2261663,68;15246575,64;11467,22;114197,23;28688,87;299177462,4;30612283,2;165150934,3;;516874744,42;;;
"LizFish""""";908,97;2035,13;2180,68;890,15;3859,2;3541,45;1062,1;7975,14;50088,69;110615,47;478447,96;199066,72;964596,21;2557798,91;2565,03;54051,95;9723,39;46435718,11;14571207,3;80651178,48;;146107511,04;;;
"MorEel""""";437,28;984,72;1073,38;438,89;1823,04;1751,23;436,1;3972,6;18292,67;63683,89;237797,15;95052,68;301356,58;1345163,66;1183,38;16890,07;5321,38;24843655,96;4551307,58;24076750,21;;55567372,45;;;
"Phyto""""";9260288,54;33604657,7;27637853,64;5552130,63;64069701,55;23472446,39;222364302,7;68812889,31;123539071,1;5676995003;49471421599;26457013337;36078628478;4,15525E+11;21698265,01;469266456,6;1052722338;1,90768E+13;9378264075;13060065171;;19634606386836,60;;;
"PortCrab""""";78380,17;147487,3;231959,82;100594,3;402061,66;404944,53;7766,73;938158,93;9780646,65;3564226,57;41869170,17;18084410,46;198435068;127011575,2;125657,59;11645474,78;1241917,26;819966189,5;3215883711;18166384011;;22616303411,52;;;
"PuffFish""""";942,97;2065,85;2161,79;877,5;3478,53;3723,9;262,11;8065,57;29656,4;177163,23;594091,38;237238,45;462142,68;3691821,59;2723,55;23470,5;8860,49;71136580,82;6449963,98;32861424,95;;115696716,23;;;
"RaySha""""";1073,38;2362,41;2289,11;898,89;3909,19;4014,74;1066,76;8353,42;45395,48;188467,36;681052,38;283279,47;915278,83;4191440,61;3301,07;49134,35;10120,16;79768098,99;12944135,09;71858419,46;;170962091,14;;;
"SerSco""""";728,24;1710,02;2031,42;866,94;3472,66;3112,63;622,06;7644,82;31837,49;62828,79;272473,51;101441,65;405832,92;1188756,09;1716,22;24637,57;10110,9;19281585,55;6948076,53;34717224,02;;63066710,05;;;
"Shrimp""""";109676,17;248833,4;326860,93;125598,61;612315,82;508368,11;588402,57;1225122,05;35674427,34;16954134,81;240658870,3;122814792,2;946435486;1353699423;190203,1;51426061,45;4136354,16;43308162538;13585316957;79371040011;;139040254435,94;;;
"SnapGru""""";1823,04;4180,8;3909,19;1433,03;7025,02;6460,12;5095,82;13499,64;93389,05;326675,1;1247814,11;530673,71;2073701,41;7640136,88;5643,07;117580,38;29241,37;146757214,3;29359673,59;166581224;;354806393,62;;;
"Spale""""";278175,3;964596,21;844872,77;191863,56;1914185,91;792244,59;6096536,82;2261663,68;40039597,53;148826301;1420928526;757148388,8;1885832661;11285365291;608749,38;67254109,98;29396577,59;4,99516E+11;14882823162;86588708348;;616636161940,67;;;
"Zoopl""""";15288403,67;30957145,41;49088060,91;20750900,06;90312131,84;81298949,51;39242690,51;199451641,6;13118904837;409983094,8;45476131892;23097686687;3,33011E+11;1,47516E+11;19281585,55;19343271206;438638586,4;15832075082;5,18614E+12;3,05229E+13;;36307866896836,70;;;
