TI3;"Bird""""";"Ltuna""""";"PelaPred""""";"Stuna""""";"Jack""""";"PelaSha""""";"Dempred""""";"DemFish""""";"Spela""""";"Spar""""";"FlyFish""""";"Herb""""";"Zoopl""""";"Mamm""""";"BillFish""""";"ODemFish""""";"Crus""""";"MolluWorm""""";"HetBenth""""";"ReefFeed""""";"MorEel""""";"BathyDem""""";"DemSha""""";"Turtle""""";"Echino""""";"Ray""""";"BenthAuto""""";"MicroFau""""";"FlatFish""""";"Phyto""""";;SUM
"FlyFish""""";0,05;0,04;0,05;0,05;0,02;0,02;0,01;0,01;0,02;0,01;0,04;0,01;0,03;0,05;0,07;0,01;0,01;0,01;0,01;0;0;0;0,01;0;0;0;0;0;0,01;0,01;;0,56
"Herb""""";0,04;0,02;0,01;0,01;0,02;0,02;0,04;0,03;0,01;0,05;0,01;0,03;0,01;0,05;0,01;0,02;0,03;0,03;0,01;0,02;0,06;0,02;0,04;0,02;0,02;0,02;0,05;0,01;0,02;0,01;;0,74
"Zoopl""""";0,07;0,06;0,07;0,07;0,06;0,06;0,05;0,05;0,07;0,03;0,09;0,03;0,05;0,04;0,09;0,06;0,05;0,05;0,06;0,06;0,03;0,07;0,06;0,03;0,06;0,08;0,03;0,04;0,12;0,1;;1,79
"Mamm""""";0,03;0,05;0,06;0,05;0,05;0,05;0,03;0,03;0,05;0,05;0,08;0,05;0,02;0,04;0,04;0,01;0,02;0,02;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;;0,85
"BillFish""""";0,02;0,04;0,05;0,05;0,02;0,04;0,01;0,01;0,05;0,01;0,07;0,01;0,03;0,02;0,04;0,01;0,01;0,01;0,01;0;0;0;0,01;0,01;0;0,01;0;0;0,01;0,01;;0,56
"ODemFish""""";0,02;0,04;0,04;0,02;0,02;0,02;0,04;0,04;0,02;0,02;0,02;0,02;0,04;0,02;0,02;0,03;0,04;0,04;0,04;0,03;0,06;0,06;0,05;0,02;0,03;0,07;0,02;0,07;0,03;0,02;;0,98
"Crus""""";0,03;0,05;0,03;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,03;0,07;0,06;0,03;0,03;0,07;0,05;0,06;0,07;0,07;0,08;0,07;0,07;0,1;0,07;0,09;0,08;0,09;0,12;0,11;;1,95
"MolluWorm""""";0,03;0,05;0,03;0,05;0,06;0,03;0,06;0,06;0,06;0,06;0,02;0,07;0,06;0,03;0,03;0,07;0,06;0,05;0,06;0,07;0,08;0,07;0,07;0,1;0,07;0,09;0,08;0,09;0,12;0,11;;1,87
"HetBenth""""";0,02;0,05;0,02;0,05;0,05;0,03;0,05;0,04;0,05;0,03;0,02;0,03;0,05;0,02;0,02;0,06;0,05;0,05;0,04;0,06;0,03;0,06;0,05;0,09;0,07;0,04;0,07;0,08;0,03;0,1;;1,42
"ReefFeed""""";0,02;0,02;0,01;0,01;0,04;0,02;0,05;0,04;0,02;0,05;0,01;0,03;0,04;0,02;0,01;0,03;0,04;0,04;0,05;0,04;0,06;0,06;0,05;0,03;0,05;0,03;0,06;0,07;0,03;0,03;;1,04
"MorEel""""";0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,03;0,01;0,04;0,01;0,06;0,01;0,01;0;0,04;0,03;0,03;0,02;0,04;0,03;0,05;0,05;0,01;0,02;0,02;0,02;0,02;0,02;0,01;;0,73
"BathyDem""""";0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,03;0,01;0,02;0,01;0,02;0,03;0,01;0,01;0,05;0,03;0,04;0,04;0,05;0,06;0,03;0,05;0,02;0,05;0,03;0,02;0,03;0,02;0,03;;0,79
"DemSha""""";0,02;0,02;0,02;0,02;0,02;0,04;0,05;0,04;0,02;0,05;0,01;0,06;0,04;0,02;0,01;0,06;0,04;0,04;0,04;0,05;0,07;0,06;0,04;0,03;0,05;0,07;0,03;0,04;0,03;0,03;;1,12
"Turtle""""";0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,03;0,01;0,01;0,01;0,01;0,03;0,04;0,01;0,05;0,01;0,01;0,02;;0,45
"Echino""""";0,01;0,01;0,01;0,01;0,02;0,02;0,04;0,04;0,02;0,02;0,01;0,02;0,04;0,01;0,01;0,03;0,04;0,04;0,05;0,05;0,03;0,06;0,05;0,09;0,04;0,07;0,06;0,08;0,03;0,1;;1,12
"Ray""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,04;0,03;0,03;0,02;0,02;0,02;0,02;0,04;0,02;0,04;0,03;0,01;0,06;0,02;0,02;;0,59
"BenthAuto""""";0,01;0,01;0,01;0,01;0,02;0,01;0,04;0,03;0,01;0,04;0;0,05;0,01;0,01;0;0,02;0,03;0,03;0,04;0,04;0,02;0,02;0,02;0,08;0,05;0,02;0,03;0,02;0,02;0,02;;0,76
"MicroFau""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0;0,01;0,01;0,01;0;0,04;0,03;0,03;0,03;0,04;0,02;0,02;0,02;0,02;0,04;0,06;0,02;0,03;0,02;0,02;;0,59
"FlatFish""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0;0,01;0,02;0;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;;0,28
"Phyto""""";0;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,02;0;0,01;0,01;0,02;0,02;0,03;0,01;0,01;0,01;0,01;0,02;0,03;0,01;0,01;0,01;0,01;0,02;;0,36
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"Bird""""";"Ltuna""""";"PelaPred""""";"Stuna""""";"Jack""""";"PelaSha""""";"Dempred""""";"DemFish""""";"Spela""""";"Spar""""";"FlyFish""""";"Herb""""";"Zoopl""""";"Mamm""""";"BillFish""""";"ODemFish""""";"Crus""""";"MolluWorm""""";"HetBenth""""";"ReefFeed""""";"MorEel""""";"BathyDem""""";"DemSha""""";"Turtle""""";"Echino""""";"Ray""""";"BenthAuto""""";"MicroFau""""";"FlatFish""""";"Phyto""""";;SUM
"Bird""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Ltuna""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"PelaPred""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Stuna""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Jack""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"PelaSha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Dempred""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"DemFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Spela""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Spar""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"FlyFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Herb""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Zoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Mamm""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"BillFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"ODemFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Crus""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MolluWorm""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"HetBenth""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"ReefFeed""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MorEel""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"BathyDem""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"DemSha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Turtle""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Echino""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Ray""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"BenthAuto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MicroFau""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"FlatFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Phyto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WI3;"Bird""""";"Ltuna""""";"PelaPred""""";"Stuna""""";"Jack""""";"PelaSha""""";"Dempred""""";"DemFish""""";"Spela""""";"Spar""""";"FlyFish""""";"Herb""""";"Zoopl""""";"Mamm""""";"BillFish""""";"ODemFish""""";"Crus""""";"MolluWorm""""";"HetBenth""""";"ReefFeed""""";"MorEel""""";"BathyDem""""";"DemSha""""";"Turtle""""";"Echino""""";"Ray""""";"BenthAuto""""";"MicroFau""""";"FlatFish""""";"Phyto""""";;SUM
"Bird""""";7277846,2;66444727,69;10354234,15;38770555,05;26804643,36;63459,75;98261,06;6941140,96;1477093505;10644163,87;90909337,11;8522049,15;22729700125;573225,33;1704579,04;6508469,33;109211100,6;722424304,4;108033765,7;5202367,06;77575,46;1861608,56;59542,19;264625,44;32282338,75;94918,48;25345987,72;16143171,89;147116,24;19681174960;;45184733704
"Ltuna""""";88592970,25;777207111,4;124519174,6;401609694,3;277028183,6;632533,58;2122362,24;81556850,08;14225200133;226736526,2;875480169,7;202630039,6;3,35784E+11;8120561,82;21509220,4;84175063,5;1392841797;10634150988;1539393958;55104382,92;1565101,44;19700910,11;1119363,09;6162559,06;634100803,9;1237835,37;676299385,5;379438641,4;1518498,53;1,89606E+11;;5,5813E+11
"PelaPred""""";11217087;101171829,4;15886947,57;57233585,92;39524592,52;92575,84;134071,88;10202044,61;2145163328;11250328,83;132055771,7;5479797,11;33637051096;923535,08;2652437,7;9693923,86;155513240,7;1060783212;155899545,4;7582903,87;123022,28;2729859,79;92858,66;275776,01;37488959,65;140486,67;40187978,94;25183849,13;214619,32;28583762047;;66249711312
"Stuna""""";42001434,64;326307876,6;57233585,92;104907914,8;70607982,65;122451,65;738192,48;23638400,26;2314448835;77202071,78;142821806,7;56732756,24;2,2655E+11;5226434,03;11184683,01;24547563,74;444829407;6768929282;814567702,5;11220075,03;671991,41;4359363,88;480520,82;2016601,39;251819362,9;364611,6;280823026,3;151229336,4;299838,39;30776017502;;2,69315E+11
"Jack""""";31272083,92;242399660,6;42564945,79;76039365,93;50802305,88;90127,79;664245,59;18460554,76;1604241152;73356687,6;98854717,23;60505450,62;1,72065E+11;3925175,54;8342577,32;19834122,1;338358962;5198767932;624695173,6;7991576,26;593237,64;3493753,41;429760,89;2011228,22;231559404,7;291611,27;209265827,2;104340022,7;218512,42;21294658763;;2,02413E+11
"PelaSha""""";68748,06;513933,54;92575,84;122451,65;83690,09;98,56;2971,21;43073,45;1037684,78;310293,34;64552,28;287232,55;360608039,5;9392,98;18859,65;60209,46;1002628,84;10914123,71;1454141,46;14844,74;2056,32;4634,83;1134,35;8475,23;785640,68;784,45;1129841,46;729877,53;381,91;14144577,49;;393516949,9
"Dempred""""";147391,58;2387657,52;185637,99;1022112,66;854030,05;4113,98;236881,18;2542282,35;20473019,39;26523473,6;1197381,22;26538076,92;364627920,7;9877,84;24061,74;4173003,22;46157172,54;64125040,13;31196917,4;1163558,36;173740,43;371208,08;117020,99;747371,42;58121035,52;66541,1;95590970,08;42151010,44;22081,42;297536894,2;;1088487484
"DemFish""""";13303853,5;117237972;18049771,23;41821785,08;30328054,24;76206,87;3248471,89;35443633,59;902379647,6;389172759,2;54964592,2;420575322;65755436839;1548838,45;3345773,27;55300247,32;770063763,5;2722602773;635995015,7;15787574,19;2044492,71;5064853,64;1348932,82;11188497,66;894628122,5;831627,8;1140130285;572674394,6;337282,62;12372098556;;86987029940
"Spela""""";1477093505;10668900100;1980150764;2136414310;1375063844;957862,87;13648679,59;470806772,7;1188168348;1105349192;87576282,61;91376075,31;9,23876E+12;208648907,5;410920889,3;481407155,1;10217169535;2,6841E+11;29015439536;72009847,69;17523253,97;48528241,99;11365697,01;27327541,71;5683237217;6007580,72;6044747658;3928154123;2365577,9;11618370150;;9,59556E+12
"Spar""""";12418191,18;198394460,5;12115738,74;83140692,68;73356687,6;334162,06;20629368,36;236887766,5;1289574057;1508955198;73724502,74;981225613,4;15400838760;472353,63;1028567,25;409909759,8;3709887090;3977710058;2471736423;136474880,5;18426465,47;32943239,66;12817200,12;45394689,96;3154023787;7089683;11687910373;4383428330;2094418,15;20099446111;;70042388630
"FlyFish""""";53030446,64;383022574,2;71106954,01;76904049,77;49427358,62;34758,92;465648,25;16728354,15;51086164,85;36862251,37;3654338,96;163915,4;3,31935E+11;7489542,27;14757957,1;17019556,26;362320191,3;9639068925;1039433973;2516446,13;615171,99;1730756,29;401889,61;918411,61;198546085,3;210546,76;209018523,9;136334239,8;83838,56;523477937,2;;3,44832E+11
"Herb""""";7101707,62;126643774,7;4215228,55;43640581,72;43218179,01;220948,12;14743376,06;182858835,7;76146729,42;700875438,1;234164,86;17572063,98;717928893,5;140746,27;5737,07;325993284,7;2385114361;1656973150;1606859243;115752754,9;15444279,34;24513822,97;10895535,92;22521984,12;1295042748;5834845,41;10283889976;3564974999;1596924,21;3449673881;;26700628194
"Zoopl""""";41671116896;4,61703E+11;56924240316;3,83392E+11;2,70388E+11;610259759,2;445656347,5;62896504802;1,69377E+13;24201318052;1,04323E+12;1579443566;40810007207;10134635,71;6128725823;58916954936;9,52554E+11;5,80956E+11;3,82521E+11;57527589616;277969558,5;19136689230;158662303,2;345003897,9;48300006753;880435540,7;1,63265E+11;1,80001E+11;1641489340;2,27266E+14;;2,49044E+14
"Mamm""""";525456,55;5582886,25;781452,76;4422367,26;3084066,49;7947,91;6036,46;740748,83;191261498,5;371134,99;11769280,71;154820,89;5067317,86;15233,28;104656,32;680148,71;10283942,45;7203468,72;4303587,65;650552,61;4265,32;225280,72;3990,8;8936,28;914160,77;10242,5;1324737,24;708121,43;18243,84;2549530371;;2799764955
"BillFish""""";994337,77;9410283,93;1428235,69;6022521,62;4171288,66;10155,19;9357,34;1018278,82;239703852,1;514283,63;14757957,1;4015,95;1950049126;66599,48;224743,11;938077,28;14815479,76;65162831,63;11333465,83;825710,09;8295,08;290674,05;7021,9;13039,82;1972335,06;13815,88;2648947,25;1535461,2;23243,38;3194343669;;5522317103
"ODemFish""""";7050841,78;68392239,1;9693923,86;24547563,74;18417399,09;60209,46;3013835,66;31256661,53;521524418;380630491,2;31607747,34;423791270,1;34814564280;803812,12;1742143,51;47419348,77;677852263,4;1877170393;525180124,5;13684873,36;1819815,49;4707118,36;1251598,72;10634025,95;867107811,9;779352,39;965491161;471215555,4;273846,41;7208849551;;49010533676
"Crus""""";218422201,2;2089262696;287101367,4;821223520,7;580043934,9;1851007,08;61542896,72;803544796,7;20434339070;6359806441;1242240656;5724274466;1,03915E+12;22437692,62;50795930,61;1251419563;12727443107;45436057757;11091238209;388408606,9;51111217,93;136319551,5;37106249,47;185352728,7;14551183118;20500832,73;27051219364;10550291854;7562295,38;2,77995E+11;;1,47933E+12
"MolluWorm""""";1384646583;15286592046;1876770298;11975797960;8540833031;19309603,49;81937551,28;2722602773;5,14453E+11;6534809381;31671226468;3811038245;6,07363E+11;15061798,24;214106446,8;3321147618;43542888684;44481691281;21559182578;2140332687;67941950,58;669117977,8;40171890,72;165211037,1;12834415739;49039239,8;42609193174;25418783321;57765080,05;6,91925E+12;;8,32216E+12
"HetBenth""""";162050648,6;1731818203;215860909;1127862973;803179508,9;2013426,63;31196917,4;497735229,7;43523159304;3177946830;2672830217;2892346638;3,12972E+11;7042234,33;29143197,86;727172480,1;8318428657;16872403757;5610435749;300411914,7;24459037,23;96143734,27;17171738,08;94357100,89;7147762439;11195229,06;14053603548;6172599900;6929003,47;5,87149E+11;;1,01645E+12
"ReefFeed""""";6069428,23;48216335,06;8166204,16;12083157,72;7991576,26;15986,64;904989,83;9609827,77;84011488,98;136474880,5;5032892,25;162053856,9;36608466119;827976,04;1651420,18;14737555,92;226571687,4;1302811201;233653711,4;2824483,31;494487,49;1295723,17;355849,23;4091820,25;330510199,8;186906,16;235942458,3;132352338,1;72053,76;1170895811;;40748372426
"MorEel""""";64646,22;978188,4;94632,52;516916,47;423741,17;1581,78;96522,46;888909,87;14602711,64;13161761,05;878817,13;15444279,34;126349799,3;3877,56;11850,12;1399858,07;21296340,81;29539978,51;13588354,02;353205,35;52124,01;122357,98;32149,55;366749,91;29479320,35;20597,22;27078949,27;15219033,7;8076,43;204675860,6;;516751190,8
"BathyDem""""";1706474,51;13544375,7;2309881,36;3688692,51;2745091,97;3921,78;226849,38;2422321,3;44484221,83;25883974,02;2719759,88;26965205,27;9568344615;225280,72;456773,51;3982946,31;62479794,43;320012945,9;58754504,28;1018068,21;134593,77;239093,25;72822,73;717180,09;58575584,07;53530,47;85265644,38;54245292,12;23739,36;633297717,7;;10974600896
"DemSha""""";74427,74;1049402,89;107144,61;554447,1;460458,09;1308,87;97517,5;879738,8;14207121,26;13732714,42;861192,02;16343303,88;108178843,1;5441,99;15046,94;1444152,36;23191405,92;26199059,16;14309781,73;381267,03;48224,32;99303,73;30922,85;394673,59;30673705,09;20223,87;30596595,54;17809528,68;8176,01;203601269,8;;505376398,9
"Turtle""""";132312,72;2310959,65;127281,23;930739,11;861954,95;3911,64;249123,81;2918738,52;13663770,85;19454867,12;787209,95;13513190,47;94091972,16;4874,33;11176,99;4908011,98;46338182,17;43098531,42;31452366,96;1753637,25;220049,95;391189,14;157869,43;568661,35;39910168,32;88648,14;146126846,7;54228340,1;25407,25;219321823,8;;737651817,4
"Echino""""";37662728,54;554838203,4;40372725,78;271190083,1;231559404,7;846074,58;45205249,85;544556248,5;6630443420;3154023787;397092170,6;1813059848;30736367933;1163477,34;3944670,13;933808412,8;8488190152;7812253058;5559370786;330510199,8;41271048,49;74550743,36;28628791,42;93123726,08;6344808253;16309866,87;27191775786;10404303865;5146236,98;96078367745;;2,07865E+11
"Ray""""";63278,98;618917,69;86453,34;224376,37;166635,01;482,74;29573,82;289261,85;4005053,82;4051247,43;240624,87;4667876,33;320158378,4;7449,09;15789,57;479601,47;6833610,91;17057126,89;4975657,36;106803,52;16477,77;38931,25;10786,06;118197,52;9319923,93;6448,19;8708007,34;5042385,04;2570,34;56637453,21;;443979380,1
"BenthAuto""""";21121656,43;422687115,9;30913829,96;216017712,5;149475590,8;869108,81;53106094,49;495708819,8;5037289715;8348507410;298597891,2;10283889976;74211146187;1204306,58;3784210,36;742685508,4;11271341402;18525736163;7807557527;168530327,3;27078949,27;77514222,16;20397730,36;243544744,5;19422696990;10885009,17;12393457089;5934947189;3761036,05;69451362209;;2,45676E+11
"MicroFau""""";10762114,59;189719320,7;15497753,31;93064207,02;59622870,13;449155,4;18733782,42;199191093,8;2618769416;2504816189;155810559,8;2851979999;65454813527;514997,4;1754812,8;289978803,4;3516763951;8841315938;2743377733;75629907,5;12175226,96;39451121,54;9498415,29;72304453,47;5945316494;5042385,04;4747957751;1616564968;1517241,56;34618887823;;1,36711E+11
"FlatFish""""";49038,75;379624,63;66036,71;92257,96;62432,12;117,51;4906,98;58657,85;788525,97;598405,19;47907,75;638769,69;298452607,2;6634,12;13281,93;84260,43;1260382,56;10046100,88;1539778,55;20586,79;3230,57;8632,5;2180,27;16938,17;1470353,42;1285,17;1504414,42;758620,78;462,72;10705512,05;;328681943,7
"Phyto""""";8200489567;59251893117;10993754633;11836929808;7605235272;5440222,11;82649137,28;2689586643;4840987563;7178373611;373912812,3;1724836941;5,16513E+13;1158877441;2281674049;2772634443;57915650115;1,50418E+12;1,63097E+11;418177075,4;102337930,3;287862598,9;67867089,94;182768186,5;34313702766;35398408,26;34725681105;21636804889;13381890,06;39578113835;;5,36288E+13
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WO3;"Bird""""";"Ltuna""""";"PelaPred""""";"Stuna""""";"Jack""""";"PelaSha""""";"Dempred""""";"DemFish""""";"Spela""""";"Spar""""";"FlyFish""""";"Herb""""";"Zoopl""""";"Mamm""""";"BillFish""""";"ODemFish""""";"Crus""""";"MolluWorm""""";"HetBenth""""";"ReefFeed""""";"MorEel""""";"BathyDem""""";"DemSha""""";"Turtle""""";"Echino""""";"Ray""""";"BenthAuto""""";"MicroFau""""";"FlatFish""""";"Phyto""""";;SUM
"BathyDem""""";0,03;0,03;0,03;0,03;0,03;0;0;0,03;0,03;0,03;0,03;0,03;0,03;0,02;0,03;0,03;0,03;0,03;0,03;0,03;0;0;0;0;0,03;0;0,03;0,03;0;0,03;;0,72
"BenthAuto""""";0,07;0,15;0,07;0,1;0,08;0;0;0,17;0,22;0,2;0,07;0,15;0,23;0,02;0,03;0,17;0,23;0,23;0,23;0,05;0;0,03;0;0;0,23;0;0;0,18;0;0,23;;3,15
"BillFish""""";0,03;0,03;0,03;0,03;0,03;0;0;0,03;0,03;0,03;0,03;0,03;0,03;0,02;0;0,03;0,03;0,03;0,03;0,03;0;0,03;0;0;0,03;0;0,03;0,03;0;0,03;;0,72
"Bird""""";0;0,07;0,07;0,07;0,07;0;0;0,07;0,07;0,07;0,05;0,05;0,07;0,02;0,03;0,07;0,07;0,07;0,07;0,05;0;0,03;0;0;0,07;0;0,07;0,07;0;0,07;;1,3
"Crus""""";0,07;0,17;0,07;0,1;0,08;0;0;0,17;0,25;0,2;0,07;0,15;0,28;0,02;0,03;0,17;0;0,28;0,28;0,05;0;0,03;0;0;0,23;0;0,23;0,18;0;0,27;;3,38
"DemFish""""";0,07;0,13;0,07;0,1;0,08;0;0;0;0,15;0,17;0,07;0,13;0,17;0,02;0,03;0,17;0,17;0,17;0,17;0,05;0;0,03;0;0;0,17;0;0,17;0,17;0;0,17;;2,6
"Dempred""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"DemSha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
