Species                 Kbu       Ktd      Kdir    Kindir         K
MidwPisc            0.07692   5.75523   2.32894   3.50321   5.83215
ShaRay              0.00000  15.92233   4.42778  11.49456  15.92233
Lplank              0.56480   0.88538   0.93652   0.51366   1.45018
LgReefCarn          0.72308   4.17927   2.62894   2.27341   4.90235
Cepha               0.34126   2.13792   1.26985   1.20932   2.47918
LgGroup             0.07692   2.06414   0.52137   1.61969   2.14106
SmPlank             0.78834   0.94771   1.21271   0.52335   1.73606
SmReefCarn          0.56480   1.58842   1.30319   0.85004   2.15322
SmReefHerb          0.69653   0.70571   0.83652   0.56572   1.40224
Crus                2.19744   2.03941   3.15160   1.08525   4.23685
LgReefHerb          0.53989   0.25545   0.48803   0.30731   0.79534
Echino              1.43651   0.88100   1.59604   0.72147   2.31751
Turtule             0.00000   1.07767   0.57778   0.49989   1.07767
WormMollu           2.48679   0.71000   2.12938   1.06742   3.19679
Sess                3.55640   0.55455   2.41271   1.69823   4.11094
Zoopl               4.40400   0.33333   2.21154   2.52579   4.73733
Decomp              5.65748   0.00000   1.42778   4.22970   5.65748
Phyto               5.65748   0.00000   1.42778   4.22970   5.65748
BenthProd           4.68504   0.00000   2.11154   2.57349   4.68504
