TI3;"ShaRay""""";"MidwPisc""""";"Lplank""""";"LgReefCarn""""";"SmPlank""""";"SmReefCarn""""";"LgGroup""""";"SmReefHerb""""";"LgReefHerb""""";"Cepha""""";"Echino""""";"Crus""""";"WormMollu""""";"Sess""""";"Zoopl""""";"BenthProd""""";"Decomp""""";"Phyto""""";"Turtule""""";;SUM
WI3;"ShaRay""""";"MidwPisc""""";"Lplank""""";"LgReefCarn""""";"SmPlank""""";"SmReefCarn""""";"LgGroup""""";"SmReefHerb""""";"LgReefHerb""""";"Cepha""""";"Echino""""";"Crus""""";"WormMollu""""";"Sess""""";"Zoopl""""";"BenthProd""""";"Decomp""""";"Phyto""""";"Turtule""""";;SUM
"ShaRay""""";1154211224;89380711434;2,31823E+11;4,17642E+11;1,81636E+11;7,88419E+11;5754126025;5,52047E+12;6,67772E+12;50305611862;1,7154E+12;6,19966E+11;1,68138E+12;1,93588E+12;3,48346E+12;1,05977E+12;2,16507E+12;6,37455E+11;79713877,37;;2,72628E+13
"MidwPisc""""";75629832752;4,28889E+12;4,54876E+13;4,76989E+13;4,0414E+13;1,03246E+14;2,14776E+11;7,86513E+14;9,48609E+14;4,97408E+12;2,24859E+14;7,19578E+13;1,71755E+14;2,52819E+14;2,24601E+14;4,97711E+13;4,72787E+14;1,25677E+14;10445658380;;3,57576E+15
"Lplank""""";1,60493E+11;3,72171E+13;1,80318E+13;3,44899E+13;1,38286E+13;4,05969E+13;6,69304E+11;1,77176E+14;2,16638E+14;7,2035E+12;1,36163E+14;1,23444E+14;9,55058E+14;4,40573E+14;6,80709E+15;2,08102E+14;1,36508E+14;4,63459E+13;4841823197;;9,3993E+15
"LgReefCarn""""";4,49768E+11;6,07076E+13;5,36509E+13;1,00034E+14;3,56858E+13;1,46301E+14;1,69527E+12;7,8134E+14;9,51211E+14;1,34738E+13;3,11157E+14;1,58198E+14;6,24281E+14;4,42813E+14;2,98571E+15;1,16756E+15;4,55006E+14;1,47189E+14;15666387982;;8,43648E+15
"SmPlank""""";1,3972E+11;3,674E+13;1,53651E+13;2,54898E+13;1,18954E+13;2,08379E+13;5,20395E+11;1,75115E+13;2,35206E+13;6,88511E+12;9,47472E+13;1,16736E+14;1,00143E+15;4,24097E+14;7,43896E+15;1,42543E+14;1,11982E+14;3,98338E+13;2726352177;;9,52924E+15
"SmReefCarn""""";6,67123E+11;1,03246E+14;4,96185E+13;1,14951E+14;2,29217E+13;1,26136E+14;1,38499E+12;4,55384E+14;5,58665E+14;1,51815E+13;2,38064E+14;1,69722E+14;6,09429E+14;3,84848E+14;3,28615E+15;2,39718E+15;3,85608E+14;1,4651E+14;13811345002;;9,06568E+15
"LgGroup""""";1327875237;58575301995;2,23101E+11;3,63271E+11;1,56118E+11;3,77725E+11;1452226434;1,03128E+12;1,24787E+12;63553665108;3,97083E+11;3,58326E+11;3,53052E+11;5,46023E+11;4,56889E+11;1,07698E+12;2,40416E+12;7,77304E+11;21043639,17;;9,8941E+12
"SmReefHerb""""";3,39722E+12;5,72009E+14;1,57489E+14;4,4648E+14;1,40092E+13;3,31188E+14;2,75007E+12;1,22242E+13;4,96097E+13;5,0276E+13;3,68577E+14;4,75792E+14;4,03687E+14;3,66932E+14;4,70645E+14;1,60204E+16;1,03905E+15;5,11308E+14;40326222807;;2,12959E+16
"LgReefHerb""""";2,56836E+12;4,31186E+14;1,20354E+14;3,39718E+14;1,17603E+13;2,53939E+14;2,07978E+12;3,10061E+13;6,35005E+13;3,8359E+13;2,83525E+14;3,61736E+14;2,99623E+14;2,81222E+14;2,88057E+14;1,2081E+16;8,02974E+14;3,91714E+14;30666461507;;1,60843E+16
"Cepha""""";34826962059;4,0697E+12;7,2035E+12;8,6617E+12;6,1966E+12;1,24212E+13;1,90661E+11;5,65605E+13;6,90462E+13;1,53312E+12;2,61349E+13;1,56403E+13;8,56354E+13;4,90785E+13;5,00918E+14;3,02608E+13;6,96191E+13;1,98302E+13;1147201161;;9,63037E+14
"Echino""""";1,58344E+12;2,453E+14;1,81551E+14;2,66706E+14;1,13697E+14;2,59707E+14;1,58833E+12;5,52865E+14;6,8046E+14;3,48465E+13;3,24883E+14;2,89319E+14;3,42678E+14;3,96751E+14;6,02028E+14;6,70315E+15;1,77306E+15;5,70376E+14;24744025967;;1,33406E+16
