TI3;"GeySeal""""";"Acod""""";"Jcod""""";"Ahadd""""";"Awhit""""";"Poll""""";"FlatFish""""";"Ldem""""";"Herr""""";"NorPout""""";"PoorCod""""";"Sande""""";"HarSeal""""";"Mack""""";"HorMack""""";"Cepha""""";"Cet""""";"OSFish""""";"Opela""""";"Lzoopl""""";"Szoopl""""";"Bird""""";"Sha""""";"Sprat""""";"Crus""""";"EpiFau""""";"Neph""""";"InFau""""";"Jwhit""""";"Gurna""""";"MonkFish""""";"Phyto""""";"Jhadd""""";"Ray""""";"BlueWhit""""";;SUM;
"Ray""""";0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,03;0,03;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,03;0,04;0,02;0,03;0,04;0,03;0,01;0,03;0,01;0,01;0,01;0,02;0,02;;0,66;
"BlueWhit""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,03;0,02;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,02;;0,33;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"GeySeal""""";"Acod""""";"Jcod""""";"Ahadd""""";"Awhit""""";"Poll""""";"FlatFish""""";"Ldem""""";"Herr""""";"NorPout""""";"PoorCod""""";"Sande""""";"HarSeal""""";"Mack""""";"HorMack""""";"Cepha""""";"Cet""""";"OSFish""""";"Opela""""";"Lzoopl""""";"Szoopl""""";"Bird""""";"Sha""""";"Sprat""""";"Crus""""";"EpiFau""""";"Neph""""";"InFau""""";"Jwhit""""";"Gurna""""";"MonkFish""""";"Phyto""""";"Jhadd""""";"Ray""""";"BlueWhit""""";;SUM;
"Acod""""";0;0;0,01;0,03;0,03;0,01;0,03;0,03;0,04;0,04;0,04;0,04;0;0,01;0,01;0,03;0;0;0,03;0,01;0,01;0;0;0;0,03;0,03;0;0,03;0;0,01;0,01;0;0;0,01;0;;0,56;0,016379058
"Ahadd""""";0;0,03;0,01;0;0,03;0,01;0,03;0,03;0,04;0,04;0,03;0,04;0;0,03;0,01;0,03;0;0;0,01;0;0;0;0;0;0,01;0,01;0;0,01;0;0;0;0;0;0;0;;0,43;0,012576777
"Awhit""""";0;0,03;0,01;0,03;0;0,06;0,04;0,03;0,09;0,07;0,07;0,06;0;0,04;0,01;0,06;0;0;0,06;0,06;0;0,03;0,06;0;0,06;0,01;0;0;0;0,01;0;0;0;0;0;;0,89;0,026031003
"Bird""""";0;0;0;0;0,03;0,03;0;0;0,03;0,01;0,03;0;0;0,03;0;0,03;0;0;0,03;0,03;0;0;0,03;0;0,03;0;0;0;0;0,01;0;0;0;0;0;;0,31;0,009066979
"BlueWhit""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
"Cepha""""";0;0,03;0,01;0,03;0,06;0,06;0,16;0,01;0,07;0,09;0,17;0,14;0;0,1;0,01;0;0;0,01;0,17;0,17;0,03;0,03;0,09;0;0,21;0,16;0;0,06;0,01;0,03;0,01;0;0;0,01;0;;1,94;0,056741737
"Cet""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
"Crus""""";0;0,03;0,04;0,01;0,06;0,09;0,27;0,01;0,13;0,13;0,31;0,31;0;0,13;0;0,21;0;0,01;0,34;0,34;0,06;0,03;0,13;0,03;0;0,26;0,01;0,13;0,04;0,07;0,01;0;0,03;0,01;0;;3,26;0,095349517
"EpiFau""""";0;0,03;0,04;0,01;0,01;0,04;0,2;0;0,07;0,09;0,17;0,19;0;0,09;0;0,16;0;0,01;0,17;0,19;0,06;0;0,09;0,01;0,26;0;0,01;0,13;0,04;0,06;0,01;0;0,03;0,01;0;;2,19;0,064053817
"FlatFish""""";0;0,03;0,04;0,03;0,04;0,06;0;0,01;0,07;0,1;0,21;0,23;0;0,07;0;0,16;0;0,01;0,21;0,2;0,03;0;0,09;0,01;0,27;0,2;0,01;0,09;0,01;0,03;0,01;0;0,01;0,01;0;;2,27;0,066393682
"GeySeal""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
"Gurna""""";0;0,01;0,01;0;0,01;0,01;0,03;0;0,04;0,03;0,03;0,04;0;0,04;0;0,03;0;0;0,04;0,04;0,03;0,01;0,06;0,01;0,07;0,06;0,01;0,06;0,01;0;0;0;0,01;0;0;;0,73;0,021351272
"HarSeal""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
"Herr""""";0;0,04;0,03;0,04;0,09;0,07;0,07;0,03;0;0,13;0,11;0,11;0;0,07;0,01;0,07;0;0;0,11;0,09;0,01;0,03;0,07;0,01;0,13;0,07;0,01;0,06;0,01;0,04;0;0;0,01;0;0;;1,56;0,045627376
"HorMack""""";0;0,01;0;0,01;0,01;0;0;0,01;0,01;0,01;0;0,01;0;0,01;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,13;0,003802281
"InFau""""";0;0,03;0,03;0,01;0;0;0,09;0;0,06;0,04;0,04;0,09;0;0,06;0;0,06;0;0;0,07;0,09;0,06;0;0,06;0,01;0,13;0,13;0,01;0;0,04;0,06;0,01;0;0,03;0,01;0;;1,21;0,035390465
"Jcod""""";0;0,01;0;0,01;0,01;0,03;0,04;0,01;0,03;0,03;0,03;0,04;0;0,03;0;0,01;0;0;0,01;0,03;0,03;0;0,01;0;0,04;0,04;0;0,03;0,01;0,01;0;0;0,03;0;0;;0,56;0,016379058
"Jhadd""""";0;0;0,03;0;0;0;0,01;0;0,01;0;0;0,01;0;0,01;0;0;0;0;0;0,03;0,03;0;0,01;0;0,03;0,03;0;0,03;0,01;0,01;0;0;0;0;0;;0,27;0,007897046
"Jwhit""""";0;0;0,01;0;0;0;0,01;0;0,01;0;0;0,01;0;0,03;0;0,01;0;0;0;0,04;0,03;0;0,01;0;0,04;0,04;0;0,04;0;0,01;0;0;0,01;0;0;;0,34;0,009944428
"Ldem""""";0;0,03;0,01;0,03;0,03;0,01;0,01;0;0,03;0,03;0,03;0,06;0;0,01;0,01;0,01;0;0,01;0,03;0,03;0,01;0;0;0,01;0,01;0;0;0;0;0;0;0;0;0;0;;0,43;0,012576777
"Lzoopl""""";0;0,01;0,03;0;0,06;0,07;0,2;0,03;0,09;0,07;0,24;0,24;0;0,1;0;0,17;0;0,03;0,27;0;0,07;0,03;0,11;0,01;0,34;0,19;0;0,09;0,04;0,04;0,01;0;0,03;0,01;0;;2,6;0,076045627
"Mack""""";0;0,01;0,03;0,03;0,04;0,06;0,07;0,01;0,07;0,07;0,09;0,1;0;0;0,01;0,1;0;0;0,09;0,1;0,03;0,03;0,06;0;0,13;0,09;0;0,06;0,03;0,04;0;0;0,01;0;0;;1,36;0,039777713
"MonkFish""""";0;0,01;0;0;0;0;0,01;0;0;0;0,01;0;0;0;0;0,01;0;0;0,01;0,01;0,01;0;0;0;0,01;0,01;0;0,01;0;0;0;0;0;0,01;0;;0,16;0,004679731
"Neph""""";0;0;0;0;0;0;0,01;0;0,01;0,01;0;0,01;0;0;0;0;0;0;0,01;0;0;0;0,01;0,01;0,01;0,01;0;0,01;0;0,01;0;0;0;0;0;;0,16;0,004679731
"NorPout""""";0;0,04;0,03;0,04;0,07;0,07;0,1;0,03;0,13;0;0,13;0,13;0;0,07;0,01;0,09;0;0;0,11;0,07;0;0,01;0,07;0,01;0,13;0,09;0,01;0,04;0;0,03;0;0;0;0;0;;1,53;0,044749927
"Opela""""";0;0,03;0,01;0,01;0,06;0,09;0,21;0,03;0,11;0,11;0,29;0,27;0;0,09;0;0,17;0;0,03;0;0,27;0,03;0,03;0,09;0,03;0,34;0,17;0,01;0,07;0;0,04;0,01;0;0;0,01;0;;2,63;0,076923077
"OSFish""""";0;0;0;0;0;0,01;0,01;0,01;0;0;0,03;0,03;0;0;0;0,01;0;0;0,03;0,03;0,01;0;0;0;0,01;0,01;0;0;0;0;0;0;0;0;0;;0,21;0,006142147
"Phyto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
"Poll""""";0;0,01;0,03;0,01;0,06;0;0,06;0,01;0,07;0,07;0,1;0,07;0;0,06;0;0,06;0;0,01;0,09;0,07;0;0,03;0,04;0;0,09;0,04;0;0;0;0,01;0;0;0;0;0;;1;0,029248318
"PoorCod""""";0;0,04;0,03;0,03;0,07;0,1;0,21;0,03;0,11;0,13;0;0,24;0;0,09;0;0,17;0;0,03;0,29;0,24;0,03;0,03;0,07;0;0,31;0,17;0;0,04;0;0,03;0,01;0;0;0,01;0;;2,53;0,073998245
"Ray""""";0;0,01;0;0;0;0;0,01;0;0;0;0,01;0;0;0;0;0,01;0;0;0,01;0,01;0,01;0;0;0;0,01;0,01;0;0,01;0;0;0,01;0;0;0;0;;0,16;0,004679731
"Sande""""";0;0,04;0,04;0,04;0,06;0,07;0,23;0,06;0,11;0,13;0,24;0;0;0,1;0,01;0,14;0;0,03;0,27;0,24;0,03;0;0,07;0,03;0,31;0,19;0,01;0,09;0,01;0,04;0;0;0,01;0;0;;2,63;0,076923077
"Sha""""";0;0;0,01;0;0,06;0,04;0,09;0;0,07;0,07;0,07;0,07;0;0,06;0;0,09;0;0;0,09;0,11;0,03;0,03;0;0,01;0,13;0,09;0,01;0,06;0,01;0,06;0;0;0,01;0;0;;1,27;0,037145364
"Sprat""""";0;0;0;0;0;0;0,01;0,01;0,01;0,01;0;0,03;0;0;0;0;0;0;0,03;0,01;0;0;0,01;0;0,03;0,01;0,01;0,01;0;0,01;0;0;0;0;0;;0,23;0,006727113
"Szoopl""""";0;0,01;0,03;0;0;0;0,03;0,01;0,01;0;0,03;0,03;0;0,03;0;0,03;0;0,01;0,03;0,07;0;0;0,03;0;0,06;0,06;0;0,06;0,03;0,03;0,01;0;0,03;0,01;0;;0,64;0,018718924
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34,19;1
