TI3;"GeySeal""""";"Acod""""";"Jcod""""";"Ahadd""""";"Awhit""""";"Poll""""";"FlatFish""""";"Ldem""""";"Herr""""";"NorPout""""";"PoorCod""""";"Sande""""";"HarSeal""""";"Mack""""";"HorMack""""";"Cepha""""";"Cet""""";"OSFish""""";"Opela""""";"Lzoopl""""";"Szoopl""""";"Bird""""";"Sha""""";"Sprat""""";"Crus""""";"EpiFau""""";"Neph""""";"InFau""""";"Jwhit""""";"Gurna""""";"MonkFish""""";"Phyto""""";"Jhadd""""";"Ray""""";"BlueWhit""""";;SUM;
"Ray""""";0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,03;0,03;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,03;0,04;0,02;0,03;0,04;0,03;0,01;0,03;0,01;0,01;0,01;0,02;0,02;;0,66;
"BlueWhit""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,03;0,02;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,02;;0,33;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"GeySeal""""";"Acod""""";"Jcod""""";"Ahadd""""";"Awhit""""";"Poll""""";"FlatFish""""";"Ldem""""";"Herr""""";"NorPout""""";"PoorCod""""";"Sande""""";"HarSeal""""";"Mack""""";"HorMack""""";"Cepha""""";"Cet""""";"OSFish""""";"Opela""""";"Lzoopl""""";"Szoopl""""";"Bird""""";"Sha""""";"Sprat""""";"Crus""""";"EpiFau""""";"Neph""""";"InFau""""";"Jwhit""""";"Gurna""""";"MonkFish""""";"Phyto""""";"Jhadd""""";"Ray""""";"BlueWhit""""";;SUM;
"GeySeal""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Acod""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Jcod""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Ahadd""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Awhit""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
