TI3;"GeySeal""""";"Acod""""";"Jcod""""";"Ahadd""""";"Awhit""""";"Poll""""";"FlatFish""""";"Ldem""""";"Herr""""";"NorPout""""";"PoorCod""""";"Sande""""";"HarSeal""""";"Mack""""";"HorMack""""";"Cepha""""";"Cet""""";"OSFish""""";"Opela""""";"Lzoopl""""";"Szoopl""""";"Bird""""";"Sha""""";"Sprat""""";"Crus""""";"EpiFau""""";"Neph""""";"InFau""""";"Jwhit""""";"Gurna""""";"MonkFish""""";"Phyto""""";"Jhadd""""";"Ray""""";"BlueWhit""""";;SUM;
"HarSeal""""";27,16;594,61;4717,09;4730,05;1092,62;11649,53;13263,62;3617,23;1346795,8;52303,77;9422,59;70838,65;40,69;295242,33;123374,19;176757,55;1900,16;80325,54;26984,57;285988,45;2164361,25;2116,36;4301,65;267515,58;52367,23;539174,61;49955,86;464167,67;17704,96;3506,24;121,09;23800434,26;23365,39;2469,09;423311,19;;30324538,65;
"Mack""""";365185,24;2520959,13;15117329,93;22839626,77;10682421,93;8105831,94;26033030,59;17875477,77;456988757,7;13117516,62;13407708,9;16813064,27;620008,89;120770862,6;86654533,84;143480127;1679455,72;21710110,88;53388396,28;1,0989E+11;3,82842E+11;22054805,35;28385925,75;66762019,37;947150620,2;1,766E+11;40500003,37;2,14088E+11;101544672,2;2105302,99;1551471,93;63947851130;192279118,9;15447810,77;103241460,6;;9,49922E+11;
"HorMack""""";106055,66;964781,22;6422958,38;16716708,19;3415238,93;3396915,91;16721595,83;12679700,39;283674383;9326674,72;9249432,23;11456095,11;185061,28;61896095,6;35911506,01;57001503,32;632036,86;15420482,69;29366385,73;47830849333;1,68648E+11;7056433,2;9749046,28;44192139,76;420718567,4;77075344251;21113402,91;94594858328;44296332,07;1181060,05;481598,22;24487431106;84666203,48;7290083,17;69044593,57;;4,13921E+11;
"Cepha""""";230130,3;2401634,67;16333045,7;48471998,86;7854911,84;8282002,73;47250236,83;36510388,28;752143032,9;25130552,16;26410974,57;30383029,8;406542,36;157144901;87402305,09;137322851,4;1495687,87;41743758,45;80133865,16;1,23503E+11;4,36954E+11;16228221,28;23102497,84;116816577,2;1091818553;1,99207E+11;55674325,81;2,45337E+11;113927926,5;3159324,21;1089657,57;60291266577;218635332,4;19365069,1;182498663,8;;1,06864E+12;
"Cet""""";771,44;8303,54;52148,35;182877,61;23909,18;28320,59;177938,04;139669,06;2723272,8;95399,05;100382,18;115475,31;1330,11;559818,57;294950,53;455209,35;4877,42;159087,33;311229,74;385941631,5;1369327326;49521,06;74100,05;453884,7;3478808,55;623232495,7;198773,31;770021186,9;360505,72;11858,78;3608,18;199874243,1;689622,61;69314,17;683995,77;;3359905847;
"OSFish""""";82975,33;606928,62;3090643,32;2293418,87;2243466,14;1333797,82;4609158,94;1180222,72;38603450,88;522700,35;1966342,76;803789,88;136553,43;17574851,67;17476547,05;30854082,33;386354,93;984778,06;9141631,21;20365878821;70061284858;4640025;5697381,18;3713677,73;176370431,1;33066761934;6694308,24;39064576454;19276879,09;322529,35;336203,91;16839624801;35514184,01;3320210,99;5599167,51;;1,79794E+11;
"Opela""""";54425,57;2206471,56;10275714,37;34800104,26;1753116,62;1843311,12;46138348,92;18194080,22;235311856,7;7591002,15;23277101,83;7910039,68;70159,88;66099919,2;50901735,26;90586108,44;1155996,18;13981318,33;60756300,3;58651867036;2,06561E+11;3713708,37;5834838,05;29615868,17;571361991,9;98996175767;35062877,75;1,1615E+11;59707779,17;2047129,97;256303,92;69944599627;106982681,4;17729746,47;48850486,02;;5,51858E+11;
"Lzoopl""""";200425,54;1327823678;5686933330;33142768092;966990820,6;3680299698;41932044389;20053401372;4,405E+11;18573419058;20998240455;23084054378;743569,97;1,36054E+11;82906805510;1,39612E+11;1433497489;31147814667;58651867036;2,44111E+12;6,53506E+12;2043696783;4348472484;86717647909;1,46075E+11;6,78532E+12;47937390948;4,65858E+12;17456172869;2181796165;80689216,73;7,33573E+13;18837330964;13247573020;1,36579E+11;;9,53127E+13;
"Szoopl""""";2633747,24;3109163498;13104103251;75863953626;2233285321;8278599775;96870893421;45462517034;9,85513E+11;41696243056;48308111670;51782135145;3679414,12;3,0992E+11;1,91134E+11;3,22966E+11;3325509221;70061284858;1,35059E+11;4,27293E+12;9,90121E+12;4722656836;9943969756;1,94484E+11;3,27336E+11;1,36465E+13;1,10113E+11;7,83041E+12;39308203462;4982453555;190104902,7;1,71602E+14;41062564596;30759065834;3,0633E+11;;2,10726E+14;
"Bird""""";2205,95;62900,48;481089,22;466198,66;59207,68;631170,5;1367607,1;111059,64;74774016,66;2802836,04;769443,4;3835070,58;3386,18;16803661,22;7526862,07;11289197,41;113191;4367082,35;2285359;1257659559;4444853493;121462,36;230669,24;14521561,75;14121347,39;2172555845;3111661,2;2430451313;2222190,27;205407,93;7329,74;2828906620;3494715,11;410383,34;22784663,66;;13323409767;
"Sha""""";5697,19;153817,11;1017234,75;1066438,71;138598,79;991826;2955227,05;166140,92;116217736,7;4284662,12;1550928,15;5859145,19;8603,3;27034215;12998728,37;20089128,55;211714,44;6702801,38;4488336,96;3344978833;11698787948;288336,54;464829,09;22138469,19;35029363,93;5760254490;5427739,95;6446968391;4902879,67;348541,48;19444,51;6461771775;7938637,53;1007744,69;34900986,02;;34031169392;
"Sprat""""";241542,49;1354342,98;7195304,8;1796581,58;6591079,41;4096821,22;5280903,19;1894297,59;116787063,3;2012061,62;1876273,54;3284636,45;401273,37;47687156,69;44192139,76;76184724,23;972610,08;3276774,47;17086077,79;50029412255;1,71603E+11;13613964,14;16603851,89;14558916,67;421782531,6;80135075283;14870235,91;95581943496;46447840,72;678828,28;976647,6;34450850460;86653522,27;6458652,35;22585635,06;;4,32788E+11;
"Crus""""";110860,98;16986068,07;76465154,75;390508644,1;12963595,4;38187333,04;491235275,9;232929870,9;4651463386;190050219,7;247560916,9;232060780,8;162338,43;1398174725;869485039,3;1471581529;15406152,14;321616668,4;681239298;1,74166E+11;5,96906E+11;27360110,56;54295514,09;871683898,7;2783162514;3,16004E+11;521283496;3,448E+11;309141158,4;24771173,69;1321871,9;8,21003E+11;445905931,2;161804332,7;1374391878;;2,27079E+12;
"EpiFau""""";563469,41;1971444818;8398808200;50568263582;1477000255;5216796211;62598510512;31018674772;6,28197E+11;26565641554;31504119716;32711684343;1240101,59;1,93419E+11;1,18182E+11;1,99207E+11;2047763914;44737383793;87573540101;6,0024E+12;1,84629E+13;3123049027;6624292664;1,22874E+11;2,34455E+11;1,37768E+13;70012258401;1,19002E+13;27061782341;3195749368;125793625,9;1,06367E+14;31138061549;19836766006;1,93537E+11;;1,58747E+14;
"Neph""""";36793,37;622057,83;3398536,22;8663169,44;1124114,52;1000735,95;11151207,91;4978181,87;89842884,23;2694511,38;5672692,83;3102296,24;59947,03;23142859,07;16890722,33;29047474,34;340754,24;4725394,05;16182866,65;22124949668;77727088391;2333745,9;3256643,97;11896188,73;201787159,7;36528134818;10151292,36;43574822738;21340555,59;574099,43;163814,77;18642073405;39453832,64;4675957,01;18745020,51;;1,99134E+11;
"InFau""""";1130868,85;1974272869;8330316507;47554855227;1363553623;5140765541;61042529110;28306750629;6,14763E+11;25969486246;30409400088;32242329123;881918,58;1,93699E+11;1,1982E+11;2,0267E+11;2090057507;43660408978;84878911559;3,40435E+12;8,75163E+12;2886160934;6124619971;1,2107E+11;2,11329E+11;9,83062E+12;68993469336;6,31687E+12;25321765924;3128867709;115380215,9;1,08303E+14;26971839604;19433315946;1,90728E+11;;1,38787E+14;
"Jwhit""""";15371,01;826940,3;3855790,6;20089717,17;996000,3;2187870,17;24082556,6;12692141,87;247765382;10086854,54;12268715,03;12325497,81;26557,44;72531908,68;44296332,07;74300821,61;772512,26;17009010,96;34446795,68;10070868963;34683708937;2083303,38;3677159,75;46447840,72;149584431,5;17648988483;26675694,49;19990867835;16388219,12;1255622,84;112734,18;39585209803;24525261,23;7963721,73;73101863,18;;1,22922E+11;
"Gurna""""";4110,16;55785,64;253173,6;758836,58;110834,05;84846,96;959285,48;447629,81;5915746,38;189123,38;484961,12;208950,21;6311,24;1804545,42;1417272,06;2472514,6;30494,02;341501,66;1417243,82;1510474268;5275539059;231083,92;313687,33;814593,94;14383262,14;2501021245;861149,15;2964190461;1506747,41;47867,13;16928,9;1631449077;2724996,9;411914,35;1282776,06;;13922232284;
"MonkFish""""";129,35;4036,23;26195,34;39967,78;3318,5;42143,63;90063,22;18319,09;4989545,76;191214,04;53338,46;258687,43;181,64;1108194,23;481598,22;710646,24;7731,82;296650,51;147867,65;46551471,19;167739620;6871,63;14583,38;976647,6;639615,44;82039321,21;204768,46;91089644,09;112734,18;14107,41;408,01;156367274,9;168471,13;25155,83;1545265,67;;555965789,3;
"Phyto""""";12023126,81;597433185,3;3485838035;16955008273;760726873,3;1027498779;16897529693;11613404169;1,43313E+11;5105576199;9299946337;5476323326;21420390,84;27406221913;14692458663;23592234747;256981169,7;8915095483;24211592178;2,53929E+13;9,08479E+13;1591259974;2907797299;20670510276;2,38356E+11;4,16218E+13;13981555054;5,13015E+13;23751125882;815724538,7;93820364,92;1,62201E+13;45265191645;5895312039;32637563180;;2,26084E+14;
"Jhadd""""";17769,24;1277953,15;5715549,47;30330632,64;1354859,65;3438044,04;37713010,21;18668013,28;390554816,1;16147934,56;18971509,55;19949605,95;30375,01;119029930,8;73377376,35;123576492,2;1280727,71;27157905,42;53491340,67;9418665482;31400784691;2839456,02;5160114,39;75099719,3;186992809,9;17599773919;42741652,02;18454416571;21255226,4;1968053,32;146008,31;65383054599;28513559,12;12314664,59;118209754,5;;1,43694E+11;
"Ray""""";3426,89;251382,82;1106661,35;5141404,91;142834,41;233963,19;6144213,23;2981492,07;35419789,49;1305249,11;3201042,98;1382162,07;2962,9;8827320,44;5832066,54;10103514,31;118824,3;2343678,34;8182959,91;6114264471;21712281765;307787,5;604646,82;5166921,88;62633935,23;10349617047;4675957,01;12273673229;6370977,38;274609,57;20124,66;7860416053;11367382,7;2222527,67;8248491,98;;58504870876;
"BlueWhit""""";152381,31;856645,21;4528514,13;1284964,65;4138203,04;2549111,9;3441457,21;1365693,61;71266704,47;1197631,54;1262593,5;1973198,62;253986,72;29497560,18;27617837,43;47608347,09;586282,09;1976176,77;11273189,08;31518233659;1,08116E+11;8544248,87;10470295,81;9034254,03;266011331,2;50488035147;9372510,25;60229845690;29240745,27;427592,02;618106,27;21758375454;54558348,24;4124245,99;12997848,12;;2,72729E+11;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WO3;"GeySeal""""";"Acod""""";"Jcod""""";"Ahadd""""";"Awhit""""";"Poll""""";"FlatFish""""";"Ldem""""";"Herr""""";"NorPout""""";"PoorCod""""";"Sande""""";"HarSeal""""";"Mack""""";"HorMack""""";"Cepha""""";"Cet""""";"OSFish""""";"Opela""""";"Lzoopl""""";"Szoopl""""";"Bird""""";"Sha""""";"Sprat""""";"Crus""""";"EpiFau""""";"Neph""""";"InFau""""";"Jwhit""""";"Gurna""""";"MonkFish""""";"Phyto""""";"Jhadd""""";"Ray""""";"BlueWhit""""";;SUM;
"Acod""""";0;0;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,04;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,07;;2,19;0,027644534
"Ahadd""""";0;0,07;0,07;0;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,04;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,07;;2,19;0,027644534
"Awhit""""";0;0,07;0,07;0,07;0;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,04;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,07;;2,19;0,027644534
"Bird""""";0;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,04;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,07;;2,19;0,027644534
"BlueWhit""""";0;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,04;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0;;2,19;0,027644534
"Cepha""""";0;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,1;0,07;0,07;0,07;0;0,09;0,07;0;0,04;0,07;0,07;0,1;0,1;0,07;0,07;0,07;0,1;0,1;0,07;0,1;0,07;0,07;0;0,1;0,07;0,07;0,07;;2,4;0,03029538
"Cet""""";0;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0;0,04;0,04;0,04;0;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0;0,04;0,04;0,04;0,04;;1,33;0,01678869
"Crus""""";0;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,11;0,07;0,07;0,07;0;0,09;0,07;0,1;0,04;0,07;0,07;0,19;0,19;0,07;0,07;0,07;0;0,19;0,07;0,19;0,07;0,07;0;0,19;0,07;0,07;0,07;;2,84;0,035849533
"EpiFau""""";0;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,13;0,07;0,07;0,07;0;0,09;0,07;0,1;0,04;0,07;0,07;0,46;0,46;0,07;0,07;0,07;0,19;0;0,07;0,46;0,07;0,07;0;0,44;0,07;0,07;0,07;;3,93;0,049608685
"FlatFish""""";0;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,04;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,07;;2,19;0,027644534
"GeySeal""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
"Gurna""""";0;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,04;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0;0,07;0,07;0,07;0,07;;2,19;0,027644534
"HarSeal""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
"Herr""""";0;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0;0,09;0,07;0,1;0,04;0,07;0,07;0,13;0,13;0,07;0,07;0,07;0,11;0,13;0,07;0,13;0,07;0,07;0;0,13;0,07;0,07;0,07;;2,56;0,032315072
"HorMack""""";0;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0;0,07;0,04;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,07;;2,19;0,027644534
"InFau""""";0;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,13;0,07;0,07;0,07;0;0,09;0,07;0,1;0,04;0,07;0,07;0,46;0,46;0,07;0,07;0,07;0,19;0,46;0,07;0;0,07;0,07;0;0,44;0,07;0,07;0,07;;3,93;0,049608685
"Jcod""""";0;0,07;0;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,04;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,07;;2,19;0,027644534
"Jhadd""""";0;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,04;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0;0,07;0,07;;2,19;0,027644534
"Jwhit""""";0;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,04;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0;0,07;0,07;0,07;0,07;;2,19;0,027644534
"Ldem""""";0;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,04;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,07;;2,19;0,027644534
"Lzoopl""""";0;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,13;0,07;0,07;0,07;0;0,09;0,07;0,1;0,04;0,07;0,07;0;0,46;0,07;0,07;0,07;0,19;0,46;0,07;0,46;0,07;0,07;0;0,44;0,07;0,07;0,07;;3,93;0,049608685
"Mack""""";0;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,09;0,07;0,07;0,07;0;0;0,07;0,09;0,04;0,07;0,07;0,09;0,09;0,07;0,07;0,07;0,09;0,09;0,07;0,09;0,07;0,07;0;0,09;0,07;0,07;0,07;;2,3;0,029033072
"MonkFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
"Neph""""";0;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,04;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0;0,07;0,07;0,07;0,07;;2,19;0,027644534
"NorPout""""";0;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0;0,07;0,07;0,07;0,04;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,07;;2,19;0,027644534
"Opela""""";0;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,04;0,07;0;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,07;;2,19;0,027644534
"OSFish""""";0;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,04;0;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,07;;2,19;0,027644534
"Phyto""""";0;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,13;0,07;0,07;0,07;0;0,09;0,07;0,1;0,04;0,07;0,07;0,44;0,44;0,07;0,07;0,07;0,19;0,44;0,07;0,44;0,07;0,07;0;0;0,07;0,07;0,07;;3,89;0,049103762
"Poll""""";0;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,04;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,07;;2,19;0,027644534
"PoorCod""""";0;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0;0,07;0,07;0,07;0,04;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,07;;2,19;0,027644534
"Ray""""";0;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,04;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0;0,07;;2,19;0,027644534
"Sande""""";0;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0;0,07;0,07;0,07;0,04;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,07;;2,19;0,027644534
"Sha""""";0;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,04;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,07;;2,19;0,027644534
"Sprat""""";0;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,04;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,07;;2,19;0,027644534
"Szoopl""""";0;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,13;0,07;0,07;0,07;0;0,09;0,07;0,1;0,04;0,07;0,07;0,46;0;0,07;0,07;0,07;0,19;0,46;0,07;0,46;0,07;0,07;0;0,44;0,07;0,07;0,07;;3,93;0,049608685
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;79,22;1
