TI3;"Phyto""""";"MicroMesoZoopl""""";"MacroZoopl""""";"Jelly""""";"Sard""""";"SpelaFish""""";"SupBenth""""";"DemFishThree""""";"Anch""""";"HorMack""""";"Mack""""";"Crab""""";"Gadi""""";"FlatFish""""";"DemFishOne""""";"Shri""""";"NorLobs""""";"MantShri""""";"VulHake""""";"DemSkate""""";"DemFishTwo""""";"Polych""""";"OctoCepha""""";"Mull""""";"BenthInv""""";"DemSha""""";"Turtle""""";"SquidCepha""""";"CongEel""""";"AngFish""""";"STuniAtlBoni""""";"LpelaFish""""";"NonVulHake""""";"Dolph""""";"TurBrill""""";"Bird""""";;SUM;
"Turtle""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0,01;0,04;0;0,03;0;0;0;0;0;0;0;0;0;;0,12;
"SquidCepha""""";0,01;0,02;0,02;0,01;0,05;0,02;0,02;0,04;0,06;0,05;0,05;0,03;0,02;0,02;0,03;0,04;0,02;0,02;0,02;0,02;0,02;0,02;0,05;0,01;0,02;0,02;0,01;0,04;0,04;0,06;0,03;0,09;0,03;0,08;0,02;0,03;;1,14;
"CongEel""""";0;0,01;0,01;0;0,01;0,01;0,01;0,03;0,04;0,01;0,01;0,02;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,03;0,01;0,01;0,01;0,01;0,06;0,01;0,01;;0,46;
"AngFish""""";0;0,01;0,02;0;0,01;0,01;0,02;0,03;0,01;0,01;0,01;0,02;0,06;0,05;0,03;0,03;0,05;0,01;0,01;0,02;0,02;0,02;0,05;0,01;0,02;0,02;0,01;0,04;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;;0,72;
"STuniAtlBoni""""";0,01;0,01;0,01;0,01;0,03;0,04;0,01;0,01;0,04;0,01;0,04;0,01;0,01;0,01;0,01;0,02;0,01;0;0,01;0,01;0,01;0;0;0;0;0,01;0;0,01;0,01;0;0,03;0,02;0,01;0,02;0,01;0,01;;0,47;
"LpelaFish""""";0,01;0,01;0,01;0,01;0,03;0,04;0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0;0,01;0,01;0,01;0;0,01;0;0;0,01;0;0,04;0,01;0,01;0,02;0,03;0,01;0,02;0,01;0,01;;0,47;
"NonVulHake""""";0,01;0,01;0,01;0,01;0,04;0,05;0,01;0,03;0,04;0,02;0,01;0,03;0,01;0,01;0,03;0,01;0,01;0,01;0,02;0,02;0,03;0,01;0,04;0,01;0,01;0,02;0,01;0,02;0,02;0,01;0,02;0,02;0,03;0,02;0,02;0,02;;0,72;
"Dolph""""";0,01;0,02;0,01;0,01;0,04;0,01;0,01;0,02;0,05;0,04;0,05;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,05;0,09;0,01;0,02;0,02;0,01;0,04;0,01;0,02;;0,68;
"TurBrill""""";0,01;0,01;0,01;0,01;0,03;0,04;0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,04;0,03;0,01;0,01;0,01;0,01;0,06;0,01;0,02;0,01;0,1;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,01;0,04;0,02;;0,73;
"Bird""""";0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,03;0,04;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;;0,44;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"Phyto""""";"MicroMesoZoopl""""";"MacroZoopl""""";"Jelly""""";"Sard""""";"SpelaFish""""";"SupBenth""""";"DemFishThree""""";"Anch""""";"HorMack""""";"Mack""""";"Crab""""";"Gadi""""";"FlatFish""""";"DemFishOne""""";"Shri""""";"NorLobs""""";"MantShri""""";"VulHake""""";"DemSkate""""";"DemFishTwo""""";"Polych""""";"OctoCepha""""";"Mull""""";"BenthInv""""";"DemSha""""";"Turtle""""";"SquidCepha""""";"CongEel""""";"AngFish""""";"STuniAtlBoni""""";"LpelaFish""""";"NonVulHake""""";"Dolph""""";"TurBrill""""";"Bird""""";;SUM;
"Phyto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"MicroMesoZoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"MacroZoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Jelly""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Sard""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"SpelaFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"SupBenth""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"DemFishThree""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Anch""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"HorMack""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Mack""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Crab""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Gadi""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"FlatFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"DemFishOne""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Shri""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"NorLobs""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"MantShri""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"VulHake""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"DemSkate""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"DemFishTwo""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Polych""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"OctoCepha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Mull""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"BenthInv""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"DemSha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Turtle""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"SquidCepha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"CongEel""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"AngFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"STuniAtlBoni""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"LpelaFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"NonVulHake""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Dolph""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"TurBrill""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Bird""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WI3;"Phyto""""";"MicroMesoZoopl""""";"MacroZoopl""""";"Jelly""""";"Sard""""";"SpelaFish""""";"SupBenth""""";"DemFishThree""""";"Anch""""";"HorMack""""";"Mack""""";"Crab""""";"Gadi""""";"FlatFish""""";"DemFishOne""""";"Shri""""";"NorLobs""""";"MantShri""""";"VulHake""""";"DemSkate""""";"DemFishTwo""""";"Polych""""";"OctoCepha""""";"Mull""""";"BenthInv""""";"DemSha""""";"Turtle""""";"SquidCepha""""";"CongEel""""";"AngFish""""";"STuniAtlBoni""""";"LpelaFish""""";"NonVulHake""""";"Dolph""""";"TurBrill""""";"Bird""""";;SUM;
"Phyto""""";2,8703E+12;4,38096E+13;3,17946E+11;5,86185E+12;1,5419E+11;13226642586;7677082803;3767191266;30005035318;6527414074;2107283187;68343190,43;180880188;50336542,48;211461745;62235124,31;23843643,81;17255569,04;573227934,6;1556275,14;33881583,11;8130728,59;10963,43;1770,59;11084,87;32105546,15;0;891541307,9;36478860,26;259351,54;2593744167;370075326,5;385024160;113868285,4;104445889,2;167281246,3;;5,30831E+13;
"MicroMesoZoopl""""";8,76191E+13;2,87065E+12;2,66955E+12;6,45043E+13;1,83986E+12;5,57426E+11;4,54165E+11;47428829887;1,82462E+12;1,16666E+11;63663843716;5506889,19;8474655,78;979861,09;27819904,87;700135,67;2992855,65;44520,3;13081129,74;28302,61;4635733,69;1072327,46;212953,78;62768,93;402624,79;4633896,77;0;99154687,03;138328,85;59367,64;372701111,5;10581333,62;22415674,12;15215766,47;6666071,02;14495033,51;;1,62568E+14;
"MacroZoopl""""";6,35891E+11;2,66955E+12;33266076634;6,93775E+11;19002487340;3739041925;2854447371;482205213,1;11417195583;1015617870;463829124,8;4281899,63;11243579,5;3117401,66;13243849,75;3845701,1;1481054,84;1069821,99;34995993,23;96159,44;2094604,66;498193,98;5409,34;24457,12;16714,77;1989408,29;2482,38;55021865,97;2221333,75;15775,61;160700146,9;22610831,47;23606029,99;7042213,98;6409066,52;10294500,74;;4,07183E+12;
"Jelly""""";2,34474E+12;1,29009E+13;1,38755E+11;2,8198E+12;76621430197;13425752856;10019365336;1926740992;40009150957;3924370940;1708822287;20259062,4;53485967,89;14831558,48;63003272,2;18314634,32;7100011,62;5081132,25;169102001;457426,57;10076584,77;2367521,43;0;0;0;9575677,49;0;265121277;10737570,84;74620,45;773620134,8;109224835,8;113943209,4;33902212,02;30929688,13;49644249,38;;1,83536E+13;
"Sard""""";4,93407E+11;2,94378E+12;30403979744;6,12971E+11;16614450419;2798751528;2070558168;417127774,2;8262635079;840148554,4;359800483,6;4628426,48;12221233,9;3390755,11;14377746,28;4191012,85;1621517,01;1162471,65;38608009,69;104664,47;2300529,8;543603,58;1423,21;1525,4;9214,5;2185521,28;1330,49;60513961,9;2451738,31;17134,77;176562074,6;24937282,11;26012135,64;7738999,72;7060548,54;11331403,37;;4,11232E+12;
"SpelaFish""""";29098613689;6,13169E+11;4112946118;73841640710;1924141676;114479086,4;50352629,98;46903585,28;188037957,2;76822873,25;21503882,59;965556,04;2538821,08;720145,64;2971109,77;890172,13;335449,19;243088,6;8083548,05;23154,27;495366,23;156052,5;1925,5;2174,91;5161,03;452827,65;1519,99;12559150,49;518609,11;6061,48;36526222,65;5214817,98;5433849,98;1623349,32;1469891,22;2350310,26;;7,22728E+11;
"SupBenth""""";21495831848;6,35832E+11;3996226319;70135557349;1811738397;64085165,43;6289552,85;44779803,99;12988323,87;70142699,21;17306444,24;1146473,89;2932538,63;827869,55;3298658,74;1036057,32;365594,82;300872,66;8365135,85;26112,16;501036,74;143181,42;32374,83;72997,64;66282,77;469815,86;42942,04;13002351,98;534618,01;4516,79;37819443,19;5403699,64;5615246,23;1660927,81;1523202,82;2439981,14;;7,33574E+11;
"DemFishThree""""";12055012050;75886127819;771528341;15413927938;417127774,2;68223396,77;51176918,84;10330534,37;200685272,4;20785318,01;8970232,54;132904,95;329574,86;110028,92;380302,11;138566,11;43137,22;32999,54;1038384,89;4615,69;84384,11;72749,6;2253,79;2918,38;14772,46;58051,24;693,77;1597653,26;71835,03;3714,8;4609792,47;665554,33;701516,04;230876,91;185148,19;291266,47;;1,04915E+11;
"Anch""""";72012084764;2,18955E+12;13700634699;2,40055E+11;6196976309;205132316,9;11132849,03;150513954,3;2915492,02;232158475,6;53384432,56;3433199;9083317,47;2526873,28;10613084,63;3125673,53;1196758,97;867809,11;28740774,73;78056,85;1697223,88;408608,02;2606,89;4258,37;4773,1;1609749,92;2947,64;44699932,89;1828657,87;12772,82;130043058,4;18555005,31;19303678,62;5707007,6;5236917,76;8387780;;2,52246E+12;
"HorMack""""";16971276593;1,51666E+11;1320303232;25508411109;682620700,4;90790668,39;65132506,41;16888070,88;251505015,2;31971585,2;12511829,68;266313,69;630785,22;196915,45;739929,79;306362,35;91904,83;66987,1;2038771,29;7799,63;155726,27;181196,27;12975,86;18277,44;68871,65;114785;7126,29;3217267,11;137258,06;5760,87;9172470,08;1308832,9;1372248,07;467704,22;368366,54;582445,62;;1,96639E+11;
"Mack""""";4636023012;70030228087;510212037,3;9398522578;247362832,5;21503882,59;13597920,47;6167034,87;48935729,85;10586932,81;3440686,35;135987,25;298091,22;87148,95;348916,68;188431,73;47119,87;39449,49;928245,47;3292,96;70884,64;96231,04;22138,16;22712,26;61692,01;53246,28;26399,11;1518750,9;60902,62;2302,75;4255007,15;596513,62;621978,84;228454,78;170132,96;270315,54;;84936735081;
"Crab""""";287041399,8;11564467,3;8991989,22;212720155,2;6074809,76;1843334,25;1719710,83;174437,75;6008098,24;430199,05;259612,02;50818,06;36205,36;19924,68;27526,84;50996,15;48173,59;31048,81;29357,19;1566,02;9496,91;555960,94;58555,5;115197,59;174900,37;2809,19;38888,9;18795,89;9009,35;775,87;14590,38;2302,21;15617,71;7674,25;4102,18;830,82;;538153338,2;
"Gadi""""";253232263,1;5932259,05;7870505,65;187200887,6;5346789,83;1615613,41;1466269,32;144189;5298601,86;339653,58;189694,41;12068,45;1562,19;1251,22;1752,85;12584,79;1471,74;2222,59;1316,22;124,64;2394,3;14699,13;3576,65;12380,75;10051,77;248,1;4277,57;11359,6;383,69;278,29;10173,32;239,57;560,29;6110,71;355;176,25;;468748346,5;
"FlatFish""""";110740393,5;1077847,2;3429141,83;81573571,65;2331144,14;720145,64;650468,93;75644,88;2316300,51;166620,77;87148,95;10436,74;1966,2;1083,19;2508,83;8910,56;1401,17;2401,59;1042,19;80,41;1596,25;12630,52;4191,29;11967,67;6747,92;196,17;5559,74;5750,19;258,41;149,43;5097,98;93,68;367,82;3056,32;214,54;94,74;;203256231,5;
"DemFishOne""""";972724027,1;63985781,21;30460854,42;724537630,3;20668010,28;6212320,43;5419225,07;546684,29;20341745,55;1309106,56;729553,06;30148,44;5759,38;5245,74;5430,18;28084,3;6680,74;6824,14;7536,53;817,31;6752,34;66932,58;9486,75;28330,91;87838,91;1776,33;8595,15;30432,21;2441,35;1039,32;31365,17;2890,06;5139,34;14704,12;1650,55;920,07;;1847331760;
"Shri""""";248940497,2;1400271,35;7691402,2;183146343,2;5238766,07;1618494,79;1480081,88;173207,63;5209455,89;471326,69;342603,15;48567,76;35956,56;16201,03;24421,13;25466,57;12676,2;13807,93;6962,84;2349,76;5227,08;93854,27;9868,47;26205,84;279314,59;4890,97;6313,8;23711,31;4820,15;1629,48;18306,65;3591,35;7019,44;7265,42;2307,83;1169,1;;456394355,6;
"NorLobs""""";47687287,61;2992855,65;1481054,84;35500058,12;1013448,13;304953,81;261139,15;26960,76;997299,14;70696,02;42836,24;22939,81;2102,49;1273,8;2904,67;6338,1;1098,31;3362,26;825,76;122,36;1199,09;6477,86;5091,77;24839,1;15370,69;385,54;7675,92;1430,08;236,31;131,09;819,93;183,74;368,34;510,94;170,78;50,17;;90484498,37;
"MantShri""""";20706682,84;26712,18;641893,19;15243396,75;435926,87;132593,78;128945,43;12374,83;433904,56;30917,12;21517,9;8871,09;1905,07;1309,96;1780,21;4142,38;2017,36;2456,84;1140,22;267,8;953,27;16988,54;3351,09;8593,42;35670,59;650,33;3879,99;2513,55;634,57;201;1116,12;285,66;902,56;767,92;297,52;87,29;;37915649,81;
"VulHake""""";1146455869;13081129,74;34995993,23;845510005,2;24130006,05;7348680,04;5975097,04;648990,56;23950645,61;1568285,61;843859,51;13979,61;1880,31;947,45;3276,75;3481,42;825,76;1900,36;700,05;123,65;982,68;6047,67;3472,66;13336,65;16556,43;330,39;3641,49;2192,09;253,3;145,34;590;1259,21;453,69;725,16;163,65;72,57;;2104585900;
