TI3;"Totoa""""";"Vaqu""""";"LobMar""""";"Merlu""""";"Sciae""""";"Rhino""""";"CDeRo""""";"PecPla""""";"OtroPec""""";"Cazul""""";"Cefalo""""";"Haemu""""";"Major""""";"Serran""""";"Mycto""""";"Pelagic""""";"Tibur""""";"BallDent""""";"BallBar""""";"InFau""""";"Polique""""";"Zoopl""""";"Stomat""""";"Manta""""";"Ccafe""""";"Jaib""""";"Macrofit""""";"Fitopl""""";;SUM
"Major""""";0;0;0;0,02;0,05;0,05;0,07;0,11;0,11;0,09;0,11;0,11;0;0,04;0,11;0,09;0;0,04;0,07;0,11;0,11;0,11;0,09;0,11;0,04;0,05;0,11;0,11;;1,88
"Manta""""";0;0;0;0,02;0,05;0,05;0,07;0,11;0,11;0,09;0,11;0,11;0,11;0,04;0,11;0,09;0;0,04;0,07;0,11;0,11;0,11;0,09;0;0,04;0,05;0,11;0,11;;1,88
"Merlu""""";0;0;0;0;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;;0,41
"Mycto""""";0;0;0;0,02;0,05;0,05;0,07;0,11;0,14;0,09;0,14;0,14;0,11;0,04;0;0,09;0;0,04;0,07;0,14;0,14;0,14;0,09;0,11;0,04;0,05;0,14;0,14;;2,16
"OtroPec""""";0;0;0;0,02;0,05;0,05;0,07;0,11;0;0,09;0,2;0,16;0,11;0,04;0,14;0,09;0;0,04;0,07;0,2;0,2;0,2;0,09;0,11;0,04;0,05;0,16;0,2;;2,46
"PecPla""""";0;0;0;0,02;0,05;0,05;0,07;0;0,11;0,09;0,11;0,11;0,11;0,04;0,11;0,09;0;0,04;0,07;0,11;0,11;0,11;0,09;0,11;0,04;0,05;0,11;0,11;;1,88
"Pelagic""""";0;0;0;0,02;0,05;0,05;0,07;0,09;0,09;0,09;0,09;0,09;0,09;0,04;0,09;0;0;0,04;0,07;0,09;0,09;0,09;0,09;0,09;0,04;0,05;0,09;0,09;;1,68
"Polique""""";0;0;0;0,02;0,05;0,05;0,07;0,11;0,2;0,09;0,27;0,16;0,11;0,04;0,14;0,09;0;0,04;0,07;0,32;0;0,38;0,09;0,11;0,04;0,05;0,18;0,38;;3,04
"Rhino""""";0;0;0;0,02;0,05;0;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,04;0,05;0,05;0;0,04;0,05;0,05;0,05;0,05;0,05;0,05;0,04;0,05;0,05;0,05;;1,14
"Sciae""""";0;0;0;0,02;0;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,04;0,05;0,05;0;0,04;0,05;0,05;0,05;0,05;0,05;0,05;0,04;0,05;0,05;0,05;;1,14
"Serran""""";0;0;0;0,02;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0;0,04;0,04;0;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;;0,8
"Stomat""""";0;0;0;0,02;0,05;0,05;0,07;0,09;0,09;0,09;0,09;0,09;0,09;0,04;0,09;0,09;0;0,04;0,07;0,09;0,09;0,09;0;0,09;0,04;0,05;0,09;0,09;;1,68
"Tibur""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Totoa""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Vaqu""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Zoopl""""";0;0;0;0,02;0,05;0,05;0,07;0,11;0,2;0,09;0,27;0,16;0,11;0,04;0,14;0,09;0;0,04;0,07;0,32;0,38;0;0,09;0,11;0,04;0,05;0,18;0,41;;3,07
