TI3;"Totoa""""";"Vaqu""""";"LobMar""""";"Merlu""""";"Sciae""""";"Rhino""""";"CDeRo""""";"PecPla""""";"OtroPec""""";"Cazul""""";"Cefalo""""";"Haemu""""";"Major""""";"Serran""""";"Mycto""""";"Pelagic""""";"Tibur""""";"BallDent""""";"BallBar""""";"InFau""""";"Polique""""";"Zoopl""""";"Stomat""""";"Manta""""";"Ccafe""""";"Jaib""""";"Macrofit""""";"Fitopl""""";;SUM
"Manta""""";0,02;0,02;0,02;0,02;0,04;0,05;0,05;0,05;0,03;0,05;0,01;0,04;0,03;0,04;0,01;0,01;0,02;0,02;0,01;0,04;0,05;0,02;0,05;0,03;0,06;0,06;0,06;0,03;;0,92
"Ccafe""""";0,01;0,01;0,01;0,01;0,03;0,02;0,02;0,04;0,02;0,02;0,01;0,02;0,02;0,03;0,01;0,01;0,01;0,01;0,01;0,04;0,04;0,04;0,02;0,04;0,03;0,05;0,05;0,05;;0,67
"Jaib""""";0,01;0,01;0,01;0,02;0,02;0,04;0,04;0,02;0,02;0,04;0,01;0,02;0,02;0,04;0,01;0,01;0,01;0,01;0,02;0,04;0,04;0,04;0,05;0,05;0,06;0,03;0,05;0,05;;0,82
"Macrofit""""";0,02;0,01;0,02;0,02;0,02;0,03;0,05;0,04;0,03;0,04;0,01;0,04;0,04;0,04;0,01;0,01;0,01;0,01;0,01;0,04;0,04;0,02;0,05;0,05;0,06;0,06;0,03;0,02;;0,86
"Fitopl""""";0,02;0,02;0,02;0,02;0,02;0,02;0,04;0,02;0,03;0,04;0,05;0,02;0,02;0,02;0,05;0,06;0,01;0,02;0,03;0,04;0,04;0,05;0,04;0,02;0,05;0,05;0,02;0,03;;0,87
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"Totoa""""";"Vaqu""""";"LobMar""""";"Merlu""""";"Sciae""""";"Rhino""""";"CDeRo""""";"PecPla""""";"OtroPec""""";"Cazul""""";"Cefalo""""";"Haemu""""";"Major""""";"Serran""""";"Mycto""""";"Pelagic""""";"Tibur""""";"BallDent""""";"BallBar""""";"InFau""""";"Polique""""";"Zoopl""""";"Stomat""""";"Manta""""";"Ccafe""""";"Jaib""""";"Macrofit""""";"Fitopl""""";;SUM
"Totoa""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Vaqu""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"LobMar""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Merlu""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Sciae""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Rhino""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"CDeRo""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"PecPla""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"OtroPec""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Cazul""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Cefalo""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Haemu""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Major""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Serran""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Mycto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Pelagic""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Tibur""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"BallDent""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"BallBar""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"InFau""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Polique""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Zoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Stomat""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Manta""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Ccafe""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Jaib""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Macrofit""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Fitopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WI3;"Totoa""""";"Vaqu""""";"LobMar""""";"Merlu""""";"Sciae""""";"Rhino""""";"CDeRo""""";"PecPla""""";"OtroPec""""";"Cazul""""";"Cefalo""""";"Haemu""""";"Major""""";"Serran""""";"Mycto""""";"Pelagic""""";"Tibur""""";"BallDent""""";"BallBar""""";"InFau""""";"Polique""""";"Zoopl""""";"Stomat""""";"Manta""""";"Ccafe""""";"Jaib""""";"Macrofit""""";"Fitopl""""";;SUM
"Totoa""""";78,36;77,2;1442,56;1535,64;14838,43;14969,37;6899,53;73355,48;207014,6;38367,64;772036,75;384503,82;136329,99;6204,04;160589,07;22349,21;3936,38;6516,05;12456,99;2156458,93;4488233,29;26234649,91;22702,21;77611,7;2671,05;2042,02;719486,49;36995485,39;;72562842,1
"Vaqu""""";64,34;62,22;993,4;1207,37;5531,66;5412,74;4211,2;23960,32;174151,4;26674,48;938919,77;143936,21;49679,14;2196,7;198566,88;27619,5;2237,7;6252,88;11703,56;1844347,39;4542215,93;32183204,38;9788,05;25605,38;1768,79;1589,81;258486,7;42161174,6;;82651562,51
"LobMar""""";1562,78;1291,42;22608,23;25081,6;207703,56;248206,49;119432,8;1103844,41;3918458,57;663040,55;15030682,81;6946018,45;2573729,73;100018,48;3230071,63;443231,91;54075,44;136206,26;210103,17;44673134,21;81363960,84;577055815;340871,42;1218247,95;50193,66;37482,4;12352033,17;667438621,6;;1419565728
"Merlu""""";1535,64;1448,85;23152,24;29287,02;306518,31;407178,03;395265,66;1822440,47;17170324,87;3540343,24;127734585,1;6680679,17;3156760,48;87692,04;31782004,38;4209172,12;35478,11;188887,58;279992,18;295559123,4;507850365,8;9752487326;1258658,97;1988127,61;225342,45;303777,58;21901588,69;829415035;;11608842091
"Sciae""""";24730,72;11063,31;319543,93;510863,85;3419258,16;5605746,23;3007134,51;22720237,19;97470568,66;16545176,29;443537309,8;135241141,2;56134626,38;1677799,73;93878894,77;13229785,1;677450,85;1803714,24;5527597,72;1245948648;2202472075;17962719275;7406772,03;25924351,83;1345188,66;956513,57;300470310,6;18965970483;;41614556260
"Rhino""""";18711,71;8119,1;286392,1;508972,53;4204309,67;5028963,59;3038048,4;24099986,15;97591878,51;17283042,89;479787367,1;110757890,9;42551166,94;1686655,44;99070241,67;14128424,89;559071,79;1409487,9;6635498,16;1086933748;2479934539;16596989312;8443158,1;26197022,36;1229393,81;956301,33;262419484,8;22423312137;;43795069325
"CDeRo""""";8624,41;6316,8;137807,07;494082,08;2255350,88;3038048,4;2925505,02;13763353,07;116837267,6;20391311,87;758184244,7;59011033,22;24838120,7;760394,71;168298627,5;23302987,56;238634,03;891808,72;6570620,57;1555166647;3380667347;37374105214;7010387,79;15066278,39;1384416,79;1406272,52;162207828,8;23995769710;;67694738242
"PecPla""""";103920,26;40732,55;1443488,85;2581790,67;19312201,61;27313317,64;15598466,82;120206466,4;501130654,3;87131011,53;2385263563;627050200,6;253118027,9;8511535,84;497913570,6;70708194,15;2905336,34;7561991,32;31364150,06;6026800435;12074855121;89408554910;40679211,46;133945261,7;6654079,9;4917760,88;1452917124;1,06924E+11;;2,20733E+11
