"TI3";""Phyto"";""MicroZoopl"";""Copyp"";""Mysid"";""UpoAfri"";""FishLarv"";""ZooplEater"";""BenthMicroAl"";""MeioFau"";""Det"";""Graz"";""SuspFeed"";""CalliaKra"";""Sol"";""Herb"";""MacrophSub"";""Grunter"";""MacrophSal"";""Epiph"";""BenthFeed"";""FreeWat"";""AttWat"";""SedBaci"";""CarnMac"";""Pisci"";""SkipJack"";""CatFish"";""DuskyKob"";""Bird"";""Leer"";;SUM
""Graz"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,01";"0,00";"0,07";"0,02";"0,02";"0,04";"0,01";"0,02";"0,03";"0,01";"0,00";"0,01";"0,00";"0,01";"0,03";"0,00";"0,00";"0,05";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";;"0,41"
""SuspFeed"";"0,01";"0,00";"0,01";"0,02";"0,04";"0,01";"0,03";"0,09";"0,04";"0,05";"0,04";"0,06";"0,04";"0,03";"0,07";"0,00";"0,02";"0,00";"0,04";"0,05";"0,00";"0,02";"0,08";"0,09";"0,08";"0,09";"0,08";"0,08";"0,12";"0,03";;"1,34"
""CalliaKra"";"0,00";"0,00";"0,00";"0,01";"0,01";"0,00";"0,01";"0,07";"0,02";"0,02";"0,03";"0,02";"0,04";"0,04";"0,02";"0,04";"0,06";"0,04";"0,01";"0,02";"0,00";"0,01";"0,06";"0,02";"0,06";"0,01";"0,01";"0,06";"0,01";"0,02";;"0,73"
""Sol"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,07";"0,02";"0,02";"0,03";"0,01";"0,02";"0,04";"0,01";"0,04";"0,06";"0,04";"0,01";"0,01";"0,00";"0,00";"0,05";"0,01";"0,01";"0,00";"0,01";"0,01";"0,01";"0,01";;"0,49"
""Herb"";"0,01";"0,00";"0,01";"0,02";"0,03";"0,01";"0,03";"0,10";"0,10";"0,09";"0,05";"0,09";"0,05";"0,05";"0,07";"0,02";"0,04";"0,02";"0,21";"0,05";"0,00";"0,01";"0,09";"0,10";"0,08";"0,09";"0,10";"0,09";"0,04";"0,12";;"1,76"
""MacrophSub"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,01";"0,00";"0,00";"0,00";"0,01";"0,01";"0,00";"0,04";"0,05";"0,04";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,01";;"0,20"
""Grunter"";"0,01";"0,00";"0,01";"0,01";"0,06";"0,01";"0,02";"0,04";"0,09";"0,08";"0,03";"0,02";"0,11";"0,17";"0,03";"0,45";"0,12";"0,45";"0,02";"0,05";"0,00";"0,01";"0,04";"0,03";"0,02";"0,02";"0,03";"0,02";"0,02";"0,13";;"2,10"
""MacrophSal"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,01";"0,00";"0,00";"0,00";"0,01";"0,01";"0,00";"0,04";"0,05";"0,04";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,01";;"0,20"
""Epiph"";"0,00";"0,00";"0,00";"0,00";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,00";"0,00";"0,04";"0,00";"0,00";"0,00";"0,02";"0,02";"0,00";"0,00";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,00";"0,01";;"0,24"
""BenthFeed"";"0,06";"0,04";"0,10";"0,10";"0,09";"0,14";"0,09";"0,06";"0,11";"0,10";"0,16";"0,09";"0,06";"0,05";"0,08";"0,06";"0,09";"0,06";"0,22";"0,08";"0,02";"0,06";"0,10";"0,10";"0,10";"0,12";"0,11";"0,10";"0,06";"0,14";;"2,76"
""FreeWat"";"0,02";"0,11";"0,02";"0,01";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,08";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,26"
""AttWat"";"0,04";"0,03";"0,08";"0,06";"0,05";"0,03";"0,05";"0,00";"0,00";"0,00";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,01";"0,00";"0,00";"0,01";"0,02";"0,04";"0,00";"0,00";"0,02";"0,02";"0,01";"0,01";"0,02";"0,01";;"0,57"
""SedBaci"";"0,00";"0,00";"0,01";"0,01";"0,02";"0,01";"0,01";"0,07";"0,09";"0,08";"0,16";"0,07";"0,11";"0,16";"0,07";"0,03";"0,04";"0,03";"0,04";"0,05";"0,00";"0,00";"0,07";"0,08";"0,03";"0,02";"0,03";"0,03";"0,02";"0,03";;"1,38"
""CarnMac"";"0,01";"0,00";"0,01";"0,01";"0,02";"0,01";"0,02";"0,04";"0,08";"0,07";"0,04";"0,07";"0,04";"0,03";"0,07";"0,01";"0,02";"0,01";"0,04";"0,05";"0,00";"0,01";"0,07";"0,05";"0,07";"0,03";"0,04";"0,07";"0,03";"0,03";;"1,03"
""Pisci"";"0,03";"0,02";"0,03";"0,06";"0,07";"0,03";"0,06";"0,03";"0,03";"0,03";"0,02";"0,07";"0,10";"0,02";"0,06";"0,01";"0,02";"0,01";"0,03";"0,05";"0,01";"0,03";"0,03";"0,08";"0,05";"0,04";"0,03";"0,09";"0,04";"0,03";;"1,19"
""SkipJack"";"0,03";"0,02";"0,02";"0,06";"0,06";"0,02";"0,05";"0,01";"0,02";"0,02";"0,01";"0,05";"0,01";"0,01";"0,05";"0,01";"0,01";"0,01";"0,03";"0,04";"0,01";"0,03";"0,01";"0,02";"0,03";"0,04";"0,03";"0,02";"0,03";"0,02";;"0,77"
""CatFish"";"0,01";"0,01";"0,01";"0,02";"0,06";"0,01";"0,05";"0,03";"0,07";"0,07";"0,02";"0,06";"0,02";"0,02";"0,06";"0,02";"0,02";"0,02";"0,03";"0,04";"0,00";"0,02";"0,03";"0,03";"0,02";"0,03";"0,04";"0,03";"0,04";"0,03";;"0,91"
""DuskyKob"";"0,02";"0,01";"0,02";"0,02";"0,06";"0,01";"0,05";"0,03";"0,03";"0,03";"0,02";"0,07";"0,10";"0,02";"0,06";"0,01";"0,02";"0,01";"0,03";"0,04";"0,00";"0,02";"0,03";"0,07";"0,08";"0,03";"0,03";"0,05";"0,03";"0,03";;"1,04"
""Bird"";"0,01";"0,00";"0,01";"0,01";"0,05";"0,01";"0,04";"0,01";"0,01";"0,06";"0,01";"0,05";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,00";"0,02";"0,01";"0,02";"0,02";"0,02";"0,02";"0,02";"0,04";"0,01";;"0,53"
""Leer"";"0,01";"0,00";"0,01";"0,01";"0,01";"0,01";"0,04";"0,01";"0,02";"0,02";"0,01";"0,01";"0,01";"0,02";"0,04";"0,04";"0,06";"0,04";"0,03";"0,03";"0,00";"0,01";"0,01";"0,01";"0,01";"0,02";"0,02";"0,01";"0,01";"0,03";;"0,57"


"WI3";""Phyto"";""MicroZoopl"";""Copyp"";""Mysid"";""UpoAfri"";""FishLarv"";""ZooplEater"";""BenthMicroAl"";""MeioFau"";""Det"";""Graz"";""SuspFeed"";""CalliaKra"";""Sol"";""Herb"";""MacrophSub"";""Grunter"";""MacrophSal"";""Epiph"";""BenthFeed"";""FreeWat"";""AttWat"";""SedBaci"";""CarnMac"";""Pisci"";""SkipJack"";""CatFish"";""DuskyKob"";""Bird"";""Leer"";;SUM
""Phyto"";"2053958476835150,00";"4645330662112120,00";"26456394470560400,00";"7331051458855620,00";"27549079405492400,00";"188373632871,15";"3862465652552190,00";"0,00";"24799383545843,90";"2577997104129520,00";"87293484175738,10";"221058197688759,00";"5252596659424,51";"248458361620,02";"5106223117536,82";"2023067865813,33";"18055648308378,40";"319260307326,42";"32000833588160500,00";"24425933178105,00";"30176439697425,40";"497640259318,71";"814231072132,29";"2029514236508510,00";"171661272578990,00";"99601622676485,80";"65458226915653,20";"119423580180047,00";"5033452928948240,00";"155543233808211,00";;"114572024858184000,00"
""MicroZoopl"";"3096887108074750,00";"40468475918026,90";"292936352995806,00";"302449691620461,00";"74419017176961,00";"65641484380,56";"870207966501166,00";"0,00";"1321798426,78";"106688260807,26";"5140204592,93";"54348934003,52";"67701771,70";"0,00";"149381188690,95";"0,00";"28537721338868,50";"0,00";"1884342609767,46";"821231280731687,00";"89558614281824,40";"29370083357253,60";"47945323,02";"119563560952,73";"1684029027720,48";"13202212728912,00";"391385439734238,00";"2665989911383,25";"838582193622000,00";"1564993941938,80";;"6897537714651710,00"
""Copyp"";"30865793548987100,00";"512638617742661,00";"2687456348061820,00";"2880781341694440,00";"1977409691915920,00";"788338138071,35";"11616796799235400,00";"34566315727222,80";"204307817156,75";"649109387027199,00";"98381514129,52";"162285944808563,00";"109268193826,63";"229514631,00";"27631534391330,80";"1856004435,00";"235971922262913,00";"292896030,00";"36064548545849,80";"7014766784684790,00";"530590352218165,00";"242617074570174,00";"10775243904895,80";"23639740052063,60";"18181184040774,80";"195111859409670,00";"3231274718691410,00";"17194474014751,60";"6632718979942460,00";"9942395945787,23";;"69614521481953600,00"
""Mysid"";"10996577188283400,00";"680511806146037,00";"3703861725035710,00";"1822403004901150,00";"2786620905038450,00";"342650031494,97";"5380276512875970,00";"29179760813769,90";"189266028721,20";"464321942764316,00";"220351323831,38";"62786269526920,50";"75733827862,14";"38252438,50";"4949032922871,68";"309334072,50";"63405523064225,00";"48816005,00";"83614519423072,10";"1875283945520260,00";"139727297098186,00";"65235896485959,20";"1866462416486,05";"19786094619386,20";"12244134532529,20";"104179900965173,00";"867738722059146,00";"15176363432864,60";"2415344430832940,00";"9498796099442,44";;"31605418632472700,00"
""UpoAfri"";"41323619108238700,00";"167442788648162,00";"2542383889606180,00";"2786620905038450,00";"44967235506881,80";"531249618371,15";"7028434932900510,00";"6279050863079970,00";"21965927902558,50";"1854018181661810,00";"227487729265,60";"12150150459010600,00";"679752840647,50";"28398978732,65";"3220628540622790,00";"229652651949,17";"628735897216585,00";"36241481305,99";"85542923537502,00";"42735841969260300,00";"520798823395779,00";"611262405892257,00";"1343197005404610,00";"3908925677674360,00";"20997218314645,00";"139882189334208,00";"8157020399526380,00";"40278098308411,90";"17409310200607800,00";"22803144842565,70";;"153045611568832000,00"
""FishLarv"";"125582421914,10";"65641484380,56";"450478936040,77";"152288902886,66";"236110941498,29";"4100299,29";"55246158946,83";"6184704907,36";"37203670,58";"3129503285,12";"21938965,45";"17634341735,48";"1028963,39";"41065,42";"4750960989,77";"332081,67";"889379448,51";"52405,80";"8042398822,29";"61733281171,94";"3063574943,63";"887641922,20";"1927978164,35";"4328804919,91";"991323417,10";"1801076944,32";"11779810733,81";"2482989640,11";"171843933006,87";"1572114257,62";;"1388457361429,20"
""ZooplEater"";"7081187029679020,00";"2393071907878210,00";"18254966398798400,00";"6575893515737300,00";"8590309362433950,00";"151926937103,79";"2033350961944350,00";"2507129540225360,00";"271041052328,55";"19796447347360,80";"832127099845,97";"18587600666128,30";"9222569446,77";"369536333,24";"14316281862178,30";"3006807393,75";"94948412814442,60";"474504226,39";"305809684864160,00";"2561116815064350,00";"104694019069113,00";"85098014406922,10";"14597905417872,40";"1595612234813040,00";"47557345693804,60";"80525692835227,20";"1133920995776830,00";"121851911307876,00";"9688692281666730,00";"76665598962979,00";;"63400968127772300,00"
""BenthMicroAl"";"0,00";"0,00";"34566315727222,80";"22695369521821,00";"4883706226839980,00";"10823233587,88";"1595446071052500,00";"321403948758087,00";"66163297257613200,00";"830195694192537000,00";"320594041377606000,00";"4913235658960790000,00";"11072369553138000,00";"332617233047963000,00";"380334319312809000,00";"1178049890533,04";"7948761504055,56";"185908034254,81";"12382252430016700,00";"57741123776342000,00";"0,00";"0,00";"182168797180303000,00";"1895941058912500,00";"84416823710864,10";"13334740959072,00";"24158526059007,00";"49728501690578,20";"18015380877125,60";"41717153981280,70";;"7115499240749870000,00"
""MeioFau"";"28932614136817,90";"2313147246,86";"204307817156,75";"147206911227,60";"17084610590878,90";"65106423,51";"172480669663,62";"66163297257613200,00";"30960680037796,00";"275399789917162,00";"70544725416515,80";"1621545521054300,00";"2438276364921,75";"73014099088726,80";"110435761185978,00";"464329507,22";"15163531986639,30";"73275832,06";"450845640763069,00";"402473230926977,00";"0,00";"658593249054,95";"318718792854288,00";"44320479580760800,00";"10375718610225,30";"90369578410880,10";"56426970357253,80";"19384079826774,50";"653501352373202,00";"9376196042673,49";;"114741953512825000,00"
""Det"";"3437329472172690,00";"213376521614,52";"741839299459656,00";"412730615790503,00";"1648016161477170,00";"6259006570,25";"14397416252626,10";"948795079077185000,00";"314742617048186,00";"904469022927188,00";"60066069981405,90";"3026122504685220,00";"2206956754423,03";"44512688078141,90";"885433890175612,00";"42807754170,28";"283528029047962,00";"6755490996,28";"10115291982287600,00";"10827248740709400,00";"0,00";"76446537996681,00";"3413603441660670,00";"641392494864634000,00";"160018516876817,00";"1205028849002630,00";"1709363838604880,00";"275401605147120,00";"11734612923310100,00";"122339687277576,00";;"1641602594007320000,00"
""Graz"";"43646742087869,10";"3855153444,70";"42163506055,51";"73450441277,13";"75829243088,53";"16454224,09";"226943754503,45";"137397446304688000,00";"30233453749935,30";"22524776243027,20";"4904233927,26";"46082562370477,80";"2458316820,07";"5180633975,65";"44665412787376,60";"773362854,72";"31165582470061,90";"122044379,65";"844305051072400,00";"686615040339462,00";"0,00";"992532821272,81";"461653951249220,00";"91892096468389300,00";"21335153849454,80";"190097480796718,00";"111986656380416,00";"40584113435006,70";"1349996384698770,00";"19966310412362,20";;"233235829674986000,00"
""SuspFeed"";"368430329481266,00";"135872335008,79";"231837064012232,00";"69762521696578,30";"13500167176678400,00";"44085854338,69";"16897818787389,30";"7018908084229700000,00";"2316493601506140,00";"3782653130856530,00";"153608541234926,00";"2029063417416080,00";"5362226282302,77";"13055843262009,50";"1777745644163660,00";"3904339501,94";"1486830075979210,00";"616143753,93";"78402313189640800,00";"29183726437099700,00";"0,00";"8151510541363,14";"23345678224861400,00";"4751009736922340000,00";"1158939844794090,00";"8776169847706130,00";"5216107568970200,00";"1933938384478630,00";"66594887811186000,00";"832611383624381,00";;"12011122437225000000,00"
""CalliaKra"";"4377163882853,76";"84627214,63";"78048709876,16";"42074348812,30";"377640467026,39";"1286204,24";"4192077021,26";"7908835395098560,00";"1741625974944,11";"1379347971514,40";"4097194700,12";"2681113141151,39";"22779502,09";"293206205,80";"1965143421523,35";"4623805,00";"1908240851885,92";"729682,59";"50007698507497,80";"36066979198497,70";"0,00";"100392135125,68";"26587560584654,80";"5289322434340000,00";"1234850690186,72";"10945548180747,60";"7025980905736,38";"2342164669561,78";"79136996410758,30";"1154721043206,78";;"13427319817058500,00"
""Sol"";"124229180810,01";"0,00";"98363413,29";"12750812,83";"9466326244,22";"30799,06";"100782636,34";"142550242734841000,00";"31291756752311,50";"16692258029303,20";"5180633975,65";"3916752978602,84";"175923723,48";"5276272678,57";"35109395129346,30";"131560,00";"31254134270260,10";"20761,48";"876094774909725,00";"594435566331433,00";"0,00";"2855267323,79";"474203160105149,00";"95339076176622400,00";"22133358806486,10";"197170610296835,00";"102482471207685,00";"42101563240743,70";"1374358330692350,00";"20716452143052,80";;"241711426892042000,00"
""Herb"";"10212446235073,60";"448143566072,86";"47368344670852,70";"6598710563828,90";"4294171387497060,00";"14252882969,30";"15617762031467,20";"652001690250530000,00";"189318447747391,00";"1328150835263420,00";"178661651149506,00";"2133294772996390,00";"4716344211656,05";"140437580517385,00";"320889436180074,00";"14236017756,25";"151859601364909,00";"2246585732,87";"20042942559095200,00";"2743256675760560,00";"0,00";"173422358105,82";"2242851582452800,00";"436828808002021000,00";"171614237996024,00";"924344343479342,00";"501870766317276,00";"213081604442298,00";"6285464385870380,00";"149333783538453,00";;"1130927207813340000,00"
""MacrophSub"";"337177977635,56";"0,00";"265143490,71";"34370452,50";"25516961327,69";"83020,42";"273346126,70";"168292841504,72";"66332786,75";"5350969271,28";"257787618,24";"390433950,19";"924761,00";"43853,33";"1186334813,02";"357075,00";"13486245243,94";"56350,00";"94502112618,19";"233122353626,60";"0,00";"7749654755,56";"1499081483,55";"99651018597,19";"447299462,33";"594074928,61";"103706065681,36";"404091080,42";"218968502964,24";"302624865,49";;"1313247089344,59"
""Grunter"";"27083472462567,50";"64209873012454,10";"303392471480888,00";"63405523064225,00";"628735897216585,00";"2001103759,15";"77685065029998,50";"10219836219500,00";"19495969697107,70";"318969032678957,00";"93496747410185,60";"1338147068381290,00";"3434833533394,65";"93762402810780,30";"113894701023682,00";"121376207195,48";"1300869022930,58";"19154377302,99";"1154254133440220,00";"84001003602043,90";"0,00";"615390869608,91";"45537408661902,00";"79459901059494,50";"5009952184648,26";"917055587011,62";"10439960672627,40";"1352996178674,74";"16016504204264,80";"3790809796256,45";;"4558771410989550,00"
""MacrophSal"";"53210051221,07";"0,00";"41842290,00";"5424000,56";"4026831256,22";"13101,45";"43136747,85";"26558290607,83";"10467976,01";"844436374,53";"40681459,88";"61614375,39";"145936,52";"6920,49";"187215477,74";"56350,00";"2128264144,78";"8892,59";"14913376870,50";"36789034871,83";"0,00";"1222972892,18";"236570024,78";"15725925640,14";"70588320,95";"93750954,92";"16365852555,19";"63769606,89";"34555415926,72";"47757225,15";;"207243502022,17"
""Epiph"";"10666944529386800,00";"942171304883,73";"10304156727385,70";"18581004316238,20";"19009538563889,30";"4021199411,14";"55601760884392,70";"3537786408576210,00";"128813040218020,00";"2528822995571900,00";"562870034048267,00";"15680462637928200,00";"20003079402999,10";"584063183273150,00";"3340490426515870,00";"189004225236,39";"256500918542271,00";"29826753741,01";"109159008247,58";"28028903088284200,00";"0,00";"242567762029035,00";"1100029442684400,00";"2185002192221970,00";"1034714128342,48";"18120848149136,10";"3239631347278420,00";"2145478096373,64";"6242009901233660,00";"219497516361,72";;"78471192168069000,00"
""BenthFeed"";"73277799534314,90";"3695540763292590,00";"18037971732046600,00";"3750567891040510,00";"85471683938520600,00";"277799765273,74";"4190918424650760,00";"148477175424879000,00";"1034931165240800,00";"24361309666596000,00";"4119690242036770,00";"52530707586779600,00";"129841125114592,00";"3566613397988600,00";"4114885013640840,00";"4196202365278,78";"168002007204088,00";"662202627692,95";"252260127794557000,00";"1148128366382550,00";"326264673685,82";"819240998197,20";"2291094769089280,00";"114904355155098000,00";"1118470290726620,00";"464857999956890,00";"602530877538166,00";"349396266736348,00";"1394852516242020,00";"852475849293046,00";;"729115687774617000,00"
""FreeWat"";"5029406616237,57";"22389653570456,10";"75798621745452,10";"15525255233131,70";"57866535932864,30";"765893735,91";"9517638097192,07";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"18125815204,77";"359674650,75";"253745016,51";"0,00";"0,00";"31952609882,31";"474599992923,68";"0,00";"0,00";"0,00";"0,00";;"186653168926748,00"
""AttWat"";"331760172879,14";"29370083357253,60";"138638328325814,00";"28993731771537,40";"271672180396559,00";"887641922,20";"30944732511608,00";"0,00";"376338999459,97";"38223268998340,50";"1323377095030,42";"3260604216545,25";"80313708100,55";"3807023098,38";"57807452701,94";"30998619022,22";"273507053159,52";"4891891568,72";"485135524058070,00";"182053555154,93";"1014980066,05";"27362354,16";"12343816507,00";"30767597179488,00";"2100712152156,15";"356923856361,82";"933206231291,47";"560436985525,25";"92567739422,72";"1574976824776,95";;"1065304003975780,00"
""SedBaci"";"1221346608198,44";"107876976,80";"13853885020580,30";"1866462416486,05";"1343197005404610,00";"4337950869,79";"11943740796441,10";"234217024946104000,00";"409781305098370,00";"3840303871868250,00";"1384961853747660,00";"21011110402375200,00";"47857609052378,60";"1422609480315450,00";"1682138686839600,00";"13491733351,93";"45537408661902,00";"2129130223,01";"4950132492079800,00";"1145547384544640,00";"0,00";"27773587140,75";"1538921691097320,00";"162160602456243000,00";"43548125298501,10";"233680484367840,00";"174996611158013,00";"55812728257722,40";"2124793537549090,00";"16109284539230,40";;"437877600639722000,00"
""CarnMac"";"2706018982011350,00";"239127121905,45";"27016845773787,00";"17587639661676,60";"3474600602377210,00";"8657609839,82";"1160445261682210,00";"2166789781614290,00";"50651976663726700,00";"641392494864634000,00";"245045590582371000,00";"3800807789537870000,00";"8462915894943990,00";"254237536470993000,00";"291219205334681000,00";"797208148777,49";"70631023163995,10";"125807405121,09";"8740008768887900,00";"51068602291154700,00";"0,00";"61535194358976,10";"144142757738882000,00";"2643333466966800,00";"62491549530050,40";"15197517982283,00";"839719094126151,00";"38786175432318,80";"1600377403994430,00";"29493513208014,20";;"5510684073000320000,00"
""Pisci"";"257491908868484,00";"3789065312371,07";"23375808052424,70";"12244134532529,20";"20997218314645,00";"2230477688,48";"38910555567658,30";"108535916199682,00";"13340209641718,30";"180020831486419,00";"64005461548364,30";"1043045860314680,00";"2222731242336,10";"66400076419458,40";"128710678497018,00";"4025695160,94";"5009952184648,26";"635294888,52";"4656213577541,15";"559235145363311,00";"287573488940,83";"4726602342351,34";"43548125298501,10";"70302993221306,70";"139291260401,99";"1099212788936,93";"63142769085621,70";"189337261355,89";"129864539189323,00";"100730636537,53";;"2845399833164310,00"
""SkipJack"";"99601622676485,80";"19803319093368,10";"167238736636860,00";"69453267310115,30";"93254792889471,70";"2701615416,49";"43923105182851,20";"11429777964918,90";"77459638637897,20";"903771636751975,00";"380194961593435,00";"5265701908623680,00";"13134657816897,10";"394341220593671,00";"462172171739671,00";"3564449571,67";"611370391341,08";"562505729,51";"54362544447408,20";"154952666652297,00";"2847599957542,08";"535385784542,72";"155786989578560,00";"11398138486712,30";"732808525957,95";"639069126875,83";"7206086244631,43";"1369057716739,91";"91477560458818,70";"973666436476,98";;"8484380589889910,00"
""CatFish"";"76367931401595,40";"684924519534917,00";"3231274718691410,00";"674907894934892,00";"6344349199631630,00";"20614668784,17";"721586088221618,00";"24158526059007,00";"56426970357253,80";"1495693358779270,00";"261302198220971,00";"3651275298279140,00";"9836373268030,93";"239125766151265,00";"292757947018411,00";"725942459769,51";"8119969412043,55";"114560967886,33";"11338709715474500,00";"234317563487065,00";"0,00";"1633110904760,07";"136108475345121,00";"734754207360382,00";"49111042622150,20";"8407100618736,66";"43616081731434,40";"13103045792652,90";"42040206240589,80";"36791559811391,60";;"30411559987446600,00"
""DuskyKob"";"159231440240063,00";"5331979822766,50";"19650827445430,40";"13490100829213,00";"35802754051921,70";"4965979280,23";"88619571860273,80";"56832573360660,80";"22153234087742,30";"275401605147120,00";"108224302493351,00";"1547150707582900,00";"3747463471298,84";"112270835308650,00";"142054402961532,00";"3232728643,39";"1202663269933,11";"510156855,16";"8581912385494,55";"155287229660599,00";"0,00";"1120873971050,49";"49611314006864,30";"38786175432318,80";"168299787871,91";"1825410288986,55";"14974909477317,50";"37650713129,35";"29247216168430,50";"30676735506,74";;"2890844839425210,00"
""Bird"";"3355635285965490,00";"838582193622000,00";"3790125131395690,00";"1073486413703530,00";"7737471200270140,00";"171843933006,87";"3523160829696990,00";"10294503358357,50";"373429344213258,00";"5867306461655060,00";"1799995179598360,00";"26637955124474400,00";"63309597128606,60";"1832477774256460,00";"2095154795290120,00";"875874011856,94";"7118446313006,57";"138221663706,89";"12484019802467300,00";"309967225831561,00";"0,00";"92567739422,72";"944352683355153,00";"800188701997217,00";"57717572973032,50";"60985040305879,20";"24022974994622,80";"14623608084215,20";"15266051172,00";"40641305545824,50";;"73743314969895400,00"
""Leer"";"103695489205474,00";"1564993941938,80";"5681369111878,42";"4221687155307,75";"10134731041140,30";"1572114257,62";"27878399622901,50";"23838373703589,00";"5357826310099,14";"61169843638787,80";"26621747216482,90";"333044553449753,00";"923776834565,42";"27621936190737,10";"49777927846150,90";"1210499461,94";"1684804353891,76";"191028900,60";"438995032723,44";"189439077620677,00";"0,00";"1574976824776,95";"7159682017435,75";"14746756604007,10";"44769171794,46";"649110957651,32";"21023748463652,30";"15338367753,37";"40641305545824,50";"2809599965,82";;"958957003471580,00"

