TI3;"Phyto""""";"MicroZoopl""""";"Copyp""""";"Mysid""""";"UpoAfri""""";"FishLarv""""";"ZooplEater""""";"BenthMicroAl""""";"MeioFau""""";"Det""""";"Graz""""";"SuspFeed""""";"CalliaKra""""";"Sol""""";"Herb""""";"MacrophSub""""";"Grunter""""";"MacrophSal""""";"Epiph""""";"BenthFeed""""";"FreeWat""""";"AttWat""""";"SedBaci""""";"CarnMac""""";"Pisci""""";"SkipJack""""";"CatFish""""";"DuskyKob""""";"Bird""""";"Leer""""";;SUM;;
"Grunter""""";2,70835E+13;6,42099E+13;3,03392E+14;6,34056E+13;6,28736E+14;2001103759;7,76852E+13;1,02198E+13;1,9496E+13;3,18969E+14;9,34967E+13;1,33815E+15;3,43484E+12;9,37624E+13;1,13895E+14;1,21376E+11;1,30087E+12;19154377303;1,15425E+15;8,40018E+13;0;6,15391E+11;4,55374E+13;7,94599E+13;5,4297E+12;9,17056E+11;1,044E+13;1,35318E+12;1,60165E+13;3,79081E+12;;4559192487343070,00;;
"Herb""""";1,02124E+13;4,48144E+11;4,73691E+13;6,59886E+12;4,29424E+15;14253118880;1,56181E+13;6,52002E+17;1,89319E+14;1,32817E+15;1,78662E+14;2,1333E+15;4,71637E+12;1,40438E+14;3,2089E+14;14236017756;1,5186E+14;2246585733;2,00432E+16;2,74326E+15;0;1,73422E+11;2,24285E+15;4,36829E+17;1,7739E+14;9,24345E+14;5,01871E+14;2,13082E+14;6,28546E+15;1,49335E+14;;1130933362978970000,00;;
"Leer""""";1,03695E+14;1,56499E+12;5,68137E+12;4,22188E+12;1,01347E+13;1572114258;2,78787E+13;2,38384E+13;5,35783E+12;6,11698E+13;2,66217E+13;3,33045E+14;9,23786E+11;2,76219E+13;4,97782E+13;1210499462;1,6848E+12;191028900,6;4,38995E+11;1,89441E+14;0;1,57498E+12;7,15968E+12;1,47468E+13;45247195109;6,49111E+11;2,10237E+13;15901660494;4,06413E+13;2809599966;;958961183729262,00;;
"MacrophSal""""";53210051221;0;41842290;5424000,56;4026831256;13101,45;43136747,85;26558290608;10467976,01;844436374,5;40681459,88;61614375,39;145936,52;6920,49;187215477,7;56350;2128264145;8892,59;14913376871;36789034872;0;1222972892;236570024,8;15725925640;76012321,5;93750954,92;16365852555;63769606,89;34555415927;47757225,15;;207248926022,73;;
"MacrophSub""""";3,37178E+11;0;265143490,7;34370452,5;25516961328;83020,42;273346126,7;1,68293E+11;66332786,75;5350969271;257787618,2;390433950,2;924761;43853,33;1186334813;357075;13486245244;56350;94502112618;2,33122E+11;0;7749654756;1499081484;99651018597;481669914,8;594074928,6;1,03706E+11;404091080,4;2,18969E+11;302624865,5;;1313281459797,09;;
"MeioFau""""";2,89326E+13;2313147247;2,04308E+11;1,4728E+11;1,70846E+13;65106423,51;1,72601E+11;6,61633E+16;3,09607E+13;2,754E+14;7,05447E+13;1,62155E+15;2,43828E+12;7,30141E+13;1,10436E+14;464329507,2;1,51635E+13;73275832,06;4,50846E+14;4,02474E+14;0;6,58593E+11;3,18719E+14;4,43205E+16;1,03988E+13;9,03696E+13;5,6427E+13;1,93844E+13;6,53501E+14;9,3762E+12;;114741978552064000,00;;
"MicroZoopl""""";3,09689E+15;4,04685E+13;2,92936E+14;3,0245E+14;7,4419E+13;65641484381;8,70208E+14;0;1321798427;1,06688E+11;5140204593;54348934004;67701771,7;0;1,49381E+11;0;2,85377E+13;0;1,88434E+12;8,21232E+14;8,95586E+13;2,93701E+13;47945323,02;1,19564E+11;1,68471E+12;1,32022E+13;3,91385E+14;2,66622E+12;8,38582E+14;1,56499E+12;;6897539236775860,00;;
"Mysid""""";1,09966E+16;6,80512E+14;3,70386E+15;1,8224E+15;2,78666E+15;3,4265E+11;5,38028E+15;2,91798E+13;1,8936E+11;4,6433E+14;2,20718E+11;6,27869E+13;75749104038;38252438,5;4,94915E+12;309334072,5;6,34056E+13;48816005;8,37488E+13;1,8753E+15;1,39727E+14;6,52359E+13;1,86647E+12;1,97946E+13;1,22921E+13;1,0418E+14;8,67739E+14;1,51838E+13;2,41534E+15;9,49923E+12;;31605682523981900,00;;
"Phyto""""";2,05396E+15;4,64533E+15;2,64564E+16;7,33105E+15;2,75491E+16;1,88374E+11;3,86247E+15;0;2,47994E+13;2,578E+15;8,72935E+13;2,21058E+14;5,2526E+12;2,48458E+11;5,10622E+12;2,02307E+12;1,80556E+13;3,1926E+11;3,20008E+16;2,44342E+13;3,01764E+13;4,9764E+11;8,14231E+11;2,02951E+15;1,83303E+14;9,96016E+13;6,54582E+13;1,19427E+14;5,03345E+15;1,55543E+14;;114583678099442000,00;;
"Pisci""""";2,74955E+14;3,79061E+12;2,34248E+13;1,22921E+13;2,10436E+13;2237111284;3,90024E+13;1,14367E+14;1,33699E+13;1,82516E+14;6,40056E+13;1,05941E+15;2,22368E+12;6,64001E+13;1,33043E+14;4335029233;5,4297E+12;684110893,5;4,72399E+12;6,04746E+14;2,87573E+11;5,12362E+12;4,53442E+13;7,38977E+13;1,43781E+11;1,12963E+12;6,84453E+13;1,95185E+11;1,4011E+14;1,01806E+11;;2959532820556990,00;;
"SedBaci""""";1,22135E+12;107876976,8;1,38539E+13;1,86647E+12;1,3432E+15;4337950870;1,19437E+13;2,34217E+17;4,09781E+14;3,8403E+15;1,38496E+15;2,10111E+16;4,78576E+13;1,42261E+15;1,68214E+15;13491733352;4,55374E+13;2129130223;4,95013E+15;1,14555E+15;0;27773587141;1,53892E+15;1,62161E+17;4,53442E+13;2,3368E+14;1,74997E+14;5,5813E+13;2,12479E+15;1,61093E+13;;437879397888822000,00;;
"SkipJack""""";9,96016E+13;1,98033E+13;1,67239E+14;6,94533E+13;9,32548E+13;2701615416;4,39232E+13;1,14298E+13;7,74596E+13;9,03772E+14;3,80195E+14;5,2657E+15;1,31347E+13;3,94341E+14;4,62172E+14;3564449572;6,1137E+11;562505729,5;5,43625E+13;1,54955E+14;2,8476E+12;5,35386E+11;1,55787E+14;1,13981E+13;7,53088E+11;6,39069E+11;7,20609E+12;1,36979E+12;9,14776E+13;9,73666E+11;;8484404068675580,00;;
"Sol""""";1,24229E+11;0;98363413,29;12750812,83;9466326244;30799,06;100782636,3;1,4255E+17;3,12918E+13;1,66923E+13;5180633976;3,91675E+12;175923723,5;5276272679;3,51094E+13;131560;3,12541E+13;20761,48;8,76095E+14;5,94436E+14;0;2855267324;4,74203E+14;9,53391E+16;2,21334E+13;1,97171E+14;1,02482E+14;4,21016E+13;1,37436E+15;2,07165E+13;;241711426904792000,00;;
"SuspFeed""""";3,6843E+14;1,35872E+11;2,31837E+14;6,97632E+13;1,35002E+16;44085893824;1,68989E+13;7,01891E+18;2,31649E+15;3,78266E+15;1,53609E+14;2,02906E+15;5,36226E+12;1,30558E+13;1,77775E+15;3904339502;1,48683E+15;616143753,9;7,84024E+16;2,91837E+16;0;8,15151E+12;2,33457E+16;4,75101E+18;1,17713E+15;8,77617E+15;5,21611E+15;1,93394E+15;6,65949E+16;8,32612E+14;;12011140704993400000,00;;
"UpoAfri""""";4,13236E+16;1,67443E+14;2,54238E+15;2,78666E+15;4,49693E+13;5,3125E+11;7,02849E+15;6,27905E+15;2,19659E+13;1,85402E+15;2,27498E+11;1,21502E+16;6,81414E+11;28398978733;3,22068E+15;2,29653E+11;6,28736E+14;36241481306;8,55468E+13;4,27362E+16;5,20799E+14;6,11262E+14;1,3432E+15;3,90893E+15;2,10436E+13;1,39882E+14;8,15702E+15;4,03606E+13;1,74093E+16;2,28032E+13;;153046278323455000,00;;
"ZooplEater""""";7,08119E+15;2,39307E+15;1,8255E+16;6,57589E+15;8,59038E+15;1,51927E+11;2,03335E+15;2,50713E+15;2,71229E+11;1,98117E+13;8,3286E+11;1,85888E+13;9256180353;369536333,2;1,43166E+13;3006807394;9,49486E+13;474504226,4;3,06078E+14;2,56113E+15;1,04694E+14;8,5098E+13;1,45979E+13;1,59563E+15;4,76696E+13;8,05259E+13;1,13392E+15;1,21857E+14;9,68869E+15;7,66665E+13;;63401476876277900,00;;
