TI3;"Phyto""""";"MicroZoopl""""";"Copyp""""";"Mysid""""";"UpoAfri""""";"FishLarv""""";"ZooplEater""""";"BenthMicroAl""""";"MeioFau""""";"Det""""";"Graz""""";"SuspFeed""""";"CalliaKra""""";"Sol""""";"Herb""""";"MacrophSub""""";"Grunter""""";"MacrophSal""""";"Epiph""""";"BenthFeed""""";"FreeWat""""";"AttWat""""";"SedBaci""""";"CarnMac""""";"Pisci""""";"SkipJack""""";"CatFish""""";"DuskyKob""""";"Bird""""";"Leer""""";;SUM;;
"SkipJack""""";0,03;0,02;0,02;0,06;0,06;0,02;0,05;0,01;0,02;0,02;0,01;0,05;0,01;0,01;0,05;0,01;0,01;0,01;0,03;0,04;0,01;0,03;0,01;0,02;0,03;0,04;0,03;0,02;0,03;0,02;;0,77;;
"Sol""""";0;0;0;0;0;0;0;0,07;0,02;0,02;0,03;0,01;0,02;0,04;0,01;0,04;0,06;0,04;0,01;0,01;0;0;0,05;0,01;0,01;0;0,01;0,01;0,01;0,01;;0,49;;
"SuspFeed""""";0,01;0;0,01;0,02;0,04;0,01;0,03;0,09;0,04;0,05;0,04;0,06;0,04;0,03;0,07;0;0,02;0;0,04;0,05;0;0,02;0,08;0,09;0,08;0,09;0,08;0,08;0,12;0,03;;1,34;;
"UpoAfri""""";0,08;0,03;0,04;0,04;0,05;0,03;0,05;0,02;0,02;0,03;0,01;0,03;0,03;0,01;0,03;0,04;0,06;0,04;0,02;0,05;0,01;0,12;0,02;0,03;0,07;0,09;0,08;0,07;0,12;0,03;;1,35;;
"ZooplEater""""";0,11;0,05;0,11;0,1;0,06;0,06;0,07;0,01;0,02;0,03;0,01;0,04;0,02;0;0,03;0,01;0,02;0,01;0,03;0,06;0,04;0,14;0,02;0,03;0,07;0,1;0,08;0,07;0,12;0,11;;1,64;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WI3;"Phyto""""";"MicroZoopl""""";"Copyp""""";"Mysid""""";"UpoAfri""""";"FishLarv""""";"ZooplEater""""";"BenthMicroAl""""";"MeioFau""""";"Det""""";"Graz""""";"SuspFeed""""";"CalliaKra""""";"Sol""""";"Herb""""";"MacrophSub""""";"Grunter""""";"MacrophSal""""";"Epiph""""";"BenthFeed""""";"FreeWat""""";"AttWat""""";"SedBaci""""";"CarnMac""""";"Pisci""""";"SkipJack""""";"CatFish""""";"DuskyKob""""";"Bird""""";"Leer""""";;SUM;;
"AttWat""""";3,3176E+11;2,93701E+13;1,38638E+14;2,89937E+13;2,71672E+14;887641922,2;3,09447E+13;0;3,76339E+11;3,82233E+13;1,32338E+12;3,2606E+12;80313708101;3807023098;57807452702;30998619022;2,73507E+11;4891891569;4,85136E+14;1,82063E+11;1014980066;27362354,16;12343816507;3,07676E+13;2,27716E+12;3,56924E+11;9,33206E+11;5,60441E+11;92567739423;1,57498E+12;;1065480469477560,00;thresold;476936251093379,000
"BenthFeed""""";7,33027E+13;3,69554E+15;1,80381E+16;3,75061E+15;8,54724E+16;2,77804E+11;4,19094E+15;1,48477E+17;1,03493E+15;2,43615E+16;4,1197E+15;5,25307E+16;1,29841E+14;3,56661E+15;4,11489E+15;4,1962E+12;1,68004E+14;6,62203E+11;2,52263E+17;1,14813E+15;3,26265E+11;8,19286E+11;2,2911E+15;1,14905E+17;1,20949E+15;4,64865E+14;6,02537E+14;3,49402E+14;1,39492E+15;8,52486E+14;;729211135482332000,00;;476936251093379,00
"BenthMicroAl""""";0;0;3,45663E+13;2,26954E+13;4,88371E+15;10823233588;1,59545E+15;3,21404E+14;6,61633E+16;8,30196E+17;3,20594E+17;4,91324E+18;1,10724E+16;3,32617E+17;3,80334E+17;1,17805E+12;7,94876E+12;1,85908E+11;1,23823E+16;5,77412E+16;0;0;1,82169E+17;1,89594E+15;8,8952E+13;1,33347E+13;2,41585E+13;4,97606E+13;1,80154E+13;4,17172E+13;;7115503891507720000,00;;
"Bird""""";3,35564E+15;8,38582E+14;3,79013E+15;1,07349E+15;7,73747E+15;1,71844E+11;3,52316E+15;1,02945E+13;3,73429E+14;5,86731E+15;1,8E+15;2,6638E+16;6,33096E+13;1,83248E+15;2,09515E+15;8,75874E+11;7,11845E+12;1,38222E+11;1,2484E+16;3,09983E+14;0;92567739423;9,44353E+14;8,00189E+14;6,22713E+13;6,0985E+13;2,4023E+13;1,46295E+13;15266051172;4,06413E+13;;73747889858005800,00;;
"CalliaKra""""";4,37716E+12;84627214,63;78058295810;42082835577;3,78563E+11;1289205,74;4207354706;7,90884E+15;1,74163E+12;1,37954E+12;4106514691;2,68113E+12;23443107,16;293206205,8;1,96516E+12;4623805;1,90824E+12;729682,59;5,00111E+13;3,6067E+13;0;1,00392E+11;2,65876E+13;5,28932E+15;1,23538E+12;1,09456E+13;7,02599E+12;2,34217E+12;7,9137E+13;1,15473E+12;;13427325240256200,00;;
"CarnMac""""";2,70602E+15;2,39127E+11;2,70169E+13;1,75952E+13;3,4746E+15;8657613911;1,16046E+15;2,16679E+15;5,0652E+16;6,41392E+17;2,45046E+17;3,80081E+18;8,46292E+15;2,54238E+17;2,91219E+17;7,97208E+11;7,0631E+13;1,25807E+11;8,74001E+15;5,10687E+16;0;6,15352E+13;1,44143E+17;2,64333E+15;6,56868E+13;1,51975E+13;8,39719E+14;3,88183E+13;1,60038E+15;2,94935E+13;;5510687456717560000,00;;
"CatFish""""";7,63679E+13;6,84925E+14;3,23127E+15;6,74908E+14;6,34435E+15;20614668784;7,21586E+14;2,41585E+13;5,6427E+13;1,49569E+15;2,61302E+14;3,65128E+15;9,83638E+12;2,39126E+14;2,92758E+14;7,25942E+11;8,11997E+12;1,14561E+11;1,13387E+16;2,3432E+14;0;1,63311E+12;1,36108E+14;7,34754E+14;5,32352E+13;8,4071E+12;4,36161E+13;1,31036E+13;4,20402E+13;3,67916E+13;;30415688013125100,00;;
"Copyp""""";3,08658E+16;5,12639E+14;2,68746E+15;2,88078E+15;1,97741E+15;7,88338E+11;1,16168E+16;3,45663E+13;2,04308E+11;6,49109E+14;98381514130;1,62286E+14;1,09282E+11;229514631;2,7632E+13;1856004435;2,35972E+14;292896030;3,60645E+13;7,0148E+15;5,3059E+14;2,42617E+14;1,07752E+13;2,36398E+13;1,82193E+13;1,95112E+14;3,23127E+15;1,72063E+13;6,63272E+15;9,9424E+12;;69614604548541700,00;;
"Det""""";3,43733E+15;2,13377E+11;7,41839E+14;4,12737E+14;1,64802E+15;6259006570;1,44085E+13;9,48795E+17;3,14743E+14;9,04469E+14;6,00661E+13;3,02612E+15;2,20727E+12;4,45127E+13;8,85444E+14;42807754170;2,83528E+14;6755490996;1,01153E+16;1,08273E+16;0;7,64465E+13;3,4136E+15;6,41392E+17;1,62236E+14;1,20503E+15;1,70936E+15;2,75417E+14;1,17346E+16;1,2234E+14;;1641604927431830000,00;;
"DuskyKob""""";1,59236E+14;5,33245E+12;1,96643E+13;1,34967E+13;3,58761E+13;4966534222;8,86231E+13;5,68693E+13;2,21536E+13;2,75417E+14;1,08225E+14;1,54715E+15;3,74748E+12;1,12271E+14;1,42055E+14;3232728643;1,20283E+12;510156855,2;8,85931E+12;1,5529E+14;0;1,12088E+12;4,96116E+13;3,88183E+13;1,73497E+11;1,82639E+12;1,49756E+13;38833131505;2,9259E+13;31803320987;;2891336330214610,00;;
"Epiph""""";1,06669E+16;9,42171E+11;1,03042E+13;1,86108E+13;1,90104E+13;4021199411;5,56506E+13;3,53779E+15;1,28813E+14;2,52882E+15;5,6287E+14;1,56805E+16;2,00044E+13;5,84063E+14;3,34054E+15;1,89004E+11;2,56501E+14;29826753741;1,09159E+11;2,80292E+16;0;2,42568E+14;1,10003E+15;2,185E+15;1,04978E+12;1,81208E+13;3,23963E+15;2,21483E+12;6,24201E+15;2,19498E+11;;78471718615904900,00;;
"FishLarv""""";1,25582E+11;65641484381;4,50479E+11;1,52289E+11;2,36111E+11;4100299,29;55246244733;6184704907;37203670,58;3129503285;21938965,45;17634357530;1031364,59;41065,42;4751039627;332081,67;889379448,5;52405,8;8042398822;61734223189;3063574944;887641922,2;1927978164;4328806955;994271681,7;1801076944;11779810734;2483267111;1,71844E+11;1572114258;;1388461767770,55;;
"FreeWat""""";5,02941E+12;2,23897E+13;7,57986E+13;1,55253E+13;5,78665E+13;765893735,9;9,51764E+12;0;0;0;0;0;0;0;0;0;0;0;0;18125815205;359674650,8;253745016,5;0;0;31952609882;4,746E+11;0;0;0;0;;186653168926748,00;;
"Graz""""";4,36467E+13;3855153445;42163506056;73572529588;75832760403;16454224,09;2,27144E+11;1,37397E+17;3,02335E+13;2,25248E+13;4904233927;4,60826E+13;2463908815;5180633976;4,46656E+13;773362854,7;3,11656E+13;122044379,7;8,44305E+14;6,86616E+14;0;9,92533E+11;4,61654E+14;9,18921E+16;2,13352E+13;1,90097E+14;1,11987E+14;4,05844E+13;1,35E+15;1,99663E+13;;233235831800236000,00;;
