Species                 Kbu       Ktd      Kdir    Kindir         K
Zoopl               4.90993   0.14286   2.49286   2.55993   5.05279
Serg                2.48477   0.25714   2.00952   0.73239   2.74192
Penae               2.54588   0.55476   2.42619   0.67446   3.10065
Lcrus               1.09568   0.86720   1.58175   0.38113   1.96287
Jscian              0.42593   1.09778   1.16667   0.35704   1.52370
JMedPred            0.22222   0.94709   0.88333   0.28598   1.16931
JLP                 0.22222   0.75836   0.72222   0.25836   0.98058
DemFeed             0.22222   0.72434   0.80000   0.14656   0.94656
Leio                0.22222   0.69444   0.83175   0.08492   0.91667
Engra               0.67037   0.55767   1.00000   0.22804   1.22804
Pela                0.42593   1.07397   1.14286   0.35704   1.49989
MeioBenth           4.29606   0.00000   1.48333   2.81273   4.29606
MacroBenth          3.66754   0.30952   2.65952   1.31754   3.97706
LZBFeed             0.00000   0.30370   0.21111   0.09259   0.30370
Ascian              0.22222   2.46587   1.55000   1.13810   2.68810
AMedPred            0.11111   7.62124   3.83889   3.89347   7.73235
Lpred               0.00000  15.69630   4.41667  11.27963  15.69630
Phyto              11.70394   0.00000   2.78333   8.92060  11.70394
