TI3;"Engra""""";"Gerre""""";"Ari""""";"Brachy""""";"Penae""""";"MicroCrus""""";"Polychae""""";"MeioFau""""";"Zoopl""""";"BenthAuto""""";"Phyto""""";"Haemul""""";"Scian""""";"Lutjan""""";"Spar""""";"Mollu""""";"OmacroInv""""";"Ofish""""";"Tetraod""""";;SUM;;;
"Scian""""";0,03;0,05;0,06;0,06;0,06;0,06;0,06;0,03;0,03;0,04;0,03;0,06;0,04;0,04;0,07;0,06;0,05;0,07;0,07;;0,97;;;
"Spar""""";0,03;0,05;0,03;0,03;0,05;0,05;0,05;0,03;0,06;0,05;0,03;0,05;0,06;0,03;0,04;0,05;0,05;0,03;0,03;;0,80;;;
"Tetraod""""";0,03;0,03;0,03;0,05;0,05;0,05;0,05;0,06;0,05;0,05;0,02;0,05;0,06;0,03;0,03;0,05;0,03;0,03;0,04;;0,80;;;
"Zoopl""""";0,07;0,05;0,05;0,03;0,05;0,03;0,03;0,06;0,04;0,03;0,11;0,05;0,03;0,03;0,06;0,06;0,05;0,03;0,06;;0,94;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
WI3;"Engra""""";"Gerre""""";"Ari""""";"Brachy""""";"Penae""""";"MicroCrus""""";"Polychae""""";"MeioFau""""";"Zoopl""""";"BenthAuto""""";"Phyto""""";"Haemul""""";"Scian""""";"Lutjan""""";"Spar""""";"Mollu""""";"OmacroInv""""";"Ofish""""";"Tetraod""""";;SUM;;;
"Ari""""";7465903,88;393282,67;1212139,9;4415241,95;18473261,19;2831707,65;24842396,39;25590245,44;188722907,6;16699450,82;25194007,97;487173,24;214727,6;90621,11;3154303,1;8698459,47;5767955,72;435190,94;329376,87;;335018353,52;;thresold;57718819,53
"BenthAuto""""";22575753,86;6162315,69;17984023,96;67118460,2;294821468,4;44362689,7;378413746,2;391455348,1;180666862,8;237931448;430387923,7;7323212,49;2366744,72;980462,02;49327292,38;94792119,2;66417630,78;4445651,67;4638935,6;;2302172089,40;;;57718819,53
"Brachy""""";7388111,87;1327466,65;4754875,95;11227958,97;50170606,06;5939964,24;73878252,96;76374915,81;98700657,26;67118460,2;107729862,9;1921411,68;1296215,17;526859,38;6897676,06;19260613,28;13383534,81;3320376,65;1824500,89;;553042320,85;;;
"Engra""""";400525466,4;1700249,44;5743002,99;5277222,77;57718819,53;2234716,23;11712832,31;37205873,98;5869719896;16125538,47;10321036180;14517979,86;240641,77;200078,85;38010929,64;125290101,1;135233668,2;1780031,44;3631424,22;;17047904653,09;;;
"Gerre""""";2720399,1;109630,22;484040,2;1517104,75;9122466,8;1205148,4;14403351,56;7261288,74;62561832,71;7042646,5;14803727,81;222489,55;66166,84;28774,95;1140292,7;3639643,55;2208899,05;79375,86;78109,93;;128695389,24;;;
"Haemul""""";21776969,79;208583,96;562122,97;2058655,37;7603326,85;1190496,86;10097132,51;13091466,87;629037398,9;7846299,09;5474836,36;191856,86;97029,45;46338,67;1390633,68;10811083,95;6993822,86;229048,17;188458,92;;718895562,07;;;
"Lutjan""""";140055,19;12589,04;48795,98;263429,69;878380,04;168456,39;1012543,74;819695,48;1447402,7;490231,01;3695142,2;21624,71;4245,76;1602,53;188296,26;364804,64;258748,73;22844,76;18166,66;;9857055,52;;;
"MeioFau""""";44647048,78;5445966,56;23621765,02;65464213,55;420126398,9;51941819,74;653653704,1;328012650,9;709217869,4;335533155,5;326617435,9;10473173,5;3363369,79;1405192,25;47296221,69;136308713,5;81356509,89;5679591,09;4525687,61;;3254690487,52;;;
"MicroCrus""""";2905131,1;979183,08;2831707,65;5515681,08;24049100,72;2123953,24;33792518,03;56270304,72;30354321,72;41193926,15;45437635,68;1031763,95;782370,48;312847,58;3115600,04;7162365,06;6301480,8;1831093,32;1225100,83;;267216085,23;;;
"Mollu""""";175406141,5;3184688,1;9367571,74;19260613,28;85691868,11;7713316,22;72315892,21;159026832,4;1801740381;94792119,2;5777286900;10090345,02;1703027,84;729609,29;30542349,37;65691819,44;77512825,34;4952226,45;4889519,6;;8401898046,01;;;
"Ofish""""";1602028,3;44648,92;301286,03;2134527,84;4904893,96;1267679,99;5653396,55;4259693,32;27611877,92;2857918,93;28990062,76;137428,9;65794,39;29371,84;1473743,46;3183574,15;2028677,2;307239,34;132405,97;;86986249,78;;;
"OmacroInv""""";216373869,1;2208899,05;7099022,42;15295468,35;75870386,83;7755668,67;81316415,05;108475346,5;3952670826;75905863,75;4105198795;7460077,72;1287248,74;591425,67;23187307,67;88586086,11;79464947,19;3606537,25;3260430,87;;8855614621,90;;;
"Penae""""";92350111,24;9122466,8;22736321,47;57337835,49;254854314,3;29598893,19;332718092,6;560168531,9;2389538701;336938821,1;122536434,8;8110215,31;4981779,89;2007725,8;38335143,61;97933563,56;75870386,83;8719811,49;7727962,77;;4451587112,47;;;
"Phyto""""";5160518090;4626164,94;9690003,07;38474951,05;38292635,86;17476013,72;111748872,9;136090598,3;1,50936E+11;153709972,7;539330077,8;1824945,45;2836664,55;2639387,29;20491474,36;2063316750;1282874623;16105590,42;5898607,55;;160542022091,33;;;
"Polychae""""";15226682;11702723,15;24842396,39;68601234,89;270333450,2;33792518,03;280118838,7;708124846,1;58302609,09;351384192,9;290547069,5;8750848,17;4855099,95;1880438,38;48333972,66;67150471,34;66069587,23;8166017,23;8856346,61;;2327039342,46;;;
"Scian""""";288770,12;49625,13;198210,09;1111041,58;3736334,92;722188,14;4481630,73;3363369,79;2227167,47;2028638,33;6807994,92;77623,56;15572,75;7278,44;776485,67;1459738,15;965436,56;87725,85;67798,07;;28472630,26;;;
"Spar""""";38010929,64;712682,93;2426387;4926911,47;23959464,76;2396615,42;37179978,97;39413518,07;1062315318;35233780,27;40982948,73;927089,12;647071,39;268994,66;2791444,76;21815963,83;14492067,3;1637492,73;976386,98;;1331115046,28;;;
"Tetraod""""";3631424,22;48818,71;253366,82;1303214,92;4829976,73;942385,26;6812574,32;3771406,35;95735232,82;3313525,43;11797215,1;125639,28;56498,39;25952,37;976386,98;3492514;2037769,29;147117,74;41685,63;;139342704,37;;;
"Zoopl""""";6456691886;43011259,99;159688614,1;77550516,42;1642807857;25684426,07;49332976,92;650116380,3;540593030,9;141952535;3,32059E+11;461294092,5;2041570,18;2274489,95;1168546850;1415653156;2717461193;33747850,79;105308756,1;;347753126110,99;;;
