TI3;"Zoopl""""";"Bchry""""";"Anch""""";"Daur""""";"Osau""""";"Shri""""";"Ofish""""";"Snota""""";"Phyto""""";"Odeca""""";"Benth""""";"Mcur""""";;SUM
"Bchry""""";0,04;0;0,08;0;0;0,08;0,08;0;0,08;0;0,08;0;;0,46
"Benth""""";0,29;0,08;0,13;0;0;0,17;0,08;0;0,29;0,04;0;0,04;;1,13
"Daur""""";0;0;0;0;0;0;0;0;0;0;0;0;;0
"Mcur""""";0,04;0;0,04;0;0;0,04;0;0;0,04;0,04;0,04;0;;0,25
"Odeca""""";0,04;0;0,04;0;0;0,04;0;0;0,04;0;0,04;0,04;;0,25
"Ofish""""";0,04;0,08;0,08;0;0;0,08;0;0;0,08;0;0,08;0;;0,46
"Osau""""";0;0;0;0;0;0;0;0;0;0;0;0;;0
"Phyto""""";0,25;0,08;0,13;0;0;0,17;0,08;0;0;0,04;0,29;0,04;;1,08
"Shri""""";0,13;0,08;0,13;0;0;0;0,08;0;0,17;0,04;0,17;0,04;;0,83
"Snota""""";0;0;0;0;0;0;0;0;0;0;0;0;;0
"Zoopl""""";0;0,04;0,08;0;0;0,13;0,04;0;0,25;0,04;0,29;0,04;;0,92
