TI3;"TranOrc""""";"SSLpup""""";"SSLjuv""""";"SSLad""""";"Smamm""""";"ToothWhale""""";"Sal""""";"Spela""""";"AtkaMack""""";"Herr""""";"Apoll""""";"DemSM""""";"Mycto""""";"BenthInv""""";"Cephalo""""";"Lzoopl""""";"Szoopl""""";"BalWhale""""";"ShaMeater""""";"Sandl""""";"Jpoll""""";"RockFish""""";"PacCod""""";"ShaSkate""""";"ArrToo""""";"FlatFish""""";"Lpred""""";"SabFish""""";"Shri""""";"EpiCarn""""";"Otter""""";"Bird""""";"Lpela""""";"DeepL""""";"Halib""""";"Macroph""""";"POP""""";"Phyto""""";;SUM
"Apoll""""";0,02;0,02;0,05;0,04;0,04;0,05;0,03;0,02;0,04;0,03;0,03;0,04;0,04;0,04;0,03;0,04;0,04;0,05;0,05;0,02;0,04;0,03;0,04;0,04;0,04;0,04;0,03;0,03;0,04;0,04;0,02;0,02;0,02;0,03;0,04;0,02;0,02;0,03;;1,29
"DemSM""""";0,03;0,02;0,05;0,05;0,05;0,06;0,03;0,06;0,05;0,06;0,05;0,04;0,04;0,04;0,04;0,04;0,03;0,05;0,06;0,03;0,05;0,05;0,04;0,04;0,05;0,04;0,05;0,03;0,05;0,05;0,09;0,03;0,03;0,03;0,05;0,03;0,02;0,02;;1,6
"Mycto""""";0,02;0,02;0,05;0,05;0,04;0,05;0,03;0,03;0,04;0,03;0,04;0,04;0,03;0,04;0,04;0,04;0,04;0,02;0,03;0,03;0,04;0,04;0,04;0,04;0,04;0,05;0,05;0,03;0,03;0,03;0,02;0,05;0,02;0,06;0,05;0,07;0,06;0,03;;1,46
"BenthInv""""";0,01;0;0,03;0,03;0,05;0,05;0,02;0,03;0,04;0,03;0,04;0,04;0,04;0,04;0,04;0,03;0,03;0,02;0,03;0,03;0,04;0,04;0,04;0,04;0,04;0,05;0,05;0,07;0,05;0,05;0,09;0,05;0,08;0,06;0,05;0,07;0,07;0,02;;1,6
"Cephalo""""";0,03;0,02;0,05;0,05;0,05;0,06;0,07;0,07;0,05;0,04;0,05;0,05;0,05;0,05;0,04;0,05;0,03;0,06;0,07;0,06;0,03;0,05;0,05;0,05;0,05;0,05;0,05;0,07;0,05;0,05;0,03;0,06;0,09;0,07;0,06;0,09;0,07;0,03;;1,99
"Lzoopl""""";0,01;0;0,03;0,03;0,03;0,06;0,06;0,06;0,04;0,07;0,04;0,04;0,04;0,03;0,04;0,04;0,06;0,06;0,03;0,05;0,05;0,05;0,04;0,04;0,05;0,04;0,05;0,07;0,05;0,05;0,03;0,06;0,09;0,03;0,03;0,03;0,06;0,21;;1,85
"Szoopl""""";0,01;0;0,02;0,02;0,02;0,05;0,05;0,02;0,03;0,06;0,04;0,02;0,03;0,02;0,02;0,04;0,04;0,05;0,02;0,02;0,04;0,04;0,03;0,03;0,02;0,04;0,02;0,02;0,02;0,04;0,02;0,05;0,08;0,02;0,02;0,02;0,06;0,2;;1,33
"BalWhale""""";0,01;0;0,02;0,02;0,02;0,02;0,05;0,05;0,03;0,05;0,03;0,03;0,01;0,01;0,03;0,03;0,04;0,03;0,04;0,04;0,03;0,04;0,03;0,02;0,02;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,02;0,01;0,01;0,02;0,01;0,02;;0,9
"ShaMeater""""";0,01;0,01;0,04;0,02;0,01;0,01;0,04;0,01;0,01;0,02;0,03;0,03;0,01;0,01;0,03;0,01;0,01;0,04;0,03;0,01;0,01;0,03;0,01;0,03;0,03;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,07;0,04;0,01;0,01;0,01;0,01;;0,78
"Sandl""""";0,01;0,01;0,01;0,04;0,03;0,01;0,02;0,02;0,02;0,01;0,01;0,02;0,02;0,02;0,03;0,03;0,01;0,04;0,01;0,03;0,02;0,04;0,03;0,03;0,01;0,03;0,01;0,02;0,01;0,02;0,08;0,04;0,01;0,01;0,03;0,06;0,01;0,01;;0,88
