"TI3";""Phyto"";""MicroZoopl"";""Copyp"";""Mysid"";""UpoAfri"";""FishLarv"";""ZooplEater"";""BenthMicroAl"";""MeioFau"";""Det"";""Graz"";""SuspFeed"";""CalliaKra"";""Sol"";""Herb"";""Epiph"";""FreeWat"";""AttWat"";""SedBaci"";""CarnMac"";""BenthFeed"";""Pisci"";""CatFish"";""Leer"";""DuskyKob"";""Bird"";""Grunter"";""SkipJack"";;SUM
""CarnMac"";"0,01";"0,00";"0,01";"0,02";"0,03";"0,02";"0,03";"0,05";"0,11";"0,11";"0,04";"0,09";"0,04";"0,05";"0,05";"0,03";"0,00";"0,01";"0,09";"0,07";"0,07";"0,07";"0,11";"0,09";"0,08";"0,04";"0,04";"0,01";;"1,36"
""BenthFeed"";"0,06";"0,04";"0,10";"0,10";"0,10";"0,14";"0,09";"0,07";"0,13";"0,13";"0,22";"0,11";"0,06";"0,06";"0,06";"0,03";"0,02";"0,06";"0,10";"0,11";"0,08";"0,09";"0,12";"0,11";"0,09";"0,06";"0,05";"0,05";;"2,45"
""Pisci"";"0,03";"0,02";"0,03";"0,07";"0,08";"0,03";"0,07";"0,03";"0,04";"0,03";"0,03";"0,09";"0,09";"0,03";"0,08";"0,05";"0,01";"0,04";"0,04";"0,07";"0,06";"0,05";"0,05";"0,05";"0,07";"0,04";"0,04";"0,04";;"1,36"
""CatFish"";"0,01";"0,00";"0,01";"0,01";"0,07";"0,01";"0,02";"0,02";"0,02";"0,02";"0,02";"0,03";"0,08";"0,02";"0,02";"0,00";"0,00";"0,02";"0,02";"0,06";"0,04";"0,03";"0,04";"0,03";"0,06";"0,03";"0,04";"0,01";;"0,72"
""Leer"";"0,01";"0,01";"0,01";"0,01";"0,03";"0,01";"0,05";"0,02";"0,03";"0,02";"0,02";"0,02";"0,03";"0,02";"0,08";"0,05";"0,00";"0,02";"0,03";"0,06";"0,04";"0,03";"0,03";"0,05";"0,06";"0,02";"0,14";"0,04";;"0,96"
""DuskyKob"";"0,02";"0,01";"0,02";"0,02";"0,08";"0,02";"0,07";"0,04";"0,05";"0,04";"0,04";"0,09";"0,04";"0,15";"0,09";"0,06";"0,00";"0,03";"0,05";"0,09";"0,06";"0,08";"0,11";"0,10";"0,07";"0,04";"0,05";"0,04";;"1,58"
""Bird"";"0,01";"0,01";"0,01";"0,01";"0,06";"0,01";"0,05";"0,02";"0,01";"0,09";"0,02";"0,07";"0,08";"0,02";"0,01";"0,00";"0,00";"0,02";"0,02";"0,02";"0,02";"0,02";"0,03";"0,02";"0,02";"0,05";"0,03";"0,03";;"0,79"
""Grunter"";"0,01";"0,00";"0,00";"0,01";"0,06";"0,00";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,07";"0,01";"0,01";"0,01";"0,00";"0,01";"0,01";"0,01";"0,01";"0,01";"0,02";"0,07";"0,02";"0,02";"0,05";"0,01";;"0,48"
""SkipJack"";"0,01";"0,00";"0,01";"0,01";"0,00";"0,00";"0,04";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00";"0,01";"0,00";"0,01";"0,00";"0,03";;"0,16"


"WI3";""Phyto"";""MicroZoopl"";""Copyp"";""Mysid"";""UpoAfri"";""FishLarv"";""ZooplEater"";""BenthMicroAl"";""MeioFau"";""Det"";""Graz"";""SuspFeed"";""CalliaKra"";""Sol"";""Herb"";""Epiph"";""FreeWat"";""AttWat"";""SedBaci"";""CarnMac"";""BenthFeed"";""Pisci"";""CatFish"";""Leer"";""DuskyKob"";""Bird"";""Grunter"";""SkipJack"";;SUM
""Phyto"";"62405337218731500,00";"1455588454287940000,00";"1254778231886040000,00";"219704326624287000,00";"172886534230296000,00";"36543572711768,20";"68896253942096100,00";"0,00";"7297223127151,81";"1027148910201740,00";"30402297274859,70";"81166109081875,20";"560149985071637,00";"282075517344,71";"70356781271730,60";"0,00";"15745041664777700,00";"16773168484078,60";"213080594765,80";"2200550101484160,00";"90973581042952,80";"252430693587577,00";"291808846248072,00";"231075127624862,00";"2049215937488150,00";"6334500971917130,00";"131494329083,04";"2294968542251170,00";;"3265580168353480000,00"
""MicroZoopl"";"970392302858626000,00";"29297553505127400,00";"26464107509510500,00";"79086834442991900,00";"1821004999076930,00";"53585297908836,00";"66454792539676500,00";"0,00";"6899768920,52";"848606470083,87";"28746390537,12";"50577239056,93";"809053777,00";"0,00";"54428588335,68";"0,00";"454006111019204000,00";"1034325345402500,00";"201474840,46";"1958070889858,19";"7453263718394400,00";"85713552290581,50";"2687514130192920,00";"26758999205388,70";"603000740936754,00";"6194393297598190,00";"20078754348753500,00";"639249722485091,00";;"1666382214367260000,00"
""Copyp"";"1463907937200380000,00";"46312188141643300,00";"39453749474832700,00";"115463408152094000,00";"2869386207724080,00";"88173002757155,10";"109240182222488000,00";"213386474340577,00";"513026647712,89";"142485527928336,00";"57930195145,36";"134667473152742,00";"89917297288141,20";"650326516526,44";"162775458786110,00";"0,00";"608633338172739000,00";"1664889766659350,00";"6129179683503,59";"18646068707747,90";"12042835359126700,00";"138938694623542,00";"4334740325758680,00";"41865841693843,20";"909588793115888,00";"9753265150841730,00";"32297792193398400,00";"951641060987049,00";;"2448873148524110000,00"
""Mysid"";"292939102165716000,00";"158173668885984000,00";"131958180745251000,00";"43983078051472600,00";"17215455933146800,00";"21450356264729,10";"28820434542912500,00";"37990821621209,40";"131271490784,27";"61462203015798,90";"157377209654,52";"32469409733335,60";"47444275690113,00";"341790407621,42";"85465888321514,40";"1164272,78";"117496643852616000,00";"325088995069369,00";"1024154656728,03";"13487811731148,30";"2354089129279050,00";"43776906703957,00";"844232959818829,00";"15421234887969,90";"295113141931270,00";"2303211914236480,00";"6270933842642510,00";"333154097380871,00";;"803673011760356000,00"
""UpoAfri"";"230515378973729000,00";"3642009998153870,00";"3279298523113230,00";"17215455933146800,00";"119951249838089,00";"13182747813343,30";"16300396457954100,00";"30388802713980100,00";"67424734213853,90";"6433342811076920,00";"806761937565,87";"14184804454743100,00";"21110715837036,00";"633405153896,07";"191551327873957,00";"153482768,34";"93487077240888800,00";"993549244071597,00";"820232397032225,00";"2105161778070020,00";"9166696292729540,00";"25718727918864,10";"3693928197229450,00";"17392494933460,70";"257546618383932,00";"5061588065504700,00";"19998743532383000,00";"177120583848984,00";;"458178906135042000,00"
""FishLarv"";"24362381807845,50";"53585297908836,00";"50384573004088,60";"10725178132364,50";"6591373906671,64";"2483036230,30";"4081024095365,12";"36835227747,38";"113681813,06";"11767517614,81";"114665648,56";"18721267358,54";"29953844,81";"864833,81";"280636687,06";"0,00";"10987737355966,20";"20850527543,58";"1058765623,02";"10232801942,94";"149141527505,64";"12935217484,72";"53842359927,27";"8288833938,21";"153533157891,13";"611332682585,45";"384595246786,30";"190691251644,85";;"162384415435789,00"
