Species                    Kbu       Ktd      Kdir    Kindir         K
Shake                  0.15119   2.29246   1.23214   1.21151   2.44365
Lhake                  0.00000   8.08131   2.48690   5.59441   8.08131
LdemFish               0.19643   5.79268   2.76270   3.22641   5.98911
Magr                   0.15119   1.21099   0.82143   0.54076   1.36219
DogFish                0.00000   3.81347   1.95913   1.85434   3.81347
AngFish                0.00000   5.24742   1.31349   3.93393   5.24742
BenthFish              1.02070   0.77810   1.40079   0.39801   1.79880
Ray                    0.00000   1.53390   0.81230   0.72160   1.53390
SdemFish               1.41654   1.35014   2.00595   0.76072   2.76668
BlueWhit               1.17750   1.19539   1.66468   0.70821   2.37289
Tuna                   0.00000   2.32390   1.10635   1.21755   2.32390
HorMack                0.89492   1.54740   1.75198   0.69034   2.44232
Mack                   0.41892   1.09607   1.05278   0.46221   1.51499
Squid                  0.71274   2.64547   2.15754   1.20067   3.35821
Anch                   1.21238   0.67221   1.35992   0.52467   1.88459
Sard                   1.12708   0.58730   1.27579   0.43859   1.71439
BenthCeph              1.09563   0.55584   1.14008   0.51139   1.65147
BenthInv               1.79434   0.41440   1.48294   0.72580   2.20874
Shri                   3.26454   0.32600   2.17024   1.42030   3.59054
Polyhae                3.58516   0.08491   1.52262   2.14745   3.67007
Oinv                   3.63125   0.08491   1.49087   2.22528   3.71616
SupBenthZoopl         14.44204   0.52834   4.78929  10.18110  14.97039
MacroZoopl             6.30257   0.33730   1.28770   5.35217   6.63987
MesoZoopl             11.23009   0.42857   2.42460   9.23406  11.65866
MicroZoopl            16.62283   0.25000   2.44444  14.42839  16.87283
Phyto                 25.00000   0.00000   2.08333  22.91667  25.00000
