TI3;"Lgroup""""";"Lshark""""";"Lfishc""""";"Crus""""";"Scom""""";"Ceph""""";"Seabird""""";"Sschool""""";"Lschool""""";"Plongi""""";"Pescul""""";"Sfisho""""";"Mende""""";"Bmoll""""";"Fishh""""";"Zoopl""""";"Prown""""";"Echino""""";"Sess""""";"Phyto""""";"Benthau""""";"Decomp""""";"Turtle""""";;SUM;;;
"Bmoll""""";5690641,86;101366959,1;8469903128;7644798895;9207259485;1658140865;65670177,1;51214249454;6573045571;550085777,5;1466663719;4322170522;1347780429;7375218390;59123234777;45947804084;524343193,8;8393888523;52055893963;5,23018E+11;4,6921E+11;1,66022E+11;14152308,72;;1424311170517,85;;;
"Ceph""""";364953,49;2329935,07;39347097,12;424618127,9;44331165,93;11445070,14;2668811,11;196286304,6;27499630,25;14555724,6;16332996,49;112422434,9;33530620,05;1013308307;2725320600;25058808016;11243039,49;430468726,2;3692516782;2001066864;1292771177;760236493,9;377274,2;;37911850151,23;;;
"Crus""""";4133585,21;55597445,4;4632856886;5919900161;5283239642;810634607,7;44801700,03;25617695673;3285530952;327025265,2;759697957,5;2666662135;814626395;8918932045;45162778250;1,56454E+11;292734131,9;6400867654;45185674834;2,61587E+11;2,59669E+11;83354866669;9006013,22;;917257670937,25;;;
"Decomp""""";12728716,09;135662988,3;2484447556;35723514287;3099446455;622011676,9;202770672,3;7653281286;1180589647;983103173,8;953635503,6;9134216231;2265565431;83010784741;2,2918E+11;2,22206E+12;800697872,5;33679026178;3,11428E+11;78793162863;69296439311;34946278972;29801533,93;;3127671838252,46;;;
"Echino""""";5590922,39;101226159,4;9253201433;3962441881;12505835064;508735767,3;15653971,61;7531105093;1027819187;519541973,5;1392641054;2446025350;692776750,8;6062252822;37840405397;34300234621;291562086,9;6644848972;19412895235;98828292283;6,32647E+11;48647482258;12436822,21;;924649859518,00;;;
"Fishh""""";44307300,54;845255444,9;82429016150;21506084881;1,17156E+11;2477564182;63775793,2;3022015653;826956102,1;4318348164;11837234961;14211518522;4839468466;32846241543;1967845949;1,83138E+11;1984311038;29108004152;13730369439;2,57069E+11;5,89845E+12;2,54645E+11;74085591,12;;6936585092453,79;;;
"Lfishc""""";2078925,87;13131167,21;1151459821;3750407955;858430029,8;60809150,09;8209468,97;1123823162;187869616,3;63305255,09;121007853,8;2105580862;119464533,8;7999352954;1,40129E+11;54359531518;54907073,44;12100340336;50593178765;10939116652;40887038287;4692845383;15560192,15;;331336776416,33;;;
"Lgroup""""";186,93;12269,72;366869,27;590512,17;294256,82;99532,77;3635,57;1101084,43;164023,35;32479,08;81656,8;380647,74;43116,73;948440,31;13292190,16;7145550,77;42545,58;1290212,86;5717384,12;11206411,04;14437000,05;4242905,36;1698,88;;61494610,53;;;
"Lschool""""";546744,5;6731462,22;110511539;1564538549;208124876,5;24999663,87;10223313,66;179065365;29843805,44;48231310,65;50436452,9;313550926,9;106979780,4;3651691984;826956102,1;1,1144E+11;36494427,03;790630144;12021990452;2157149570;6036443176;1311766274;386657,65;;140927708634,40;;;
"Lshark""""";69528,41;381900,38;13131167,21;45007455,8;5690918,29;3600808,74;216611,55;84969771,88;11443485,77;1488791,94;2595787,79;25821494,36;3650120,72;95735461,37;1436934256;441228589,7;1580101,45;132372670;570189137,9;823896160,5;261691897,5;256252311,2;162430,11;;4218110858,96;;;
