"TI3";""Lgroup"";""Lshark"";""Lfishc"";""Crus"";""Scom"";""Ceph"";""Seabird"";""Sschool"";""Lschool"";""Plongi"";""Pescul"";""Sfisho"";""Mende"";""Bmoll"";""Fishh"";""Zoopl"";""Prown"";""Echino"";""Sess"";""Phyto"";""Benthau"";""Decomp"";""Turtle"";;SUM
""Mende"";"0,02";"0,04";"0,02";"0,03";"0,04";"0,02";"0,05";"0,02";"0,02";"0,03";"0,02";"0,04";"0,03";"0,02";"0,02";"0,04";"0,02";"0,02";"0,04";"0,02";"0,01";"0,06";"0,01";;"0,62"
""Bmoll"";"0,04";"0,06";"0,06";"0,06";"0,06";"0,07";"0,04";"0,04";"0,07";"0,08";"0,07";"0,06";"0,04";"0,05";"0,07";"0,06";"0,06";"0,07";"0,07";"0,07";"0,08";"0,08";"0,11";;"1,47"
""Fishh"";"0,03";"0,04";"0,04";"0,04";"0,05";"0,02";"0,05";"0,02";"0,03";"0,02";"0,03";"0,04";"0,02";"0,04";"0,03";"0,04";"0,02";"0,02";"0,02";"0,06";"0,05";"0,02";"0,02";;"0,77"
""Zoopl"";"0,03";"0,04";"0,06";"0,06";"0,07";"0,07";"0,07";"0,07";"0,07";"0,08";"0,08";"0,06";"0,08";"0,06";"0,07";"0,05";"0,06";"0,06";"0,06";"0,07";"0,04";"0,08";"0,04";;"1,44"
""Prown"";"0,03";"0,05";"0,05";"0,05";"0,03";"0,06";"0,06";"0,06";"0,04";"0,04";"0,07";"0,05";"0,04";"0,05";"0,04";"0,05";"0,04";"0,06";"0,06";"0,07";"0,06";"0,07";"0,04";;"1,18"
""Echino"";"0,03";"0,04";"0,05";"0,05";"0,02";"0,06";"0,02";"0,03";"0,03";"0,03";"0,03";"0,05";"0,03";"0,05";"0,03";"0,05";"0,05";"0,04";"0,06";"0,06";"0,06";"0,07";"0,10";;"1,05"
""Sess"";"0,04";"0,05";"0,05";"0,06";"0,03";"0,03";"0,04";"0,06";"0,03";"0,07";"0,07";"0,06";"0,08";"0,06";"0,04";"0,06";"0,06";"0,07";"0,05";"0,07";"0,07";"0,08";"0,11";;"1,31"
""Phyto"";"0,02";"0,02";"0,04";"0,04";"0,02";"0,03";"0,02";"0,04";"0,02";"0,02";"0,02";"0,04";"0,02";"0,04";"0,06";"0,04";"0,05";"0,05";"0,04";"0,03";"0,03";"0,03";"0,03";;"0,76"
""Benthau"";"0,03";"0,02";"0,05";"0,04";"0,02";"0,03";"0,02";"0,05";"0,06";"0,02";"0,02";"0,04";"0,02";"0,05";"0,06";"0,02";"0,05";"0,05";"0,05";"0,03";"0,04";"0,03";"0,10";;"0,89"
""Decomp"";"0,02";"0,02";"0,02";"0,04";"0,02";"0,02";"0,02";"0,04";"0,02";"0,06";"0,02";"0,02";"0,06";"0,04";"0,02";"0,04";"0,04";"0,05";"0,04";"0,02";"0,02";"0,03";"0,03";;"0,71"
""Turtle"";"0,01";"0,01";"0,01";"0,03";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,03";"0,01";"0,01";"0,01";"0,04";"0,03";"0,01";"0,05";"0,01";"0,03";;"0,39"


"TO3";""Lgroup"";""Lshark"";""Lfishc"";""Crus"";""Scom"";""Ceph"";""Seabird"";""Sschool"";""Lschool"";""Plongi"";""Pescul"";""Sfisho"";""Mende"";""Bmoll"";""Fishh"";""Zoopl"";""Prown"";""Echino"";""Sess"";""Phyto"";""Benthau"";""Decomp"";""Turtle"";;SUM
""Lgroup"";"0";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,00"
""Lshark"";"0,00";"0";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,00"
""Lfishc"";"0,00";"0,00";"0";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,00"
""Crus"";"0,00";"0,00";"0,00";"0";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,00"
""Scom"";"0,00";"0,00";"0,00";"0,00";"0";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,00"
""Ceph"";"0,00";"0,00";"0,00";"0,00";"0,00";"0";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,00"
