TI3;"Sciae""""";"Carang""""";"Centrop""""";"Haemu""""";"PecDeFon""""";"Calli""""";"PecAgu""""";"PelaMen""""";"Gerre""""";"Gobi""""";"Mugil""""";"Palaemo""""";"Panae""""";"MicroCrus""""";"Gusan""""";"Gastro""""";"Elop""""";"Lutja""""";"Poeci""""";"Bivalv""""";"ProdPrimBen""""";"Ari""""";"Zoopl""""";"Chan""""";"Fitopl""""";;SUM
TO3;"Sciae""""";"Carang""""";"Centrop""""";"Haemu""""";"PecDeFon""""";"Calli""""";"PecAgu""""";"PelaMen""""";"Gerre""""";"Gobi""""";"Mugil""""";"Palaemo""""";"Panae""""";"MicroCrus""""";"Gusan""""";"Gastro""""";"Elop""""";"Lutja""""";"Poeci""""";"Bivalv""""";"ProdPrimBen""""";"Ari""""";"Zoopl""""";"Chan""""";"Fitopl""""";;SUM
"Ari""""";0,24;0,08;0,22;0,06;0;0,18;0,1;0;0,12;0,08;0,06;0;0,06;0,26;0,26;0,12;0;0,14;0;0,02;0,28;0;0,08;0;0,02;;2,38
"Bivalv""""";0,02;0;0,02;0,02;0;0;0,02;0,04;0,02;0,04;0,02;0;0;0,06;0,02;0,02;0;0;0;0;0;0,02;0,02;0,02;0;;0,36
"Calli""""";0,16;0,08;0,2;0,08;0;0;0,12;0,02;0,14;0,1;0,08;0;0,06;0,22;0,18;0,1;0;0,12;0;0;0,18;0,18;0,06;0;0;;2,08
"Carang""""";0,06;0;0,06;0,04;0;0,08;0,04;0;0,04;0,02;0,02;0;0,02;0,06;0,04;0,02;0;0,08;0;0;0,06;0,08;0,04;0;0;;0,76
"Centrop""""";0,18;0,06;0;0,08;0;0,2;0,18;0,04;0,14;0,1;0,08;0;0,04;0,28;0,22;0,1;0;0,12;0;0,02;0,26;0,22;0,04;0;0;;2,36
"Chan""""";0;0;0;0;0;0;0;0,02;0;0;0;0;0;0,02;0;0;0;0;0;0,02;0;0;0,02;0;0;;0,08
"Elop""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Fitopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0,02;0;0;0;0;0,02;0,02;0,02;0;0;;0,1
"Gastro""""";0,1;0,02;0,1;0,04;0;0,1;0,06;0;0,06;0,1;0,04;0;0,08;0,18;0,2;0;0;0,08;0;0,02;0,12;0,12;0,02;0;0,02;;1,46
"Gerre""""";0,12;0,04;0,14;0,08;0;0,14;0,1;0,04;0;0,1;0,12;0;0,04;0,16;0,12;0,06;0;0,06;0;0,02;0,12;0,12;0,02;0;0;;1,6
"Gobi""""";0,1;0,02;0,1;0,06;0;0,1;0,08;0,04;0,1;0;0,1;0;0,1;0,16;0,12;0,1;0;0,06;0;0,04;0,08;0,08;0;0;0;;1,44
"Gusan""""";0,2;0,04;0,22;0,1;0;0,18;0,14;0;0,12;0,12;0,06;0;0,1;0,32;0;0,2;0;0,12;0;0,02;0,26;0,26;0,04;0;0,02;;2,52
"Haemu""""";0,04;0,04;0,08;0;0;0,08;0,1;0,02;0,08;0,06;0,08;0;0,04;0,12;0,1;0,04;0;0,08;0;0,02;0,06;0,06;0,04;0;0;;1,14
"Lutja""""";0,12;0,08;0,12;0,08;0;0,12;0,08;0;0,06;0,06;0,06;0;0,06;0,14;0,12;0,08;0;0;0;0;0,14;0,14;0,04;0;0;;1,5
"MicroCrus""""";0,24;0,06;0,28;0,12;0;0,22;0,2;0,06;0,16;0,16;0,1;0;0,12;0;0,32;0,18;0;0,14;0;0,06;0,28;0,26;0,06;0,02;0;;3,04
"Mugil""""";0,06;0,02;0,08;0,08;0;0,08;0,06;0,04;0,12;0,1;0;0;0,06;0,1;0,06;0,04;0;0,06;0;0,02;0,06;0,06;0,02;0;0;;1,12
"Palaemo""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Panae""""";0,08;0,02;0,04;0,04;0;0,06;0,04;0,02;0,04;0,1;0,06;0;0;0,12;0,1;0,08;0;0,06;0;0;0,08;0,06;0;0;0;;1
"PecAgu""""";0,1;0,04;0,18;0,1;0;0,12;0;0,04;0,1;0,08;0,06;0;0,04;0,2;0,14;0,06;0;0,08;0;0,02;0,12;0,1;0,04;0;0;;1,62
"PecDeFon""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"PelaMen""""";0,02;0;0,04;0,02;0;0,02;0,04;0;0,04;0,04;0,04;0;0,02;0,06;0;0;0;0;0;0,04;0,02;0;0,02;0,02;0;;0,44
"Poeci""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"ProdPrimBen""""";0,24;0,06;0,26;0,06;0;0,18;0,12;0,02;0,12;0,08;0,06;0;0,08;0,28;0,26;0,12;0;0,14;0;0;0;0,28;0,06;0;0,02;;2,44
"Sciae""""";0;0,06;0,18;0,04;0;0,16;0,1;0,02;0,12;0,1;0,06;0;0,08;0,24;0,2;0,1;0;0,12;0;0,02;0,24;0,24;0,04;0;0;;2,12
"Zoopl""""";0,04;0,04;0,04;0,04;0;0,06;0,04;0,02;0,02;0;0,02;0;0;0,06;0,04;0,02;0;0,04;0;0,02;0,06;0,08;0;0,02;0,02;;0,68
