TI3;"Ssha""""";"ScomBarr""""";"SnapGroup""""";"Carang""""";"Odem""""";"CatFish""""";"Gru""""";"Croak""""";"Spela""""";"HetBenth""""";"Mack""""";"Squid""""";"Zoopl""""";"BenthProd""""";"Phyto""""";;SUM
"BenthProd""""";146106788,9;2481395466;2021598431;38522785605;3257225036;1299430251;1167749549;486416603,9;6,25859E+12;1,60673E+12;8821159680;8104287849;1,02763E+14;15129303916;1,45553E+12;;1,12165E+14
"Phyto""""";12766745465;2,31446E+11;1,86068E+11;3,41773E+12;1,72089E+11;1,03355E+11;1,0662E+11;44752655664;5,7414E+14;1,35114E+14;7,77797E+11;7,2676E+11;9,43873E+15;1,09165E+12;9,73132E+13;;1,02522E+16
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
WO3;"Ssha""""";"ScomBarr""""";"SnapGroup""""";"Carang""""";"Odem""""";"CatFish""""";"Gru""""";"Croak""""";"Spela""""";"HetBenth""""";"Mack""""";"Squid""""";"Zoopl""""";"BenthProd""""";"Phyto""""";;SUM
"BenthProd""""";0;0,07;0,03;0,13;0,03;0,03;0,03;0;0,13;0,13;0,1;0,1;0,13;0;0,13;;1,07
"Carang""""";0;0,07;0,03;0;0,03;0,03;0,03;0;0,13;0,13;0,1;0,1;0,13;0,13;0,13;;1,07
"CatFish""""";0;0,03;0;0,03;0,03;0;0,03;0;0,03;0,03;0,03;0,03;0,03;0,03;0,03;;0,37
"Croak""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Gru""""";0;0,03;0;0,03;0,03;0,03;0;0;0,03;0,03;0,03;0,03;0,03;0,03;0,03;;0,37
"HetBenth""""";0;0,07;0,03;0,13;0,03;0,03;0,03;0;0,23;0;0,1;0,1;0,23;0,13;0,23;;1,37
"Mack""""";0;0,07;0,03;0,1;0,03;0,03;0,03;0;0,1;0,1;0;0,1;0,1;0,1;0,1;;0,9
"Odem""""";0;0,03;0;0,03;0;0,03;0,03;0;0,03;0,03;0,03;0,03;0,03;0,03;0,03;;0,37
"Phyto""""";0;0,07;0,03;0,13;0,03;0,03;0,03;0;0,27;0,23;0,1;0,1;0,27;0,13;0;;1,43
"ScomBarr""""";0;0;0,03;0,07;0,03;0,03;0,03;0;0,07;0,07;0,07;0,07;0,07;0,07;0,07;;0,67
"SnapGroup""""";0;0,03;0;0,03;0;0;0;0;0,03;0,03;0,03;0,03;0,03;0,03;0,03;;0,3
"Spela""""";0;0,07;0,03;0,13;0,03;0,03;0,03;0;0;0,23;0,1;0,1;0,27;0,13;0,27;;1,43
"Squid""""";0;0,07;0,03;0,1;0,03;0,03;0,03;0;0,1;0,1;0,1;0;0,1;0,1;0,1;;0,9
"Ssha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Zoopl""""";0;0,07;0,03;0,13;0,03;0,03;0,03;0;0,27;0,23;0,1;0,1;0;0,13;0,27;;1,43
