0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0,0,0,0,0
0,0,0,0.173,0,0,0,0,0,0,0.117,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0.005,0,0,0.019,0.314,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.047,0,0,0,0,0,0,0,0,0.558,0,0,0,0,0,0,0,0,0,0.026,0.049,0,0,0,0,0.061
0.015,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.02,0,0,0,0,0
0.033,0,0,0.133,1.574,0,0,0,0.038,0.368,0.082,0,0,0.346,0,0,3.55,0.156,0,0.558,1.855,0,1.024,0,0,0.088,0,0,0,0,0,0.043,0,0,0,0
0.003,0.008,0,0,0.393,26.346,0,0,0,0,0,0,0,0.346,0,0,0,0,58.058,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5.16,0,0,0,1.417,3.883,0.607,0,0.089,0,0,0,0,4.601,0,0.22,0.067,0.146,0,0.083,0.096,0.133,0,2.441,0.136
0.001,0.008,0,0.016,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.034,0.067,0,0,0,0,0.011,0,0,0,0,0.002,0,0,0,0,0
0,0.015,0,0.191,0,0,0,0,0,0,0.012,0,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0.041,0,0,0.026,0.005,0,0,0,0.076,0.093
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0
0.087,0.078,0,0.878,0,0,0,0,0.021,0.002,0,0,0,0,0,0.069,0,0,0,0.335,0.371,0,0,0,0,0.287,0.165,0.037,0,0.355,0.659,0,0,0,0,2.316
0,0,0,0,0.393,0,0,0,0,0,0,0,0,0.346,0,0,0,0,23.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.893,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0
