0,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0
0,0,0,0,0,0,0,0.016,0.013,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0.091,0,0,0
0,0,0,0,0,0,0.85,0.731,0.058,0,0,0,0,0,0,0,0,0,0,0.865,0,0,0.863,0,0,0
0.199,0.039,0,0,0.035,0,0,0.081,0.015,0,0,0,0.001,0,0,0,0,0,0,2.024,0,0,0.186,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.716,0.244,29.014,19.47,0,0,5.979,9.481,0,9.379,0,0,0.001,0,5.527,4.472,18.919,2.507,8.394,0.536,0,0,0,0,25.65,0
0.013,0.001,0,0.101,0.138,0,0,2.63,0.046,0,0,0,0.001,0,0,0,0.18,0,0,2.279,0,0,0.843,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.031,0.012,0.193,1.014,0.007,0,1.51,0.081,0.001,0,0,0,0,0,0,0,0.901,0,0.04,0.141,0,0,0.029,0,0,0
0,0,0,0,0,0,0,0,0,0,0,9.2,0,0,0,0,0,0,0,0,0,0,0,2.47,0,0
0,0,5.145,0,0.983,0,8.969,0,0.043,0,0,0,0,0,0.189,0.073,0,0,0,0,0,25.225,0.003,0,5.13,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0.05,1.934,38.839,0.055,196.896,1.51,0,0,11.255,0,0,0,0,2.768,1.493,133.153,17.756,25.222,0.268,0,0,0,117.306,20.52,0
0.002,0.001,0,0.101,0,0,0,1.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358,0,0,0
0.002,0.001,0,0.101,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0.047,0,0,0.182,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,1.934,0.101,0,0,0.346,0.795,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0.212,0,0,0
0.651,0.128,0.039,1.014,0.018,0,0,0,0,0,0,0,0,0,0.045,0.006,0.901,0.104,0,0.06,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072,0,0,0
0,0,0,0,0.009,73.836,0,0,0,1.876,0,2842.8,0,3952.587,0,0,16.396,0,3.801,0,0,0,0,811.264,0,0
0,0,0,0,0,0,4.531,0.162,0.043,0,0,0,0,0,0.458,0.073,0,0,0,0.282,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
0,0,0,0,0.29,0,4.5,0.795,0,0,0,55.2,0,0,0,0,0,0,2.099,0,0,22.102,0.003,0,0,0
0.181,0.167,0.387,0.507,0.141,0,2.99,0,0.056,0,0,0,0.003,0,0,0,0,0.522,0.04,0.154,0,0,0.267,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
