0,0.158,0,0,0,0,0,0,0.065,0.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.028,0,0.141,0
0,0,0,0,0,0,0,0,0.036,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0,0.141,0
0,0.073,0,0,0,0,0,0,0.427,0.067,0,0,0,0,0.028,0,0,0,0,0,0,0,0,0,0.018,0.002,0,0,0.136,0,0,0,0.005,0.067,0,0.635,0.15
0,0,0.138,0,1.685,0,0,0,0.413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321,0.107,0.006,0,0.034,0.068,0,0.033,0,0,0.015,0,0,0
0,0,1.379,0,0,0,0,0,0.434,0.091,0.485,0,0,0,0,0,0,0,2.186,0,0,0,0,6.207,0.036,0.002,0,0.103,0.272,0,0.006,4.047,0,0.023,0,0,0.957
0,0.514,3.585,0,0.842,0,0,0,2.794,0.389,2.309,1.808,0,0,0,0,0,0,1.505,0,0,0,0,1.926,0.16,0.013,0,0.121,0.823,0,0,2.058,0.013,0.067,0,1.026,0.682
0.119,0.231,0,0,0,1.077,0,0,0.072,0.016,0.047,0,0,0.016,0.022,0,0,0.152,0.025,0,0,0,0,0.107,0,0,0,0.014,0,0,0.079,0,0,0,0.171,0,0.015
0.085,0,1.518,0.351,0,0,0,0,0.138,0,0.296,0,0,0.107,0.026,0,0,0.608,0,0,0,0,0,0.107,0,0,0,0.021,0.034,0,0.035,0,0,0.034,0,0.078,0.117
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0.002,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.217,0.615,0,0.476,0,0,0.039,0,0,0,0.325,0,0,0,0,0,0,0.006,0,0.003,0,0,0,0,0.005,0,0,0.134,0.264
0,0,0,0,0,0,0,0,0.08,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214,0,0.002,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1.685,0,0,0,0.21,0.083,0.829,0.797,0,0,0,0,0,0,0.293,0,0,0,0,0,0.036,0.003,0,0.011,0.054,0,0,0,0.004,0,0,0.257,0.246
0,0,0.083,0,0,0,0,0,0.246,0.016,0,0.223,0,0,0.016,0,0,0,0,0,0,0,0,0,0.018,0.002,0,0.005,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0
1.095,2.023,8.185,0.702,0.168,0,3.4,0,0,0.111,6.808,0.786,3.767,3.333,0.332,0,0,0,0,0,0,0,0,0,0.036,0,0,0,0.428,0,0.225,0,0.05,0.089,2.047,0.152,0.143
