0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0.172,0,0,0
0,0,0,0,0,0,0,0.06,0,0,0.029,0,0,0.025,0,0,0,0,0,0
0.325,0,0,0,0,0.25,0,0,0,0,0,0,0.55,0,0.78,6.3,0.086,0,0,0
0.975,0.183,0.8,0,0,4,0.266,0.42,0,0,0.173,0,2.75,0.05,7.8,4.2,0.344,0,0,0
0,0,0,0,0,0,0.067,0.12,0,0,0.046,0,0,0.02,0.78,0,0.086,0,0,0
0,0,0,0,0,0,0,0.024,0,0,0.023,0,0,0.005,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.029,0,0,0.013,0,0,0,0,0,0
0,0,0,2.625,3,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0
0,0,0,5.25,45,0,0,0,0,0,0,0,0,0,1.56,4.2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,7.35,180,0,0,0,0,0,0,0,0,0,0,0,0,43.68,0,480
0.13,0.183,0,0,0,0.1,0.133,0.06,0,0,0.058,0,0,0.038,0,0,0.086,0,0,0
0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0
0,0.073,0.4,0,0,0,0.266,0.12,0,0,0.081,0,0.55,0.04,0,0,0.258,0,0,0
0.195,0.219,0.2,0,0,1,0.266,0.06,0,0,0.029,0,0.825,0.013,1.872,0,0.172,0,2.56,0
0,0,0,0,0,0,0.067,0.06,0,0,0.029,0,0,0.01,0,0,0,0,0,0
1.463,1.825,0.4,0,0,0.25,0.266,0.12,0,0,0.029,0,0,0.025,0,0,0.31,0,8.32,0
0.163,0.73,0.2,0,0,0,0,0.06,0,0,0.029,0,0,0,0.468,0,0.086,0,0,0
0,0.438,0,2.625,3,0,0,0.084,0,0,0,0,0,0,1.56,10.5,0.086,29.12,0.64,0
