0,0,0,0,0,0,0,0,0,0,0.006,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0.023,0,0,0,0,0,0,0.004,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.007,0,0,0,0,0,0,0.003,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.071,0,0,0.014,0,0,0,1.153,0,0.005,0,0,0,0.408,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.231,0.301,0.029,0.058,0.081,0.026,0,0,0,0.548,0,0.204,0,0.601,0.623,0,0.02,0.063,0.059,0.083,0,0.168,0.003,0,0.607,0,0.095,0,0.125,1.013,0.46,0.212,0.297,0.461,0
0.038,1.812,0.058,0.116,0,0.052,0,6.972,0,2.255,0,0.054,0,0,0,0,0.02,0.05,0.053,1.26,0,0,0.005,0.694,0.163,0.324,3.48,0,0,1.323,0.374,0,0.295,0,0
0.022,0,0,0.058,0,0.208,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0.081,0,0,0.02,0,0,0,0.68,0,0.031,0,0.063,0,0.001,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.01,0,0,0,0.026,0,0,0,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047,0,0,0,0.008,0,0.003,0,0
