TI3;"Cet""""";"Jcod""""";"JSilvHake""""";"RedFish""""";"TranMack""""";"DemPisc""""";"JDemPisc""""";"LDemFish""""";"JLDemFish""""";"Sandl""""";"SPela""""";"Squid""""";"LZP""""";"SZP""""";"GreySeal""""";"Acod""""";"ASilvHake""""";"Hadd""""";"Plai""""";"Flou""""";"Skate""""";"Poll""""";"SDemFish""""";"Cape""""";"SCrab""""";"Polych""""";"BivalvMollu""""";"OBI""""";"Bird""""";"SMesoPel""""";"Shri""""";"Echino""""";"AHal""""";"DogFish""""";"LCrab""""";"TranPel""""";"JHal""""";"Phyto""""";;SUM;
"Flou""""";0,02;0,02;0,02;0,03;0,02;0,04;0,03;0,02;0,02;0,03;0,02;0,02;0,03;0,02;0,03;0,04;0,02;0,02;0,03;0,03;0,02;0,02;0,03;0,04;0,03;0,04;0,05;0,03;0,02;0,02;0,03;0,05;0,04;0,05;0,02;0,05;0,05;0,02;;1,11;
"Skate""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,03;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,02;0,03;0,01;0,02;0,01;0,01;0,02;0,01;0,03;0,01;0,01;0,01;0,01;0,01;;0,5;
"Poll""""";0,02;0,03;0,03;0,03;0,02;0,02;0,02;0,01;0,01;0,03;0,03;0,03;0,03;0,04;0,03;0,04;0,04;0,03;0,01;0,02;0,02;0,03;0,03;0,02;0,03;0,02;0,01;0,03;0,02;0,05;0,03;0,01;0,02;0,02;0,01;0,02;0,01;0,02;;0,94;
"SDemFish""""";0,03;0,04;0,04;0,04;0,02;0,05;0,04;0,05;0,05;0,04;0,04;0,04;0,04;0,03;0,04;0,03;0,05;0,04;0,03;0,04;0,02;0,04;0,03;0,05;0,04;0,05;0,06;0,04;0,05;0,03;0,04;0,05;0,03;0,03;0,03;0,03;0,05;0,09;;1,52;
"Cape""""";0,01;0,03;0,03;0,02;0,02;0,01;0,01;0,01;0,01;0,03;0,02;0,02;0,03;0,04;0,03;0,02;0,04;0,01;0,03;0,03;0,02;0,02;0,03;0,03;0,01;0,03;0,01;0,01;0,01;0,05;0,03;0,01;0,01;0,02;0,01;0,04;0,04;0,02;;0,86;
"SCrab""""";0,02;0,04;0,03;0,02;0,01;0,02;0,04;0,04;0,04;0,02;0,02;0,04;0,03;0,02;0,04;0,05;0,02;0,04;0,04;0,04;0,06;0,04;0,04;0,02;0,03;0,05;0,06;0,04;0,05;0,02;0,02;0,06;0,05;0,02;0,07;0,02;0,02;0,02;;1,28;
"Polych""""";0,01;0,03;0,01;0,03;0,01;0,02;0,03;0,04;0,04;0,02;0,01;0,02;0,02;0,01;0,03;0,04;0,01;0,03;0,04;0,03;0,05;0,02;0,03;0,04;0,04;0,03;0,02;0,02;0,04;0,01;0,03;0,02;0,02;0,02;0,06;0,02;0,02;0,02;;0,98;
"BivalvMollu""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,02;0,03;0,03;0,01;0,01;0,03;0,01;0,03;0,02;0,03;0,01;0,04;0,01;0,01;0,02;0,01;0,01;0,05;0,01;0,04;0,08;;0,75;
"OBI""""";0,02;0,04;0,04;0,04;0,02;0,05;0,04;0,04;0,04;0,04;0,04;0,02;0,02;0,02;0,04;0,05;0,02;0,04;0,04;0,04;0,06;0,04;0,03;0,02;0,04;0,03;0,02;0,03;0,04;0,02;0,03;0,03;0,03;0,05;0,06;0,02;0,02;0,02;;1,26;
"Bird""""";0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,03;0,03;0,03;0,01;0,01;0,02;0,01;0,03;0,01;0,01;0,02;0,02;0,03;0,01;0,03;0,03;0,04;0,03;0,02;0,04;0,02;0,04;0,01;0,01;0,02;0,01;0,02;0,02;;0,8;
