TI3;"RaySha""""";"MorEel""""";"SnaGru""""";"LizFish""""";"CarangO""""";"Lscian""""";"CatFish""""";"FlatFish""""";"PreCrab""""";"SdemFish""""";"Shrimp""""";"Spela""""";"EpBenth""""";"Squid""""";"EndBenth""""";"Zoopl""""";"Bird""""";"MicroPhyto""""";"Mangr""""";"Phyto""""";;SUM
"MorEel""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Phyto""""";0;0;0,03;0,03;0,08;0,03;0,03;0,08;0,05;0,13;0,15;0,23;0,23;0,1;0,18;0,23;0,08;0,13;0,1;0;;1,83
"PreCrab""""";0;0;0,03;0,03;0,05;0,03;0,03;0,05;0;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;;0,75
"RaySha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"SdemFish""""";0;0;0,03;0,03;0,08;0,03;0,03;0,08;0,05;0;0,13;0,13;0,13;0,1;0,13;0,13;0,08;0,13;0,1;0,13;;1,45
"Shrimp""""";0;0;0,03;0,03;0,08;0,03;0,03;0,08;0,05;0,13;0;0,15;0,15;0,1;0,15;0,15;0,08;0,13;0,1;0,15;;1,58
"SnaGru""""";0;0;0;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;;0,43
"Spela""""";0;0;0,03;0,03;0,08;0,03;0,03;0,08;0,05;0,13;0,15;0;0,3;0,1;0,18;0,3;0,08;0,13;0,1;0,23;;1,98
"Squid""""";0;0;0,03;0,03;0,08;0,03;0,03;0,08;0,05;0,1;0,1;0,1;0,1;0;0,1;0,1;0,08;0,1;0,1;0,1;;1,28
"Zoopl""""";0;0;0,03;0,03;0,08;0,03;0,03;0,08;0,05;0,13;0,15;0,3;0,38;0,1;0,18;0;0,08;0,13;0,1;0,23;;2,05
