Species                 Kbu       Ktd      Kdir    Kindir         K
RaySha              0.08333   8.35087   2.70119   5.73301   8.43420
MorEel              0.00000  16.68883   3.26071  13.42812  16.68883
SnaGru              0.47344   3.29691   2.02983   1.74051   3.77035
LizFish             0.28926   2.47282   1.21634   1.54573   2.76207
Lscian              0.18182   4.65124   2.04607   2.78699   4.83305
CarangO             0.24583   1.44363   0.97940   0.71006   1.68946
Squid               1.30460   0.46238   1.22107   0.54592   1.76699
CatFish             0.28926   1.01904   0.79968   0.50862   1.30829
Bird                0.00000   1.31117   0.71905   0.59212   1.31117
SdemFish            1.54796   1.57822   2.10483   1.02135   3.12618
FlatFish            0.98477   0.81655   1.08420   0.71713   1.80132
PreCrab             0.96542   0.99994   1.27587   0.68950   1.96536
Shrimp              3.34302   1.21528   2.93817   1.62013   4.55829
Spela               2.48767   0.38889   1.96198   0.91458   2.87656
EndBenth            2.53416   0.97222   2.05397   1.45241   3.50638
Zoopl               6.17178   0.25000   2.25996   4.16183   6.42178
EpBenth             3.44342   0.97222   2.80483   1.61081   4.41564
Phyto              10.91001   0.00000   2.00000   8.91001  10.91001
MicroPhyto          3.22699   0.00000   0.84286   2.38413   3.22699
Mangr               2.86300   0.00000   0.70000   2.16300   2.86300
