TI3;"Phyto""""";"MicroMesoZoopl""""";"MacroZoopl""""";"Jelly""""";"Sard""""";"SpelaFish""""";"SupBenth""""";"DemFishThree""""";"Anch""""";"HorMack""""";"Mack""""";"Crab""""";"Gadi""""";"FlatFish""""";"DemFishOne""""";"Shri""""";"NorLobs""""";"MantShri""""";"VulHake""""";"DemSkate""""";"DemFishTwo""""";"Polych""""";"OctoCepha""""";"Mull""""";"BenthInv""""";"DemSha""""";"Turtle""""";"SquidCepha""""";"CongEel""""";"AngFish""""";"STuniAtlBoni""""";"LpelaFish""""";"NonVulHake""""";"Dolph""""";"TurBrill""""";"Bird""""";;SUM;
"VulHake""""";0,02;0,02;0,02;0,01;0,04;0,05;0,04;0,04;0,04;0,02;0,02;0,03;0,02;0,02;0,03;0,03;0,02;0,02;0,03;0,02;0,04;0,02;0,02;0,02;0,05;0,02;0,04;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,02;0,03;;0,91;
"DemSkate""""";0;0,01;0,01;0;0,01;0,01;0,04;0,03;0,01;0,01;0,01;0,03;0,01;0,02;0,03;0,03;0,02;0,02;0,01;0,03;0,01;0,02;0,04;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,06;0,01;;0,62;
"DemFishTwo""""";0,02;0,03;0,04;0,01;0,05;0,06;0,06;0,06;0,03;0,06;0,06;0,05;0,08;0,06;0,05;0,05;0,04;0,04;0,07;0,03;0,05;0,07;0,06;0,04;0,06;0,07;0,04;0,03;0,03;0,04;0,03;0,03;0,08;0,03;0,03;0,1;;1,71;
"Polych""""";0;0,01;0,02;0;0,01;0,01;0,02;0,01;0,01;0,04;0,01;0,04;0,07;0,05;0,03;0,04;0,02;0,08;0,02;0,02;0,04;0,04;0,05;0,11;0,03;0,02;0,02;0,02;0,01;0,02;0,01;0,01;0,02;0,01;0,02;0,01;;0,98;
"OctoCepha""""";0;0,01;0,01;0;0,02;0,01;0,02;0,02;0,01;0,02;0,01;0,04;0,02;0,02;0,04;0,02;0,06;0,03;0,02;0,07;0,04;0,05;0,04;0,03;0,06;0,06;0,04;0,05;0,01;0,07;0,01;0,01;0,06;0,01;0,02;0,02;;1,05;
"Mull""""";0;0;0;0;0;0,01;0,01;0;0,01;0,01;0;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,04;0,01;0,03;0,04;0,01;0,03;0;0,01;0;0;0;0,01;0;0,06;0;;0,42;
"BenthInv""""";0;0,01;0,01;0;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,04;0,02;0,02;0,04;0,04;0,06;0,09;0,05;0,02;0,04;0,03;0,06;0,12;0,07;0,06;0,39;0,01;0,01;0,02;0,01;0,01;0,02;0,01;0,02;0,01;;1,4;
"DemSha""""";0,01;0,01;0,01;0,01;0,04;0,01;0,02;0,04;0,04;0,02;0,02;0,03;0,02;0,02;0,03;0,03;0,06;0,02;0,02;0,02;0,04;0,02;0,05;0,02;0,06;0,03;0,04;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,03;;0,91;
"Turtle""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0,01;0,04;0;0,03;0;0;0;0;0;0;0;0;0;;0,12;
"SquidCepha""""";0,01;0,02;0,02;0,01;0,05;0,02;0,02;0,04;0,06;0,05;0,05;0,03;0,02;0,02;0,03;0,04;0,02;0,02;0,02;0,02;0,02;0,02;0,05;0,01;0,02;0,02;0,01;0,04;0,04;0,06;0,03;0,09;0,03;0,08;0,02;0,03;;1,14;
"CongEel""""";0;0,01;0,01;0;0,01;0,01;0,01;0,03;0,04;0,01;0,01;0,02;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,03;0,01;0,01;0,01;0,01;0,06;0,01;0,01;;0,46;
"AngFish""""";0;0,01;0,02;0;0,01;0,01;0,02;0,03;0,01;0,01;0,01;0,02;0,06;0,05;0,03;0,03;0,05;0,01;0,01;0,02;0,02;0,02;0,05;0,01;0,02;0,02;0,01;0,04;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;;0,72;
"STuniAtlBoni""""";0,01;0,01;0,01;0,01;0,03;0,04;0,01;0,01;0,04;0,01;0,04;0,01;0,01;0,01;0,01;0,02;0,01;0;0,01;0,01;0,01;0;0;0;0;0,01;0;0,01;0,01;0;0,03;0,02;0,01;0,02;0,01;0,01;;0,47;
"LpelaFish""""";0,01;0,01;0,01;0,01;0,03;0,04;0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0;0,01;0,01;0,01;0;0,01;0;0;0,01;0;0,04;0,01;0,01;0,02;0,03;0,01;0,02;0,01;0,01;;0,47;
"NonVulHake""""";0,01;0,01;0,01;0,01;0,04;0,05;0,01;0,03;0,04;0,02;0,01;0,03;0,01;0,01;0,03;0,01;0,01;0,01;0,02;0,02;0,03;0,01;0,04;0,01;0,01;0,02;0,01;0,02;0,02;0,01;0,02;0,02;0,03;0,02;0,02;0,02;;0,72;
"Dolph""""";0,01;0,02;0,01;0,01;0,04;0,01;0,01;0,02;0,05;0,04;0,05;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,05;0,09;0,01;0,02;0,02;0,01;0,04;0,01;0,02;;0,68;
"TurBrill""""";0,01;0,01;0,01;0,01;0,03;0,04;0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,04;0,03;0,01;0,01;0,01;0,01;0,06;0,01;0,02;0,01;0,1;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,01;0,04;0,02;;0,73;
"Bird""""";0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,03;0,04;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;;0,44;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"Phyto""""";"MicroMesoZoopl""""";"MacroZoopl""""";"Jelly""""";"Sard""""";"SpelaFish""""";"SupBenth""""";"DemFishThree""""";"Anch""""";"HorMack""""";"Mack""""";"Crab""""";"Gadi""""";"FlatFish""""";"DemFishOne""""";"Shri""""";"NorLobs""""";"MantShri""""";"VulHake""""";"DemSkate""""";"DemFishTwo""""";"Polych""""";"OctoCepha""""";"Mull""""";"BenthInv""""";"DemSha""""";"Turtle""""";"SquidCepha""""";"CongEel""""";"AngFish""""";"STuniAtlBoni""""";"LpelaFish""""";"NonVulHake""""";"Dolph""""";"TurBrill""""";"Bird""""";;SUM;
"Anch""""";0,01;0,04;0,03;0,01;0,17;0,1;0,04;0,11;0;0,06;0,06;0,1;0;0,01;0,14;0,1;0,01;0;0,01;0,01;0,07;0;0,04;0,01;0,03;0,01;0;0,07;0,03;0,01;0;0,01;0,01;0,06;0;0;;1,38;0,037880867
"AngFish""""";0;0;0,03;0;0,03;0;0,04;0,03;0,01;0,01;0,01;0,07;0;0,01;0,07;0,07;0,03;0;0;0,01;0,04;0,04;0,04;0;0,03;0,03;0;0,03;0;0;0;0;0,01;0,01;0,01;0;;0,68;0,018665935
"BenthInv""""";0;0;0;0;0,04;0,01;0,06;0,03;0,03;0;0;0,13;0;0,01;0,13;0,11;0,06;0,01;0,01;0,01;0,08;0,06;0,08;0,01;0;0,06;0;0,01;0;0,03;0;0;0,01;0;0,01;0;;1;0,027449904
"Bird""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
"CongEel""""";0;0,01;0;0;0,03;0;0;0;0,03;0,03;0,01;0;0;0;0,03;0;0;0;0,01;0;0;0;0;0;0;0,01;0;0,03;0;0;0;0,01;0,01;0,01;0;0;;0,24;0,006587977
"Crab""""";0,01;0,04;0,06;0;0,14;0,07;0,19;0,21;0,1;0,08;0,06;0;0,04;0,1;0,35;0,29;0,1;0,03;0,03;0,03;0,24;0,1;0,15;0,04;0,13;0,06;0;0,08;0;0,07;0,01;0;0,01;0,06;0,04;0;;2,9;0,079604721
"DemFishOne""""";0,03;0,07;0,06;0;0,19;0,08;0,18;0,21;0,14;0,14;0,08;0,35;0,04;0,1;0;0,28;0,1;0,03;0,06;0,03;0,26;0,1;0,15;0,04;0,13;0,07;0;0,11;0,03;0,07;0,01;0,03;0,04;0,06;0,06;0;;3,31;0,090859182
"DemFishThree""""";0,03;0,06;0,06;0,01;0,14;0,07;0,14;0;0,11;0,08;0,07;0,21;0,03;0,06;0,21;0,17;0,06;0;0,01;0;0,15;0,01;0,07;0;0,03;0;0;0,07;0;0,03;0,01;0;0;0,06;0,03;0;;1,96;0,053801812
"DemFishTwo""""";0,01;0,06;0,07;0;0,14;0,06;0,15;0,15;0,07;0,08;0,04;0,24;0,01;0,04;0,26;0,21;0,08;0,03;0,04;0,01;0;0,07;0,1;0,03;0,08;0,04;0;0,07;0;0,04;0,03;0,01;0,03;0,03;0,03;0;;2,32;0,063683777
"DemSha""""";0;0,01;0;0;0,03;0;0,01;0;0,01;0,01;0;0,06;0;0,01;0,07;0,06;0,04;0,01;0,03;0,01;0,04;0,01;0,06;0,01;0,06;0;0;0,03;0,01;0,03;0;0,01;0,03;0,01;0;0;;0,68;0,018665935
"DemSkate""""";0;0;0;0;0,01;0,01;0;0;0,01;0;0;0,03;0;0,01;0,03;0,01;0,01;0;0;0;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0;0,01;0;0;0,01;0;0;0;;0,26;0,007136975
"Dolph""""";0;0,04;0,03;0;0,06;0,01;0,03;0,06;0,06;0,03;0,01;0,06;0;0;0,06;0,06;0;0;0,01;0;0,03;0;0,01;0;0;0,01;0;0,06;0,01;0,01;0,01;0,01;0,01;0;0;0;;0,68;0,018665935
"FlatFish""""";0,01;0,01;0;0;0,03;0,03;0,04;0,06;0,01;0,06;0,04;0,1;0,04;0;0,1;0,06;0,03;0,01;0,01;0,01;0,04;0,01;0,04;0,03;0,01;0,01;0;0,03;0;0,01;0;0;0;0;0;0;;0,85;0,023332418
"Gadi""""";0,01;0,01;0;0;0;0,01;0;0,03;0;0,03;0,01;0,04;0;0,04;0,04;0,03;0,01;0,01;0;0;0,01;0,01;0,03;0,01;0;0;0;0,01;0;0;0;0;0;0;0;0;;0,38;0,010430963
"HorMack""""";0,04;0,07;0,03;0,01;0,1;0,04;0,06;0,08;0,06;0;0,1;0,08;0,03;0,06;0,14;0,06;0,01;0,01;0,04;0;0,08;0,01;0,03;0,01;0;0,01;0;0,07;0,03;0,01;0,01;0,03;0,03;0,03;0,01;0;;1,39;0,038155366
"Jelly""""";0,04;0,04;0,04;0;0,04;0,04;0,01;0,01;0,01;0,01;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,28;0,007685973
"LpelaFish""""";0,01;0,03;0,01;0;0,03;0,01;0;0;0,01;0,03;0;0;0;0;0,03;0;0;0;0,03;0;0,01;0;0;0;0;0,01;0;0,01;0,01;0;0,01;0;0,03;0,01;0,01;0;;0,32;0,008783969
"Mack""""";0,03;0,04;0,01;0,01;0,07;0,04;0,04;0,07;0,06;0,1;0;0,06;0,01;0,04;0,08;0,04;0,01;0;0,01;0;0,04;0;0,01;0;0;0;0;0,06;0,01;0,01;0;0;0;0,01;0;0;;0,89;0,024430414
"MacroZoopl""""";0,06;0,08;0;0,04;0,08;0,07;0,07;0,06;0,03;0,03;0,01;0,06;0;0;0,06;0,06;0,01;0;0,01;0;0,07;0,03;0;0;0;0;0;0,03;0;0,03;0,03;0,01;0,01;0,03;0,03;0;;0,99;0,027175405
"MantShri""""";0;0;0;0;0;0;0;0;0;0,01;0;0,03;0,01;0,01;0,03;0,03;0,01;0;0,01;0;0,03;0,01;0,03;0,03;0,01;0,01;0;0;0;0;0;0;0;0;0;0;;0,28;0,007685973
"MicroMesoZoopl""""";0,07;0;0,08;0,04;0,11;0,08;0,04;0,06;0,04;0,07;0,04;0,04;0,01;0,01;0,07;0,03;0;0;0,03;0;0,06;0;0;0;0;0,01;0;0,06;0,01;0;0,03;0,03;0,03;0,04;0,01;0;;1,11;0,030469393
"Mull""""";0;0;0;0;0,01;0,01;0;0;0,01;0,01;0;0,04;0,01;0,03;0,04;0,03;0,01;0,03;0,01;0,01;0,03;0,01;0,03;0;0,01;0,01;0;0;0;0;0;0;0;0;0;0;;0,38;0,010430963
"NonVulHake""""";0,01;0,03;0,01;0;0,03;0,01;0;0;0,01;0,03;0;0,01;0;0;0,04;0,01;0,01;0;0,03;0,01;0,03;0,01;0,01;0;0,01;0,03;0;0,03;0,01;0,01;0,01;0,03;0;0,01;0,01;0;;0,49;0,013450453
"NorLobs""""";0;0;0,01;0;0,01;0;0,03;0,06;0,01;0,01;0,01;0,1;0,01;0,03;0,1;0,1;0;0,01;0,03;0,01;0,08;0,03;0,07;0,01;0,06;0,04;0;0,03;0;0,03;0;0;0,01;0;0,01;0;;0,92;0,025253912
