Species                 Kbu       Ktd      Kdir    Kindir         K
Jcod                0.46667   2.98889   1.48333   1.97222   3.45556
Acod                0.00000   8.01389   2.11667   5.89722   8.01389
Aherr               0.50000   5.06111   2.15000   3.41111   5.56111
Seal                0.00000   4.98611   1.16667   3.81944   4.98611
Jherr               0.86667   3.06667   1.90000   2.03333   3.93333
Jsprat              2.06667   0.80000   1.40000   1.46667   2.86667
Bmacrof             1.30000   1.69333   2.40000   0.59333   2.99333
Asprat              0.86667   0.80000   0.95000   0.71667   1.66667
Microzoopl          3.64444   1.66667   2.16667   3.14444   5.31111
Mesozoopl           6.28889   3.00000   4.11667   5.17222   9.28889
Pmacrof             0.76667   1.46667   1.31667   0.91667   2.23333
Baci                1.54815   0.00000   0.33333   1.21481   1.54815
Bmeiof              0.76667   0.00000   0.33333   0.43333   0.76667
Sprphyto            2.90370   0.00000   1.00000   1.90370   2.90370
Suphyto             5.78148   0.00000   1.16667   4.61481   5.78148
