#dl VarName2 onesyo
25 44 1
25 45 1
25 46 1
25 47 1
25 48 1
25 49 1
25 50 1
25 51 1
25 54 1
26 32 1
26 33 1
26 34 1
26 35 1
26 36 1
26 37 1
26 42 1
26 50 1
26 51 1
26 52 1
27 31 1
27 32 1
27 33 1
27 34 1
27 35 1
27 36 1
27 37 1
27 38 1
27 39 1
27 42 1
27 43 1
27 50 1
27 51 1
27 52 1
28 32 1
28 33 1
28 34 1
28 35 1
28 36 1
28 37 1
28 38 1
28 39 1
28 42 1
28 43 1
28 44 1
28 45 1
28 46 1
28 47 1
28 48 1
28 49 1
28 50 1
28 51 1
28 52 1
28 53 1
29 32 1
29 33 1
29 35 1
29 36 1
29 37 1
29 38 1
29 39 1
29 42 1
29 43 1
29 44 1
29 45 1
29 46 1
29 47 1
29 48 1
29 49 1
29 50 1
29 51 1
29 52 1
29 53 1
29 54 1
30 32 1
30 35 1
30 36 1
30 37 1
30 42 1
30 43 1
30 44 1
30 45 1
30 46 1
30 48 1
30 49 1
30 50 1
30 51 1
30 52 1
30 53 1
30 54 1
31 34 1
31 39 1
31 42 1
31 43 1
31 44 1
31 46 1
31 49 1
31 50 1
31 51 1
32 33 1
32 35 1
32 36 1
32 37 1
32 39 1
32 42 1
32 45 1
32 50 1
32 51 1
32 52 1
32 53 1
33 37 1
33 42 1
33 43 1
33 44 1
33 45 1
33 46 1
33 47 1
33 48 1
33 49 1
33 50 1
33 51 1
33 52 1
33 53 1
33 54 1
34 35 1
34 37 1
34 38 1
34 39 1
34 42 1
34 43 1
34 44 1
34 46 1
34 48 1
34 51 1
35 33 1
35 36 1
35 37 1
35 42 1
35 43 1
35 44 1
35 45 1
35 46 1
35 47 1
35 48 1
35 49 1
35 50 1
35 51 1
35 52 1
35 53 1
35 54 1
36 42 1
36 43 1
36 44 1
36 45 1
36 46 1
36 47 1
36 48 1
36 49 1
36 50 1
36 51 1
36 52 1
36 54 1
37 36 1
37 42 1
37 43 1
37 44 1
37 45 1
37 46 1
37 47 1
37 48 1
37 49 1
37 50 1
37 51 1
37 52 1
37 53 1
37 54 1
38 33 1
38 35 1
38 36 1
38 37 1
38 42 1
38 43 1
38 44 1
38 45 1
38 46 1
38 47 1
38 51 1
38 52 1
38 53 1
38 54 1
39 33 1
39 35 1
39 36 1
39 37 1
39 42 1
39 43 1
39 44 1
39 45 1
39 46 1
39 47 1
39 48 1
39 49 1
39 51 1
39 52 1
39 53 1
39 54 1
40 13 1
40 15 1
40 16 1
40 17 1
40 19 1
40 21 1
40 22 1
40 23 1
40 24 1
40 25 1
40 52 1
41 31 1
41 32 1
41 33 1
41 34 1
41 35 1
41 36 1
41 37 1
41 38 1
41 39 1
41 50 1
41 51 1
41 52 1
42 56 1
43 56 1
44 56 1
45 56 1
46 56 1
47 56 1
48 56 1
49 47 1
49 54 1
49 56 1
50 47 1
50 56 1
51 56 1
52 56 1
53 56 1
54 56 1
55 56 1
57 40 1
57 41 1
57 55 1
58 40 1
58 41 1
58 54 1
59 40 1
59 41 1
60 40 1
61 41 1
62 40 1
62 41 1
