TI3;"Phyto""""";"MicroZoopl""""";"Copyp""""";"Mysid""""";"UpoAfri""""";"FishLarv""""";"ZooplEater""""";"BenthMicroAl""""";"MeioFau""""";"Det""""";"Graz""""";"SuspFeed""""";"CalliaKra""""";"Sol""""";"Herb""""";"BenthFeed""""";"Epiph""""";"FreeWat""""";"AttWat""""";"SedBaci""""";"CarnMac""""";"Pisci""""";"SkipJack""""";"Grunter""""";"Leer""""";"DuskyKob""""";"CatFish""""";"Bird""""";;SUM;;;
"MeioFau""""";0;0;0,01;0,01;0,02;0,01;0,01;0,07;0,05;0,03;0,03;0,03;0,03;0,05;0,06;0,04;0,05;0;0,01;0,08;0,07;0,06;0,02;0,08;0,04;0,03;0,02;0,02;;0,93;;;
"MicroZoopl""""";0,1;0,13;0,09;0,07;0,01;0,05;0,02;0;0;0;0;0;0;0;0;0,01;0;0,45;0,03;0;0;0,01;0,01;0;0;0;0;0;;1,01;;;
"Mysid""""";0,13;0,17;0,13;0,08;0,04;0,15;0,08;0,01;0,01;0,02;0,01;0,02;0,01;0;0,02;0,04;0,01;0,11;0,14;0,01;0,02;0,06;0,07;0,01;0,02;0,02;0,02;0,02;;1,43;;;
"Phyto""""";0,07;0,15;0,11;0,09;0,06;0,14;0,06;0;0;0,01;0,01;0,01;0,01;0;0,01;0,02;0;0,1;0,06;0;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,02;;0,99;;;
"Pisci""""";0,03;0,02;0,03;0,06;0,06;0,03;0,06;0,03;0,08;0,07;0,03;0,07;0,03;0,02;0,07;0,05;0,04;0,01;0,03;0,04;0,08;0,04;0,04;0,03;0,04;0,04;0,03;0,03;;1,16;;;
"SedBaci""""";0;0;0,01;0,01;0,02;0,01;0,01;0,05;0,09;0,07;0,03;0,07;0,09;0,15;0,07;0,05;0,04;0;0;0,06;0,08;0,03;0,02;0,05;0,03;0,03;0,03;0,03;;1,12;;;
"SkipJack""""";0,03;0,02;0,03;0,06;0,07;0,03;0,06;0,02;0,02;0,06;0,03;0,06;0,03;0,01;0,06;0,04;0,04;0,01;0,03;0,02;0,03;0,03;0,04;0,02;0,03;0,03;0,07;0,04;;1,03;;;
"Sol""""";0;0;0;0;0,01;0;0;0,06;0,02;0,02;0,02;0,01;0,02;0,04;0,01;0,01;0,01;0;0;0,06;0,01;0,01;0,01;0,06;0;0,01;0,01;0,01;;0,42;;;
"SuspFeed""""";0,01;0;0,01;0,02;0,03;0,01;0,03;0,07;0,04;0,04;0,04;0,05;0,04;0,03;0,04;0,05;0,03;0;0,02;0,08;0,08;0,07;0,07;0,03;0,04;0,08;0,07;0,1;;1,18;;;
"UpoAfri""""";0,08;0,03;0,04;0,04;0,05;0,03;0,04;0,02;0,02;0,03;0,02;0,03;0,03;0,02;0,02;0,05;0,02;0,01;0,12;0,02;0,02;0,06;0,07;0,08;0,02;0,08;0,07;0,1;;1,25;;;
"ZooplEater""""";0,11;0,05;0,1;0,09;0,05;0,06;0,07;0,02;0,02;0,03;0,03;0,04;0,03;0;0,03;0,05;0,03;0,04;0,14;0,02;0,04;0,07;0,08;0,02;0,15;0,08;0,07;0,1;;1,62;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WI3;"Phyto""""";"MicroZoopl""""";"Copyp""""";"Mysid""""";"UpoAfri""""";"FishLarv""""";"ZooplEater""""";"BenthMicroAl""""";"MeioFau""""";"Det""""";"Graz""""";"SuspFeed""""";"CalliaKra""""";"Sol""""";"Herb""""";"BenthFeed""""";"Epiph""""";"FreeWat""""";"AttWat""""";"SedBaci""""";"CarnMac""""";"Pisci""""";"SkipJack""""";"Grunter""""";"Leer""""";"DuskyKob""""";"CatFish""""";"Bird""""";;SUM;;;
"AttWat""""";5,55554E+13;1,30732E+15;2,27155E+15;3,46208E+14;2,69629E+14;1613518056;9,18961E+13;2,9971E+14;1,07879E+12;2,42341E+13;6,10587E+13;1,98597E+12;4,56136E+13;5,65088E+11;6,97277E+13;2,73188E+12;0;7,40421E+12;6468317736;2,52704E+11;8,37744E+13;1,4317E+13;2,13233E+12;9,40703E+12;14216394267;6,16158E+12;4,53518E+11;1,3392E+12;;4974131092526110,00;;thresold:;16258459333862600,00
"BenthFeed""""";1,96391E+16;4,15933E+16;7,39267E+16;1,97706E+16;3,40733E+16;1,72312E+11;5,68516E+15;2,28277E+19;5,67081E+16;9,50564E+17;4,45264E+17;2,35353E+18;9,94238E+16;3,18498E+16;9,34792E+17;2,44869E+17;1,61372E+12;6,0242E+15;1,29764E+13;1,50484E+16;8,59383E+17;1,78247E+16;4,08635E+15;1,78189E+16;8,5275E+15;3,79355E+16;5,78009E+15;3,48304E+16;;29146622348566500000,00;;;16258459333862600,00
"BenthMicroAl""""";1,14916E+16;2,33623E+15;2,41041E+15;8,29391E+15;3,20052E+16;1,47358E+11;4,0789E+15;2,47321E+17;3,52712E+18;7,35209E+19;3,2807E+19;1,83442E+20;6,84042E+18;2,47841E+18;7,06143E+19;9,61165E+18;51385791588;0;5,99419E+14;1,66138E+16;3,52922E+16;6,98232E+15;9,05446E+14;6,6133E+15;2,77838E+14;3,78491E+15;1,20653E+15;2,77054E+15;;383225030036127000000,00;;;
