"Id"	"Names"	"trophic_position"	"xaxis"
0	0	0	0.989493162804588
1	1	0	-1.95067828951302
2	2	0	-1.98388050784057
3	3	0	-1.57568369632498
4	4	0	1.9751075890092
5	5	0	-2.87181101921289
6	6	0	-1.4113073742069
7	7	0	-0.895013368679515
8	8	0	0.308534848416537
9	9	0	2.76476237809672
10	10	0	1.35167978158834
11	11	0	-2.52204684800558
12	12	1.33333333333333	-1.7593084204625
13	13	1.21212121212121	-1.81678659464371
14	14	1.52740552944121	0.158347558856613
15	15	1.5	1.42007340654472
16	16	1.3765903307888	0.401057993560142
17	17	1.38956743002545	1.9914048002602
18	18	1.30696275734444	1.39424889459266
19	19	1.33333333333333	1.22912533488881
20	20	1.59812540545916	1.74858976174698
21	21	1.66762048031639	2.26939084773993
22	22	1.6755569882529	-0.117629465233256
23	23	1.32231404958678	-0.392375569886819
24	24	1.35454545454545	-2.36820475708211
25	25	0	0.695096432007208
26	26	0	2.26799781978882
27	27	0	-1.91274828054831
28	28	0	1.392844836705
29	29	0	2.72632129705559
30	30	1.5	-0.0113677667891063
31	31	1.33333333333333	-1.73677836459939
32	32	1.84400063176183	-0.144888540265717
33	33	1.5	0.964632465908163
34	34	2.00076759061834	-2.02311353966855
35	35	1.96963436784332	2.36614729327219
36	36	2.06997236042012	0.924340068758629
37	37	1.5	1.33031071549808
38	38	1.76190476190476	1.33356412384264
39	39	1	0.396428987652338
40	40	1	-0.563413439302384
41	41	1.8246268918543	0.719789629616435
42	42	1.89271551603014	0.673108697245861
43	43	1.91141359636109	-2.17583822484477
44	44	1.92949237553428	2.34724391679807
45	45	1.95183099041708	-0.91318068385416
46	46	1.98939354387684	-2.841458180573
47	47	1.85229478775601	-1.27990625915017
48	48	1.85229478775601	1.95993559911843
49	49	1.74181572199573	2.62057053105141
50	50	1.88799357939729	-1.56245014762876
51	51	1.73501149384545	2.56996861802808
52	52	1.83351325636914	1.51590517282056
53	53	1.96431280460621	-0.638749045846847
54	54	1	2.27731611158389
55	55	2.88333638184282	-2.12634071123937
56	56	0	-0.77847597591989
57	57	0	-1.52704702663781
58	58	0	1.9924155935812
59	59	0	-0.898313838534234
60	60	0	1.31459995046567
61	61	0	1.50486869618409
