TI3;"ProdPrim""""";"Zoopl""""";"SuspFeed""""";"ShriPrawn""""";"Echino""""";"Bivalv""""";"Scall""""";"Lobs""""";"Sdemers""""";"Pil""""";"Cepha""""";"CarnZoopl""""";"Sgado""""";"Mull""""";"Sole""""";"Gurna""""";"Whit""""";"Cod""""";"RayDogFish""""";"Poll""""";"JohnDo""""";"Sande""""";"Herr""""";"Sprat""""";"Mack""""";"Scad""""";"BaskSha""""";"Bird""""";"Jbass""""";"Jplai""""";"Jwhit""""";"DepoFeed""""";"Whelk""""";"Plai""""";"Dab""""";"OFlatFish""""";"LBottFish""""";"Bream""""";"Bass""""";"Jcod""""";"Crab""""";"CommCrab""""";"Hake""""";"Seal""""";"ToothCet""""";"OvWint""""";"Sha""""";"Jsole""""";;SUM
"Sha""""";0;0;0;0;0;0;0;0;0;0;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0,01;0,01;0,05;0,03;0,02;;0,22
"Jsole""""";0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0,02;;0,1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"ProdPrim""""";"Zoopl""""";"SuspFeed""""";"ShriPrawn""""";"Echino""""";"Bivalv""""";"Scall""""";"Lobs""""";"Sdemers""""";"Pil""""";"Cepha""""";"CarnZoopl""""";"Sgado""""";"Mull""""";"Sole""""";"Gurna""""";"Whit""""";"Cod""""";"RayDogFish""""";"Poll""""";"JohnDo""""";"Sande""""";"Herr""""";"Sprat""""";"Mack""""";"Scad""""";"BaskSha""""";"Bird""""";"Jbass""""";"Jplai""""";"Jwhit""""";"DepoFeed""""";"Whelk""""";"Plai""""";"Dab""""";"OFlatFish""""";"LBottFish""""";"Bream""""";"Bass""""";"Jcod""""";"Crab""""";"CommCrab""""";"Hake""""";"Seal""""";"ToothCet""""";"OvWint""""";"Sha""""";"Jsole""""";;SUM
"BaskSha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Bass""""";0;0,01;0;0;0;0;0;0;0,01;0;0,01;0,01;0;0;0;0;0,01;0,01;0,01;0;0;0,01;0,01;0;0;0;0;0,01;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;;0,13
"Bird""""";0,01;0,04;0;0;0;0;0;0;0,02;0,01;0,03;0,01;0;0;0;0;0,03;0,03;0,05;0;0,01;0,02;0,02;0,02;0,03;0,01;0;0;0;0;0,01;0,04;0;0;0;0;0,02;0;0,01;0;0,01;0;0,03;0,02;0,04;0,01;0,01;0;;0,56
"Bivalv""""";0,05;0,09;0,09;0,13;0,08;0;0,01;0,06;0,19;0,02;0,08;0;0,05;0,01;0;0;0,1;0,05;0,19;0,03;0;0;0,03;0;0;0,04;0;0;0;0;0,03;0,19;0,03;0;0,02;0,03;0,08;0,03;0;0;0,11;0;0,04;0,02;0,02;0;0;0;;1,94
"Bream""""";0,03;0,02;0,02;0,01;0,03;0,03;0;0,03;0,05;0,01;0,02;0;0,03;0,01;0;0;0,03;0,02;0,05;0,02;0;0,01;0,02;0,01;0;0,04;0;0;0;0;0;0,05;0,02;0;0,02;0,03;0,02;0;0;0;0,02;0;0;0,01;0,02;0,02;0;0;;0,73
"CarnZoopl""""";0;0,01;0;0;0;0;0;0;0,01;0;0,01;0;0;0;0;0;0,01;0,01;0,01;0;0;0,01;0,01;0;0;0;0;0,01;0;0;0;0,01;0;0;0;0;0;0;0,01;0;0;0;0;0,01;0;0;0;0;;0,13
"Cepha""""";0,01;0,1;0,04;0,06;0,02;0,08;0,01;0,01;0,16;0,03;0;0,01;0,03;0,02;0;0;0,09;0,07;0,18;0,04;0;0,04;0,06;0,01;0,01;0,05;0;0,03;0;0;0,03;0,16;0;0,01;0;0,01;0,11;0,02;0,01;0;0,09;0;0,04;0,06;0,07;0,06;0,02;0;;1,9
"Cod""""";0,01;0,15;0,03;0,09;0,01;0,05;0;0,01;0,18;0,01;0,07;0,01;0,04;0;0;0;0,16;0;0,19;0,05;0,01;0,06;0,09;0,04;0,02;0,04;0;0,03;0;0;0,05;0,2;0,01;0,01;0;0,02;0,13;0,02;0,01;0;0,1;0;0,04;0,06;0,05;0,02;0;0;;2,09
"CommCrab""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Crab""""";0,02;0,18;0,03;0,18;0,03;0,11;0;0,03;0,25;0,03;0,09;0;0,07;0,02;0;0;0,16;0,1;0,24;0,03;0,01;0,05;0,08;0,03;0,01;0,07;0;0,01;0;0;0,07;0,26;0,02;0;0,01;0,01;0,18;0,02;0;0;0;0;0,06;0,04;0,04;0,03;0;0;;2,6
"Dab""""";0,02;0,01;0,01;0,01;0,02;0,02;0;0,02;0,02;0;0;0;0,02;0;0;0;0,01;0;0,02;0,01;0;0;0;0;0;0,02;0;0;0;0;0;0,02;0,01;0;0;0,02;0,01;0,02;0;0;0,01;0;0;0;0;0;0;0;;0,31
