TI3;"Phyto""""";"MicroMesoZoopl""""";"MacroZoopl""""";"Jelly""""";"Sard""""";"OSPelaFish""""";"SupBenth""""";"BenthInv""""";"Mull""""";"DemFishOne""""";"BenthPelaFish""""";"Anch""""";"HorMack""""";"Mack""""";"Shri""""";"Crab""""";"NorLobs""""";"Ahake""""";"BlueWhit""""";"DemSha""""";"FinWhale""""";"FlatFish""""";"PoorCod""""";"Jhake""""";"DemFishThree""""";"Polych""""";"BenthCepha""""";"BenthPelaCepha""""";"AngFish""""";"AtlBoni""""";"SwordFishTuna""""";"CongEel""""";"DemFishTwo""""";"LogTurtle""""";"Dolph""""";"AudGull""""";;SUM;
"BlueWhit""""";0,01;0,01;0,04;0,01;0,01;0,02;0,01;0,04;0,02;0,02;0,03;0,03;0,05;0,02;0,02;0,02;0,02;0,05;0,04;0,06;0,03;0,02;0,02;0,02;0,04;0,04;0,02;0,04;0,06;0,01;0,02;0,08;0,02;0,03;0,08;0,01;;1,06;
"DemSha""""";0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,04;0,01;0,01;0,03;0,05;0,02;0,02;0,03;0,02;0,02;0,01;0,05;0,03;0,01;0,02;0,02;0,01;0,01;0,04;0,04;0,02;0,01;0,01;0,01;0,02;0,01;0,03;0,02;0;;0,73;
"FinWhale""""";0,01;0,01;0,03;0,01;0,01;0,04;0;0;0;0;0,01;0,01;0,01;0,01;0,01;0;0,01;0;0,01;0,01;0,03;0;0;0;0;0,01;0;0,03;0;0,01;0,01;0;0;0;0,01;0;;0,3;
"FlatFish""""";0;0,01;0,01;0,01;0,01;0,01;0,04;0,04;0,02;0,03;0,03;0,01;0,01;0,02;0,04;0,02;0,02;0,02;0,01;0,02;0,01;0,03;0,02;0,02;0,02;0,04;0,04;0,01;0,05;0,01;0,01;0,02;0,02;0,02;0,01;0;;0,71;
"PoorCod""""";0,01;0,01;0,01;0,01;0,01;0,01;0,05;0,02;0,02;0,03;0,04;0,01;0,02;0,02;0,04;0,04;0,02;0,02;0,02;0,02;0,01;0,03;0,04;0,03;0,04;0,04;0,05;0,04;0,02;0,01;0,01;0,02;0,13;0,01;0,02;0,01;;0,94;
"Jhake""""";0,01;0,01;0,02;0,01;0,01;0,01;0,05;0,05;0,03;0,04;0,04;0,01;0,02;0,02;0,04;0,04;0,02;0,05;0,02;0,02;0,01;0,03;0,03;0,04;0,04;0,04;0,02;0,02;0,06;0,01;0,01;0,02;0,14;0,03;0,01;0,01;;1,05;
"DemFishThree""""";0,02;0,03;0,02;0,02;0,06;0,06;0,06;0,05;0,08;0,05;0,03;0,06;0,05;0,03;0,03;0,05;0,03;0,06;0,06;0,03;0,02;0,03;0,06;0,06;0,04;0,05;0,05;0,03;0,07;0,03;0,03;0,04;0,04;0,03;0,03;0,04;;1,52;
"Polych""""";0,02;0,03;0,03;0,02;0,02;0,06;0,04;0,03;0,08;0,04;0,05;0,03;0,05;0,06;0,05;0,05;0,03;0,03;0,06;0,07;0,03;0,07;0,07;0,06;0,05;0,04;0,06;0,05;0,03;0,03;0,03;0,03;0,04;0,02;0,04;0,01;;1,49;
"BenthCepha""""";0,01;0,01;0,02;0,01;0,01;0,02;0,03;0,05;0,02;0,04;0,02;0,02;0,02;0,02;0,05;0,04;0,08;0,02;0,03;0,07;0,02;0,07;0,06;0,02;0,04;0,05;0,04;0,05;0,02;0,02;0,02;0,02;0,03;0,04;0,08;0,01;;1,14;
"BenthPelaCepha""""";0,03;0,02;0,03;0,01;0,06;0,08;0,02;0,04;0,02;0,03;0,05;0,07;0,05;0,02;0,04;0,04;0,03;0,02;0,06;0,03;0,15;0,02;0,06;0,02;0,03;0,05;0,06;0,05;0,02;0,04;0,1;0,03;0,03;0,03;0,1;0,04;;1,57;
"AngFish""""";0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,04;0,02;0,02;0,02;0,01;0,04;0,04;0,02;0,05;0,05;0,02;0,01;0,06;0,02;0,05;0,04;0,02;0,02;0,01;0,04;0,01;0,01;0,08;0,02;0,01;0,01;0,01;;0,82;
"AtlBoni""""";0,02;0,01;0,01;0,01;0,05;0,05;0,01;0,01;0,01;0,01;0,01;0,04;0,01;0,05;0,03;0;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,02;0,01;0;0;0,01;0,04;;0,55;
"SwordFishTuna""""";0,02;0,01;0,01;0,01;0,05;0,05;0,01;0,01;0,01;0,01;0,01;0,05;0,03;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,01;0,03;0,03;0,01;0;0;0,02;0,04;;0,61;
"CongEel""""";0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,04;0,01;0,01;0,01;0,03;0,01;0,02;0,04;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,05;0,01;0,01;0,03;0,01;0;0,02;0;;0,54;
"DemFishTwo""""";0;0;0;0;0;0;0,01;0,03;0;0,01;0,01;0;0;0;0,01;0,01;0,01;0,01;0;0,01;0;0,01;0,04;0,04;0,01;0,01;0,01;0,01;0,01;0;0;0;0,03;0,02;0;0;;0,29;
"LogTurtle""""";0;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0,02;0;0;;0,1;
"Dolph""""";0,01;0,01;0,01;0,01;0,01;0,05;0,01;0,01;0,01;0,01;0,03;0,05;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,04;0,04;0,01;0,02;0,02;0,02;0;0,01;0,03;0;;0,57;
"AudGull""""";0,01;0;0;0;0,04;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0,01;0;0;0;0;0,03;;0,13;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"Phyto""""";"MicroMesoZoopl""""";"MacroZoopl""""";"Jelly""""";"Sard""""";"OSPelaFish""""";"SupBenth""""";"BenthInv""""";"Mull""""";"DemFishOne""""";"BenthPelaFish""""";"Anch""""";"HorMack""""";"Mack""""";"Shri""""";"Crab""""";"NorLobs""""";"Ahake""""";"BlueWhit""""";"DemSha""""";"FinWhale""""";"FlatFish""""";"PoorCod""""";"Jhake""""";"DemFishThree""""";"Polych""""";"BenthCepha""""";"BenthPelaCepha""""";"AngFish""""";"AtlBoni""""";"SwordFishTuna""""";"CongEel""""";"DemFishTwo""""";"LogTurtle""""";"Dolph""""";"AudGull""""";;SUM;
"Phyto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"MicroMesoZoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"MacroZoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Jelly""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Sard""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"OSPelaFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"SupBenth""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"BenthInv""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Mull""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"DemFishOne""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"BenthPelaFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
