TI3;"Phyto""""";"MicroMesoZoopl""""";"MacroZoopl""""";"Jelly""""";"Sard""""";"OSPelaFish""""";"SupBenth""""";"BenthInv""""";"Mull""""";"DemFishOne""""";"BenthPelaFish""""";"Anch""""";"HorMack""""";"Mack""""";"Shri""""";"Crab""""";"NorLobs""""";"Ahake""""";"BlueWhit""""";"DemSha""""";"FinWhale""""";"FlatFish""""";"PoorCod""""";"Jhake""""";"DemFishThree""""";"Polych""""";"BenthCepha""""";"BenthPelaCepha""""";"AngFish""""";"AtlBoni""""";"SwordFishTuna""""";"CongEel""""";"DemFishTwo""""";"LogTurtle""""";"Dolph""""";"AudGull""""";;SUM;
"BenthPelaFish""""";1491232959;10421342101;140428366,8;480491591,6;259359929,9;45181141,34;1137880,8;773467,52;1381820,41;540268,04;3484174,07;87706473,01;11503546,15;4100303,77;28854,64;55088,3;23129,54;2207231,89;1518098,84;22814,19;1784969,29;7383,6;4032,07;52342,04;3264153,85;1211266,72;34197,33;5358663,81;1302,74;8101128,8;101530,41;120888,31;35260,95;5947,51;23752,01;217160,4;;12972843221;
"Anch""""";1544144240;3,20172E+11;3387833939;10444232418;4468287512;673490682,9;700429,53;11326101,4;787929,56;13243953,26;54816545,63;3253346,63;19057529,95;52072035,44;813258,86;1508240,07;716349,73;66429227,35;46966705,41;469128;56047950,8;81961,65;14587,54;227147,21;102185191,1;4252088,56;628876,78;167564944,8;2163,94;253717700,8;3169623,81;1739328,32;712138,23;120449,56;569138,08;6855125,67;;3,4156E+11;
"HorMack""""";697921746,6;55787287349;599222338,6;1861641375;812558265,1;124268132,4;467535,29;2997889,08;554197,16;2348635,56;10065602,88;26680541,93;6563321,5;9789330,4;144970,39;269623,73;133127,13;11599486,94;8180210,17;89505,51;9764309,79;17261,27;15784,25;59919,87;17819804,54;1282843,78;126499,77;29215801,4;2832,25;44173131,26;554566,66;319798,51;128209,68;21173,73;101889,39;1193088,89;;60067580099;
"Mack""""";718661828,4;7161238351;89606411,16;300228548,9;154047563,9;26108369,17;543607,98;436461,8;656405,39;342528,54;2050151,88;41657628,35;5593903,08;2320774,49;19144,37;35817,46;16240,7;1505495,93;1052957,84;12444,49;1258146,95;2738,63;1613,26;16255,19;2278911,62;404873,94;17991,31;3737420,23;667,04;5678209,98;71237,13;54952,29;14265,15;2389,32;14414,95;152624,79;;8519841346;
"Shri""""";22620928,84;3790697,54;551901,91;2329548,18;1860092,92;373617,42;24485,22;161838,47;53234,92;26034,77;30658,06;1382540,07;176035,47;40681,78;3275,38;6546,23;1479,81;7313,28;49205,97;1276,86;1839,19;1339,68;3172,38;3097,11;8276,25;122628,15;7776,39;23456,21;581,69;7287,82;568,56;2097,97;5057,28;770,37;466,4;147,63;;33679956,19;
"Crab""""";44365103,29;7935939,78;1128553,37;4588985,57;3665404,03;733534,63;50574,97;346457,37;101466,18;49632;61974,33;2714832,13;346659,08;80589,28;6931,3;13826,59;3084,63;17754,06;93671,84;2761,74;5676,04;2916,22;6438,12;6627,42;19005,82;321548,35;19360,61;48319,97;1433,04;15521,07;1322,24;5169,95;12583,88;1947,36;1144,68;326,87;;66777077,82;
"NorLobs""""";7066300,44;1501749,48;164276,13;737695,56;580528,77;117113,48;5650,87;13608,75;6968,77;2480,95;8673,58;429809,84;57054,48;12180,52;522,29;1028,21;217,85;640,43;1084,74;259,98;167,3;646,09;182,84;1096,53;977,5;7536,25;8315;2137,7;28,26;344,21;40,29;336,54;9330,61;1571,44;45,71;0;;10740601,4;
"Ahake""""";1311664619;91243377,2;26451769,93;130608957,2;105076456,7;21380957,28;1003063,47;233774,42;1260570,87;135912,24;1655423,92;79715072,82;9942417,38;2258243,9;5162,32;11836,04;1280,86;2304,84;161877,03;692,47;78477,15;2474,21;2589,21;3666,51;3939,85;60848,67;39659,85;27536,87;785,14;8929,68;2068,05;148,04;27347,51;4603,64;1029,33;133,1;;1783078006;
"BlueWhit""""";849209485,1;183637160,8;20701840,91;88863415,45;69903178,57;14078690,69;779264,06;772445,48;825908,17;79858,47;1043692,96;51663375,95;6427307,99;1447817,03;31839,16;57243,9;1988,69;148387,28;39490,53;8467,24;28216,64;7879,12;7535,65;32530,56;80450,36;2844048,78;58765,68;99595,48;8482,76;101932,6;5782,72;64454,62;11499,27;1678,02;9043,61;1031,51;;1293083786;
"DemSha""""";6170670,31;333234,66;127858,23;610018,56;493432,62;99947,15;5014,32;22285,88;7093,41;3301,03;11407,1;375302,4;51146;12444,49;600,88;1227,44;346,65;461,65;6157,99;301,09;3716,01;656,41;340,41;1037,92;1178,14;7791,48;8329,25;2826,56;52,08;141,66;66,78;134,45;9159,59;1536,25;44,67;0;;8369263,49;
"FinWhale""""";276876145,8;55928249,25;6333568,14;28792366,52;22646494,54;4585233,41;212593,54;72674,48;261178,05;24327,52;334681,74;16814385,24;2092352,1;471805,11;324,56;946,01;83,65;19619,29;7695,45;1393,5;1164,54;853,44;651,62;7914,21;7891;165685,9;2608,1;15296,27;134,71;19805,44;249,69;11295,65;2881,98;487,33;962,99;252,37;;415714253,1;
"FlatFish""""";1012182,71;69053,31;34450,74;101803,98;90260,38;16421,02;2504,07;88243,61;4248,46;3451,04;3691,8;65569,32;9863,58;2738,63;630,44;1296,1;861,45;1649,48;5730,27;656,41;2275,83;445,89;1283,1;1348,79;2978,01;32226,09;4270,8;5417,66;214,03;345,12;247,31;351,05;3513,74;544,99;157,97;0,16;;1570927,32;
"PoorCod""""";221618,13;67384,82;24153,82;23631,13;22639,62;3512,67;2707,53;8613,55;2194,29;5672,38;2520,04;14587,54;11274,47;2016,57;1866,1;3576,73;304,74;2157,67;6850,59;425,51;2172,07;1603,87;150,48;1944,9;3009,77;44027,92;21017,94;6266,47;154,14;2622,48;110,55;515,99;22983;3877,71;114,23;64,42;;538343,86;
"Jhake""""";4097040,24;324567,75;98637,11;394629,64;333040,66;64644,5;5213,5;149046,45;8590,5;8542,09;35985,16;249861,93;47079,9;22350,88;2004,01;4050,09;2010,31;3360,97;32530,56;1427,14;29018,77;1854,58;2139,39;3684,74;6948,23;44160,46;22283,02;13115,51;339,55;3423,12;421,84;496,51;23537,81;3876,68;246,56;90,28;;6040250,45;
"DemFishThree""""";2690102821;140422978,8;53768382,87;266370835,6;214772039,3;43726339,9;2058787,85;612514,25;2539379,76;235030,48;3264153,85;163496305,8;20365490,9;4557823,25;7789,42;16894,06;2606,67;5253,14;117018,7;2356,29;42085,33;5956,02;4815,63;10106,52;12123,61;139598,02;97588,11;38505,29;1648,14;12303,69;3991,01;509,78;78601,4;13213,54;1997,25;156,77;;3606908001;
"Polych""""";115767871,5;13868131,86;2228783,62;10926596,2;8930302,91;1910376,11;91404,74;90934,27;1609318,65;1582928,1;1211266,72;6803341,69;1466107,18;809747,88;115414,72;285820,76;20096,66;81131,55;4136798,23;15582,96;883658,11;64452,18;70444,68;64233,4;139598,02;55990,5;524062,23;1046363,43;741,89;254567,08;2297,16;2613,2;580349,33;98109,96;617,49;8046,12;;175748101,1;
"BenthCepha""""";11268294,91;2220167,47;404716,25;1140718,27;1062033,43;182675,3;24044,32;1742273,5;65921,27;55230,93;25648;754652,14;108428,38;26986,97;5489,22;12907,07;16629,99;39659,85;64108,01;12493,87;10432,4;6406,21;25221,53;24308,75;73191,08;393046,68;54980,31;131891,86;3413,17;53956,61;4830,58;4347,81;41282,77;6024,07;2622,01;1605,19;;20070640,18;
"BenthPelaCepha""""";4134800289;233772987,6;83185726,95;410083612,3;330525191,5;67256363,1;3206093,63;1211176,59;3888200,89;339783,47;5023747,32;251347417,2;31302644,36;7007662,93;20696,66;40266,64;5344,24;34421,09;135812,01;5299,79;76481,36;10158,12;9399,71;17884,78;36098,71;980965,71;164864,82;62185,8;5354,26;27522,75;8245,68;9410,58;116235,1;19394,03;5238,89;158,18;;5564742336;
"AngFish""""";40816,8;52075,34;1058,86;3070,03;2645,44;697,93;85,26;429,81;2914,79;3408,66;732,79;1947,55;1820,73;750,42;307,96;716,52;42,39;588,86;6940,44;58,59;404,14;240,78;138,72;277,82;927,08;417,31;2559,88;3212,56;3,75;1862,79;15,48;24,14;2893,92;488,92;3,58;57,53;;134637,58;
"AtlBoni""""";2087249575;130909392,7;41948765,57;207408975,3;167016320,3;34017170,56;1596009,58;360310,75;1949383,07;152125,57;2531602,75;126858850,4;15776118,31;3548881,24;2143,48;4311,41;286,84;3720,7;46333;88,54;33009,07;215,7;1311,24;1555,96;3844,9;79552,21;22481,92;9174,25;1034,89;15006,26;2797,44;76;1511,01;255,53;1386,36;270,27;;2821553848;
"SwordFishTuna""""";31312900,33;620709,47;613851,81;3063032,96;2480725,92;506113,01;23941,68;5523,62;30251,89;3719,98;38073,9;1901774,29;237671,43;53427,85;200,67;440,75;40,29;1034,03;3154,21;50,09;499,39;185,48;66,33;230,1;1496,63;861,44;2415,29;3298,27;10,32;3356,93;48;15,83;2548,12;430,94;15,46;105,42;;40912222,13;
"CongEel""""";17252562,07;138237,52;333871,36;1670996,43;1357036,37;277070,77;13281,32;3137,06;22382,29;8058,59;45333,11;1043596,99;137056,51;41214,22;740,46;1723,32;336,54;74,02;35157,07;100,84;22591,31;263,29;309,59;270,82;191,17;979,95;2173,91;3764,23;16,1;91,2;15,83;12,81;2335,03;386,22;8,12;0,1;;22415376,53;
"DemFishTwo""""";3138950,13;300829,37;113319,18;322774,32;300588,53;51229,04;6658,23;496727,77;12227,45;8102,02;6611,43;213641,47;27473,5;5349,43;892,46;2097,31;4665,3;6836,88;3136,16;3434,84;2881,98;1317,65;6894,9;6419,4;14737,76;108815,5;10320,69;23247,02;964,64;906,6;1274,06;1167,52;5766,5;700,67;727,6;0;;5211687,33;
"LogTurtle""""";176988,9;16948,68;6360,27;18199,15;16944,83;2887,9;375,17;27986,77;679,8;432,18;371,72;12044,96;1512,41;298,66;45,32;108,19;261,91;383,64;152,55;192,03;162,44;68,12;387,77;352,43;825,85;6131,87;502,01;1292,94;54,32;51,11;71,82;64,37;233,56;24,08;40,92;0;;293438,62;
"Dolph""""";5632170;107910;109915,58;548738,06;444963,34;90933,71;4299,11;1125,08;6593,36;2014,71;8907,01;341482,85;43666,88;10811,21;164,61;381,56;45,71;514,67;4932,88;33,5;1925,98;118,47;68,54;134,49;748,97;231,56;1311,01;2095,56;2,38;1663,63;15,46;8,12;1455,2;245,54;3,85;52,58;;7369685,17;
"AudGull""""";11277562,34;788078,79;227526,37;1123435,49;903719,88;183868,31;8623,93;1993,51;10502,75;792,9;13572,53;685512,57;85220,64;19078,1;8,68;18,16;0;11,09;93,77;0;84,12;0,02;6,44;8,21;9,8;502,88;133,77;10,55;6,39;54,05;17,57;0,02;0;0;8,76;0,53;;15330462,94;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WO3;"Phyto""""";"MicroMesoZoopl""""";"MacroZoopl""""";"Jelly""""";"Sard""""";"OSPelaFish""""";"SupBenth""""";"BenthInv""""";"Mull""""";"DemFishOne""""";"BenthPelaFish""""";"Anch""""";"HorMack""""";"Mack""""";"Shri""""";"Crab""""";"NorLobs""""";"Ahake""""";"BlueWhit""""";"DemSha""""";"FinWhale""""";"FlatFish""""";"PoorCod""""";"Jhake""""";"DemFishThree""""";"Polych""""";"BenthCepha""""";"BenthPelaCepha""""";"AngFish""""";"AtlBoni""""";"SwordFishTuna""""";"CongEel""""";"DemFishTwo""""";"LogTurtle""""";"Dolph""""";"AudGull""""";;SUM;
"Ahake""""";0,13;0,13;0,13;0,13;0,13;0,13;0,08;0,11;0,08;0,11;0,13;0,13;0,13;0,13;0,04;0,07;0,01;0;0,11;0,01;0,1;0;0;0,01;0,13;0,08;0,01;0,13;0;0,13;0,04;0,01;0,01;0;0,01;0,01;;2,57;0,0361
"Anch""""";0,29;0,28;0,26;0,26;0,29;0,25;0,11;0,11;0,1;0,11;0,18;0;0,25;0,17;0,04;0,07;0,01;0,13;0,13;0,01;0,1;0;0;0,01;0,14;0,1;0,01;0,14;0;0,14;0,04;0,01;0,01;0;0,01;0,01;;3,79;0,0533
"AngFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0,0000
"AtlBoni""""";0,14;0,14;0,14;0,14;0,14;0,14;0,08;0,11;0,08;0,11;0,14;0,14;0,14;0,13;0,04;0,07;0,01;0,13;0,11;0,01;0,1;0;0;0,01;0,14;0,08;0,01;0,14;0;0;0,04;0,01;0,01;0;0,01;0,01;;2,72;0,0382
"AudGull""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0;0,01;0;;0,43;0,0060
"BenthCepha""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0,01;0,01;0,01;0;0,01;0;0,01;0,01;0,01;0,01;0;0,01;0,01;;0,43;0,0060
"BenthInv""""";0,14;0,13;0,11;0,11;0,11;0,11;0,08;0;0,08;0,11;0,11;0,11;0,11;0,11;0,04;0,07;0,01;0,11;0,11;0,01;0,1;0;0;0,01;0,11;0,08;0,01;0,11;0;0,11;0,04;0,01;0,01;0;0,01;0,01;;2,43;0,0342
"BenthPelaCepha""""";0,17;0,17;0,17;0,17;0,17;0,17;0,08;0,11;0,08;0,11;0,14;0,14;0,14;0,13;0,04;0,07;0,01;0,13;0,11;0,01;0,1;0;0;0,01;0,15;0,08;0,01;0;0;0,14;0,04;0,01;0,01;0;0,01;0,01;;2,9;0,0408
"BenthPelaFish""""";0,18;0,18;0,18;0,18;0,18;0,18;0,11;0,11;0,1;0,11;0;0,18;0,18;0,17;0,04;0,07;0,01;0,13;0,11;0,01;0,1;0;0;0,01;0,14;0,08;0,01;0,14;0;0,14;0,04;0,01;0,01;0;0,01;0,01;;3,14;0,0442
"BlueWhit""""";0,13;0,13;0,11;0,11;0,13;0,11;0,08;0,11;0,08;0,11;0,11;0,13;0,11;0,11;0,04;0,07;0,01;0,11;0;0,01;0,1;0;0;0,01;0,11;0,08;0,01;0,11;0;0,11;0,04;0,01;0,01;0;0,01;0,01;;2,44;0,0343
"CongEel""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0;0,01;0;0,01;0,01;;0,43;0,0060
"Crab""""";0,07;0,07;0,07;0,07;0,07;0,07;0,06;0,07;0,06;0,07;0,07;0,07;0,07;0,07;0,04;0;0,01;0,07;0,07;0,01;0,07;0;0;0,01;0,07;0,07;0,01;0,07;0;0,07;0,04;0,01;0,01;0;0,01;0,01;;1,63;0,0229
"DemFishOne""""";0,11;0,11;0,11;0,11;0,11;0,11;0,08;0,11;0,08;0;0,11;0,11;0,11;0,11;0,04;0,07;0,01;0,11;0,11;0,01;0,1;0;0;0,01;0,11;0,08;0,01;0,11;0;0,11;0,04;0,01;0,01;0;0,01;0,01;;2,39;0,0336
"DemFishThree""""";0,15;0,15;0,15;0,15;0,15;0,15;0,08;0,11;0,08;0,11;0,14;0,14;0,14;0,13;0,04;0,07;0,01;0,13;0,11;0,01;0,1;0;0;0,01;0;0,08;0,01;0,15;0;0,14;0,04;0,01;0,01;0;0,01;0,01;;2,82;0,0397
"DemFishTwo""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0;0;0,01;0,01;;0,43;0,0060
"DemSha""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0;0;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0;0,01;0,01;;0,43;0,0060
"Dolph""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0;0;0,01;;0,43;0,0060
"FinWhale""""";0,1;0,1;0,1;0,1;0,1;0,1;0,08;0,1;0,08;0,1;0,1;0,1;0,1;0,1;0,04;0,07;0,01;0,1;0,1;0,01;0;0;0;0,01;0,1;0,08;0,01;0,1;0;0,1;0,04;0,01;0,01;0;0,01;0,01;;2,17;0,0305
"FlatFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0,0000
"HorMack""""";0,25;0,25;0,25;0,25;0,25;0,25;0,11;0,11;0,1;0,11;0,18;0,25;0;0,17;0,04;0,07;0,01;0,13;0,11;0,01;0,1;0;0;0,01;0,14;0,1;0,01;0,14;0;0,14;0,04;0,01;0,01;0;0,01;0,01;;3,64;0,0512
"Jelly""""";0,29;0,29;0,29;0;0,29;0,28;0,11;0,11;0,1;0,11;0,18;0,26;0,25;0,17;0,04;0,07;0,01;0,13;0,11;0,01;0,1;0;0;0,01;0,15;0,1;0,01;0,17;0;0,14;0,04;0,01;0,01;0;0,01;0,01;;3,89;0,0547
"Jhake""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0;0,01;0,01;;0,43;0,0060
"LogTurtle""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0,0000
"Mack""""";0,17;0,17;0,17;0,17;0,17;0,17;0,11;0,11;0,1;0,11;0,17;0,17;0,17;0;0,04;0,07;0,01;0,13;0,11;0,01;0,1;0;0;0,01;0,13;0,08;0,01;0,13;0;0,13;0,04;0,01;0,01;0;0,01;0,01;;2,99;0,0420
"MacroZoopl""""";0,29;0,29;0;0,29;0,29;0,28;0,11;0,11;0,1;0,11;0,18;0,26;0,25;0,17;0,04;0,07;0,01;0,13;0,11;0,01;0,1;0;0;0,01;0,15;0,1;0,01;0,17;0;0,14;0,04;0,01;0,01;0;0,01;0,01;;3,89;0,0547
"MicroMesoZoopl""""";0,36;0;0,29;0,29;0,31;0,28;0,11;0,13;0,1;0,11;0,18;0,28;0,25;0,17;0,04;0,07;0,01;0,13;0,13;0,01;0,1;0;0;0,01;0,15;0,1;0,01;0,17;0;0,14;0,04;0,01;0,01;0;0,01;0,01;;4,01;0,0564
"Mull""""";0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,08;0;0,08;0,1;0,1;0,1;0,1;0,04;0,06;0,01;0,08;0,08;0,01;0,08;0;0;0,01;0,08;0,07;0,01;0,08;0;0,08;0,04;0,01;0,01;0;0,01;0,01;;2,06;0,0290
"NorLobs""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0;0;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0;0,01;0,01;;0,43;0,0060
"OSPelaFish""""";0,28;0,28;0,28;0,28;0,28;0;0,11;0,11;0,1;0,11;0,18;0,25;0,25;0,17;0,04;0,07;0,01;0,13;0,11;0,01;0,1;0;0;0,01;0,15;0,1;0,01;0,17;0;0,14;0,04;0,01;0,01;0;0,01;0,01;;3,82;0,0537
"Phyto""""";0;0,36;0,29;0,29;0,33;0,28;0,11;0,14;0,1;0,11;0,18;0,29;0,25;0,17;0,04;0,07;0,01;0,13;0,13;0,01;0,1;0;0;0,01;0,15;0,1;0,01;0,17;0;0,14;0,04;0,01;0,01;0;0,01;0,01;;4,07;0,0572
"Polych""""";0,1;0,1;0,1;0,1;0,1;0,1;0,07;0,08;0,07;0,08;0,08;0,1;0,1;0,08;0,04;0,07;0,01;0,08;0,08;0,01;0,08;0;0;0,01;0,08;0;0,01;0,08;0;0,08;0,04;0,01;0,01;0;0,01;0,01;;2,01;0,0283
"PoorCod""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0,0000
"Sard""""";0,33;0,31;0,29;0,29;0;0,28;0,11;0,11;0,1;0,11;0,18;0,29;0,25;0,17;0,04;0,07;0,01;0,13;0,13;0,01;0,1;0;0;0,01;0,15;0,1;0,01;0,17;0;0,14;0,04;0,01;0,01;0;0,01;0,01;;3,99;0,0561
"Shri""""";0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0;0,04;0,01;0,04;0,04;0,01;0,04;0;0;0,01;0,04;0,04;0,01;0,04;0;0,04;0,03;0,01;0,01;0;0,01;0,01;;1,06;0,0149
"SupBenth""""";0,11;0,11;0,11;0,11;0,11;0,11;0;0,08;0,1;0,08;0,11;0,11;0,11;0,11;0,04;0,06;0,01;0,08;0,08;0,01;0,08;0;0;0,01;0,08;0,07;0,01;0,08;0;0,08;0,04;0,01;0,01;0;0,01;0,01;;2,19;0,0308
"SwordFishTuna""""";0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,03;0,04;0,01;0,04;0,04;0,01;0,04;0;0;0,01;0,04;0,04;0,01;0,04;0;0,04;0;0,01;0,01;0;0,01;0,01;;1,06;0,0149
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;71,12;1,0000
