TI3;"Copep""""";"Mollu""""";"Oogli""""";"Mojar""""";"Ofish""""";"Phyto""""";"BenthProd""""";"Worm""""";"MicroCrus""""";"Deca""""";"Ochry""""";"Lrhom""""";"Hjagu""""";"Arhom""""";"CatFish""""";"Hplum""""";"Bchry""""";"Aquad""""";;SUM
"Aquad""""";0,02;0,04;0,03;0,02;0,05;0,02;0,05;0,05;0,05;0,05;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;;0,6
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
TO3;"Copep""""";"Mollu""""";"Oogli""""";"Mojar""""";"Ofish""""";"Phyto""""";"BenthProd""""";"Worm""""";"MicroCrus""""";"Deca""""";"Ochry""""";"Lrhom""""";"Hjagu""""";"Arhom""""";"CatFish""""";"Hplum""""";"Bchry""""";"Aquad""""";;SUM
"Aquad""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Arhom""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Bchry""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"BenthProd""""";0;0,22;0,03;0,06;0,19;0;0;0,17;0,19;0,19;0;0;0;0;0,06;0;0;0;;1,11
"CatFish""""";0;0,06;0;0,03;0,06;0;0,06;0,03;0,06;0,06;0;0;0;0;0;0;0;0;;0,33
"Copep""""";0;0,03;0;0;0;0;0;0;0,03;0;0;0,03;0;0;0;0;0;0;;0,08
"Deca""""";0;0,31;0;0,06;0,31;0;0,19;0,28;0,33;0;0;0,03;0;0;0,06;0;0;0;;1,56
"Hjagu""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Hplum""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Lrhom""""";0,03;0,06;0;0,03;0,03;0;0;0,03;0,06;0,03;0;0;0;0;0;0;0;0;;0,25
"MicroCrus""""";0,03;0,36;0;0,06;0,31;0;0,19;0,28;0;0,33;0;0,06;0;0;0,06;0;0;0;;1,67
"Mojar""""";0;0,08;0,03;0;0,08;0;0,06;0,06;0,06;0,06;0;0,03;0;0;0,03;0;0;0;;0,47
"Mollu""""";0,03;0;0,03;0,08;0,31;0;0,22;0,31;0,36;0,31;0;0,06;0;0;0,06;0;0;0;;1,75
"Ochry""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Ofish""""";0;0,31;0,03;0,08;0;0;0,19;0,28;0,31;0,31;0;0,03;0;0;0,06;0;0;0;;1,58
"Oogli""""";0;0,03;0;0,03;0,03;0;0,03;0;0;0;0;0;0;0;0;0;0;0;;0,11
"Phyto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Worm""""";0;0,31;0;0,06;0,28;0;0,17;0;0,28;0,28;0;0,03;0;0;0,03;0;0;0;;1,42
