dl
n=20
format=fullmatrix
labels:	RedGroup	Snap	Sha	Gru	KingMack	Herr	Porg	Mojar	Trout	Jack	Shri	Lobs	Crab	Octo	Omollu	MicroCrus	Zoopl	Anne	Phyto	BenthProd
data:
0	0	0.058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.087	0	0.032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.067	0.208	0.031	0	0.104	0	0.018	0	0	0.071	0	0	0	0	0	0	0	0	0	0
0.018	0	0.039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.152	0.021	0	0.393	0	0.009	0	0.001	0.517	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.186	0.541	0.026	0	0.093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.006	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.152	0.011	0.024	1.56	0.214	1.728	0.018	2.505	0.007	0.642	0	1.055	4.381	0.411	0	0	0	0	0	0
0.05	0.063	0.021	0	0	0	0	0	0	0	0	0	0	1.232	0	0	0	0	0	0
0.08	0	0.003	0.62	0	0	0	0	0.003	0.125	0	0	0	4.929	0	0	0	0	0	0
0.127	0.279	0.049	0.855	0.061	0	0.009	0.877	0.004	0.178	0	0	0	0	0	0	0	0	0	0
0	0	0	0.534	0	0	0.036	0.626	0.005	0.143	2.388	2.638	2.19	1.643	0	0	0	0	0	0
0	0	0	1.881	0	4.358	0.053	6.263	0.026	0.107	9.553	5.277	6.571	0	1.762	0	0	17.149	0	0
0	0.006	0	2.607	0	4.432	0	1.002	0.023	0	7.164	0.66	2.19	0	10.57	0	0	0	0	0
0	0	0	2.629	0	0.988	0.011	1.253	0.004	0	23.881	2.638	3.286	0	1.762	40.666	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.047	81.333	255.398	0	0	0
0	0	0	0	0	0.839	0.027	0	0	0	4.776	0.923	2.19	0	14.093	0	13.442	51.447	0	0
