Species                Kbu       Ktd      Kdir    Kindir         K
Mpela              0.20000   0.72942   0.75556   0.17387   0.92942
Lsha               0.00000   9.88053   3.58333   6.29720   9.88053
MmesoPela          0.84000   0.48457   1.20556   0.11901   1.32457
Ray                0.20000   3.00424   2.36667   0.83758   3.20424
Mdem               0.20000   2.00167   1.50556   0.69612   2.20167
Sdem               1.01333   1.60134   2.23889   0.37578   2.61467
Sdisc              0.00000   0.88490   0.47222   0.41268   0.88490
Spela              0.24000   0.23457   0.42222   0.05235   0.47457
Penae              0.64267   0.48457   0.87222   0.25501   1.12723
Ocrus              1.80356   0.00000   1.06667   0.73689   1.80356
Cepha              0.88267   0.12346   0.71111   0.29501   1.00612
Zoopl              5.53956   0.11111   3.84444   1.80622   5.65067
SmesoPela          0.00000   0.23457   0.22222   0.01235   0.23457
Phyto             10.19644   0.00000   3.73333   6.46311  10.19644
