Species                 Kbu       Ktd      Kdir    Kindir         K
BalWhale            0.08333   2.15228   1.27538   0.96023   2.23561
ShaMeater           0.00000  13.40517   3.84833   9.55684  13.40517
SSLpup              0.25000   0.00000   0.25000   0.00000   0.25000
TranOrc             0.00000  16.16490   3.50000  12.66490  16.16490
SSLjuv              0.33333   6.34325   2.04336   4.63322   6.67658
SSLad               0.25000   6.45316   2.05093   4.65223   6.70316
Smamm               0.25000   3.04012   1.94375   1.34637   3.29012
ShaSkate            0.27518   8.19051   3.56164   4.90405   8.46569
Sal                 0.66173   0.37693   0.87395   0.16471   1.03866
ToothWhale          0.00000   1.20087   0.82225   0.37863   1.20087
Bird                0.00000   1.71205   0.97933   0.73272   1.71205
Lpela               0.08333   0.42807   0.39776   0.11364   0.51140
Spela               1.60084   0.20903   0.91348   0.89639   1.80987
PacCod              0.64656   3.16083   2.49920   1.30819   3.80739
ArrToo              0.33063   2.34094   1.67013   1.00143   2.67157
DemSM               2.29819   0.72378   2.09474   0.92723   3.02197
Cephalo             3.93164   0.75258   3.19972   1.48450   4.68422
AtkaMack            1.32507   0.91140   1.68898   0.54749   2.23647
Otter               0.00000   0.51701   0.34706   0.16995   0.51701
Halib               0.05544   2.71886   1.49517   1.27914   2.77431
FlatFish            0.48804   2.02309   1.71047   0.80066   2.51113
Lpred               0.58655   0.82316   1.00905   0.40066   1.40972
Sandl               1.63181   0.20903   1.14592   0.69492   1.84085
RockFish            0.48749   0.87428   1.02545   0.33631   1.36177
Herr                1.10420   0.15441   0.84562   0.41298   1.25861
Jpoll               1.44647   0.55511   1.36131   0.64027   2.00158
Apoll               1.18130   0.76437   1.39453   0.55113   1.94566
POP                 0.21132   0.60582   0.58316   0.23399   0.81715
SabFish             0.38490   0.19553   0.42506   0.15537   0.58043
DeepL               0.68221   0.26999   0.74281   0.20939   0.95220
Mycto               3.63719   0.34696   2.18874   1.79541   3.98414
Shri                4.02885   0.11587   1.86446   2.28025   4.14472
EpiCarn             2.78879   0.41670   1.66912   1.53637   3.20549
BenthInv            8.75512   0.14286   3.57975   5.31822   8.89797
Lzoopl             12.15786   0.58824   5.24715   7.49895  12.74610
Szoopl             11.85069   0.50000   3.42722   8.92347  12.35069
Phyto              19.42962   0.00000   1.50000  17.92962  19.42962
Macroph            15.32038   0.00000   2.82500  12.49538  15.32038
