TI3;"Seal""""";"Bird""""";"HalTurBrill""""";"Whit""""";"Odem""""";"Sha""""";"Cod""""";"CrabLobs""""";"Hadd""""";"InshFish""""";"Sal""""";"Mack""""";"Trach""""";"Plai""""";"Sole""""";"NorPout""""";"Cepha""""";"Sande""""";"Sprat""""";"Herr""""";"Cet""""";"Opela""""";"Lzoopl""""";"Szoopl""""";"Gurna""""";"Echino""""";"OBenthInv""""";"PrawnShri""""";"Polych""""";"EpiFau""""";"RaySkate""""";"Saithe""""";"Neph""""";"Eupha""""";"InFau""""";"Phyto""""";;SUM;
"Sprat""""";0,04;0,04;0,02;0,04;0,03;0,04;0,04;0,02;0,04;0,01;0,06;0,04;0,05;0,02;0,02;0,03;0,03;0,02;0,03;0,04;0,02;0,03;0,04;0,02;0,04;0,02;0,02;0,03;0,02;0,01;0,04;0,04;0,02;0,04;0,01;0,02;;1,07;
"Herr""""";0,04;0,04;0,02;0,04;0,03;0,04;0,04;0,02;0,04;0,02;0,06;0,04;0,02;0,02;0,02;0,02;0,03;0,04;0,04;0,03;0,02;0,03;0,04;0,02;0,04;0,02;0,02;0,03;0,02;0,02;0,04;0,04;0,02;0,04;0,02;0,06;;1,15;
"Cet""""";0;0;0;0;0,02;0;0;0;0;0;0,01;0,01;0,01;0;0;0;0,01;0,02;0,01;0,01;0,02;0,02;0,03;0,04;0,01;0;0;0,01;0;0;0;0,01;0,01;0,01;0;0,01;;0,29;
"Opela""""";0,03;0,03;0,05;0,04;0,04;0,03;0,04;0,02;0,04;0,02;0,03;0,05;0,05;0,05;0,06;0,04;0,04;0,04;0,04;0,04;0,1;0,03;0,05;0,06;0,05;0,05;0,04;0,04;0,04;0,02;0,05;0,05;0,05;0,03;0,01;0,02;;1,49;
"Lzoopl""""";0,02;0,02;0,02;0,02;0,03;0,02;0,02;0,01;0,02;0,01;0,05;0,04;0,04;0,01;0,02;0,04;0,03;0,04;0,04;0,04;0,1;0,04;0,03;0,06;0,04;0,01;0,01;0,03;0,02;0,01;0,02;0,04;0,04;0,05;0,02;0,06;;1,12;
"Szoopl""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,04;0,01;0,01;0,01;0,03;0,03;0,01;0,01;0,09;0,03;0,04;0,03;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,04;0,04;0,02;0,06;;0,77;
"Gurna""""";0,02;0,04;0,02;0,04;0,03;0,03;0,04;0,02;0,04;0,02;0,02;0,02;0,02;0,02;0,02;0,04;0,03;0,03;0,04;0,04;0,02;0,03;0,04;0,02;0,03;0,04;0,03;0,03;0,04;0,02;0,04;0,02;0,02;0,02;0,01;0,02;;1;
"Echino""""";0,02;0,04;0,04;0,02;0,03;0,02;0,03;0,05;0,03;0,06;0,01;0,01;0,01;0,05;0,05;0,03;0,02;0,02;0,01;0,01;0,01;0,03;0,01;0,01;0,04;0,03;0,04;0,02;0,04;0,07;0,04;0,02;0,05;0,01;0,03;0,02;;1,04;
"OBenthInv""""";0,02;0,05;0,04;0,03;0,04;0,04;0,04;0,06;0,04;0,07;0,01;0,02;0,02;0,05;0,05;0,02;0,04;0,02;0,02;0,02;0,02;0,04;0,02;0,05;0,04;0,05;0,04;0,04;0,05;0,08;0,05;0,02;0,05;0,02;0,12;0,03;;1,41;
"PrawnShri""""";0,03;0,05;0,05;0,05;0,04;0,05;0,04;0,05;0,05;0,06;0,06;0,05;0,05;0,06;0,06;0,05;0,03;0,05;0,05;0,05;0,03;0,04;0,05;0,06;0,05;0,03;0,04;0,03;0,05;0,03;0,05;0,05;0,03;0,05;0,04;0,07;;1,68;
"Polych""""";0,02;0,04;0,02;0,02;0,03;0,02;0,04;0,05;0,04;0,06;0,02;0,04;0,04;0,05;0,05;0,02;0,04;0,03;0,02;0,02;0,02;0,04;0,02;0,02;0,04;0,05;0,04;0,03;0,03;0,03;0,04;0,02;0,05;0,02;0,04;0,06;;1,22;
"EpiFau""""";0,01;0,03;0,01;0,01;0,02;0,01;0,01;0,04;0,01;0,05;0;0;0;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,01;0,03;0,01;0;0,01;0,01;0,03;0,05;;0,53;
"RaySkate""""";0,02;0,02;0,04;0,02;0,03;0,03;0,02;0,04;0,02;0,02;0,01;0,02;0,01;0,05;0,05;0,03;0,02;0,03;0,03;0,03;0,02;0,03;0,02;0,02;0,04;0,04;0,04;0,03;0,04;0,02;0,03;0,02;0,05;0,02;0,02;0,01;;0,98;
"Saithe""""";0,02;0,02;0,04;0,04;0,02;0,03;0,03;0,01;0,04;0,01;0,02;0,02;0,04;0,04;0,05;0,04;0,04;0,03;0,04;0,04;0,02;0,03;0,04;0,02;0,02;0,02;0,02;0,03;0,02;0,01;0,02;0,03;0,02;0,04;0,01;0,02;;0,96;
"Neph""""";0,01;0,01;0,03;0,01;0,03;0,01;0,03;0,04;0,01;0,02;0,01;0,01;0,01;0,02;0,02;0,01;0,03;0,01;0,01;0,01;0,02;0,03;0,03;0,04;0,01;0,04;0,03;0,01;0,03;0,02;0,03;0,01;0,02;0,03;0,02;0,02;;0,77;
"Eupha""""";0,02;0,02;0,02;0,04;0,03;0,03;0,02;0,01;0,02;0,01;0,05;0,04;0,04;0,01;0,04;0,03;0,02;0,03;0,04;0,04;0,03;0,02;0,04;0,05;0,02;0,01;0,01;0,03;0,02;0,01;0,02;0,04;0,04;0,03;0,02;0,06;;1,02;
"InFau""""";0;0,01;0;0;0;0;0;0,03;0;0,04;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0,01;0,02;0,01;0,01;0,02;0;0;0,01;0;0,03;0,05;;0,3;
"Phyto""""";0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,03;0,04;0,01;0,01;0,01;0,02;0,02;0,05;0,01;0,01;0,01;0,03;0,1;0,03;;0,58;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"Seal""""";"Bird""""";"HalTurBrill""""";"Whit""""";"Odem""""";"Sha""""";"Cod""""";"CrabLobs""""";"Hadd""""";"InshFish""""";"Sal""""";"Mack""""";"Trach""""";"Plai""""";"Sole""""";"NorPout""""";"Cepha""""";"Sande""""";"Sprat""""";"Herr""""";"Cet""""";"Opela""""";"Lzoopl""""";"Szoopl""""";"Gurna""""";"Echino""""";"OBenthInv""""";"PrawnShri""""";"Polych""""";"EpiFau""""";"RaySkate""""";"Saithe""""";"Neph""""";"Eupha""""";"InFau""""";"Phyto""""";;SUM;
