TI3;"Seal""""";"Bird""""";"HalTurBrill""""";"Whit""""";"Odem""""";"Sha""""";"Cod""""";"CrabLobs""""";"Hadd""""";"InshFish""""";"Sal""""";"Mack""""";"Trach""""";"Plai""""";"Sole""""";"NorPout""""";"Cepha""""";"Sande""""";"Sprat""""";"Herr""""";"Cet""""";"Opela""""";"Lzoopl""""";"Szoopl""""";"Gurna""""";"Echino""""";"OBenthInv""""";"PrawnShri""""";"Polych""""";"EpiFau""""";"RaySkate""""";"Saithe""""";"Neph""""";"Eupha""""";"InFau""""";"Phyto""""";;SUM;
"Mack""""";513471,26;139473,15;161788,48;3506502,66;3137993,02;1059802,25;5652813,8;3954895,78;1883797,73;2230190,77;226532,81;4500736,18;12166498,79;3335307,84;1956049,61;2691189,81;6314656,34;8672059,31;12529861,11;33369527,81;344701,36;6009636,96;12326189622;43964316672;559244,74;12642874,14;77076408,55;1805427751;4570399897;29091465478;2077538,89;732143,48;39466224,87;3379625261;951700016,9;5869337368;;1,02205E+11;
"Trach""""";864857,42;238124,65;457035,18;6752800,18;7596921,94;2292673,99;15065769,57;10881034,79;5321830,25;6807440,94;556144,29;10138748,99;24047655,5;9903480,25;5627174,38;6783709,05;10653449,8;22083402,86;30328922,86;84946555,7;565184,02;13686187,92;33373380665;1,19425E+11;1459283,53;36160502,31;118610141,7;4725170675;12413506954;79053017168;5253087,86;1713081,61;75244059;9042204351;2616472348;9318898130;;2,70482E+11;
"Plai""""";308036,05;201857,16;370168,65;1621779,74;4993841,5;416412,4;2957531,38;19916135,95;2020680,71;20953703,97;43040,85;2223538,56;7922784,2;9874848,24;1173619,03;1049342,37;4962251,13;2609559,59;3818811,09;11060735,8;449169,3;10032295,96;5161835687;18333669282;319054,51;455906839,1;997550206,2;821857585,3;1917599787;12390739836;1322287,02;212832,51;42379827,33;1457320329;518671258,3;12343296511;;54551661466;
"Sole""""";105477,09;34492,35;43753,79;572006,6;772700,7;141272,7;514757,1;1393359,7;262663,5;1369146,86;34362,18;1195363,65;4126594,54;1075817,44;168103,84;586718,21;2586351,42;1542346,07;2857917,34;6505916,13;158686,26;1855865,4;1350614486;4743808739;86014,39;23520670,95;77096068,04;243774838,7;494193992,2;3160350606;221148,48;117972,84;15756342,93;399408833,1;113915489,1;2831447848;;13482216722;
"NorPout""""";743136,51;236171,04;100256,38;5120600,46;2579996,25;1325136,71;4064054,43;2849667,23;1144770,84;1371341,06;182891,95;2840700,36;8592698,13;1661458,75;1013422,36;1082497,83;4733222,17;3757640,54;4893121,31;16907498,71;287591,55;4723055,29;9907018268;35185336993;318440,02;23413333,89;95109899,03;1460016207;3662066684;23283949651;1768267,85;697528,64;26984446,02;2721469517;738248472,3;5175785777;;82352394413;
"Cepha""""";927325,78;299910,48;438527,43;7826010,69;7144959,66;2499177,15;14282509,07;10088487,31;5017636,98;6292883,2;537328,1;7717913,31;15625059,71;9097460,41;5172702,83;5480573,04;5279406,39;18086720,27;23368894,8;72887511,25;312987,74;11237807,64;33438516896;1,19789E+11;1297764,9;34340174,09;53581060,32;4607745456;12455035767;79306917488;5062898,69;1704581,9;45315022,1;8972698517;2609328551;4076833424;;2,65627E+11;
"Sande""""";2465729,15;788088,29;315014,62;16985728,96;8278687,96;4336746,68;12585139,48;7308274,12;3521414,13;2774871,32;646799,44;10599183,6;32388990,86;4784192,58;3084692,14;4350952,2;18086720,27;13882800,44;19857915,15;63961174,83;1098446,61;15275858,6;32690130166;1,16028E+11;1079517,63;20017702,51;250440625,9;4868777130;12075691638;76758211136;5446351,53;2416676,76;103119739,6;9007252182;2410722407;18250615399;;2,72719E+11;
"Sprat""""";3975365,67;1295481,05;460061,38;28090595,33;12439064,26;7192322,57;20749420,18;11499118,92;5559367,76;3476238,28;985664,99;13225964,5;38416635,63;6046450,89;4936402,68;4893121,31;20182227,33;17150017,63;21004545,91;83930199,68;1271457,36;21048444,2;55057961112;1,95752E+11;1563443,34;27668187,69;295922150,5;7963612842;20375645580;1,29487E+11;9053456,16;3772577,79;114372763,3;15019553615;4034790267;21059782975;;4,4953E+11;
"Herr""""";7674434,06;2564292,68;899185,14;53113115,13;26662523,28;13771585,09;43938118,8;31033780,29;12034089,06;15143941,66;2106131,18;37077253,13;113262074,3;18434559,67;11828938,41;17797367,06;66261373,86;58146522,57;88347578,61;242217362,7;3728469,44;52189691,39;1,03904E+11;3,68637E+11;4008167,04;364524356,5;1399242509;15608767514;38351829925;2,43705E+11;18511725,97;7539943,44;369655142,8;28731858042;7585665761;69805016580;;8,79411E+11;
"Cet""""";16737,33;4202,71;8127,19;94888,75;114367,96;31096,57;191923,15;179551,77;75850,69;120143,89;6325,27;95750,38;188394,67;187153,87;72130,12;75681,99;71133,58;249646,96;334594,04;932117,36;4296,61;201563,11;366669682,7;1314099011;18341,08;637058,2;747288,66;50595802,73;136633504,4;871552850;70213,08;21144,2;669821,16;98445998,77;29937090,78;49556611,6;;2922910096;
"Opela""""";793148,69;419813,35;784715,03;5034141,96;11402671,4;1475241,45;10259443,46;37320761,04;5368679,31;37978557,52;357000,88;8346718;22810313,2;20900616,59;4217875,91;6214546,44;12770235,95;17358930,23;27695321,31;65237114,24;1007815,57;21058066,48;15625561384;55772942414;1235542,58;786529531,8;1706825571;2360359230;5807530826;37315646518;3939852,56;1066872,7;104573550,4;4325146178;1442313901;23036917564;;1,48609E+11;
"Lzoopl""""";5765072,58;158322008,8;42389771,34;354315029,7;3316213910;218270107;3449738550;8880885415;1381634534;9593470395;310740588,1;12326189622;40048056798;7742753531;2210096432;9385596254;27358786552;26746470136;52160173685;93513598292;1320010858;11250404196;4,85705E+11;1,05965E+12;1058854547;3,48249E+11;8,7291E+11;5,99468E+11;91393445871;5,78502E+11;841903572,6;550736490,1;1,53163E+11;4,73564E+11;19705983298;2,88134E+13;;3,38099E+13;
"Szoopl""""";15735638,6;381709810,4;93353972,44;853998185,2;7816607317;509143212;8011079093;21168759835;3209192981;22923080159;732569505,8;29309544448;95540083390;18333669282;5175064079;22222318101;65339718081;63288013164;1,23633E+11;2,21182E+11;3153837625;26771012359;7,06433E+11;8,88968E+11;2498160716;8,35022E+11;2,09553E+12;1,37404E+12;47959803643;2,95571E+11;1945707312;1294024525;3,65411E+11;1,01261E+12;9464236719;6,90062E+13;;7,73826E+13;
"Gurna""""";95995,2;30045,44;22030,58;598438,37;456434,14;152368,45;495721,42;682667,35;179165,35;582082,42;26347,88;559244,74;1751140,23;478581,77;140750,83;301680,02;1061807,64;883241,7;1481156,85;3607350,34;66027,89;889590,66;1058854547;3747241075;56655,73;10668669,54;31626706,92;167244177,6;389966912,5;2485304684;211408,02;93552,41;6392547,35;297780383,3;83478927,17;1142015243;;9435477359;
"Echino""""";1557940,77;4895522,02;27576570,47;73184436,56;245678943,8;29226104,35;88881230,31;606831147,6;134029868,2;588700058,7;224439,69;11940492,24;40981902,61;645868022;36350127,83;20948772,43;26535589,07;15468224,67;24755746,88;309845703;2165997,89;534840081,6;3,28902E+11;1,18295E+12;10075965,67;5459117005;7838362901;45303759468;1,23701E+11;8,0836E+11;51843461,47;750533,98;1312375427;88069950114;41185675563;71773686323;;2,70839E+12;
"OBenthInv""""";1667205,1;9094020,81;76800059,77;235337633;735258594,5;99904592,15;381391861,4;1464695784;413221465,5;1464396064;5524505,53;94204499,34;173961541,1;1828842045;154192136,1;110127251,5;53581060,32;250440625,9;342646700,6;1539166760;3288070,12;1502006503;1,06689E+12;3,8418E+12;38654864,01;10143763754;5676170890;1,45306E+11;4,00983E+11;2,61168E+12;183666068,7;15096411,91;3442035208;2,84662E+11;1,31346E+11;52172382473;;8,56528E+12;
"PrawnShri""""";6212840,6;34847732,2;21495108,77;157025564,6;873223650,5;84930462,13;1101426639;2160262748;434642742,2;2234525519;78450781,89;2808443168;8820318593;1917667699;620517771,1;2151602831;5864403307;6196625438;11735850503;21852274520;283336495,3;2643602338;9,32506E+11;3,2061E+12;260157609,6;74617956771;1,84934E+11;2,39306E+11;3,29213E+11;2,09719E+12;297039991,3;152341723,2;33390432118;3,2163E+11;70685332050;6,12569E+12;;1,3688E+13;
"Polych""""";1266036,9;65991152,74;16479611,07;139065166,8;1357633227;86177200,38;1386935244;3693209648;557960446,8;4002366066;126742379,1;5078222108;16551342605;3195999645;898534531,3;3854807036;11322759788;10977901489;21448047979;38351829925;546534017,5;4646024661;1,01548E+11;79933006071;433296569,5;1,45531E+11;3,6453E+11;2,35152E+11;589728093,4;2467741034;336072602,6;223044678,2;63342152465;1,69817E+11;371855705,6;1,19673E+13;;1,32599E+13;
"EpiFau""""";5863042,3;171076283,7;46790068,17;364607721,7;3516667861;221546417,5;3556804271;9790932191;1443708979;10613773988;322073109,1;12929540212;42161609156;8260493224;2298436804;9803768274;28838879086;27912076777;54520662213;97482007488;1394484560;11941006886;2,57112E+11;1,97048E+11;1104579860;3,80405E+11;9,49702E+11;5,99196E+11;987096413,4;5656591211;869728050,4;567332067,5;1,61546E+11;4,32476E+11;2202082962;3,06598E+13;;3,39762E+13;
"RaySkate""""";166541,68;48728,35;75040,29;699716,62;1361368,14;175751,47;816017,99;2774850,91;451509,85;2785881,04;70899,02;1962120,07;5953499,57;1873239,94;341774,92;1582134,39;3912239,89;4208544,37;8100460,78;15734967,08;238724,48;2679099,74;795131151,9;2756418692;199663,13;51843461,47;141923780,4;180345709;285661712,2;1848172107;324493,1;188415,18;24700738,23;257662130,5;80019811,84;3884212849;;10362817825;
"Saithe""""";84823,51;15147,98;14807,17;353505,77;375178,12;98145,17;525709,34;334902,09;162278,25;159417,45;29298,97;691468,84;1941492,49;301512,73;182321,67;624104,57;1317176,92;1867432,05;3375464,34;6408951,92;71890,29;725473,44;520140018,4;1833201410;88355,06;750533,98;11665409,2;92493189,05;189587976,5;1205580643;188415,18;83111,08;7418550,78;153159348,5;39120161,52;967763178,7;;5040900805;
"Neph""""";3517421,97;1275887,73;1981610,19;27950508,28;31871188,8;8824084,03;51161979,46;67432155,41;19510082,58;57606317,97;1746031,77;28503384,63;65211517,8;45911479,61;18621132,55;18463042,01;26777058,51;60934391,61;78255048,55;240275842,8;1741535,01;54378246,22;1,10617E+11;3,95862E+11;4616839,75;1003581209;2033929896;15502700626;41172399102;2,62512E+11;18888799,82;5673009,42;220156194,8;29863325122;8905700829;38246896310;;9,06881E+11;
"Eupha""""";2649940,36;40260428,47;15661029,76;118322326;903556530,1;69532544,25;1013083682;2345404067;404164542,4;2496528779;83551613,49;3191868302;10247831598;2064537133;617268196,6;2434999041;6933448854;6960149413;13438547972;24422079336;334716395,8;2941099401;4,47255E+11;1,43452E+12;281237028,7;88069950114;2,19966E+11;1,95276E+11;1,44345E+11;9,19011E+11;257662130,5;153159348,5;39052040544;2,06132E+11;31110389770;7,27872E+12;;1,10852E+13;
"InFau""""";1594697,58;4097683,69;2440553,21;8691807,33;74749227,62;3718630,27;67228392,73;311729821,1;31070317,14;333287954;5029009,02;211488892,6;697725959,5;172890419,4;41423814,22;155420731;474423372,9;438313164,8;849429529,9;1517133152;23949672,62;230770224,2;4379107400;3154745573;18550872,7;9690747191;23881132316;10097904579;74371141,12;1101041481;18828191,02;9204743,89;2740215640;7320091711;17888852,5;5,71254E+11;;6,39415E+11;
"Phyto""""";92052506,69;58947494,37;358621565;1780826238;3963197079;748399747,7;5088786548;7225563772;2709327319;6104051412;159709387,3;2608594386;4970079003;8228864340;2059234798;2179278222;1482484882;6636587418;8867277042;27922006632;79290578,57;7371813621;1,2806E+13;4,60041E+13;507562330,3;33775852387;18971775445;1,7502E+12;4,78692E+12;3,06598E+13;1827864870;455417966,4;23536551575;3,42528E+12;1,14251E+12;9,08925E+11;;1,01663E+14;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WO3;"Seal""""";"Bird""""";"HalTurBrill""""";"Whit""""";"Odem""""";"Sha""""";"Cod""""";"CrabLobs""""";"Hadd""""";"InshFish""""";"Sal""""";"Mack""""";"Trach""""";"Plai""""";"Sole""""";"NorPout""""";"Cepha""""";"Sande""""";"Sprat""""";"Herr""""";"Cet""""";"Opela""""";"Lzoopl""""";"Szoopl""""";"Gurna""""";"Echino""""";"OBenthInv""""";"PrawnShri""""";"Polych""""";"EpiFau""""";"RaySkate""""";"Saithe""""";"Neph""""";"Eupha""""";"InFau""""";"Phyto""""";;SUM;
"Bird""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
"Cepha""""";0;0;0;0,03;0,08;0,01;0,07;0,08;0,06;0,08;0;0,1;0,11;0,08;0,04;0,1;0;0,11;0,11;0,11;0;0,11;0,11;0,11;0,03;0,11;0,11;0,11;0,08;0,1;0,04;0,01;0,11;0,11;0,07;0,11;;2,51;0,033655135
"Cet""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
"Cod""""";0;0;0;0,03;0,07;0,01;0;0,07;0,06;0,07;0;0,07;0,07;0,07;0,04;0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,03;0,07;0,07;0,07;0,06;0,06;0,04;0,01;0,07;0,07;0,04;0,07;;1,76;0,02359882
"CrabLobs""""";0;0;0;0,03;0,08;0,01;0,07;0;0,06;0,08;0;0,08;0,08;0,08;0,04;0,08;0,08;0,08;0,08;0,08;0;0,08;0,08;0,08;0,03;0,08;0,08;0,08;0,07;0,07;0,04;0,01;0,08;0,08;0,06;0,08;;2,07;0,02775543
"Echino""""";0;0;0;0,03;0,08;0,01;0,07;0,08;0,06;0,08;0;0,1;0,11;0,08;0,04;0,1;0,11;0,11;0,11;0,13;0;0,13;0,14;0,14;0,03;0;0,14;0,14;0,11;0,13;0,04;0,01;0,13;0,14;0,1;0,14;;2,81;0,037677662
"EpiFau""""";0;0;0;0,03;0,07;0,01;0,06;0,07;0,06;0,07;0;0,08;0,1;0,07;0,04;0,08;0,1;0,1;0,1;0,11;0;0,11;0,33;0,35;0,03;0,13;0,21;0,29;0,28;0;0,04;0,01;0,11;0,29;0,13;0,35;;3,79;0,050817914
"Eupha""""";0;0;0;0,03;0,08;0,01;0,07;0,08;0,06;0,08;0;0,1;0,11;0,08;0,04;0,1;0,11;0,11;0,11;0,13;0;0,13;0,31;0,31;0,03;0,14;0,22;0,31;0,28;0,29;0,04;0,01;0,13;0;0,13;0,31;;3,92;0,052561008
"Gurna""""";0;0;0;0,01;0,03;0;0,03;0,03;0,03;0,03;0;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0;0,03;0,03;0,03;0;0,03;0,03;0,03;0,03;0,03;0,03;0,01;0,03;0,03;0,01;0,03;;0,76;0,0101904
"Hadd""""";0;0;0;0,03;0,06;0,01;0,06;0,06;0;0,06;0;0,06;0,06;0,06;0,04;0,06;0,06;0,06;0,06;0,06;0;0,06;0,06;0,06;0,03;0,06;0,06;0,06;0,06;0,06;0,04;0,01;0,06;0,06;0,04;0,06;;1,49;0,019978547
"HalTurBrill""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
"Herr""""";0;0;0;0,03;0,08;0,01;0,07;0,08;0,06;0,08;0;0,1;0,11;0,08;0,04;0,1;0,11;0,11;0,11;0;0;0,13;0,13;0,13;0,03;0,13;0,13;0,13;0,1;0,11;0,04;0,01;0,13;0,13;0,08;0,13;;2,68;0,035934567
"InFau""""";0;0;0;0,03;0,06;0,01;0,04;0,06;0,04;0,06;0;0,07;0,07;0,06;0,03;0,07;0,07;0,07;0,07;0,08;0;0,08;0,13;0,13;0,01;0,1;0,13;0,13;0,13;0,13;0,03;0,01;0,08;0,13;0;0,13;;2,19;0,029364441
"InshFish""""";0;0;0;0,03;0,08;0,01;0,07;0,08;0,06;0;0;0,08;0,08;0,08;0,04;0,08;0,08;0,08;0,08;0,08;0;0,08;0,08;0,08;0,03;0,08;0,08;0,08;0,07;0,07;0,04;0,01;0,08;0,08;0,06;0,08;;2,07;0,02775543
"Lzoopl""""";0;0;0;0,03;0,08;0,01;0,07;0,08;0,06;0,08;0;0,1;0,11;0,08;0,04;0,1;0,11;0,11;0,11;0,13;0;0,13;0;0,35;0,03;0,14;0,22;0,31;0,28;0,33;0,04;0,01;0,13;0,31;0,13;0,35;;4,04;0,054170019
"Mack""""";0;0;0;0,03;0,08;0,01;0,07;0,08;0,06;0,08;0;0;0,1;0,08;0,04;0,1;0,1;0,1;0,1;0,1;0;0,1;0,1;0,1;0,03;0,1;0,1;0,1;0,08;0,08;0,04;0,01;0,1;0,1;0,07;0,1;;2,32;0,031107536
"Neph""""";0;0;0;0,03;0,08;0,01;0,07;0,08;0,06;0,08;0;0,1;0,11;0,08;0,04;0,1;0,11;0,11;0,11;0,13;0;0,13;0,13;0,13;0,03;0,13;0,13;0,13;0,1;0,11;0,04;0,01;0;0,13;0,08;0,13;;2,68;0,035934567
"NorPout""""";0;0;0;0,03;0,08;0,01;0,07;0,08;0,06;0,08;0;0,1;0,1;0,08;0,04;0;0,1;0,1;0,1;0,1;0;0,1;0,1;0,1;0,03;0,1;0,1;0,1;0,08;0,08;0,04;0,01;0,1;0,1;0,07;0,1;;2,32;0,031107536
"OBenthInv""""";0;0;0;0,03;0,08;0,01;0,07;0,08;0,06;0,08;0;0,1;0,11;0,08;0,04;0,1;0,11;0,11;0,11;0,13;0;0,13;0,22;0,22;0,03;0,14;0;0,22;0,19;0,21;0,04;0,01;0,13;0,22;0,13;0,22;;3,42;0,045856798
"Odem""""";0;0;0;0,03;0;0,01;0,07;0,08;0,06;0,08;0;0,08;0,08;0,08;0,04;0,08;0,08;0,08;0,08;0,08;0;0,08;0,08;0,08;0,03;0,08;0,08;0,08;0,07;0,07;0,04;0,01;0,08;0,08;0,06;0,08;;2,07;0,02775543
"Opela""""";0;0;0;0,03;0,08;0,01;0,07;0,08;0,06;0,08;0;0,1;0,11;0,08;0,04;0,1;0,11;0,11;0,11;0,13;0;0;0,13;0,13;0,03;0,13;0,13;0,13;0,1;0,11;0,04;0,01;0,13;0,13;0,08;0,13;;2,68;0,035934567
"Phyto""""";0;0;0;0,03;0,08;0,01;0,07;0,08;0,06;0,08;0;0,1;0,11;0,08;0,04;0,1;0,11;0,11;0,11;0,13;0;0,13;0,35;0,38;0,03;0,14;0,22;0,31;0,28;0,35;0,04;0,01;0,13;0,31;0,13;0;;4,08;0,054706356
"Plai""""";0;0;0;0,03;0,08;0,01;0,07;0,08;0,06;0,08;0;0,08;0,08;0;0,04;0,08;0,08;0,08;0,08;0,08;0;0,08;0,08;0,08;0,03;0,08;0,08;0,08;0,07;0,07;0,04;0,01;0,08;0,08;0,06;0,08;;2,07;0,02775543
"Polych""""";0;0;0;0,03;0,07;0,01;0,06;0,07;0,06;0,07;0;0,08;0,08;0,07;0,04;0,08;0,08;0,08;0,08;0,1;0;0,1;0,28;0,28;0,03;0,11;0,19;0,28;0;0,28;0,04;0,01;0,1;0,28;0,13;0,28;;3,44;0,046124966
"PrawnShri""""";0;0;0;0,03;0,08;0,01;0,07;0,08;0,06;0,08;0;0,1;0,11;0,08;0,04;0,1;0,11;0,11;0,11;0,13;0;0,13;0,31;0,31;0,03;0,14;0,22;0;0,28;0,29;0,04;0,01;0,13;0,31;0,13;0,31;;3,92;0,052561008
"RaySkate""""";0;0;0;0,03;0,04;0,01;0,04;0,04;0,04;0,04;0;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0;0,04;0,04;0,04;0,03;0,04;0,04;0,04;0,04;0,04;0;0,01;0,04;0,04;0,03;0,04;;1,15;0,015419684
"Saithe""""";0;0;0;0,01;0,01;0;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;;0,4;0,005363368
"Sal""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
"Sande""""";0;0;0;0,03;0,08;0,01;0,07;0,08;0,06;0,08;0;0,1;0,11;0,08;0,04;0,1;0,11;0;0,11;0,11;0;0,11;0,11;0,11;0,03;0,11;0,11;0,11;0,08;0,1;0,04;0,01;0,11;0,11;0,07;0,11;;2,51;0,033655135
"Seal""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
"Sha""""";0;0;0;0,01;0,01;0;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;;0,39;0,005229284
"Sole""""";0;0;0;0,03;0,04;0,01;0,04;0,04;0,04;0,04;0;0,04;0,04;0,04;0;0,04;0,04;0,04;0,04;0,04;0;0,04;0,04;0,04;0,03;0,04;0,04;0,04;0,04;0,04;0,04;0,01;0,04;0,04;0,03;0,04;;1,15;0,015419684
"Sprat""""";0;0;0;0,03;0,08;0,01;0,07;0,08;0,06;0,08;0;0,1;0,11;0,08;0,04;0,1;0,11;0,11;0;0,11;0;0,11;0,11;0,11;0,03;0,11;0,11;0,11;0,08;0,1;0,04;0,01;0,11;0,11;0,07;0,11;;2,51;0,033655135
"Szoopl""""";0;0;0;0,03;0,08;0,01;0,07;0,08;0,06;0,08;0;0,1;0,11;0,08;0,04;0,1;0,11;0,11;0,11;0,13;0;0,13;0,35;0;0,03;0,14;0,22;0,31;0,28;0,35;0,04;0,01;0,13;0,31;0,13;0,38;;4,08;0,054706356
"Trach""""";0;0;0;0,03;0,08;0,01;0,07;0,08;0,06;0,08;0;0,1;0;0,08;0,04;0,1;0,11;0,11;0,11;0,11;0;0,11;0,11;0,11;0,03;0,11;0,11;0,11;0,08;0,1;0,04;0,01;0,11;0,11;0,07;0,11;;2,51;0,033655135
"Whit""""";0;0;0;0;0,03;0,01;0,03;0,03;0,03;0,03;0;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0;0,03;0,03;0,03;0,01;0,03;0,03;0,03;0,03;0,03;0,03;0,01;0,03;0,03;0,03;0,03;;0,79;0,010592652
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;74,58;1
