TI3;"Herr""""";"LizFish""""";"SpanMack""""";"KingMack""""";"Jack""""";"CatFish""""";"Shri""""";"MicroCrus""""";"Ofish""""";"Anne""""";"Zoopl""""";"BenthProd""""";"Anch""""";"Trout""""";"Mollu""""";"Mojar""""";"Sha""""";"RedGroup""""";"Crab""""";"Gru""""";"Flou""""";"RedSnap""""";"Phyto""""";;SUM;;;
"LizFish""""";0,05;0,03;0,02;0,02;0,04;0,02;0,03;0,04;0,02;0,02;0,02;0,02;0,05;0,02;0,05;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,03;;0,57;;;
"MicroCrus""""";0,07;0,09;0,04;0,03;0,04;0,07;0,06;0,06;0,07;0,08;0,07;0,04;0,07;0,06;0,05;0,06;0,03;0,03;0,06;0,07;0,11;0,03;0,15;;1,44;;;
"Mojar""""";0,03;0,02;0,07;0,03;0,03;0,03;0,05;0,05;0,06;0,03;0,05;0,06;0,03;0,04;0,06;0,04;0,07;0,07;0,06;0,04;0,03;0,08;0,04;;1,05;;;
"Mollu""""";0,03;0,08;0,06;0,02;0,05;0,06;0,03;0,03;0,03;0,02;0,06;0,06;0,03;0,05;0,05;0,06;0,02;0,02;0,03;0,06;0,02;0,03;0,15;;1,05;;;
"Ofish""""";0,06;0,03;0,07;0,03;0,03;0,06;0,05;0,05;0,04;0,06;0,06;0,03;0,06;0,03;0,03;0,06;0,06;0,03;0,03;0,03;0,03;0,07;0,03;;1,04;;;
"Phyto""""";0,01;0,01;0,01;0;0,01;0,01;0,01;0,03;0,01;0,01;0,03;0,01;0,01;0,01;0,04;0,01;0;0;0,01;0,01;0,01;0,01;0,03;;0,29;;;
"RedGroup""""";0,02;0,02;0,06;0,09;0,05;0,02;0,04;0,02;0,03;0,02;0,02;0,03;0,02;0,06;0,02;0,06;0,07;0,05;0,05;0,03;0,02;0,07;0,01;;0,87;;;
"RedSnap""""";0,02;0,01;0,03;0,02;0,02;0,02;0,02;0,02;0,05;0,02;0,04;0,06;0,02;0,06;0,02;0,06;0,06;0,06;0,03;0,06;0,01;0,04;0,02;;0,77;;;
"Sha""""";0,02;0,02;0,06;0,08;0,03;0,02;0,05;0,02;0,06;0,02;0,03;0,03;0,03;0,06;0,02;0,06;0,05;0,08;0,05;0,06;0,02;0,08;0,01;;0,97;;;
"Shri""""";0,08;0,1;0,08;0,11;0,08;0,08;0,06;0,07;0,08;0,09;0,05;0,08;0,08;0,08;0,05;0,08;0,09;0,09;0,08;0,08;0,12;0,05;0,03;;1,79;;;
