"TI3";""Herr"";""LizFish"";""SpanMack"";""KingMack"";""Jack"";""CatFish"";""Shri"";""MicroCrus"";""Ofish"";""Anne"";""Zoopl"";""BenthProd"";""Anch"";""Trout"";""Mollu"";""Mojar"";""Sha"";""RedGroup"";""Crab"";""Gru"";""Flou"";""RedSnap"";""Phyto"";;SUM
""Phyto"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0";;"0,00"


"WI3";""Herr"";""LizFish"";""SpanMack"";""KingMack"";""Jack"";""CatFish"";""Shri"";""MicroCrus"";""Ofish"";""Anne"";""Zoopl"";""BenthProd"";""Anch"";""Trout"";""Mollu"";""Mojar"";""Sha"";""RedGroup"";""Crab"";""Gru"";""Flou"";""RedSnap"";""Phyto"";;SUM
""Herr"";"712631198,32";"2351695,24";"203002310,55";"271342449,36";"39766339,09";"40979845,34";"3599791878,08";"83147082319,98";"853269910,32";"4196594844,42";"206322092278,48";"4633580569,89";"424610455,94";"11096250,29";"22084477097,21";"607044186,02";"7904360,69";"6961398,22";"213664820,94";"1088186656,48";"20911196,91";"136151472,42";"20797217202,40";;"349420710736,62"
""LizFish"";"1282742,86";"1067,05";"108368,60";"122116,24";"19340,72";"57101,77";"3096185,35";"30866108,72";"1062344,09";"4112655,57";"70251023,02";"3549137,07";"823476,65";"18005,46";"8473794,45";"1035278,82";"20254,21";"6027,45";"208454,50";"1235121,39";"20174,92";"121028,08";"58844542,88";;"185334349,88"
""SpanMack"";"184547555,05";"180614,34";"9043873,83";"9115209,12";"1554930,46";"7113021,81";"475465566,43";"1390295721,83";"158238748,28";"684246583,08";"2362951958,17";"482753581,20";"112635918,09";"2674496,89";"348361107,47";"148733426,08";"2895339,02";"546076,06";"28266477,73";"169772131,28";"4311327,75";"8182622,44";"7076236730,01";;"13668123016,42"
""KingMack"";"148004972,38";"122116,24";"5469125,47";"3599272,83";"611291,28";"5757756,60";"399688778,12";"434461957,10";"121154451,46";"498343464,09";"90061637,26";"401807499,20";"88787299,88";"2070345,38";"80328294,76";"112341193,50";"2184924,37";"227143,28";"21928546,28";"134755029,87";"3443459,15";"5094111,45";"5457930270,21";;"8018172940,14"
""Jack"";"46996582,56";"41904,90";"2021409,60";"1324464,44";"249124,88";"2152029,82";"173082683,14";"483325490,15";"39234341,21";"174454743,95";"793272564,79";"188158281,76";"25770679,32";"648126,19";"114312537,97";"35957542,92";"625165,49";"118830,73";"9044049,58";"50886221,12";"1081366,77";"3366101,14";"1600651907,81";;"3746776150,24"
""CatFish"";"40979845,34";"104686,59";"7824324,00";"10555887,09";"1820948,31";"1242922,94";"99037737,49";"3001092047,01";"43711672,64";"337770332,95";"7628087829,46";"95750594,49";"25290257,84";"644596,47";"826508115,94";"41804655,97";"395622,00";"330477,79";"7665589,50";"37551746,43";"1371185,47";"4794090,21";"1146118910,03";;"13360454075,93"
