TI3;"Mamm""""";"Lcod""""";"Scod""""";"LOFish""""";"SOFish""""";"Herr""""";"Cormo""""";"Krill""""";"Shri""""";"OLZoopl""""";"Lcrus""""";"PredBenth""""";"DetPolych""""";"SbenthC""""";"Smollu""""";"DetEchino""""";"OBenthI""""";"Szoopl""""";"Chaet""""";"MicroZoopl""""";"Schyp""""";"Phyto""""";"HeteroN""""";"Baci""""";"Lbivalv""""";"MacroAlga""""";;SUM
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"Mamm""""";"Lcod""""";"Scod""""";"LOFish""""";"SOFish""""";"Herr""""";"Cormo""""";"Krill""""";"Shri""""";"OLZoopl""""";"Lcrus""""";"PredBenth""""";"DetPolych""""";"SbenthC""""";"Smollu""""";"DetEchino""""";"OBenthI""""";"Szoopl""""";"Chaet""""";"MicroZoopl""""";"Schyp""""";"Phyto""""";"HeteroN""""";"Baci""""";"Lbivalv""""";"MacroAlga""""";;SUM
"Baci""""";0;0,02;0;0;0;0;0;0,02;0;0;0,04;0,04;0,02;0;0;0,04;0,02;0,04;0,02;0,06;0;0,06;0,04;0;0,02;0;;0,42
"Chaet""""";0,02;0,04;0,04;0;0,02;0,06;0;0,12;0,02;0,06;0;0;0;0;0;0;0;0,12;0;0,08;0,04;0,06;0,04;0,02;0;0;;0,71
"Cormo""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"DetEchino""""";0,02;0,17;0,12;0,04;0,12;0;0;0,02;0,02;0;0,13;0,12;0,13;0,12;0,06;0;0,02;0;0;0,02;0;0;0,02;0,04;0,02;0;;1,17
"DetPolych""""";0,02;0,15;0,13;0,04;0,13;0;0;0,04;0,04;0,04;0,1;0,08;0;0,13;0,04;0,13;0,02;0,04;0;0,04;0;0,04;0,04;0,02;0,02;0;;1,29
"Herr""""";0;0,06;0,06;0,02;0,04;0;0;0,06;0,04;0,02;0;0;0;0,02;0;0;0;0,08;0,06;0,06;0,06;0,06;0,02;0;0;0;;0,63
"HeteroN""""";0;0;0;0;0;0,02;0;0,06;0,04;0,04;0;0;0,04;0,02;0;0,02;0,02;0,06;0,04;0,08;0,02;0,06;0;0,04;0,02;0;;0,56
"Krill""""";0,04;0,06;0,04;0;0,04;0,06;0;0;0,04;0,08;0,02;0;0,04;0,02;0,02;0,02;0;0,13;0,12;0,1;0,04;0,08;0,06;0,02;0;0;;1
"Lbivalv""""";0;0;0;0;0;0;0;0;0;0;0;0;0,02;0;0;0,02;0,02;0;0;0,02;0;0;0,02;0,02;0;0;;0,12
"Lcod""""";0,04;0;0,27;0,08;0,23;0,06;0;0,06;0,06;0,04;0,17;0,13;0,15;0,17;0,06;0,17;0;0,08;0,04;0,02;0,02;0,06;0;0,02;0;0,02;;1,94
"Lcrus""""";0,02;0,17;0,12;0,04;0,13;0;0;0,02;0,04;0;0;0,13;0,1;0,08;0,04;0,13;0;0;0;0;0;0,02;0;0,04;0;0,02;;1,1
"LOFish""""";0;0,08;0,06;0;0,06;0,02;0;0;0,02;0;0,04;0,06;0,04;0,04;0;0,04;0;0;0;0;0;0;0;0;0;0,02;;0,46
"MacroAlga""""";0;0,02;0;0,02;0,02;0;0;0;0,02;0;0,02;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,12
"Mamm""""";0;0,04;0,02;0;0,02;0;0;0,04;0;0,02;0,02;0;0,02;0;0,02;0,02;0;0,02;0,02;0;0;0;0;0;0;0;;0,25
"MicroZoopl""""";0;0,02;0,02;0;0,02;0,06;0;0,1;0,04;0,04;0;0;0,04;0,02;0;0,02;0,02;0,12;0,08;0;0,04;0,1;0,08;0,06;0,02;0;;0,87
"OBenthI""""";0;0;0;0;0;0;0;0;0;0;0;0;0,02;0;0;0,02;0;0;0;0,02;0;0;0,02;0,02;0,02;0;;0,12
"OLZoopl""""";0,02;0,04;0,04;0;0,02;0,02;0;0,08;0,04;0;0;0;0,04;0,04;0;0;0;0,1;0,06;0,04;0,02;0,06;0,04;0;0;0;;0,63
"Phyto""""";0;0,06;0,06;0;0,04;0,06;0;0,08;0,06;0,06;0,02;0,02;0,04;0,06;0;0;0;0,13;0,06;0,1;0,04;0;0,06;0,06;0;0;;0,98
"PredBenth""""";0;0,13;0,1;0,06;0,1;0;0;0;0,04;0;0,13;0;0,08;0,08;0;0,12;0;0;0;0;0;0,02;0;0,04;0;0,02;;0,9
"SbenthC""""";0;0,17;0,15;0,04;0,12;0,02;0;0,02;0,04;0,04;0,08;0,08;0,13;0;0,04;0,12;0;0,06;0;0,02;0,02;0,06;0,02;0;0;0;;1,21
"Schyp""""";0;0,02;0,02;0;0;0,06;0;0,04;0,04;0,02;0;0;0;0,02;0;0;0;0,06;0,04;0,04;0;0,04;0,02;0;0;0;;0,4
"Scod""""";0,02;0,27;0;0,06;0,19;0,06;0;0,04;0,04;0,04;0,12;0,1;0,13;0,15;0,02;0,12;0;0,08;0,04;0,02;0,02;0,06;0;0;0;0;;1,56
"Shri""""";0;0,06;0,04;0,02;0,04;0,04;0;0,04;0;0,04;0,04;0,04;0,04;0,04;0;0,02;0;0,06;0,02;0,04;0,04;0,06;0,04;0;0;0,02;;0,71
"Smollu""""";0,02;0,06;0,02;0;0,04;0;0;0,02;0;0;0,04;0;0,04;0,04;0;0,06;0;0;0;0;0;0;0;0;0;0;;0,33
"SOFish""""";0,02;0,23;0,19;0,06;0;0,04;0;0,04;0,04;0,02;0,13;0,1;0,13;0,12;0,04;0,12;0;0,04;0,02;0,02;0;0,04;0;0;0;0,02;;1,4
"Szoopl""""";0,02;0,08;0,08;0;0,04;0,08;0;0,13;0,06;0,1;0;0;0,04;0,06;0;0;0;0;0,12;0,12;0,06;0,13;0,06;0,04;0;0;;1,19
