TI3;"Dolph""""";"PelCoasPisc""""";"Jmack""""";"SardHerr""""";"PelOcePlank""""";"DemCoasOmn""""";"BentCoasInv""""";"SurfPela""""";"StrAssCoasOmn""""";"NeaAssPisc""""";"Mull""""";"NeaPlank""""";"Ofish""""";"Squid""""";"Lobs""""";"Lcrab""""";"Octo""""";"EchinoLGastro""""";"Bivalv""""";"CarnZoopl""""";"Bird""""";"DemCoasPisc""""";"DemCoasInv""""";"Turtle""""";"SessEpiBenth""""";"CarnJelly""""";"MicroAlga""""";"MicroPhytoBenth""""";"Mana""""";"LgOcePisc""""";"CostSha""""";"RaySkate""""";"PelOcePisc""""";"Amack""""";"PelOceJelly""""";"BentCoasPisc""""";"StrAssCoasPisc""""";"LgGroup""""";"StrAssCoasInv""""";"Ashri""""";"LgOcePlank""""";"Scopep""""";"OMesoZoopl""""";"Grass""""";"BentOceInv""""";"SInFau""""";"SMobEpiFau""""";"Stoma""""";"IchthyoPl""""";"DemOceInv""""";"MeioFau""""";"BentOcePisc""""";"StrAssCoasPlank""""";"Phyto""""";"MicroHetero""""";;SUM;
"Mull""""";0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,02;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,05;0,01;0,01;0,01;0,01;0;0,03;0,02;0,03;0,01;0,01;0,01;0,01;0,03;0;0;0,01;0,02;0,01;0,01;0;0,01;0,01;0;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0;0,01;0,03;0,01;;0,59;
"NeaPlank""""";0,03;0,03;0,05;0,02;0,03;0,02;0,03;0,05;0,01;0,04;0,02;0,02;0,02;0,03;0,01;0,01;0,02;0,01;0,01;0,03;0,06;0,03;0,02;0,01;0,01;0,01;0,01;0,01;0;0,02;0,03;0,03;0,02;0,04;0,01;0,03;0,03;0,02;0,02;0,03;0,02;0,03;0,03;0,02;0,01;0,01;0,02;0,01;0,01;0,01;0,03;0,01;0,01;0,04;0,01;;1,21;
"Ofish""""";0,04;0,03;0,02;0,03;0,04;0,03;0,03;0,05;0,04;0,04;0,02;0,02;0,03;0,03;0,04;0,03;0,02;0,03;0,03;0,03;0,02;0,04;0,03;0,02;0,03;0,02;0,04;0,02;0,03;0,04;0,03;0,04;0,05;0,04;0,02;0,03;0,03;0,03;0,03;0,02;0,02;0,04;0,04;0,06;0,02;0,02;0,03;0,02;0,04;0,02;0,02;0,04;0,05;0,02;0,02;;1,73;
"Squid""""";0,03;0,03;0,05;0,03;0,04;0,02;0,02;0,02;0,02;0,04;0,02;0,03;0,03;0,03;0,01;0,02;0,02;0,01;0,01;0,04;0,02;0,04;0,03;0,01;0,02;0,06;0,01;0,02;0;0,04;0,03;0,03;0,05;0,04;0,06;0,03;0,03;0,03;0,03;0,03;0,06;0,04;0,03;0,02;0,02;0,03;0,02;0,03;0,05;0,01;0,03;0,02;0,02;0,02;0,02;;1,53;
"Lobs""""";0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,04;0,01;0,02;0,01;0,02;0,02;0,01;0,02;0,03;0,01;0,01;0,01;0,02;0,02;0,02;0,01;0,04;0,01;0,03;0,01;0,01;0,03;0,01;0,01;0;0,01;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,04;0,01;0,03;;0,88;
"Lcrab""""";0,03;0,03;0,02;0,03;0,01;0,03;0,03;0,02;0,02;0,04;0,02;0,02;0,03;0,02;0,04;0,03;0,04;0,03;0,04;0,01;0,02;0,02;0,03;0,08;0,03;0,02;0,02;0,04;0,01;0,03;0,03;0,04;0,01;0,01;0,01;0,04;0,03;0,03;0,03;0,03;0,01;0,01;0,01;0,01;0,04;0,03;0,03;0,04;0,01;0,05;0,04;0,05;0,02;0,02;0,04;;1,49;
"Octo""""";0,03;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,03;0,01;0,01;0,03;0,02;0,01;0,02;0;0,01;0,01;0;0,02;0,02;0,03;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,01;0;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;;0,76;
"EchinoLGastro""""";0,03;0,02;0,01;0,02;0,01;0,03;0,03;0,02;0,04;0,02;0,02;0,02;0,03;0,01;0,04;0,03;0,04;0,03;0,04;0,02;0,01;0,02;0,03;0,02;0,03;0,02;0,04;0,03;0,03;0,02;0,03;0,04;0,01;0,01;0,01;0,03;0,03;0,03;0,03;0,03;0,05;0,02;0,02;0,06;0,04;0,03;0,03;0,04;0,02;0,05;0,04;0,02;0,05;0,04;0,04;;1,54;
"Bivalv""""";0,03;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,03;0,03;0,03;0,03;0,02;0,01;0,01;0,01;0,02;0,07;0,02;0,01;0,01;0,03;0,01;0,01;0,02;0,03;0,01;0,01;0,01;0,03;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,03;0,01;0,01;0,03;0,01;0,01;0,04;0,04;;0,95;
"CarnZoopl""""";0,03;0,03;0,02;0,03;0,03;0,03;0,02;0,01;0,03;0,03;0,01;0,03;0,03;0,03;0,01;0,01;0,01;0,01;0,01;0,03;0,02;0,03;0,02;0,01;0,02;0,06;0,01;0,01;0,01;0,02;0,01;0,01;0,04;0,02;0,06;0,03;0,02;0,01;0,02;0,01;0,06;0,04;0,04;0,02;0,03;0,01;0,01;0,01;0,05;0,01;0,01;0,01;0,04;0,05;0,04;;1,34;
