TI3;"Dolph""""";"PelCoasPisc""""";"Jmack""""";"SardHerr""""";"PelOcePlank""""";"DemCoasOmn""""";"BentCoasInv""""";"SurfPela""""";"StrAssCoasOmn""""";"NeaAssPisc""""";"Mull""""";"NeaPlank""""";"Ofish""""";"Squid""""";"Lobs""""";"Lcrab""""";"Octo""""";"EchinoLGastro""""";"Bivalv""""";"CarnZoopl""""";"Bird""""";"DemCoasPisc""""";"DemCoasInv""""";"Turtle""""";"SessEpiBenth""""";"CarnJelly""""";"MicroAlga""""";"MicroPhytoBenth""""";"Mana""""";"LgOcePisc""""";"CostSha""""";"RaySkate""""";"PelOcePisc""""";"Amack""""";"PelOceJelly""""";"BentCoasPisc""""";"StrAssCoasPisc""""";"LgGroup""""";"StrAssCoasInv""""";"Ashri""""";"LgOcePlank""""";"Scopep""""";"OMesoZoopl""""";"Grass""""";"BentOceInv""""";"SInFau""""";"SMobEpiFau""""";"Stoma""""";"IchthyoPl""""";"DemOceInv""""";"MeioFau""""";"BentOcePisc""""";"StrAssCoasPlank""""";"Phyto""""";"MicroHetero""""";;SUM;
"MeioFau""""";0,01;0,01;0,01;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0,01;0,02;0,03;0,02;0,03;0,01;0,01;0,01;0,02;0,01;0,02;0,01;0,01;0,03;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,03;;0,72;
"BentOcePisc""""";0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0;0,02;0,02;0,02;0,02;0,02;0;0;0,01;0,01;0,03;0,02;0,02;0,01;0;0,04;0,01;0,02;0,01;0;0,01;;0,58;
"StrAssCoasPlank""""";0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,02;0,01;0,03;0,01;0,01;0,02;0,01;0,02;0;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0;0;0,01;0,01;0,01;0;0;0,01;0,02;0,02;0,01;0,01;0,01;0,03;0,02;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;;0,5;
"Phyto""""";0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,02;0,01;0,01;0,02;0,01;0,01;0,04;0,01;0,01;0;0,01;0,02;0,03;;0,6;
"MicroHetero""""";0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,02;0,01;0,02;0,03;0,02;0;0,01;0,01;0,02;0,03;0,05;0,01;0,03;0;0;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,01;0,02;0,02;0,02;0,04;0,01;0,03;0,01;0,01;0,05;0,02;;0,81;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"Dolph""""";"PelCoasPisc""""";"Jmack""""";"SardHerr""""";"PelOcePlank""""";"DemCoasOmn""""";"BentCoasInv""""";"SurfPela""""";"StrAssCoasOmn""""";"NeaAssPisc""""";"Mull""""";"NeaPlank""""";"Ofish""""";"Squid""""";"Lobs""""";"Lcrab""""";"Octo""""";"EchinoLGastro""""";"Bivalv""""";"CarnZoopl""""";"Bird""""";"DemCoasPisc""""";"DemCoasInv""""";"Turtle""""";"SessEpiBenth""""";"CarnJelly""""";"MicroAlga""""";"MicroPhytoBenth""""";"Mana""""";"LgOcePisc""""";"CostSha""""";"RaySkate""""";"PelOcePisc""""";"Amack""""";"PelOceJelly""""";"BentCoasPisc""""";"StrAssCoasPisc""""";"LgGroup""""";"StrAssCoasInv""""";"Ashri""""";"LgOcePlank""""";"Scopep""""";"OMesoZoopl""""";"Grass""""";"BentOceInv""""";"SInFau""""";"SMobEpiFau""""";"Stoma""""";"IchthyoPl""""";"DemOceInv""""";"MeioFau""""";"BentOcePisc""""";"StrAssCoasPlank""""";"Phyto""""";"MicroHetero""""";;SUM;
"Dolph""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"PelCoasPisc""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Jmack""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"SardHerr""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"PelOcePlank""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"DemCoasOmn""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"BentCoasInv""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"SurfPela""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"StrAssCoasOmn""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"NeaAssPisc""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Mull""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"NeaPlank""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Ofish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Squid""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Lobs""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Lcrab""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Octo""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"EchinoLGastro""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Bivalv""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"CarnZoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Bird""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"DemCoasPisc""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"DemCoasInv""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Turtle""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"SessEpiBenth""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"CarnJelly""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"MicroAlga""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"MicroPhytoBenth""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Mana""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"LgOcePisc""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"CostSha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"RaySkate""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"PelOcePisc""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Amack""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"PelOceJelly""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"BentCoasPisc""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"StrAssCoasPisc""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"LgGroup""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"StrAssCoasInv""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Ashri""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"LgOcePlank""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Scopep""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"OMesoZoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Grass""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"BentOceInv""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"SInFau""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"SMobEpiFau""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Stoma""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"IchthyoPl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"DemOceInv""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"MeioFau""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"BentOcePisc""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"StrAssCoasPlank""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Phyto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"MicroHetero""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WI3;"Dolph""""";"PelCoasPisc""""";"Jmack""""";"SardHerr""""";"PelOcePlank""""";"DemCoasOmn""""";"BentCoasInv""""";"SurfPela""""";"StrAssCoasOmn""""";"NeaAssPisc""""";"Mull""""";"NeaPlank""""";"Ofish""""";"Squid""""";"Lobs""""";"Lcrab""""";"Octo""""";"EchinoLGastro""""";"Bivalv""""";"CarnZoopl""""";"Bird""""";"DemCoasPisc""""";"DemCoasInv""""";"Turtle""""";"SessEpiBenth""""";"CarnJelly""""";"MicroAlga""""";"MicroPhytoBenth""""";"Mana""""";"LgOcePisc""""";"CostSha""""";"RaySkate""""";"PelOcePisc""""";"Amack""""";"PelOceJelly""""";"BentCoasPisc""""";"StrAssCoasPisc""""";"LgGroup""""";"StrAssCoasInv""""";"Ashri""""";"LgOcePlank""""";"Scopep""""";"OMesoZoopl""""";"Grass""""";"BentOceInv""""";"SInFau""""";"SMobEpiFau""""";"Stoma""""";"IchthyoPl""""";"DemOceInv""""";"MeioFau""""";"BentOcePisc""""";"StrAssCoasPlank""""";"Phyto""""";"MicroHetero""""";;SUM;
"Dolph""""";21123,68;53777,04;20303,53;2500820,26;2561133,59;314684,93;309010,68;84874,44;248742,31;2882,95;17978,9;5043472,78;1359427,69;4407173,04;13655,48;144826,35;20048,98;1661059,16;50395951,11;61956409,96;908,34;28886,56;370764,77;1468,84;119170285,4;11996660,77;4943429,04;26152473,54;17380,31;5684,31;1974,48;44490,98;70389,62;16757,03;4578542,27;37247,55;17184,86;1935,13;234211,23;210273,55;25836,31;65808371,46;43209181,56;3317823,89;184993,09;11805509,36;10588123,14;432396,46;1811594,49;45048,9;35671416,82;9462,22;158495,96;216598110,6;170476656,9;;859181326,6;
"PelCoasPisc""""";87741,49;82158,98;58096,77;5693320,47;4712392,75;698784,76;417414,53;248476,19;953445,64;5511,21;105385,88;10475760,4;2295982,41;6481335,67;76756,33;656410,88;31806,43;10088909,98;461429564,4;343901084,2;2584,64;40097,1;551746,41;6969,76;912345767,5;28915882,05;4295000,7;104491032,9;102767,64;11313,16;4595,16;74252,51;138878,08;50021,85;12869505,78;65927,3;30041,1;5093,83;388355,76;408913,97;53795,86;487590992,1;281273314,3;3100837,39;265715,47;91955846,82;72965912,11;2068318,17;5546248,47;57402,21;204266865,6;12022,28;265079,44;609503183,5;407469398,3;;4079694019;
"Jmack""""";12823,28;22489,07;7869,07;2307037,87;1849009,42;128600,28;137442,23;165051,03;117921,08;1649,68;7375,74;3809802,02;681894,92;2231553,06;934,98;19005,46;7268,91;531539,62;2277740,92;13627057,75;324,07;13747,57;195656,94;360,8;4650704,19;5901250;2114557,25;8307719,26;9044,98;2672,63;1027,52;19538,94;34528,17;7320,38;1828783,18;18218,22;10481,8;917,31;118351,04;93667,25;18130,75;13743866,75;10254340,34;1416711,59;85710,46;1116668,54;2263976,32;64243,98;1228549,08;20936,68;2155420,91;5029,47;104432,71;158308526,4;81366108,53;;323425590,4;
"SardHerr""""";3948663,56;5509664,97;5767594,67;176171875,4;211022785,3;30243282,37;23925676,76;5803583,41;19590528,69;302345,82;11145111,83;593654762,8;123914261,8;357175388,4;5907210,36;49276365,2;1571609,46;955348213;92201146226;32385836614;286509,29;2597358,81;28011640,36;305639,75;1,39E+11;1711067783;278710369,9;7134924432;1075578,91;452392,83;220235,55;4005964,42;6845216,07;5283612,6;622829203,6;3717399,09;1408378;276618,47;19023124,42;23818496,63;2191751,61;1,09E+11;41154911450;216247602;14282631,77;16280105782;8881991287;159189864,8;599168549,5;2833983,71;16203233149;549595,52;11293182,9;26297302110;39931982401;;5,34E+11;
"PelOcePlank""""";2965523,11;3344278,73;3389850,61;154750042,6;119747960;12303702,85;10539048,33;3413307,75;10443165,97;170006,8;4036597,42;362357246,8;60087614,66;177172547,4;5225783,48;39582013,52;538634,65;594289065,1;37684813631;23896419149;147454,57;1423139,09;14990603,16;113090,39;71132909224;1461022507;153215320,7;6004642418;880554,64;482228,89;160210,05;2031201,81;4923483,04;2918457,71;273067827,9;2026539,38;967935,89;171653,91;9293043,53;8996067,61;1491901,56;40098712464;20505997130;123687260,1;6426367,32;7218602812;4939342087;136856541,8;282555330,9;1263788,57;13675447199;309495,9;7491237,1;22319799557;15061041538;;2,67E+11;
"DemCoasOmn""""";414059,11;563536,1;267917,25;25202735,31;13981480,51;18203599,35;14042929,05;3850760,14;14074137,22;81293,38;4002950,69;99578425,18;34751068,12;28595348,74;4683717,3;41056311,73;1758869,21;556415689,8;32012910949;19525022597;25067,73;660312,98;11604387,68;197254,77;60369736902;892987060,9;257641731;5935021067;1276959,2;47355,7;88267;3164636,8;343370,59;251820,66;14189007,27;1706094,56;506758,39;86835,04;8923893,46;24075114,55;95457,54;32296246650;16486888989;165471535,7;5887792,53;6321856470;4393550604;123926427,6;164525042,1;2385869,7;12309693550;479670,14;1130007,96;12484135345;11265334237;;2,16E+11;
"BentCoasInv""""";439120,44;363554,59;309245,02;21533109,08;12934286,58;15166363,38;4770664,2;3324337,34;19985910,73;37737,36;3114670,05;52508105,29;12835454,22;13257935,53;1865622,22;16988070,3;717361,97;279664035,5;14902977551;7968742205;23343,66;244216,68;4633751,33;164329,28;26082732561;378155115,9;54629250,72;2422981202;2369517,43;63666,37;60211,82;1254618,77;480073,97;264208,38;4984190,24;755039,49;219627,46;55650,83;4161252,3;14238071,82;82032,63;14896472332;7184869934;36439377,33;2322967,17;2862461273;2040949200;50499109,19;79169908,31;937427,59;5330779634;191386,32;609574,4;5929906051;6345683316;;97065378761;
"SurfPela""""";49137,83;88168,97;151296,78;2127980,58;1706653,88;1694334,46;1354359,66;518567,81;1976900,05;9406,31;173864,59;3226910,53;3224482,73;2700239,14;54978,8;568751,1;101446,28;9427344,51;285342172,9;170030882,9;7069,85;74114,12;1241903,31;9221,11;531131022,1;10106423,65;29629276,11;86075752,68;216420,95;14685,47;6344,7;249200,34;79471,75;127492,82;870512,37;170295,08;60110,06;9812,2;853407,22;1356381,93;11070,26;271615429;143791016,3;20576109,05;635357,58;63836882,62;54867756,77;1787799,5;1872081,51;253198,66;143949490,8;53128,48;114623,03;309489066,4;314472033,7;;2474141841;
"StrAssCoasOmn""""";274925,71;645882,53;206361,89;13713370,09;9968476,61;11822275,27;15544597,23;3774081,92;5143021,53;101829,62;1904160,52;57797478,39;31756712,76;28053044,46;2302821,57;17845008,3;855983,33;265082094,2;15650500171;9574043145;20754,67;883212,97;13802336,54;51328,45;29675038002;433392600,5;392464779,3;2718459873;313262,86;37122;47466,52;2816009,76;184512,76;212023,86;5489405,04;1865508,34;644322,64;90921,72;8314227,58;16509211,5;48366,52;15830409725;8077415138;250399990,8;7007081,87;3121692528;2105048028;64640915,08;79845698,07;2836088,41;6054158817;615885,07;1125061,45;5049443964;4841453154;;1,04E+11;
"NeaAssPisc""""";2731,21;3200,06;2474,51;181407,49;139096,47;58531,23;25158,24;15392,14;87282,53;214,91;7165,18;294589,51;94912,28;180178,4;4342,78;43432,3;3628,46;574981,59;15942625,85;16088213,24;143,46;1654,5;27299,7;475,99;37750037,3;1236357,36;283825,15;6184702,31;9953,53;495,74;246,59;5520,31;4623,01;2071,46;150433,04;3757,16;1340,98;265,14;23093,26;32087,73;1313,63;13766657,38;10531255,95;197913,1;13329,02;3548669,9;3621591,04;113174,45;160925,65;4450,01;11188341,5;874,52;7987,98;26938764,98;17271592,84;;166834784,1;
"Mull""""";10408,84;37394,99;6761,1;4086541;2018298,71;1761298,3;1268939,65;173864,59;997417,42;4378,72;17709,68;6728421,24;4217074,06;2836389,6;51472,66;1235165,24;234715,53;4542711,24;37291347,71;75363614,09;707,47;43648,33;1036287,6;17434,03;124423420,2;12489469,12;16948900,65;140024967,2;13217,79;1031,51;6138,47;301074,85;20774,35;7478,01;875891,67;118254,75;38211,73;5901,14;1016237,17;932622,34;26460,85;31021622,21;45378232,51;10811457,98;439656,43;14777421,27;21552879,13;1195980,66;2299455,45;185174,8;90699265,19;29996,84;188994,56;942967822,6;558117743,9;;2160897757;
"NeaPlank""""";6636148,4;8448193,87;7937087,55;494712302,3;411769598,6;99578425,18;48618616,01;7333887,56;68806521,9;409152,09;15291866,45;1213252024;291851313,1;604512017,4;9972631,11;114390655,6;9587413,25;1479419640;1,26E+11;48544648530;388897,7;3614308,14;53585527,27;1140882,25;1,94E+11;3105374149;113400175,6;15047078868;2310706,78;677616,39;484455,77;11149198,29;11375439,97;7266987,4;1024352342;5850416,45;2285824,82;482064,9;52310181,66;39538791,97;4907540,36;1,49E+11;58627663353;120535302,6;21539127,97;22385613337;12997258000;248063011,9;969388353;4478078,28;25790491548;492810,47;24646802,28;84131106664;79370685499;;8,26E+11;
"Ofish""""";2504208,9;2592238,2;1988860,18;144566638,8;95593932,41;48651495,37;16638551,77;10259717,78;52927854,6;184551,66;13417962,9;408591838,3;56270371,62;127198747;10913627,13;90038092,26;1792819,11;1477467117;88538941316;48791486800;109210,46;1377847,68;19188591,24;591662,06;1,57E+11;2442838834;216810900,9;12969221513;6190583,98;413338,93;275197,24;4394361,75;3777801,01;1732447,49;115572466,8;2831478,98;1062241,83;218394,21;14373542,05;51745016,24;992961,29;90355989767;43722526580;150771183,3;8682857,9;16775194783;11458792066;293341120,9;505624682,5;2924770,46;30730986382;643526,39;5784353,98;33000992057;30933806893;;5,71E+11;
