Species                Kbu       Ktd      Kdir    Kindir         K
Sard               2.01508   0.27059   1.89216   0.39351   2.28567
Cet                0.00000   1.93412   1.24335   0.69077   1.93412
Bird               0.00000   0.51723   0.39286   0.12437   0.51723
Sha                0.00000  11.48324   5.58929   5.89395  11.48324
Lpela              0.00000   1.47419   1.02311   0.45108   1.47419
OSPela             0.96667   0.34286   1.23978   0.06975   1.30952
Sciae              0.10000   1.05409   0.79811   0.35598   1.15409
Spar               0.25714   1.05409   0.94097   0.37027   1.31123
EpiNeph            0.10000   2.67083   1.62192   1.14891   2.77083
Pomad              0.30000   0.59123   0.65525   0.23598   0.89123
Pseudopen          0.10000   0.16134   0.23025   0.03109   0.26134
Sco                0.10000   0.87258   0.65525   0.31732   0.97258
Odem               1.61167   1.35003   2.33978   0.62192   2.96169
FlatFish           0.00000   0.59123   0.35525   0.23598   0.59123
OctoVul            0.84614   0.57882   0.93978   0.48519   1.42497
Sep                0.84614   0.57882   0.93978   0.48519   1.42497
Shri               3.63571   0.36134   2.53978   1.45728   3.99706
Lobs               1.53593   0.40672   1.39216   0.55049   1.94265
Benth              5.84120   0.27059   3.60168   2.51011   6.11179
Zoopl             11.68131   0.20000   4.94286   6.93846  11.88131
Phyto             20.00000   0.00000   2.66667  17.33333  20.00000
