Species                      Kbu       Ktd      Kdir    Kindir         K
IntMedPred               0.38042   2.90556   2.16606   1.11992   3.28598
Lpred                    0.00000  11.71706   4.53730   7.17976  11.71706
Tuna                     0.00000   4.82036   1.56978   3.25058   4.82036
Carang                   0.17778   3.74210   2.11130   1.80858   3.91988
Sciae                    0.06667   1.98793   0.98491   1.06968   2.05460
FlatFishSole             0.06667   1.45718   1.01930   0.50455   1.52384
Spela                    0.50869   1.53257   1.50628   0.53499   2.04126
Lutja                    0.00000   2.95510   1.82955   1.12554   2.95510
Serra                    0.00000   2.50105   1.51686   0.98419   2.50105
EngraClup                0.85293   0.38947   1.00152   0.24088   1.24240
Squid                    0.78286   0.58796   1.06104   0.30979   1.37083
Nemi                     0.86247   0.65349   1.15360   0.36236   1.51596
DemZooBenthFeed          0.88289   1.26800   1.68779   0.46310   2.15088
Leio                     0.86247   0.36586   0.98693   0.24140   1.22833
Mullid                   0.86247   0.36586   0.98693   0.24140   1.22833
Bali                     0.60679   0.56104   0.88491   0.28293   1.16784
Lact                     0.86247   0.36586   0.98693   0.24140   1.22833
ReefFish                 0.39758   0.47756   0.83228   0.04287   0.87515
OctoSep                  0.30476   0.53808   0.71904   0.12380   0.84284
LzooBenthFeed            0.00000   1.00643   0.68511   0.32132   1.00643
CrabLobs                 1.34963   0.72216   1.75360   0.31819   2.07179
Shri                     2.50191   0.29855   1.89110   0.90937   2.80047
Scrus                    4.87260   0.14423   2.86287   2.15396   5.01683
MacroBenth               4.92895   0.55385   3.30652   2.17627   5.48279
MeioBenth                5.43884   0.14423   2.54418   3.03888   5.58307
Zoopl                   11.54118   0.07692   3.60672   8.01138  11.61810
MacroBenthFlo            2.33970   0.00000   0.75000   1.58970   2.33970
Phyto                   23.66030   0.00000   4.05758  19.60272  23.66030
