"TI3";""BalWhale"";""ToothWhale"";""Apoll"";""Jpoll"";""PacCod"";""Shri"";""PacHerr"";""Cepha"";""ForFish"";""Lzoopl"";""Copep"";""WalrBSeal"";""Seal"";""StLion"";""Phal"";""ArrTooFlo"";""SFlatFish"";""MacroUri"";""KingCrab"";""PacSal"";""SpeWhale"";""GreenTur"";""TanCrab"";""SnowCrab"";""EpiFau"";""InFAu"";""BenthAmph"";""Jelly"";""SculRockFish"";""Bird"";""Skate"";""Zoar"";""Phyto"";;SUM
""SFlatFish"";"0,03";"0,04";"0,03";"0,04";"0,04";"0,04";"0,03";"0,04";"0,04";"0,04";"0,05";"0,03";"0,02";"0,05";"0,06";"0,02";"0,03";"0,03";"0,03";"0,03";"0,03";"0,06";"0,03";"0,06";"0,05";"0,05";"0,05";"0,02";"0,05";"0,02";"0,03";"0,06";"0,02";;"1,25"
""MacroUri"";"0,01";"0,03";"0,02";"0,01";"0,02";"0,03";"0,02";"0,04";"0,03";"0,03";"0,01";"0,02";"0,01";"0,01";"0,02";"0,03";"0,02";"0,04";"0,02";"0,02";"0,12";"0,07";"0,02";"0,02";"0,04";"0,04";"0,04";"0,01";"0,02";"0,01";"0,02";"0,05";"0,01";;"0,88"
""KingCrab"";"0,01";"0,03";"0,01";"0,01";"0,03";"0,03";"0,02";"0,01";"0,01";"0,01";"0,01";"0,05";"0,01";"0,04";"0,01";"0,01";"0,02";"0,02";"0,03";"0,01";"0,01";"0,01";"0,02";"0,02";"0,04";"0,04";"0,04";"0,00";"0,03";"0,01";"0,02";"0,01";"0,00";;"0,64"
""PacSal"";"0,02";"0,04";"0,02";"0,02";"0,02";"0,03";"0,02";"0,03";"0,04";"0,04";"0,05";"0,02";"0,05";"0,04";"0,01";"0,02";"0,02";"0,02";"0,02";"0,03";"0,01";"0,01";"0,01";"0,01";"0,04";"0,01";"0,04";"0,03";"0,02";"0,06";"0,01";"0,01";"0,03";;"0,83"
""SpeWhale"";"0,00";"0,01";"0,01";"0,01";"0,00";"0,01";"0,00";"0,02";"0,01";"0,01";"0,00";"0,00";"0,00";"0,01";"0,00";"0,05";"0,01";"0,04";"0,00";"0,00";"0,04";"0,05";"0,00";"0,00";"0,00";"0,00";"0,01";"0,00";"0,01";"0,00";"0,00";"0,01";"0,00";;"0,34"
""GreenTur"";"0,01";"0,01";"0,03";"0,01";"0,01";"0,03";"0,01";"0,03";"0,03";"0,01";"0,01";"0,01";"0,01";"0,01";"0,02";"0,02";"0,03";"0,05";"0,01";"0,01";"0,11";"0,04";"0,01";"0,01";"0,01";"0,01";"0,01";"0,00";"0,03";"0,01";"0,01";"0,04";"0,00";;"0,71"
""TanCrab"";"0,01";"0,01";"0,01";"0,01";"0,03";"0,03";"0,01";"0,01";"0,01";"0,01";"0,01";"0,05";"0,01";"0,04";"0,04";"0,01";"0,02";"0,01";"0,03";"0,01";"0,01";"0,01";"0,03";"0,03";"0,05";"0,05";"0,04";"0,00";"0,04";"0,01";"0,05";"0,02";"0,00";;"0,73"
""SnowCrab"";"0,01";"0,01";"0,01";"0,01";"0,03";"0,04";"0,01";"0,01";"0,01";"0,01";"0,01";"0,05";"0,01";"0,01";"0,04";"0,01";"0,04";"0,02";"0,03";"0,01";"0,01";"0,01";"0,03";"0,03";"0,05";"0,05";"0,04";"0,00";"0,04";"0,01";"0,05";"0,02";"0,00";;"0,72"
""EpiFau"";"0,01";"0,02";"0,02";"0,02";"0,04";"0,03";"0,04";"0,02";"0,02";"0,02";"0,01";"0,06";"0,01";"0,02";"0,02";"0,01";"0,04";"0,05";"0,07";"0,05";"0,01";"0,02";"0,06";"0,07";"0,04";"0,06";"0,06";"0,01";"0,04";"0,02";"0,06";"0,04";"0,01";;"1,07"
""InFAu"";"0,01";"0,02";"0,02";"0,02";"0,04";"0,04";"0,02";"0,02";"0,02";"0,02";"0,01";"0,05";"0,01";"0,02";"0,02";"0,01";"0,04";"0,05";"0,06";"0,02";"0,01";"0,02";"0,06";"0,06";"0,06";"0,04";"0,03";"0,01";"0,04";"0,05";"0,06";"0,05";"0,01";;"1,00"
""BenthAmph"";"0,02";"0,02";"0,02";"0,02";"0,04";"0,04";"0,05";"0,03";"0,04";"0,02";"0,02";"0,05";"0,02";"0,02";"0,02";"0,01";"0,04";"0,05";"0,06";"0,05";"0,02";"0,02";"0,06";"0,06";"0,06";"0,03";"0,03";"0,01";"0,04";"0,02";"0,03";"0,02";"0,01";;"1,04"
""Jelly"";"0,01";"0,01";"0,01";"0,03";"0,01";"0,00";"0,01";"0,01";"0,01";"0,04";"0,05";"0,01";"0,05";"0,01";"0,00";"0,01";"0,01";"0,00";"0,00";"0,02";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,05";"0,01";"0,06";"0,00";"0,01";"0,15";;"0,59"
""SculRockFish"";"0,03";"0,03";"0,04";"0,04";"0,05";"0,05";"0,05";"0,04";"0,04";"0,04";"0,02";"0,04";"0,02";"0,05";"0,06";"0,03";"0,05";"0,03";"0,07";"0,03";"0,03";"0,06";"0,07";"0,07";"0,06";"0,06";"0,06";"0,02";"0,04";"0,02";"0,03";"0,03";"0,01";;"1,33"
""Bird"";"0,02";"0,01";"0,01";"0,03";"0,01";"0,01";"0,04";"0,03";"0,03";"0,04";"0,05";"0,01";"0,02";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,05";"0,01";"0,01";"0,01";"0,01";"0,01";"0,03";"0,01";"0,08";"0,01";"0,03";"0,01";"0,01";"0,04";;"0,72"
""Skate"";"0,01";"0,01";"0,03";"0,03";"0,03";"0,03";"0,01";"0,03";"0,03";"0,01";"0,01";"0,02";"0,01";"0,02";"0,02";"0,01";"0,02";"0,02";"0,02";"0,01";"0,01";"0,01";"0,05";"0,05";"0,04";"0,05";"0,02";"0,01";"0,02";"0,01";"0,03";"0,02";"0,00";;"0,72"
""Zoar"";"0,02";"0,02";"0,04";"0,04";"0,03";"0,04";"0,02";"0,04";"0,04";"0,03";"0,02";"0,02";"0,02";"0,02";"0,05";"0,02";"0,04";"0,06";"0,02";"0,02";"0,03";"0,06";"0,02";"0,02";"0,04";"0,05";"0,02";"0,01";"0,02";"0,02";"0,02";"0,03";"0,01";;"0,95"
""Phyto"";"0,01";"0,00";"0,00";"0,01";"0,00";"0,00";"0,01";"0,00";"0,00";"0,03";"0,04";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,07";"0,00";"0,01";"0,00";"0,00";"0,04";;"0,28"


"WI3";""BalWhale"";""ToothWhale"";""Apoll"";""Jpoll"";""PacCod"";""Shri"";""PacHerr"";""Cepha"";""ForFish"";""Lzoopl"";""Copep"";""WalrBSeal"";""Seal"";""StLion"";""Phal"";""ArrTooFlo"";""SFlatFish"";""MacroUri"";""KingCrab"";""PacSal"";""SpeWhale"";""GreenTur"";""TanCrab"";""SnowCrab"";""EpiFau"";""InFAu"";""BenthAmph"";""Jelly"";""SculRockFish"";""Bird"";""Skate"";""Zoar"";""Phyto"";;SUM
