TI3;"Parg""""";"Herr""""";"Gobie""""";"Crab""""";"Shri""""";"MicroBenth""""";"Roba""""";"IchthyoPl""""";"Jack""""";"CatFish""""";"Zoopl""""";"NeeFish""""";"Ofish""""";"Mojar""""";"Mull""""";"DrumCroak""""";"Ray""""";"FlatFish""""";"Phyto""""";;SUM;;;
"Mojar""""";140656,73;81585379,24;167187880,1;355108,84;930459,16;13158711,92;444599,59;2721717223;1609607,58;2811142,54;75705287577;412199,12;7875955,45;2300983,99;171944,21;426100,09;121259,41;226137,58;12945420892;;91652183817,10;;;
"Mull""""";12115,57;19902,55;36665,42;14667,25;25311,82;1309471,31;32393,94;4415044,36;14512,17;52672,87;1668239,5;39703,21;664592,59;57314,74;347,51;54321,54;13822,18;4162,11;0;;8435260,63;;;
"NeeFish""""";3175,26;9139687,57;21244767,21;172538,1;544097,84;86327,11;21473,95;49907178,29;190921,21;330230,59;136228490,6;4153,69;169942,25;480898,98;138961,24;17392,56;14591,11;33623,8;947944363,4;;1166672814,75;;;
"Ofish""""";45348,87;116541947;265048103,2;1704615,19;5352820,52;2740786,99;289421,17;674866765,8;2422118,33;3984643,86;1712169863;97109,85;2449392,04;5250636,97;1329185,18;259420,14;165308,62;396016,72;12678780917;;15473894420,27;;;
"Parg""""";1051,33;2458988,32;5563594,53;39895,27;123980,87;66531,66;6283,08;15351588,26;50360,88;88121,61;35299871,44;2268,04;56686,09;117213,94;30288,91;6014,17;3796,22;8556,98;286581123,4;;345856215,02;;;
"Phyto""""";114632449,4;3,15875E+11;7,62159E+11;15000636,26;32675635,44;7011345588;795141603,9;1,12742E+13;7816449026;4719369548;4,25262E+14;270841246,7;6339390458;4315140297;0;0;0;771497537,9;5,59953E+12;;443245711643840,00;;;
"Ray""""";2277,73;3177,97;224285,44;31972,18;93516,54;216560,04;6147,39;698343,11;2796,9;27434,57;265656,09;6253,33;123981,46;60629,71;20733,26;11265;4433,81;2654,7;0;;1802119,22;;;
"Roba""""";7539,7;9725631,09;18391277,62;130115,98;402170,18;535998,97;26156,7;139228539,1;143230,67;441324,21;290903847,5;18406,24;434131,76;444599,59;97181,83;19663,96;12294,78;29541,55;2385424812;;2846416463,20;;;
"Shri""""";247961,74;1044302,56;3167591,86;451371,1;1003042,65;26534850,89;670283,63;97228427,3;323133,64;1268447,41;39091533,04;777282,63;13382051,29;1550765,27;126559,1;1186437,32;311721,79;102925,49;163378177,2;;351846865,91;;;
"Zoopl""""";56479794,3;3,87665E+12;4,90039E+12;10374734,98;31273226,44;4354116409;387871796,7;9,55244E+13;22426751095;2,06253E+11;5,61781E+12;155689703,6;3424339726;1,0094E+11;6672957,98;824768,71;708416,23;6610359261;1,70105E+15;;1811311042240120,00;;;
