TI3;"OisMar""""";"SardRond""""";"SardPlat""""";"AutrPela""""";"MarMamm""""";"Cepha""""";"DemCot""""";"Zoopl""""";"ThonLar""""";"Req""""";"ThonCot""""";"Ray""""";"MeioBenth""""";"MacroBenth""""";"BenthProd""""";"Phyto""""";;SUM
"MacroBenth""""";0,01;0,01;0,01;0,01;0,02;0,06;0,07;0,01;0,01;0,01;0,01;0,18;0,18;0,1;0,18;0,02;;0,9
"BenthProd""""";0;0,01;0,01;0,01;0,01;0,02;0,07;0,01;0;0,01;0;0,17;0,17;0,14;0,1;0,01;;0,75
"Phyto""""";0,04;0,07;0,07;0,07;0,04;0,03;0,05;0,07;0,04;0,04;0,04;0,01;0,01;0,02;0,01;0,04;;0,67
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
TO3;"OisMar""""";"SardRond""""";"SardPlat""""";"AutrPela""""";"MarMamm""""";"Cepha""""";"DemCot""""";"Zoopl""""";"ThonLar""""";"Req""""";"ThonCot""""";"Ray""""";"MeioBenth""""";"MacroBenth""""";"BenthProd""""";"Phyto""""";;SUM
"OisMar""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"SardRond""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"SardPlat""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"AutrPela""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MarMamm""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Cepha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"DemCot""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Zoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"ThonLar""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Req""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"ThonCot""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Ray""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MeioBenth""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MacroBenth""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"BenthProd""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Phyto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
WI3;"OisMar""""";"SardRond""""";"SardPlat""""";"AutrPela""""";"MarMamm""""";"Cepha""""";"DemCot""""";"Zoopl""""";"ThonLar""""";"Req""""";"ThonCot""""";"Ray""""";"MeioBenth""""";"MacroBenth""""";"BenthProd""""";"Phyto""""";;SUM
"OisMar""""";646197,37;1,0698E+11;1,13239E+11;86054184537;238641924,5;4937349282;3227663458;1,92465E+12;7341444627;307071376,8;18299500886;59683,4;446990,57;20895858,48;6708668,1;6,87076E+12;;9,13606E+12
"SardRond""""";3,2094E+11;4,05197E+13;4,80366E+13;3,256E+13;55235025516;1,07984E+12;2,34367E+12;2,98053E+15;1,63573E+12;69877232373;4,13885E+12;56309358,59;676127252,4;3748269418;6357531807;1,49082E+15;;4,60213E+15
"SardPlat""""";3,39716E+11;4,80366E+13;5,57847E+13;3,85999E+13;73780981664;1,4581E+12;2,52767E+12;3,02861E+15;2,20286E+12;93621496768;5,55666E+12;64487776,78;965964564,3;3979525166;7317584675;2,01945E+15;;5,20275E+15
"AutrPela""""";2,58163E+11;3,256E+13;3,85999E+13;2,61639E+13;44389965754;8,67779E+11;1,88322E+12;2,3949E+15;1,31452E+12;56156342191;3,32613E+12;46456041,77;856503518,3;3110021670;5225695333;1,19803E+15;;3,69801E+15
"MarMamm""""";477283849;36823350344;49187321109;29593310503;10629435;135928518,3;3324745133;5,10901E+12;230941277,6;12146647,4;664470944,1;367525,07;73574329,07;32733211,06;32996999,97;1,55553E+11;;5,38516E+12
"Cepha""""";14812047845;1,07984E+12;1,4581E+12;8,67779E+11;203892777,4;1566510444;1,0335E+11;1,56658E+14;3262770788;213782358,9;10882503762;250281662,6;18635271978;1,37753E+11;40884264485;1,16557E+12;;1,61561E+14
"DemCot""""";12910653830;3,12489E+12;3,37023E+12;2,51096E+12;6649490265;1,378E+11;1,13838E+11;8,47279E+13;2,01939E+11;8496739156;5,05988E+11;953956711,6;2,63842E+11;2,6056E+11;1,95478E+11;1,87436E+14;;2,82879E+14
"Zoopl""""";6,41549E+12;3,3117E+15;3,36512E+15;2,661E+15;8,51501E+12;1,74064E+14;7,06066E+13;1,22791E+14;2,60836E+14;1,0909E+13;6,51664E+14;3269608140;32412525188;81358041645;3,66501E+11;2,43413E+17;;2,54057E+17
"ThonLar""""";14682889253;1,09049E+12;1,46857E+12;8,76344E+11;230941277,6;2175180525;1,0097E+11;1,56502E+14;4150057149;250122623;13077492620;2816666,93;384673055,8;176767526,3;381442357;2,02062E+12;;1,62094E+14
"Req""""";614142753,5;46584821582;62414331179;37437561461;12146647,4;142521572,6;4248369578;6,5454E+12;250122623;13651244,8;737543077,6;504520,23;67729134,85;63419652,53;24378427,77;1,56059E+11;;6,85407E+12
"ThonCot""""";30499168143;2,29936E+12;3,08703E+12;1,84785E+12;553725786,7;6045835423;2,10828E+11;3,25832E+14;10897910517;614619231,3;32841418668;4977301,12;448851924,9;372364216,6;632866174,7;6,3288E+12;;3,39689E+14
"Ray""""";79577,87;25026381,6;28661234,13;20647129,68;245016,72;111236294,5;317985570,5;1307843256;1877777,95;336346,82;3981840,89;44517338,08;9754657866;14703479518;8069372151;1189586515;;35579533815
"MeioBenth""""";595987,42;300501001,1;429317584,1;380668230,4;49049552,71;8282343101;87947207381;12965010075;256448703,9;45152756,57;359081539,9;9754657866;1,18409E+12;4,85423E+12;1,72737E+12;12055973508;;7,89851E+12
"MacroBenth""""";34826430,8;2082371899;2210847315;1727789817;27277675,88;76529271873;1,08567E+11;40679020823;147306271,9;52849710,44;372364216,6;18379349398;6,06778E+12;1,18722E+12;2,72778E+12;1,35947E+11;;1,03695E+13
"BenthProd""""";8944890,8;2825569692;3252259856;2322531259;21997999,98;18170784216;65159285136;1,466E+11;254294904,7;16252285,18;506292939,8;8069372151;1,72737E+12;2,18222E+12;1,18723E+12;1,32124E+11;;5,47615E+12
"Phyto""""";1,14513E+13;8,28235E+14;1,12192E+15;6,65573E+14;1,29627E+11;6,4754E+11;7,80985E+13;1,21707E+17;1,68385E+12;1,30049E+11;6,3288E+12;1486983144;15069966885;1,35947E+11;1,65155E+11;1,22753E+14;;1,24544E+17
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
WO3;"OisMar""""";"SardRond""""";"SardPlat""""";"AutrPela""""";"MarMamm""""";"Cepha""""";"DemCot""""";"Zoopl""""";"ThonLar""""";"Req""""";"ThonCot""""";"Ray""""";"MeioBenth""""";"MacroBenth""""";"BenthProd""""";"Phyto""""";;SUM
"AutrPela""""";0,06;0,22;0,22;0;0,03;0,03;0,16;0,22;0,06;0,03;0,16;0;0;0;0;0,22;;1,41
"BenthProd""""";0;0;0;0;0;0;0;0;0;0;0;0;0,03;0,03;0;0;;0,06
"Cepha""""";0,03;0,03;0,03;0,03;0,03;0;0,03;0,03;0,03;0,03;0,03;0;0;0;0;0,03;;0,34
"DemCot""""";0,06;0,16;0,16;0,16;0,03;0,03;0;0,16;0,06;0,03;0,16;0;0;0;0;0,16;;1,16
"MacroBenth""""";0;0;0;0;0;0;0;0;0;0;0;0;0,03;0;0,03;0;;0,06
"MarMamm""""";0,03;0,03;0,03;0,03;0;0,03;0,03;0,03;0,03;0,03;0,03;0;0;0;0;0,03;;0,34
"MeioBenth""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0,03;0,03;0;;0,06
"OisMar""""";0;0,06;0,06;0,06;0,03;0,03;0,06;0,06;0,06;0,03;0,06;0;0;0;0;0,06;;0,59
"Phyto""""";0,06;0,22;0,22;0,22;0,03;0,03;0,16;0,25;0,06;0,03;0,16;0;0;0;0;0;;1,44
"Ray""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Req""""";0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0;0,03;0;0;0;0;0,03;;0,34
"SardPlat""""";0,06;0,22;0;0,22;0,03;0,03;0,16;0,25;0,06;0,03;0,16;0;0;0;0;0,22;;1,44
"SardRond""""";0,06;0;0,22;0,22;0,03;0,03;0,16;0,22;0,06;0,03;0,16;0;0;0;0;0,22;;1,41
"ThonCot""""";0,06;0,16;0,16;0,16;0,03;0,03;0,16;0,16;0,06;0,03;0;0;0;0;0;0,16;;1,16
"ThonLar""""";0,06;0,06;0,06;0,06;0,03;0,03;0,06;0,06;0;0,03;0,06;0;0;0;0;0,06;;0,59
"Zoopl""""";0,06;0,22;0,25;0,22;0,03;0,03;0,16;0;0,06;0,03;0,16;0;0;0;0;0,25;;1,47
