TI3;"Lion""""";"HorMack""""";"CarFish""""";"ChHakeA""""";"Bcong""""";"ChHakeJ""""";"PilJ""""";"PilA""""";"AnchJ""""";"AnchA""""";"Psperch""""";"Eupha""""";"RatFish""""";"CPrownJ""""";"Yprown""""";"CPrownA""""";"Skate""""";"BigEye""""";"Copep""""";"Phyto""""";;SUM
"Skate""""";0,01;0;0;0,02;0,04;0,02;0;0;0;0;0,01;0;0,04;0,09;0,13;0,11;0,07;0,07;0;0;;0,63
"BigEye""""";0,01;0;0;0,02;0,04;0,02;0;0;0;0;0,01;0;0,04;0,09;0,13;0,11;0,07;0,07;0;0;;0,63
"Copep""""";0,05;0,04;0,04;0,04;0,01;0,04;0,12;0,12;0,12;0,12;0,04;0,09;0,01;0,01;0,01;0,01;0;0;0,08;0,13;;1,05
"Phyto""""";0,05;0,04;0,04;0,04;0,01;0,04;0,12;0,12;0,12;0,12;0,04;0,09;0,01;0,01;0,01;0,01;0;0;0,13;0,08;;1,05
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
TO3;"Lion""""";"HorMack""""";"CarFish""""";"ChHakeA""""";"Bcong""""";"ChHakeJ""""";"PilJ""""";"PilA""""";"AnchJ""""";"AnchA""""";"Psperch""""";"Eupha""""";"RatFish""""";"CPrownJ""""";"Yprown""""";"CPrownA""""";"Skate""""";"BigEye""""";"Copep""""";"Phyto""""";;SUM
"Lion""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"HorMack""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"CarFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"ChHakeA""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Bcong""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"ChHakeJ""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"PilJ""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"PilA""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"AnchJ""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"AnchA""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Psperch""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Eupha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"RatFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"CPrownJ""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Yprown""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"CPrownA""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Skate""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"BigEye""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Copep""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Phyto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
WI3;"Lion""""";"HorMack""""";"CarFish""""";"ChHakeA""""";"Bcong""""";"ChHakeJ""""";"PilJ""""";"PilA""""";"AnchJ""""";"AnchA""""";"Psperch""""";"Eupha""""";"RatFish""""";"CPrownJ""""";"Yprown""""";"CPrownA""""";"Skate""""";"BigEye""""";"Copep""""";"Phyto""""";;SUM
"Lion""""";164778,45;14665371426;200563186,7;27865628,57;21941,44;176235033,1;1274265632;1537630605;866059551,1;1153369182;413220270,2;5775274422;1349348,65;2153369,19;314372,49;494260,82;38459,52;36736,63;1,44343E+11;18391743361;;1,88829E+11
"HorMack""""";4888457142;815033108,2;9596697,6;20769458554;12317790,5;924300452,1;8,96646E+12;1,08208E+13;6,06208E+12;8,11856E+12;1158061401;1,84225E+14;440712715,8;1692609362;105273280,6;583463405,5;17922,22;23790,66;7,82353E+14;1,45294E+15;;2,45352E+15
"CarFish""""";44569597,04;6397798,4;73348,45;189322275,1;112282,27;8374780,79;81750800032;98657955935;55270363985;74020220411;10524276,13;1,67965E+12;4022291,64;15429750,44;960911,88;5316054,4;0;0;7,13303E+12;1,3247E+13;;2,23697E+13
"ChHakeA""""";37154171,43;83077834215;1135933650;416931626,4;1195386,7;1378708306;1,19248E+11;1,43922E+11;80790697290;1,07981E+11;2376980912;1,43599E+12;85430840,49;119095859,2;20196490,38;21533877,26;1763781,33;1551976,16;1,07617E+13;9,27829E+12;;2,20166E+13
"Bcong""""";14627,63;24635581;336846,8;597693,35;1603,48;1346994,5;515586,39;564702,89;841700,11;368582,99;773963,47;2802781,8;68247,91;152253,61;21051,1;106092,81;3964,98;3989,12;49816409,78;46723749,06;;129696422,8
"ChHakeJ""""";215398373,8;3389101658;46061294,34;1263815947;2469489,92;233378608,4;5,78976E+11;6,98608E+11;3,92228E+11;5,24051E+11;299842004,2;8,526E+12;107274096,6;328339305,8;25520942,58;106994311,9;230709,11;304510,76;5,11373E+13;6,01287E+13;;1,21992E+14
"PilJ""""";707925351,1;1,49441E+13;2,04377E+11;49686755341;429655,32;2,63171E+11;2,57507E+12;3,10812E+12;1,73902E+12;2,33189E+12;4,20168E+11;5,1826E+14;30733002,99;26715631,49;7109481,78;1039845,37;1579755,03;1427296,07;1,46727E+14;5,73602E+15;;6,42664E+15
"PilA""""";854239225,2;1,80347E+13;2,46645E+11;59967347224;470585,74;3,17549E+11;3,10812E+12;3,7515E+12;2,09902E+12;2,81459E+12;5,07067E+11;6,25501E+14;31642694,95;30797354,54;7278031,8;2940398,42;1683799,6;1550021,61;1,77102E+14;6,92293E+15;;7,75648E+15
"AnchJ""""";481144195;1,01035E+13;1,38176E+11;33662790538;701416,76;1,78285E+11;1,73902E+12;2,09902E+12;1,17442E+12;1,57482E+12;2,84069E+11;3,49994E+14;50763148,6;43159920,21;11755323,49;1168157,98;2592779,88;2334127,74;9,91112E+13;3,8737E+15;;4,34013E+15
"AnchA""""";640760656,4;1,35309E+13;1,85051E+11;44992188801;307152,5;2,38205E+11;2,33189E+12;2,81459E+12;1,57482E+12;2,11166E+12;3,80439E+11;4,69352E+14;19190178,43;21214130,25;4381556,34;3224584,71;1065434,87;1002176,57;1,32857E+14;5,19471E+15;;5,82013E+15
"Psperch""""";91826726,7;772040934;10524276,13;396163485,4;257987,82;54516728,03;1,68067E+11;2,02827E+11;1,13628E+11;1,52176E+11;42956902,08;3,4531E+12;10281954,49;33348282,29;2442527,32;10928161,99;101911,26;91042,48;1,46659E+13;2,72351E+13;;4,59922E+13
"Eupha""""";4491880106;4,29858E+14;5,87878E+12;8,37662E+11;3269912,1;5,42563E+12;7,25564E+14;8,75702E+14;4,89991E+14;6,57092E+14;1,20858E+13;6,28018E+15;364179460;309080005,2;86647559,89;3299379,04;2395773,38;2165450,37;6,59069E+16;3,5502E+16;;1,10892E+17
"RatFish""""";449782,88;440712715,8;6033437,46;21357710,12;34123,96;29256571,81;18439801,79;18985616,97;30457889,16;11514107,06;15422931,74;156076911,4;393412,48;3819585,74;58560,99;2064209,24;70391,19;93052,06;895675649,3;1033499984;;2684416446
"CPrownJ""""";1435579,46;3385218723;46289251,32;59547929,62;152253,61;179094166,8;32058757,79;36956825,45;51791904,25;25456956,3;100044846,9;264925718,7;7639171,48;11847045,82;1700746,67;3217298,33;492059,33;488553,04;6843197485;6272694033;;17324249305
"Yprown""""";139721,11;140364374,1;1921823,76;6732163,46;14034,07;9280342,76;5687585,43;5822425,44;9404258,8;3505245,07;4885054,64;49512891,36;78081,32;1133831,11;1527,79;614360,27;59526,45;59933,82;285298489,3;329199509,2;;853715179,3
"CPrownA""""";274589,34;972439009,1;13290136;8972448,86;88410,67;48633778,16;1039845,37;2940398,42;1168157,98;3224584,71;27320404,97;2356699,32;3440348,73;2681081,94;767950,33;5885,51;591032,77;493265,41;1962479100;1668946145;;4721153273
"Skate""""";12819,84;17922,22;0;440945,33;1982,49;62920,67;947853,02;1010279,76;1555667,93;639260,92;152866,89;1026760,02;70391,19;246029,66;44644,84;354619,66;2366,99;1930,51;0;0;;6589261,94
"BigEye""""";12245,54;23790,66;0;387994,04;1994,56;83048,39;856377,64;930012,97;1400476,64;601305,94;136563,72;928050,16;93052,06;244276,52;44950,36;295959,25;1930,51;1581,74;0;0;;6043610,69
"Copep""""";96228434887;1,56471E+15;2,13991E+13;5,38083E+12;49816409,78;2,78931E+13;1,76072E+14;2,12522E+14;1,18933E+14;1,59429E+14;4,39977E+13;5,64916E+16;1791351299;6843197485;427947733,9;2354974920;0;0;6,29029E+15;6,296E+17;;6,94713E+17
"Phyto""""";12261162241;2,90588E+15;3,97411E+13;4,63914E+12;46723749,06;3,27975E+13;6,88322E+15;8,30752E+15;4,64843E+15;6,23365E+15;8,17054E+13;3,04303E+16;2066999969;6272694033;493799263,9;2002735374;0;0;6,296E+17;6,29029E+15;;6,95458E+17
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
WO3;"Lion""""";"HorMack""""";"CarFish""""";"ChHakeA""""";"Bcong""""";"ChHakeJ""""";"PilJ""""";"PilA""""";"AnchJ""""";"AnchA""""";"Psperch""""";"Eupha""""";"RatFish""""";"CPrownJ""""";"Yprown""""";"CPrownA""""";"Skate""""";"BigEye""""";"Copep""""";"Phyto""""";;SUM
"AnchA""""";0;0,18;0,08;0,08;0;0,18;0,25;0,25;0,23;0;0,08;0,25;0;0;0;0;0;0;0,25;0,25;;2,05
"AnchJ""""";0;0,18;0,08;0,08;0;0,18;0,23;0,23;0;0,23;0,08;0,23;0;0;0;0;0;0;0,23;0,23;;1,93
"Bcong""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"BigEye""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"CarFish""""";0;0,08;0;0,08;0;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0;0;0;0;0;0;0,08;0,08;;0,83
"ChHakeA""""";0;0,08;0,08;0;0;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0;0;0;0;0;0;0,08;0,08;;0,83
"ChHakeJ""""";0;0,18;0,08;0,08;0;0;0,18;0,18;0,18;0,18;0,08;0,18;0;0;0;0;0;0;0,18;0,18;;1,63
"Copep""""";0;0,18;0,08;0,08;0;0,18;0,28;0,28;0,23;0,25;0,08;0,3;0;0;0;0;0;0;0;0,3;;2,2
"CPrownA""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"CPrownJ""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Eupha""""";0;0,18;0,08;0,08;0;0,18;0,28;0,28;0,23;0,25;0,08;0;0;0;0;0;0;0;0,3;0,3;;2,2
"HorMack""""";0;0;0,08;0,08;0;0,18;0,18;0,18;0,18;0,18;0,08;0,18;0;0;0;0;0;0;0,18;0,18;;1,63
"Lion""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Phyto""""";0;0,18;0,08;0,08;0;0,18;0,28;0,28;0,23;0,25;0,08;0,3;0;0;0;0;0;0;0,3;0;;2,2
"PilA""""";0;0,18;0,08;0,08;0;0,18;0,28;0;0,23;0,25;0,08;0,28;0;0;0;0;0;0;0,28;0,28;;2,15
"PilJ""""";0;0,18;0,08;0,08;0;0,18;0;0,28;0,23;0,25;0,08;0,28;0;0;0;0;0;0;0,28;0,28;;2,15
"Psperch""""";0;0,08;0,08;0,08;0;0,08;0,08;0,08;0,08;0,08;0;0,08;0;0;0;0;0;0;0,08;0,08;;0,83
"RatFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Skate""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Yprown""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
