TI3;"TranOrc""""";"Porp""""";"Pinni""""";"ResOrc""""";"Asal""""";"Aherr""""";"Sha""""";"Hal""""";"LingCod""""";"SabFish""""";"Aatooth""""";"PacCod""""";"Jatooth""""";"DeepDem""""";"PollOne""""";"RockFish""""";"Squide""""";"DeepEpiBent""""";"Cape""""";"Jherr""""";"Jelly""""";"OmnZoopl""""";"ShalSmEpiBenth""""";"Sal""""";"NshDem""""";"Eula""""";"ShalEpiBenth""""";"Sandl""""";"HerbZoopl""""";"PollZero""""";"DeepSmInFau""""";"AviPred""""";"ShalSmInFau""""";"NeaOmnZoo""""";"Bird""""";"ShalLgInFau""""";"MeioFau""""";"DeepLgInFau""""";"BelWhale""""";"NeaHerbZoo""""";"Otter""""";"MacroalgaGrass""""";"InveatBird""""";"NeaPhyto""""";"OffshPhyto""""";;SUM;
"OffshPhyto""""";0;0;0;0;0;0;0,01;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0,01;0,01;0;0,01;0;0;0;0;0,01;0;0;0;0;0,01;0;0;0;0;0;0,01;0;0;0;0,01;0;;0,1;0,00116144
"OmnZoopl""""";0;0,02;0,12;0;0,08;0,12;0,17;0,12;0,09;0,17;0,09;0,16;0,14;0,14;0,2;0,17;0,19;0,13;0,16;0,22;0,07;0;0,11;0,16;0,1;0,14;0,01;0,14;0,21;0,08;0,01;0,01;0;0,2;0,1;0;0;0,01;0;0,07;0,01;0;0;0,02;0,01;;3,96;0,045993031
"Otter""""";0;0;0;0;0;0;0,01;0,02;0;0,01;0,01;0,02;0,01;0,06;0,02;0,01;0,01;0,06;0;0;0;0,01;0,02;0;0,02;0;0,03;0;0,03;0;0,01;0;0,01;0;0,01;0,02;0;0,03;0;0;0;0,01;0;0,01;0;;0,48;0,005574913
"PacCod""""";0,01;0,06;0,14;0;0,08;0,1;0,16;0,17;0,08;0,19;0,09;0;0,14;0,21;0,17;0,13;0,21;0,16;0,11;0,18;0;0,16;0,17;0,09;0,17;0,13;0,09;0,12;0,12;0,03;0,01;0;0,04;0,1;0,08;0;0;0,01;0;0,02;0,02;0,01;0,02;0,02;0;;3,8;0,044134727
"Pinni""""";0,01;0,06;0;0,01;0,1;0,1;0,13;0,11;0,11;0,13;0,07;0,14;0,09;0,1;0,12;0,09;0,12;0,07;0,09;0,17;0,01;0,12;0,1;0,1;0,1;0,12;0,01;0,12;0,12;0,03;0;0,01;0,01;0,1;0,08;0;0;0;0;0,02;0;0;0;0;0;;2,89;0,033565621
"PollOne""""";0;0,01;0,12;0;0,09;0,11;0,14;0,13;0,08;0,14;0,07;0,17;0,14;0,14;0;0,14;0,19;0,13;0,16;0,2;0,03;0,2;0,11;0,14;0,12;0,17;0,02;0,14;0,16;0,06;0,01;0,01;0,01;0,13;0,1;0;0;0,01;0;0,03;0,02;0,01;0;0;0;;3,68;0,042740999
"PollZero""""";0;0,01;0,03;0;0;0,06;0,06;0,02;0,02;0,02;0,02;0,03;0,02;0,03;0,06;0,03;0,07;0,06;0,08;0,08;0,02;0,08;0,01;0,03;0,02;0,06;0;0,08;0,03;0;0;0;0;0,06;0,02;0;0;0;0;0,02;0;0;0;0,01;0;;1,14;0,013240418
"Porp""""";0,01;0;0,06;0;0,01;0,04;0,03;0,01;0,02;0,04;0,02;0,06;0,01;0,02;0,01;0,01;0,03;0,02;0,01;0,06;0;0,02;0,02;0;0,03;0,03;0,01;0,04;0,02;0,01;0;0;0,01;0,01;0,01;0;0;0;0;0,01;0;0;0;0;0;;0,73;0,008478513
"ResOrc""""";0;0;0,01;0;0,01;0,01;0,01;0,01;0,01;0;0;0;0;0;0;0;0;0;0,01;0,01;0;0;0;0,01;0;0,01;0;0,01;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,13;0,001509872
"RockFish""""";0;0,01;0,09;0;0,06;0,09;0,12;0,1;0,07;0,12;0,08;0,13;0,11;0,13;0,14;0;0,14;0,11;0,11;0,16;0,02;0,17;0,09;0,1;0,12;0,1;0,03;0,1;0,14;0,03;0,01;0;0,01;0,09;0,08;0;0;0,01;0;0,02;0,01;0;0;0;0;;2,92;0,033914053
"SabFish""""";0,01;0,04;0,13;0;0,07;0,09;0,14;0,11;0,07;0;0,08;0,19;0,14;0,12;0,14;0,12;0,17;0,1;0,09;0,16;0,01;0,17;0,09;0,09;0,09;0,11;0,01;0,09;0,13;0,02;0,01;0;0;0,1;0,06;0;0;0,01;0;0,03;0,01;0;0;0,01;0,01;;3,03;0,035191638
"Sal""""";0;0;0,1;0,01;0,09;0,09;0,1;0,09;0,08;0,09;0,03;0,09;0,09;0,08;0,14;0,1;0,13;0,04;0,12;0,14;0,07;0,16;0,08;0;0,09;0,13;0,02;0,13;0,14;0,03;0;0,02;0;0,13;0,11;0;0;0;0;0,04;0;0;0;0,02;0,01;;2,82;0,032752613
"Sandl""""";0,01;0,04;0,12;0,01;0,06;0,16;0,12;0,09;0,08;0,09;0,04;0,12;0,07;0,09;0,14;0,1;0,17;0,11;0,18;0,22;0,04;0,14;0,09;0,13;0,13;0,18;0,03;0;0,1;0,08;0;0,02;0,01;0,11;0,09;0;0;0;0;0,03;0;0;0;0,01;0;;3,23;0,037514518
"Sha""""";0,01;0,03;0,13;0,01;0,08;0,13;0;0,12;0,08;0,14;0,07;0,16;0,12;0,16;0,14;0,12;0,17;0,13;0,14;0,18;0,01;0,17;0,1;0,1;0,11;0,14;0,03;0,12;0,11;0,06;0,01;0,01;0;0,09;0,04;0;0;0,01;0;0,02;0,01;0;0;0,01;0,01;;3,31;0,03844367
"ShalEpiBenth""""";0;0,01;0,01;0;0,01;0,01;0,03;0,06;0,01;0,01;0,01;0,09;0,02;0,11;0,02;0,03;0,06;0,08;0,03;0,03;0;0,01;0,09;0,02;0,09;0,03;0;0,03;0,03;0;0;0;0,04;0;0,02;0,01;0;0,02;0;0;0,03;0,01;0,02;0,02;0;;1,14;0,013240418
"ShalLgInFau""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0,03;0;0;0;0,02;0;0;0,01;0;0,02;0;0;0;0,01;0;0,01;0;0;0;0,01;0,01;0,01;0;0;0,01;0;0,01;0,02;0;0;0,02;0;;0,21;0,002439024
"ShalSmEpiBenth""""";0;0,02;0,1;0;0,09;0,04;0,1;0,13;0,07;0,09;0,07;0,17;0,1;0,18;0,11;0,09;0,13;0,11;0,1;0,12;0,02;0,11;0;0,08;0,14;0,1;0,09;0,09;0,1;0,01;0;0,01;0,06;0,1;0,1;0,02;0;0;0;0,03;0,02;0,01;0,02;0,04;0;;2,99;0,034727062
"ShalSmInFau""""";0;0,01;0,01;0;0;0;0;0,02;0,01;0;0,01;0,04;0;0,06;0,01;0,01;0,02;0,02;0;0,01;0,01;0;0,06;0;0,04;0;0,04;0,01;0,01;0;0;0;0;0,01;0,01;0,01;0;0;0;0,01;0,01;0,01;0,02;0,03;0;;0,54;0,006271777
"Squide""""";0,01;0,03;0,12;0;0,06;0,13;0,17;0,12;0,08;0,17;0,07;0,21;0,14;0,18;0,19;0,14;0;0,13;0,18;0,21;0,03;0,19;0,13;0,13;0,16;0,18;0,06;0,17;0,13;0,07;0,01;0,01;0,02;0,13;0,09;0;0;0,01;0;0,03;0,01;0;0,02;0,03;0;;3,97;0,046109175
"TranOrc""""";0;0,01;0,01;0;0;0,01;0,01;0;0;0,01;0;0,01;0;0;0;0;0,01;0;0;0,01;0;0;0;0;0,01;0,01;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,12;0,001393728
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86,1;1
