TI3;"TranOrc""""";"Porp""""";"Pinni""""";"ResOrc""""";"Asal""""";"Aherr""""";"Sha""""";"Hal""""";"LingCod""""";"SabFish""""";"Aatooth""""";"PacCod""""";"Jatooth""""";"DeepDem""""";"PollOne""""";"RockFish""""";"Squide""""";"DeepEpiBent""""";"Cape""""";"Jherr""""";"Jelly""""";"OmnZoopl""""";"ShalSmEpiBenth""""";"Sal""""";"NshDem""""";"Eula""""";"ShalEpiBenth""""";"Sandl""""";"HerbZoopl""""";"PollZero""""";"DeepSmInFau""""";"AviPred""""";"ShalSmInFau""""";"NeaOmnZoo""""";"Bird""""";"ShalLgInFau""""";"MeioFau""""";"DeepLgInFau""""";"BelWhale""""";"NeaHerbZoo""""";"Otter""""";"MacroalgaGrass""""";"InveatBird""""";"NeaPhyto""""";"OffshPhyto""""";;SUM;
"Aatooth""""";0,01;0,02;0,02;0,02;0,02;0,03;0,03;0,01;0,02;0,02;0,02;0,02;0,02;0,01;0,03;0,04;0,02;0,03;0,03;0,03;0,01;0,03;0,01;0,01;0,03;0,03;0,01;0,03;0,02;0,04;0,02;0,01;0,01;0,02;0,01;0;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;;0,83;
"PacCod""""";0,04;0,06;0,05;0,02;0,02;0,04;0,04;0,05;0,02;0,05;0,03;0,04;0,05;0,04;0,04;0,03;0,04;0,04;0,04;0,04;0,01;0,02;0,04;0,02;0,05;0,04;0,07;0,04;0,02;0,05;0,07;0,02;0,08;0,02;0,02;0,02;0,03;0,02;0,02;0,02;0,02;0,04;0,04;0,02;0,01;;1,61;
"Jatooth""""";0,01;0,02;0,02;0,02;0,02;0,04;0,04;0,04;0,02;0,02;0,02;0,04;0,03;0,03;0,04;0,02;0,03;0,04;0,04;0,03;0,01;0,03;0,02;0,02;0,01;0,03;0,02;0,03;0,02;0,05;0,02;0,01;0,01;0,04;0,02;0,01;0,02;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;;1,03;
"DeepDem""""";0,01;0,02;0,02;0,01;0,02;0,02;0,04;0,05;0,05;0,04;0,02;0,04;0,05;0,05;0,02;0,04;0,04;0,06;0,04;0,04;0,02;0,04;0,04;0,02;0,05;0,04;0,07;0,02;0,02;0,02;0,08;0,02;0,08;0,02;0,02;0,12;0,21;0,12;0,01;0,02;0,07;0,04;0,04;0,03;0,01;;1,9;
"PollOne""""";0,02;0,02;0,05;0,01;0,03;0,02;0,04;0,05;0,05;0,04;0,05;0,04;0,05;0,02;0,03;0,03;0,04;0,04;0,04;0,04;0,02;0,04;0,02;0,05;0,03;0,04;0,06;0,04;0,04;0,06;0,02;0,02;0,02;0,04;0,05;0,02;0,02;0,02;0,03;0,03;0,02;0,03;0,01;0,01;0,02;;1,49;
"RockFish""""";0,02;0,02;0,04;0,01;0,02;0,02;0,04;0,02;0,05;0,02;0,05;0,02;0,02;0,04;0,02;0,03;0,03;0,04;0,04;0,04;0,02;0,04;0,03;0,02;0,04;0,02;0,02;0,04;0,04;0,05;0,07;0,02;0,02;0,04;0,02;0,01;0,03;0,02;0,02;0,02;0,01;0,02;0,02;0,01;0,02;;1,23;
"Squide""""";0,04;0,06;0,05;0,01;0,02;0,02;0,04;0,05;0,02;0,05;0,03;0,04;0,05;0,04;0,04;0,05;0,03;0,04;0,05;0,04;0,03;0,04;0,04;0,03;0,03;0,04;0,03;0,03;0,04;0,06;0,03;0,02;0,07;0,05;0,05;0,02;0,03;0,02;0,02;0,05;0,02;0,02;0,04;0,03;0,02;;1,62;
"DeepEpiBent""""";0,01;0,02;0,01;0,01;0,01;0,02;0,04;0,04;0,02;0,04;0,05;0,04;0,04;0,05;0,04;0,04;0,03;0,05;0,02;0,02;0,01;0,03;0,02;0,01;0,04;0,02;0,04;0,02;0,04;0,02;0,08;0,01;0,02;0,01;0,02;0,04;0,21;0,14;0,01;0,01;0,14;0,14;0,01;0,01;0,02;;1,71;
"Cape""""";0,02;0,02;0,04;0,03;0,05;0,02;0,04;0,04;0,02;0,04;0,05;0,04;0,04;0,03;0,04;0,04;0,04;0,02;0,03;0,03;0,02;0,04;0,04;0,05;0,02;0,03;0,02;0,03;0,04;0,03;0,02;0,02;0,02;0,04;0,05;0,02;0,02;0,01;0,02;0,05;0,01;0,02;0,02;0,02;0,02;;1,35;
"Jherr""""";0,04;0,06;0,05;0,03;0,05;0,03;0,04;0,05;0,05;0,04;0,05;0,04;0,05;0,04;0,04;0,05;0,04;0,02;0,03;0,03;0,03;0,04;0,02;0,05;0,04;0,03;0,02;0,03;0,04;0,03;0,03;0,03;0,02;0,05;0,05;0,02;0,02;0,02;0,09;0,05;0,01;0,01;0,01;0,02;0,02;;1,61;
