Species                Kbu       Ktd      Kdir    Kindir         K
Rast               0.76552   0.43030   1.00934   0.18648   1.19583
Scomber            0.07143   1.51217   0.96626   0.61734   1.58360
Caran              0.56268   0.97436   1.31035   0.22669   1.53704
Lpisc              0.13095  11.25446   4.98053   6.40488  11.38541
Cepha              0.76340   1.97895   2.47463   0.26772   2.74235
Tuna               0.07143  13.21661   4.96472   8.32332  13.28804
Mamm               0.00000   1.50081   0.87995   0.62086   1.50081
Sha                0.00000  31.31863   5.39462  25.92402  31.31863
Lutja              0.07143   3.57861   2.02557   1.62447   3.65004
Pomf               0.20635   0.81336   0.85991   0.15979   1.01971
Spela              0.98850   0.21970   1.05220   0.15600   1.20820
FalTrev            0.13492   0.88632   0.92720   0.09404   1.02124
Scian              0.07540   1.86977   1.77081   0.17436   1.94517
Saur               0.07540   1.90195   1.10117   0.87618   1.97734
Plecto             0.20635   0.53409   0.63710   0.10334   0.74044
Pria               0.21593   0.43758   0.55717   0.09633   0.65350
DemPisc            0.30375   3.20817   2.33156   1.18036   3.51192
Silla              0.35085   0.12753   0.41416   0.06421   0.47837
Nemi               0.52318   0.18056   0.60247   0.10127   0.70374
Ari                0.34358   0.71928   0.91531   0.14754   1.06286
Shri               4.39444   0.11111   3.30584   1.19971   4.50555
Ray                0.00000   1.12753   1.11012   0.01741   1.12753
Sdem               1.31004   0.36574   1.45842   0.21736   1.67578
DemBenth           0.47850   1.32015   1.59065   0.20800   1.79865
CrabLobs           0.30594   0.05808   0.26984   0.09418   0.36402
TraFish            1.91646   0.27778   1.80703   0.38720   2.19424
ShellFish          0.98443   0.21970   0.96212   0.24200   1.20412
Cucu               0.33333   0.00000   0.33333   0.00000   0.33333
SergShri           1.52167   0.11111   1.08398   0.54880   1.63278
PonyFish           1.24097   0.11111   1.01851   0.33357   1.35208
Benth             11.71943   0.21970   6.30108   5.63805  11.93913
Zoopl             24.75982   0.16667  10.43452  14.49197  24.92649
Jelly              0.00000   0.05303   0.04545   0.00758   0.05303
Jpela              1.15890   0.05303   0.83434   0.37758   1.21193
Jcaranx            0.57039   0.05303   0.50101   0.12241   0.62342
Jsaur              0.34340   0.05303   0.30101   0.09542   0.39643
Jnemi              0.34340   0.05303   0.30101   0.09542   0.39643
Phyto             35.66667   0.00000   3.16667  32.50000  35.66667
