"TI3";""MarMamm"";""Cepha"";""LBenthCarn"";""SBenthCarn"";""Clup"";""Anch"";""Shri"";""BenthOmn"";""Lzoopl"";""Sha"";""Lpela"";""LBenthPela"";""MBenthCarn"";""MeioBenth"";""RaySkate"";""SBenthPela"";""CrabLobs"";""HetBenth"";""MicroNekt"";""Mack"";""Tuna"";""MicroZoopl"";""Phyto"";;SUM
""Lpela"";"0,03";"0,06";"0,06";"0,05";"0,06";"0,05";"0,05";"0,05";"0,03";"0,07";"0,04";"0,06";"0,06";"0,03";"0,03";"0,05";"0,06";"0,03";"0,06";"0,09";"0,03";"0,03";"0,03";;"1,10"
""LBenthPela"";"0,04";"0,07";"0,06";"0,05";"0,06";"0,05";"0,05";"0,05";"0,06";"0,07";"0,07";"0,04";"0,06";"0,03";"0,04";"0,05";"0,07";"0,06";"0,06";"0,09";"0,03";"0,04";"0,04";;"1,25"
""MBenthCarn"";"0,02";"0,02";"0,04";"0,03";"0,03";"0,03";"0,05";"0,05";"0,05";"0,06";"0,05";"0,05";"0,04";"0,05";"0,03";"0,03";"0,03";"0,05";"0,05";"0,03";"0,02";"0,05";"0,05";;"0,91"
""MeioBenth"";"0,02";"0,02";"0,02";"0,05";"0,03";"0,05";"0,05";"0,05";"0,03";"0,06";"0,03";"0,03";"0,05";"0,04";"0,03";"0,05";"0,06";"0,05";"0,03";"0,02";"0,08";"0,05";"0,05";;"0,94"
""RaySkate"";"0,02";"0,02";"0,04";"0,04";"0,02";"0,04";"0,04";"0,04";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,03";"0,04";"0,06";"0,04";"0,04";"0,02";"0,02";"0,02";"0,02";;"0,67"
""SBenthPela"";"0,04";"0,06";"0,06";"0,06";"0,07";"0,06";"0,06";"0,06";"0,06";"0,04";"0,06";"0,06";"0,04";"0,07";"0,08";"0,05";"0,08";"0,06";"0,07";"0,04";"0,09";"0,06";"0,06";;"1,40"
""CrabLobs"";"0,02";"0,05";"0,04";"0,02";"0,02";"0,04";"0,04";"0,02";"0,02";"0,02";"0,05";"0,04";"0,02";"0,05";"0,06";"0,04";"0,03";"0,04";"0,02";"0,02";"0,02";"0,02";"0,02";;"0,76"
""HetBenth"";"0,03";"0,03";"0,05";"0,05";"0,05";"0,05";"0,05";"0,05";"0,06";"0,03";"0,03";"0,05";"0,06";"0,06";"0,07";"0,05";"0,07";"0,04";"0,04";"0,03";"0,04";"0,06";"0,06";;"1,15"
""MicroNekt"";"0,03";"0,03";"0,05";"0,05";"0,05";"0,05";"0,05";"0,03";"0,06";"0,03";"0,05";"0,05";"0,06";"0,03";"0,06";"0,05";"0,03";"0,03";"0,04";"0,03";"0,03";"0,06";"0,06";;"0,99"
""Mack"";"0,01";"0,04";"0,03";"0,01";"0,02";"0,01";"0,01";"0,01";"0,01";"0,01";"0,04";"0,03";"0,02";"0,01";"0,01";"0,01";"0,01";"0,01";"0,02";"0,03";"0,01";"0,04";"0,04";;"0,46"
