"","x"
"1",0
"10",0
"11",0
"12",0
"2",0
"26",0
"27",0
"28",0
"29",0
"3",0
"30",0
"4",0
"5",0
"57",0
"58",0
"6",0
"60",0
"61",0
"62",0
"63",0
"7",0
"8",0
"9",0
"13",1.81619573992424
"14",1.04294229107781
"15",1.76818246970593
"16",1.00081043072009
"17",1.50203894979854
"18",1.53722949511525
"19",1.63591519568667
"20",1.00127074649458
"21",1.6350512242423
"22",1.70814142743329
"23",1.95450206287389
"24",1.71493755024595
"25",1.13272701679425
"31",1.90729529616725
"32",1.39503256605661
"33",1.68886912065216
"34",1.0622780306462
"35",1.51977565135441
"36",1.49426938571384
"37",1.5012619135843
"38",1.30961205010617
"39",1.46413003744702
"40",1
"41",1
"42",1.51236428099241
"43",1.99173726366288
"44",1.36044927873552
"45",1.86998359437627
"46",2.17747450889476
"47",2.34826641246831
"48",1.36122069180421
"49",1.37000605751266
"50",1.24029115571701
"51",1.55025623524078
"52",1.47034941223552
"53",1.41978839806972
"54",2.0216964537118
"55",1
"56",2.88395273226852
