TI3;"Phyto""""";"Zoopl""""";"BenthSus""""";"OmnBentPre""""";"PhytoBenth""""";"BenthDep""""";"NeoInt""""";"PalLong""""";"CraCra""""";"PomMic""""";"PlaFle""""";"Ofish""""";"DicLab""""";"Bird""""";;SUM
"Bird""""";1024,5;6058152,55;371753,75;191619,52;15743,16;1736389,33;819,39;100,14;290,11;33,22;147,65;360,67;216,01;3998,74;;8380648,74
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
WO3;"Phyto""""";"Zoopl""""";"BenthSus""""";"OmnBentPre""""";"PhytoBenth""""";"BenthDep""""";"NeoInt""""";"PalLong""""";"CraCra""""";"PomMic""""";"PlaFle""""";"Ofish""""";"DicLab""""";"Bird""""";;SUM
"BenthDep""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"BenthSus""""";0,11;0,14;0;0,11;0;0;0,14;0,07;0,14;0,04;0,04;0,04;0,04;0;;0,86
"Bird""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"CraCra""""";0,18;0,18;0,14;0,11;0;0;0,21;0,14;0;0,07;0,07;0,07;0,04;0;;1,21
"DicLab""""";0,04;0,04;0,04;0,04;0;0;0,04;0,04;0,04;0,04;0,04;0,04;0;0;;0,36
"NeoInt""""";0,21;0,18;0,14;0,11;0;0;0;0,18;0,21;0,07;0,07;0,07;0,04;0;;1,29
"Ofish""""";0,07;0,07;0,04;0,04;0;0;0,07;0,07;0,07;0,07;0,07;0;0,04;0;;0,61
"OmnBentPre""""";0,07;0,11;0,11;0;0;0;0,11;0,04;0,11;0,04;0,04;0,04;0,04;0;;0,68
"PalLong""""";0,18;0,11;0,07;0,04;0;0;0,18;0;0,14;0,07;0,07;0,07;0,04;0;;0,96
"Phyto""""";0;0,21;0,11;0,07;0;0;0,21;0,18;0,18;0,07;0,07;0,07;0,04;0;;1,21
"PhytoBenth""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"PlaFle""""";0,07;0,07;0,04;0,04;0;0;0,07;0,07;0,07;0,07;0;0,07;0,04;0;;0,61
"PomMic""""";0,07;0,07;0,04;0,04;0;0;0,07;0,07;0,07;0;0,07;0,07;0,04;0;;0,61
"Zoopl""""";0,21;0;0,14;0,11;0;0;0,18;0,11;0,18;0,07;0,07;0,07;0,04;0;;1,18
