Species                Kbu       Ktd      Kdir    Kindir         K
Intpred            0.16667   4.17000   1.99167   2.34500   4.33667
Lpred              0.00000  11.00000   3.36667   7.63333  11.00000
Sdemzoob           0.36111   2.75778   2.00119   1.11770   3.11889
Lzoob              0.16667   1.54667   1.02500   0.68833   1.71333
Sdemzoop           0.55556   0.63333   0.94405   0.24484   1.18889
Pela               0.55556   0.50000   0.91071   0.14484   1.05556
Lcrus              0.68056   1.16000   1.39405   0.44651   1.84056
Smollworm          1.88657   0.50000   1.61071   0.77586   2.38657
Hetbent            1.18333   0.80000   1.56071   0.42262   1.98333
Scrus              3.56173   0.33333   2.31905   1.57601   3.89506
Zoopl              5.35648   0.16667   2.25952   3.26362   5.52315
Phyto             11.00000   0.00000   2.61667   8.38333  11.00000
